,Unnamed: 0,id,blocktime,forvotes,againstvotes,vote_rate,total_cap,circulating
0,0,1,2021-08-19 10:25:04,7.0,0.0,7.0,381,381
1,27,2,2021-08-25 07:09:25,21.0,0.0,21.0,381,381
2,38,3,2021-09-01 13:43:29,43.0,1.0,44.0,381,381
3,49,4,2021-09-03 09:09:54,68.0,1.0,69.0,381,381
4,60,5,2021-09-14 08:58:49,68.0,1.0,69.0,381,381
5,71,6,2021-09-19 07:42:39,114.0,1.0,115.0,381,381
6,82,7,2021-09-21 06:16:18,68.0,29.0,97.0,381,381
7,93,8,2021-09-24 12:40:11,104.0,0.0,104.0,381,381
8,104,9,2021-09-29 11:00:54,102.0,1.0,103.0,381,381
9,1,10,2021-10-07 11:21:20,42.0,41.0,83.0,381,381
10,12,11,2021-10-08 13:55:01,136.0,7.0,143.0,381,381
11,19,12,2021-10-19 02:13:19,87.0,4.0,91.0,381,381
12,20,13,2021-10-19 13:37:54,20.0,0.0,20.0,381,381
13,21,14,2021-10-27 06:27:37,138.0,0.0,138.0,381,381
14,22,15,2021-11-04 12:50:21,117.0,1.0,118.0,381,381
15,23,16,2021-11-04 22:55:54,117.0,1.0,118.0,381,381
16,24,17,2021-11-15 13:46:50,99.0,1.0,100.0,381,381
17,25,18,2021-11-15 19:21:01,118.0,0.0,118.0,381,381
18,26,19,2021-11-21 11:42:52,0.0,0.0,0.0,381,381
19,28,20,2021-11-22 10:10:28,20.0,0.0,20.0,381,381
20,29,21,2021-11-23 14:08:29,20.0,0.0,20.0,381,381
21,30,22,2021-11-24 18:10:32,25.0,0.0,25.0,381,381
22,31,23,2021-11-29 19:15:16,29.0,0.0,29.0,381,381
23,32,24,2021-12-01 07:00:43,27.0,8.0,35.0,381,381
24,33,25,2021-12-01 18:39:07,46.0,0.0,46.0,381,381
25,34,26,2021-12-02 23:18:15,34.0,6.0,40.0,381,381
26,35,27,2021-12-05 18:26:01,24.0,0.0,24.0,381,381
27,36,28,2021-12-13 06:53:18,12.0,0.0,12.0,381,381
28,37,29,2021-12-25 07:41:54,47.0,0.0,47.0,381,381
29,39,30,2021-12-27 13:31:36,21.0,19.0,40.0,381,381
30,40,31,2022-01-05 07:20:20,30.0,14.0,44.0,381,381
31,41,32,2022-01-05 12:50:37,39.0,0.0,39.0,381,381
32,42,33,2022-01-11 09:18:50,8.0,28.0,36.0,381,381
33,43,34,2022-01-11 13:42:49,28.0,0.0,28.0,381,381
34,44,35,2022-01-19 11:50:46,32.0,0.0,32.0,381,381
35,45,36,2022-01-24 07:04:47,34.0,0.0,34.0,381,381
36,46,37,2022-02-02 19:27:40,35.0,2.0,37.0,381,381
37,47,38,2022-02-11 08:47:37,56.0,0.0,56.0,381,381
38,48,39,2022-02-15 10:44:34,14.0,0.0,14.0,381,381
39,50,40,2022-02-24 21:22:23,32.0,2.0,34.0,381,381
40,51,41,2022-03-01 13:09:08,33.0,0.0,33.0,381,381
41,52,42,2022-03-03 11:05:55,36.0,0.0,36.0,381,381
42,53,43,2022-03-09 12:05:02,75.0,1.0,76.0,381,381
43,54,44,2022-03-16 21:55:37,51.0,0.0,51.0,381,381
44,55,45,2022-03-22 16:28:36,47.0,0.0,47.0,381,381
45,56,46,2022-03-24 12:37:36,45.0,1.0,46.0,381,381
46,57,47,2022-03-30 17:09:00,50.0,14.0,64.0,381,381
47,58,48,2022-03-31 11:10:21,72.0,0.0,72.0,381,381
48,59,49,2022-04-02 07:05:43,56.0,0.0,56.0,381,381
49,61,50,2022-04-04 12:44:50,14.0,0.0,14.0,381,381
50,62,51,2022-04-08 00:09:28,70.0,0.0,70.0,381,381
51,63,52,2022-04-08 11:09:19,42.0,0.0,42.0,381,381
52,64,53,2022-04-08 23:05:03,61.0,0.0,61.0,381,381
53,65,54,2022-04-11 11:12:34,67.0,0.0,67.0,381,381
54,66,55,2022-04-11 13:17:07,78.0,1.0,79.0,381,381
55,67,56,2022-04-12 15:29:00,61.0,0.0,61.0,381,381
56,68,57,2022-04-13 17:25:33,65.0,0.0,65.0,381,381
57,69,58,2022-04-14 09:18:25,41.0,0.0,41.0,381,381
58,70,59,2022-04-14 14:23:03,66.0,5.0,71.0,381,381
59,72,60,2022-04-18 06:33:14,33.0,9.0,42.0,381,381
60,73,61,2022-04-18 09:43:41,17.0,0.0,17.0,381,381
61,74,62,2022-04-18 12:38:31,0.0,12.0,12.0,381,381
62,75,63,2022-04-21 19:03:48,63.0,0.0,63.0,381,381
63,76,64,2022-04-22 10:20:09,42.0,9.0,51.0,381,381
64,77,65,2022-04-22 13:42:04,75.0,0.0,75.0,381,381
65,78,66,2022-04-22 16:33:08,41.0,0.0,41.0,381,381
66,79,67,2022-04-23 09:41:24,1.0,41.0,42.0,381,381
67,80,68,2022-04-24 14:38:21,39.0,1.0,40.0,381,381
68,81,69,2022-04-24 14:48:03,48.0,8.0,56.0,381,381
69,83,70,2022-04-24 21:09:52,60.0,11.0,71.0,381,381
70,84,71,2022-05-03 15:18:57,3.0,62.0,65.0,381,381
71,85,72,2022-05-05 06:22:50,16.0,0.0,16.0,381,381
72,86,73,2022-05-09 11:51:54,51.0,0.0,51.0,381,381
73,87,74,2022-05-10 09:27:38,92.0,0.0,92.0,381,381
74,88,75,2022-05-11 20:12:02,71.0,0.0,71.0,381,381
75,89,76,2022-05-16 09:55:33,68.0,1.0,69.0,381,381
76,90,77,2022-05-16 17:35:24,73.0,1.0,74.0,381,381
77,91,78,2022-05-17 12:49:38,73.0,2.0,75.0,381,381
78,92,79,2022-05-18 10:32:38,0.0,0.0,0.0,381,381
79,94,80,2022-05-18 11:09:17,85.0,1.0,86.0,381,381
80,95,81,2022-05-18 13:48:48,67.0,0.0,67.0,381,381
81,96,82,2022-05-19 04:10:11,59.0,0.0,59.0,381,381
82,97,83,2022-05-20 10:25:52,9.0,0.0,9.0,381,381
83,98,84,2022-05-26 08:48:41,41.0,1.0,42.0,381,381
84,99,85,2022-05-26 10:11:40,54.0,0.0,54.0,381,381
85,100,86,2022-05-27 09:51:39,31.0,10.0,41.0,381,381
86,101,87,2022-05-29 16:11:36,114.0,0.0,114.0,381,381
87,102,88,2022-06-02 16:49:41,3.0,58.0,61.0,381,381
88,103,89,2022-06-04 07:33:56,120.0,1.0,121.0,381,381
89,105,90,2022-06-06 16:23:34,0.0,0.0,0.0,381,381
90,106,91,2022-06-07 10:36:42,91.0,0.0,91.0,381,381
91,107,92,2022-06-07 10:41:57,5.0,45.0,50.0,381,381
