,Unnamed: 0,id,blocktime,forvotes,againstvotes,vote_rate,total_cap,circulating
0,0,1,2021-08-30 15:16:12,0.0,0.0,0.0,1000000000,734135450
1,11,2,2021-08-30 15:20:33,72126216.20201395,503009.40939498204,72629225.61140893,1000000000,734135450
2,16,3,2021-08-30 15:23:48,77413341.32533684,1261.7057977381771,77414603.03113458,1000000000,734135450
3,17,4,2021-08-30 15:27:58,0.0,0.0,0.0,1000000000,734135450
4,18,5,2021-08-30 15:32:20,50509984.14447425,11887306.860405358,62397291.00487961,1000000000,734135450
5,19,6,2021-08-30 15:37:26,43772750.267899975,0.0,43772750.267899975,1000000000,734135450
6,20,7,2021-08-30 15:41:27,0.0,0.0,0.0,1000000000,734135450
7,21,8,2021-08-30 15:47:10,59556015.20391445,1470.7025441879998,59557485.90645864,1000000000,734135450
8,22,9,2021-11-02 07:48:12,5029243.5270237615,0.0,5029243.5270237615,1000000000,734135450
9,1,10,2021-12-09 15:08:52,2514086.9300303017,0.0,2514086.9300303017,1000000000,734135450
10,2,11,2022-02-28 14:54:12,50690718.40961419,3078.180268,50693796.58988219,1000000000,734135450
11,3,12,2022-03-17 06:44:32,0.0,0.0,0.0,1000000000,734135450
12,4,13,2022-03-19 09:49:29,46069208.59576857,3078.180268,46072286.77603657,1000000000,734135450
13,5,14,2022-03-31 11:30:24,0.0,0.0,0.0,1000000000,734135450
14,6,15,2022-04-19 14:53:25,70398595.59759213,1062.8784978578014,70399658.47608998,1000000000,734135450
15,7,16,2022-04-20 14:46:11,50634749.73967824,390.6573678366043,50635140.39704607,1000000000,734135450
16,8,17,2022-05-05 12:29:52,0.0,0.0,0.0,1000000000,734135450
17,9,18,2022-05-05 13:28:36,0.0,0.0,0.0,1000000000,734135450
18,10,19,2022-05-10 13:29:14,0.0,0.0,0.0,1000000000,734135450
19,12,20,2022-05-11 11:28:05,0.0,0.0,0.0,1000000000,734135450
20,13,21,2022-06-14 13:38:37,0.0,0.0,0.0,1000000000,734135450
21,14,22,2022-06-15 13:29:52,0.0,0.0,0.0,1000000000,734135450
22,15,23,2022-07-07 08:25:12,71369769.1926683,0.0,71369769.1926683,1000000000,734135450
