,id,delegatedVotesRaw,tokenHoldersRepresentedAmount,tokenHoldersRepresented,numberVotes,proposals
0,0x00000583cf2c6aa7488471fbe12ac7f0dfeb1cda,3486903691932742777895,11,"[{'id': '0x1006f25a811421386feeb05328dde724227060e5'}, {'id': '0x150b8e09ccec1e070b242b5746e4917cb118d0db'}, {'id': '0x1b40b0e16707170f5df69ebb753eb1a2b15966b9'}, {'id': '0x2dcdf77e4f12bfb9e153833d0f69c55061282ae5'}, {'id': '0x4ffe4f14cec61edd720ad2855ff927137b3957e3'}, {'id': '0x7f60447545f96f892908eb8a4a7636325f591a50'}, {'id': '0x86b2881fa900df585b256d3004bf197380eb4d04'}, {'id': '0x8bbd0a023f0190fe796cc9d8d781736b66b621a8'}, {'id': '0xc28b6d9739989923d5c4d812ba6dca10a7aa9c7c'}, {'id': '0xd21ee9018162ddc8d3aeb6ae6a92269771afbe1e'}, {'id': '0xd4d221ad5b753a6fcbb58a6c7b6b92605ca5325f'}]",0,[]
1,0x00677d3e9b768c3e23abb67478ded7df837968ea,255,2,[{'id': '0x00677d3e9b768c3e23abb67478ded7df837968ea'}],0,[]
2,0x00843213a104a752ec360108688979e378204137,1100000000000000000,3,[{'id': '0x00843213a104a752ec360108688979e378204137'}],1,[]
3,0x00ead37d45321674caf87cab5ab556449f07976f,85,2,[{'id': '0x00ead37d45321674caf87cab5ab556449f07976f'}],0,[]
4,0x016d4da7c7cd614cd50149a373873ff090b9782e,110000000000000000,2,[{'id': '0x016d4da7c7cd614cd50149a373873ff090b9782e'}],3,[]
5,0x017a6130d1fd61f930c8fe9a516575d8de23cf4d,146561000000000000,2,[{'id': '0x017a6130d1fd61f930c8fe9a516575d8de23cf4d'}],0,[]
6,0x01ec262bd98a1fc5a5565d74838b6268e4bf992a,56741941521903576,6,[{'id': '0x01ec262bd98a1fc5a5565d74838b6268e4bf992a'}],0,[]
7,0x02cbba76d88a63d763eb5f0bfa58689183160dab,2267,2,[{'id': '0x02cbba76d88a63d763eb5f0bfa58689183160dab'}],0,[]
8,0x0452272d704261574c22d05a04d1d0c44027ecd6,1142647193095551501,2,[{'id': '0x0452272d704261574c22d05a04d1d0c44027ecd6'}],0,[]
9,0x0472e9b985c7d5b7c4b9d9eff3a77b434a88dcb4,1500000000000000000,2,[{'id': '0x0472e9b985c7d5b7c4b9d9eff3a77b434a88dcb4'}],0,[]
10,0x04b4689fa3b5f116dd721e17449bbcdf75d2c8ba,17868945677736272,3,[{'id': '0x04b4689fa3b5f116dd721e17449bbcdf75d2c8ba'}],0,[]
11,0x04b6ea5a19b8945eddc4a141408ec34c2a55a34e,29028695276487534063,2,[{'id': '0x04b6ea5a19b8945eddc4a141408ec34c2a55a34e'}],5,[]
12,0x04cc5aa9a2061cfdce46901161a35c57959d0297,100000000000000000,2,[{'id': '0x04cc5aa9a2061cfdce46901161a35c57959d0297'}],0,[]
13,0x05915bbca6fb21f6fe8e314341d27b340049d1f1,5001042716456946110158,3,"[{'id': '0x2c4f771208d48035bf2d745974a5795d88c4f69a'}, {'id': '0x33623d124025f2f3721161c00a96ccc8e6f54693'}, {'id': '0x6ef796da590554db1bd533f5dea4afdba755b549'}]",0,[]
14,0x05b75d5a56ca311bb878833d97d80338c22a877a,1131232537992909337,2,[{'id': '0x05b75d5a56ca311bb878833d97d80338c22a877a'}],0,[]
15,0x05e818959c2aa4cd05edae9a099c38e7bdc377c6,100000000000000000,2,[{'id': '0x05e818959c2aa4cd05edae9a099c38e7bdc377c6'}],0,[]
16,0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76,3299997355000000000000000,3,"[{'id': '0x2fd0eb27494d7a336574919fc670c05adbf65c80'}, {'id': '0x8823051f0411f183f1341c7ae82044a563f79a3f'}, {'id': '0xe954102774bc3f96542e4383486a1f6ed131f39f'}]",6,[]
