txnHash,delegateChange,delegateVotingPowerChange,transfer
0x236b93de01dc942bb4e42e2f43b572da770e702726434ec3eac162cd4f1c2b64,"[{'Unnamed: 0': 0, 'id': '1635256525-140', 'txnHash': '0x236b93de01dc942bb4e42e2f43b572da770e702726434ec3eac162cd4f1c2b64', 'blockNumber': 13493390, 'blockTimestamp': 1635256525, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'delegator': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'Unnamed: 0': 0, 'id': '1635256525-141', 'txnHash': '0x236b93de01dc942bb4e42e2f43b572da770e702726434ec3eac162cd4f1c2b64', 'blockTimestamp': 1635256525, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '420000000000000000000000000', 'previousBalance': '0', 'blockNumber': 13493390}]",[]
0x24733539d1bcdb917525de522380b63c5415df8162298f281d80777d0804dc06,[],"[{'Unnamed: 0': 1, 'id': '1635325184-281', 'txnHash': '0x24733539d1bcdb917525de522380b63c5415df8162298f281d80777d0804dc06', 'blockTimestamp': 1635325184, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '419999999000000000000000000', 'previousBalance': '420000000000000000000000000', 'blockNumber': 13498479}]","[{'txnHash': '0x24733539d1bcdb917525de522380b63c5415df8162298f281d80777d0804dc06', 'from': '0xe02F8E39b8cFA7d3b62307E46077669010883459', 'to': '0x4f3a120E72C76c22ae802D129F599BFDbc31cb81', 'value': '1000000000000000000'}]"
0x1de5e18bd88024319fbdec6324ec5f190e4baca2ab45237fb39b68f4f70e3c8b,[],"[{'Unnamed: 0': 2, 'id': '1635330986-696', 'txnHash': '0x1de5e18bd88024319fbdec6324ec5f190e4baca2ab45237fb39b68f4f70e3c8b', 'blockTimestamp': 1635330986, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '407500000000000000000000000', 'previousBalance': '419999999000000000000000000', 'blockNumber': 13498908}]","[{'txnHash': '0x1de5e18bd88024319fbdec6324ec5f190e4baca2ab45237fb39b68f4f70e3c8b', 'from': '0xe02F8E39b8cFA7d3b62307E46077669010883459', 'to': '0x4f3a120E72C76c22ae802D129F599BFDbc31cb81', 'value': '12499999000000000000000000'}]"
0x25fb7961f501a7c4ad4bb0d690de367b44c338438c1ca61fa0df67aafdf162ed,[],"[{'Unnamed: 0': 3, 'id': '1635846278-31', 'txnHash': '0x25fb7961f501a7c4ad4bb0d690de367b44c338438c1ca61fa0df67aafdf162ed', 'blockTimestamp': 1635846278, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '407250000000000000000000000', 'previousBalance': '407500000000000000000000000', 'blockNumber': 13536821}]","[{'txnHash': '0x25fb7961f501a7c4ad4bb0d690de367b44c338438c1ca61fa0df67aafdf162ed', 'from': '0xe02F8E39b8cFA7d3b62307E46077669010883459', 'to': '0x0D0707963952f2fBA59dD06f2b425ace40b492Fe', 'value': '250000000000000000000000'}]"
0x9fb7b156fd1bb1ca5f813888d900cd9e14f170163804bd8dda9fd811a5cf50e1,[],"[{'Unnamed: 0': 4, 'id': '1635869073-37', 'txnHash': '0x9fb7b156fd1bb1ca5f813888d900cd9e14f170163804bd8dda9fd811a5cf50e1', 'blockTimestamp': 1635869073, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '357250000000000000000000000', 'previousBalance': '407250000000000000000000000', 'blockNumber': 13538489}]","[{'txnHash': '0x9fb7b156fd1bb1ca5f813888d900cd9e14f170163804bd8dda9fd811a5cf50e1', 'from': '0xe02F8E39b8cFA7d3b62307E46077669010883459', 'to': '0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', 'value': '50000000000000000000000000'}]"
0x1a585a63727f267f971d349f038f918d4e53a4320d6c2ca4b25b4d3d5ebda552,[],"[{'Unnamed: 0': 5, 'id': '1635927885-89', 'txnHash': '0x1a585a63727f267f971d349f038f918d4e53a4320d6c2ca4b25b4d3d5ebda552', 'blockTimestamp': 1635927885, 'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'newBalance': '357150000000000000000000000', 'previousBalance': '357250000000000000000000000', 'blockNumber': 13542804}]","[{'txnHash': '0x1a585a63727f267f971d349f038f918d4e53a4320d6c2ca4b25b4d3d5ebda552', 'from': '0xe02F8E39b8cFA7d3b62307E46077669010883459', 'to': '0x381A815b112A394f27121e2A99e86f88b1Ef85A2', 'value': '100000000000000000000000'}]"
0xde754769077424135225700cccd5c47744b7f03edf516fedf9fb8f1bb04ab78c,"[{'Unnamed: 0': 2, 'id': '1636125956-143', 'txnHash': '0xde754769077424135225700cccd5c47744b7f03edf516fedf9fb8f1bb04ab78c', 'blockNumber': 13557367, 'blockTimestamp': 1636125956, 'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'delegator': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'Unnamed: 0': 6, 'id': '1636125956-144', 'txnHash': '0xde754769077424135225700cccd5c47744b7f03edf516fedf9fb8f1bb04ab78c', 'blockTimestamp': 1636125956, 'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'newBalance': '1234702667850498900727211', 'previousBalance': '0', 'blockNumber': 13557367}]",[]
0x5828782f91bca9f4e1905b10b26a7af398b30f2684d55e9d878d1e42b3d3c2f5,"[{'Unnamed: 0': 3, 'id': '1636196475-227', 'txnHash': '0x5828782f91bca9f4e1905b10b26a7af398b30f2684d55e9d878d1e42b3d3c2f5', 'blockNumber': 13562587, 'blockTimestamp': 1636196475, 'delegate': '0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c', 'delegator': '0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'Unnamed: 0': 7, 'id': '1636196475-228', 'txnHash': '0x5828782f91bca9f4e1905b10b26a7af398b30f2684d55e9d878d1e42b3d3c2f5', 'blockTimestamp': 1636196475, 'delegate': '0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c', 'newBalance': '8000000000000000000000', 'previousBalance': '0', 'blockNumber': 13562587}]",[]
0x356a68aceb0cd0e3af559af75f775a04bb98edba7bc575766020f4ffa233fb37,"[{'Unnamed: 0': 4, 'id': '1636197538-96', 'txnHash': '0x356a68aceb0cd0e3af559af75f775a04bb98edba7bc575766020f4ffa233fb37', 'blockNumber': 13562662, 'blockTimestamp': 1636197538, 'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'delegator': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'Unnamed: 0': 8, 'id': '1636197538-97', 'txnHash': '0x356a68aceb0cd0e3af559af75f775a04bb98edba7bc575766020f4ffa233fb37', 'blockTimestamp': 1636197538, 'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'newBalance': '1438924826653137155420260', 'previousBalance': '0', 'blockNumber': 13562662}]",[]
0x4d94db4e9c7c0974ed4560ce09c6978f20843df20a0565ef88299cc4f1064f39,"[{'Unnamed: 0': 5, 'id': '1636213586-83', 'txnHash': '0x4d94db4e9c7c0974ed4560ce09c6978f20843df20a0565ef88299cc4f1064f39', 'blockNumber': 13563835, 'blockTimestamp': 1636213586, 'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'delegator': '0x617c34a9b6f080a0f25988db6c903a8348d41081', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'Unnamed: 0': 9, 'id': '1636213586-84', 'txnHash': '0x4d94db4e9c7c0974ed4560ce09c6978f20843df20a0565ef88299cc4f1064f39', 'blockTimestamp': 1636213586, 'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'newBalance': '2999410726365635041434127', 'previousBalance': '1438924826653137155420260', 'blockNumber': 13563835}]",[]
