txnHash,delegateChange,delegateVotingPowerChange,transfer,from,to,previous,amount,flag
0x236b93de01dc942bb4e42e2f43b572da770e702726434ec3eac162cd4f1c2b64,"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'delegator': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '0', 'newBalance': '420000000000000000000000000'}]",{},0xe02F8E39b8cFA7d3b62307E46077669010883459,0xe02F8E39b8cFA7d3b62307E46077669010883459,0x0000000000000000000000000000000000000000,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('420000000000000000000000000')},1
0x24733539d1bcdb917525de522380b63c5415df8162298f281d80777d0804dc06,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '420000000000000000000000000', 'newBalance': '419999999000000000000000000'}]","{'0x4f3a120E72C76c22ae802D129F599BFDbc31cb81': [['0xe02F8E39b8cFA7d3b62307E46077669010883459', Decimal('1000000000000000000')]]}",,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('-1000000000000000000')},0
0x1de5e18bd88024319fbdec6324ec5f190e4baca2ab45237fb39b68f4f70e3c8b,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '419999999000000000000000000', 'newBalance': '407500000000000000000000000'}]","{'0x4f3a120E72C76c22ae802D129F599BFDbc31cb81': [['0xe02F8E39b8cFA7d3b62307E46077669010883459', Decimal('12499999000000000000000000')]]}",,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('-12499999000000000000000000')},0
0x25fb7961f501a7c4ad4bb0d690de367b44c338438c1ca61fa0df67aafdf162ed,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '407500000000000000000000000', 'newBalance': '407250000000000000000000000'}]","{'0x0D0707963952f2fBA59dD06f2b425ace40b492Fe': [['0xe02F8E39b8cFA7d3b62307E46077669010883459', Decimal('250000000000000000000000')]]}",,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('-250000000000000000000000')},0
0x9fb7b156fd1bb1ca5f813888d900cd9e14f170163804bd8dda9fd811a5cf50e1,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '407250000000000000000000000', 'newBalance': '357250000000000000000000000'}]","{'0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5': [['0xe02F8E39b8cFA7d3b62307E46077669010883459', Decimal('50000000000000000000000000')]]}",,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('-50000000000000000000000000')},0
0x1a585a63727f267f971d349f038f918d4e53a4320d6c2ca4b25b4d3d5ebda552,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '357250000000000000000000000', 'newBalance': '357150000000000000000000000'}]","{'0x381A815b112A394f27121e2A99e86f88b1Ef85A2': [['0xe02F8E39b8cFA7d3b62307E46077669010883459', Decimal('100000000000000000000000')]]}",,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('-100000000000000000000000')},0
0xde754769077424135225700cccd5c47744b7f03edf516fedf9fb8f1bb04ab78c,"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'delegator': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '0', 'newBalance': '1234702667850498900727211'}]",{},0x9843C8a8263308A309BfC3C2d1c308126D8E754D,0x9843C8a8263308A309BfC3C2d1c308126D8E754D,0x0000000000000000000000000000000000000000,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('1234702667850498900727211')},1
0x5828782f91bca9f4e1905b10b26a7af398b30f2684d55e9d878d1e42b3d3c2f5,"[{'delegate': '0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c', 'delegator': '0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'delegate': '0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c', 'previousBalance': '0', 'newBalance': '8000000000000000000000'}]",{},0xDd2AA2dd3b524ab337f8467bd630a2b0eb9fE70c,0xDd2AA2dd3b524ab337f8467bd630a2b0eb9fE70c,0x0000000000000000000000000000000000000000,{'0xDd2AA2dd3b524ab337f8467bd630a2b0eb9fE70c': Decimal('8000000000000000000000')},1
0x356a68aceb0cd0e3af559af75f775a04bb98edba7bc575766020f4ffa233fb37,"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'delegator': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '0', 'newBalance': '1438924826653137155420260'}]",{},0xCF263cEe139763114fAaFC5F52865135412F50Ec,0xCF263cEe139763114fAaFC5F52865135412F50Ec,0x0000000000000000000000000000000000000000,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('1438924826653137155420260')},1
0x4d94db4e9c7c0974ed4560ce09c6978f20843df20a0565ef88299cc4f1064f39,"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'delegator': '0x617c34a9b6f080a0f25988db6c903a8348d41081', 'previousDelegate': '0x0000000000000000000000000000000000000000'}]","[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '1438924826653137155420260', 'newBalance': '2999410726365635041434127'}]",{},0x617c34A9B6F080a0f25988DB6C903a8348D41081,0xCF263cEe139763114fAaFC5F52865135412F50Ec,0x0000000000000000000000000000000000000000,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('1560485899712497886013867')},1
