txnHash,source,value
0x0031cec0bbd4e541fb62103878738983f9c5a03817657e7696f13c8c30fb9cb4,"['dvpc', 'transfer']","[nan, '620628035148735348645']"
0x01d14c74bf155ad4dc5e7930872924009c9ae826ec607197ffdc97e82447e6c1,"['dvpc', 'transfer']","[nan, '82007251389312974733730']"
0x03223250df2529553942b39a1ddcee5ef601e6fcbfe26bf54a2d014af8e9348e,"['dvpc', 'transfer']","[nan, '300000000000000000000000']"
0x037204a333d7bf9b8424120f5da2e22ca174c275aa75f66064053680af052dba,"['dvpc', 'transfer']","[nan, '2400000000000000000000000']"
0x03b1551ed454b0b085e5f39d4fe18ef6197068ec3939f1041d4552808839bbaa,"['dvpc', 'transfer']","[nan, '899699000000000000']"
0x048060b5b5ef8d55f727b626b43e191dca0ad5f85fdb2e5a3fc1044515bb4b9d,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '3000000000000000000000000', '3000000000000000000000000']"
0x05799c1b2683b61b71f2dd0bac3d90310cbd247a10d9692dde3ac286ca323145,"['dvpc', 'transfer']","[nan, '382700310043983027000']"
0x0605ed504b274f7a2ec76399df06b8331f293093120b8effde665d89756509c7,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x08583a10ededd1aca522ccb56db0ab9534891967184b14a364c0a788c3a2d52b,"['dvpc', 'transfer']","[nan, '278523399348645142618']"
0x092b1e0a37fd38959f1d97df4650ba67b0f88245b19e17bd7d6369a11f93868a,"['dvpc', 'transfer']","[nan, '99138730000000000000000']"
0x0a01cf2d8f63256bcb40450d1c6599f46bf6e44845bb5ef7c7bff5e59b43e705,"['dvpc', 'transfer']","[nan, '844404458532905642668']"
0x0a1c2aadc4bcd916ad9c7a8452e28cdde410686d5e0d45e8fe45cc4b45d7a473,"['dvpc', 'transfer']","[nan, '5000000000000000000']"
0x0aa20ad29954aff5e306e2c348c38e94f58c56fba4c6dd36bbfa2c92acbb486a,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '142079432401488246237105', '142079432401488246237105']"
