DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
Radicle,sinahab.eth,0x03b79c0c1487a68aeabd9aa4ce779dad77855f52,FOR,1.6667e+22,11914019,1614092958,0x6ff1f348878922cb706d0d8ace0e773c52a7415a826abee0cc502056a7d83173,11401.103614565149,1.1401103614565146e+22,2,3,EXECUTED,4000000000000000000000000,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,11896847,11914127,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0001666724
Radicle,,0x0e16f564f344d75d832234f7256e84bbaa9b11f1,FOR,0.0,12044432,1615828339,0xe13dce5494943f19b139b2429d4098743e1fdefd2a3f3e894aa4487a9a5e603d,0.0,0.0,0,4,EXECUTED,4000000000000000000000000,2458,59,0,19,0,19,0,6333262966279602559864993,0,6333262966279602559864993,1615628706,12029477,12046757,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0
Radicle,metaro23.eth,0x0eeb15cada5996ae022d72ef5a1cf3f6a4f3a017,FOR,2.93753939707595e+20,15318128,1660185357,0x2b39465a0428b71a5f7081d773808ca1ff064ec035d89ff2849d8e0c369ae63f,293.753939707595,2.93753939707595e+20,2,9,ACTIVE,4000000000000000000000000,5890,64,0,8,0,8,0,932861278258708913462167,0,932861278258708913462167,1660145590,15315152,15332432,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,2.9376e-06
Radicle,clearloop.eth,0x1137b52ad2398e0a6106f329ca7c57dead39778d,FOR,0.0,12039981,1615768043,0x0ed9f2ac920f7c4136225bd437a4b3490e2df3a5ae16354745a5ab2bb731bd78,0.0,0.0,1,4,EXECUTED,4000000000000000000000000,2458,59,0,19,0,19,0,6333262966279602559864993,0,6333262966279602559864993,1615628706,12029477,12046757,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0
Radicle,,0x116a1ffb78c6994c8338e7636808272f9f9f5d56,FOR,0.0,11913804,1614089918,0x8e24c1b2ff9b8454f2bbd1a394bb53b3bc05d0c72c30153769be359ff8e0511b,0.0,0.0,0,3,EXECUTED,4000000000000000000000000,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,11896847,11914127,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0
Radicle,,0x119dfca1629a73912bc064af6774b36581d44b67,FOR,1.6144e+22,11911834,1614064113,0x5dbe1836c33f1b1d3b544fc62f6609157e29e100bf4e1d2fd64a40c9033cb94f,0.0,0.0,1,3,EXECUTED,4000000000000000000000000,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,11896847,11914127,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0001614423
Radicle,xla.eth,0x13075a80df4a80e45e58ef871900f0e0ef2ca5cc,FOR,2.7202357623033992e+23,11886625,1613728462,0x4c387114aa9449aaeaaa1c22b0b54c39a66057379412931ad69dc0b3ff2adc64,0.0,0.0,0,2,CANCELED,4000000000000000000000000,28,2,0,1,0,1,0,272023576230339928970065,0,272023576230339928970065,1613682958,11883175,11900455,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0027202744
Radicle,,0x14e94aaca7ebad882516eb969a7b67787a860b64,FOR,4.2549210627029e+23,15359962,1660756002,0x927a285b23ae18809ab7e15e745fe7e9660e0b04b2ed6587767f7047c586f375,428454.60627029,4.2845460627029e+23,5,10,EXECUTED,4000000000000000000000000,5886,63,0,8,0,8,0,6225198003983326410671965,0,6225198003983326410671965,1660664987,15353255,15370535,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0042549815
Radicle,,0x14e94aaca7ebad882516eb969a7b67787a860b64,FOR,2.501342627029e+22,14397271,1647429571,0xc9cc016539752cd50d838e4ada22556fc22510d4541ddeaed7656f15565c9840,428454.60627029,4.2845460627029e+23,5,6,ACTIVE,4000000000000000000000000,5579,63,0,9,0,9,0,3323376545975406538973394,0,3323376545975406538973394,1647354924,14391708,14408988,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0002501378
Radicle,,0x14e94aaca7ebad882516eb969a7b67787a860b64,FOR,2.501342627029e+22,14449008,1648125576,0xe82b83bbc0267fa7d15e75151da6108444c05d658478d76b3cf7b5f511dc4913,428454.60627029,4.2845460627029e+23,5,7,EXECUTED,4000000000000000000000000,5598,64,0,8,0,8,0,5096711931476043997421629,0,5096711931476043997421629,1647961470,14436781,14454061,0,"['FOR', 'AGAINST', 'ABSTAIN']",9.999858e+25,0.0002501378
