DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices
Gitcoin,xiaozhen.eth,0x2bcf59e816178dfdbf66d7cfc37d32687f104ae4,FOR,1.048579e+20,16087678,1669870211,0x85440c95ca90e2c5125c2bd972fc041646c6c82c0bb441af6564786777da3a68,104.8579,1.048579e+20,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,,0x2537bc335e47ac1a529b96fadfcecbe07232d733,FOR,5e+17,16087818,1669871903,0x06c41875b3c45bbbb694c9cf646fea8dd744473519314adf1237581d7dd8376e,0.5,5e+17,1,42,ACTIVE,2500000000000000000000000,23974,6125,2,124,0,126,19276320620400932048,6924072993673174721055076,0,6924092269993795121987124,1669272671,16051303,16091623,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,huashao.eth,0xda94c818a091b777f67962f683071417f1fa4951,AGAINST,5.415913305346407e+18,16088527,1669880459,0x60b584b123ac2b4b9f5ff5bba3bb936f772a35b4991b3968555a7ad6801e86a7,5.4159133053464075,5.415913305346407e+18,1,42,ACTIVE,2500000000000000000000000,23974,6125,2,124,0,126,19276320620400932048,6924072993673174721055076,0,6924092269993795121987124,1669272671,16051303,16091623,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,huashao.eth,0xda94c818a091b777f67962f683071417f1fa4951,FOR,5.415913305346407e+18,16088533,1669880531,0xf09aab887abb53c892dc33912aa11c5cfc86877ad79b334ec60d0c9fbf3ec9f0,5.4159133053464075,5.415913305346407e+18,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,30820.eth,0x9c1b73e80d992389078a8abc8b6039665c4846e7,FOR,1.2975337378253179e+19,16089107,1669887455,0x6496d715dadf969a7b035d404999710e75c6d2bafe3a515d9d2c430d61b67c2c,12.975337378253178,1.2975337378253179e+19,1,42,ACTIVE,2500000000000000000000000,23974,6125,2,124,0,126,19276320620400932048,6924072993673174721055076,0,6924092269993795121987124,1669272671,16051303,16091623,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,30820.eth,0x9c1b73e80d992389078a8abc8b6039665c4846e7,FOR,1.2975337378253179e+19,16089109,1669887479,0x476167c15cb5880b10f897c6c0348905e9b63d6efd71344773e45384a5217caa,12.975337378253178,1.2975337378253179e+19,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,,0x0cda087b6df324613fa7a49318557a6de9229eff,FOR,9.210070456886422e+17,16089122,1669887635,0x7a2dbdea071741348a9ba38d719d71abf3895e72363dbbdc0a6cab417d53ed09,0.9210070456886422,9.210070456886422e+17,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,,0xe442fd31eb625fd64f84280297b102d46b260bbb,FOR,1.0043606714086076e+18,16089128,1669887707,0xc27f86d270dcf87a1b0713a23f7cb3cdcd3847c7014d0619624f08852ef80ca5,1.0043606714086075,1.0043606714086076e+18,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,yutian8448.eth,0xabfd1ffffd163a449b3119d1b9bbefbcae04ba27,FOR,1.10771534872529e+20,16089169,1669888199,0x89f199653e80bdc354291dd165719de592d55af1ace0cbc5740f60eb12e102e0,110.77153487252899,1.10771534872529e+20,1,42,ACTIVE,2500000000000000000000000,23974,6125,2,124,0,126,19276320620400932048,6924072993673174721055076,0,6924092269993795121987124,1669272671,16051303,16091623,0,"['FOR', 'AGAINST', 'ABSTAIN']"
Gitcoin,112478.eth,0xb59938973051141ab010d7c85ae10b96b3d1cb04,FOR,1.5104422878490414e+18,16089172,1669888235,0x4ab2c478818cc220624b025463aadb26867634d5d0bc1d81d024abbf24222c56,1.5104422878490416,1.5104422878490414e+18,1,43,ACTIVE,2500000000000000000000000,24001,6129,3,161,0,164,1295922053210397418,5903156121396825060629771,0,5903157417318878271027189,1669303727,16053876,16094196,0,"['FOR', 'AGAINST', 'ABSTAIN']"
