,id,noun.id,previousDelegate.id,newDelegate.id
0,0x003a6a76ddf5a49dac280c41146ccee31b1287fc9401bc09c403ea4a3820da19_46,46,0xf8d24586f793fab81248f0b23f47e5b6bc0a6c9a,0x43a330dec81bbd5e21f41c6b8354e54d481efc93
1,0x00545b2665dcab97942027fa628a1e5ac259001c6f0968714c383b23bf07474c_73,73,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,0x6d40c2da94c6522e361904383c37c605f39b8e73
2,0x00ee7973e6f3ecacf719673010d58b59d98d7eae4dc0068579b62e6dc3c91e7d_13,13,0xd79b31e43090fa967f5dd3495b7290aabeacb622,0x6d40c2da94c6522e361904383c37c605f39b8e73
3,0x00ee7973e6f3ecacf719673010d58b59d98d7eae4dc0068579b62e6dc3c91e7d_177,177,0xd79b31e43090fa967f5dd3495b7290aabeacb622,0x912a526852527dfb5d44c22a15b708aa493cda6b
4,0x00fed34ad97aab50c4fb4c8f19fa7fbd6eb4c39447c07aada752f53e7c388eca_325,325,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,0x8c2fc764a4ad45984792ad7680ed5e62f772a31f
5,0x01d64277b7724c892716e440d567175244451fb7d9f4a43168f6afa87b3e2247_273,273,0x90a9d3661b1963bc33ccf4d55d663df5856c1126,0xf6b6f07862a02c85628b3a9688beae07fea9c863
6,0x024670a855dc17c60c167faecc7370be08556985d2ff6b1c3d38ae0f2c1858a8_281,281,0x830bd73e4184cef73443c15111a1df14e495c706,0x90a9d3661b1963bc33ccf4d55d663df5856c1126
7,0x024670a855dc17c60c167faecc7370be08556985d2ff6b1c3d38ae0f2c1858a8_282,282,0x0bc3807ec262cb779b38d65b38158acc3bfede10,0x830bd73e4184cef73443c15111a1df14e495c706
8,0x029b85ed5b6d9cfc506e780b17ac0ccded9cc2c854a5aacdb259eddeb03f2b09_143,143,0x830bd73e4184cef73443c15111a1df14e495c706,0xd33f519291a5ba56da1351243789c91a9c2a319e
9,0x029b85ed5b6d9cfc506e780b17ac0ccded9cc2c854a5aacdb259eddeb03f2b09_144,144,0x0bc3807ec262cb779b38d65b38158acc3bfede10,0x830bd73e4184cef73443c15111a1df14e495c706
10,0x02c4230860fb6cb84e16ff2328f97a95e721a0c939f89d2a8d86d7a1d0e27ccf_351,351,0x830bd73e4184cef73443c15111a1df14e495c706,0x7fa020f063b3a06153ed755cee5923039efb86a3
11,0x02c4230860fb6cb84e16ff2328f97a95e721a0c939f89d2a8d86d7a1d0e27ccf_352,352,0x0bc3807ec262cb779b38d65b38158acc3bfede10,0x830bd73e4184cef73443c15111a1df14e495c706
12,0x032ce0bccd24c1cd545c50e20f2ce98264369438950dd32b79433199ea73f772_347,347,0x830bd73e4184cef73443c15111a1df14e495c706,0xa68fdb0c7ecdc404637c5c06bab82a7bf00609f3
13,0x032ce0bccd24c1cd545c50e20f2ce98264369438950dd32b79433199ea73f772_348,348,0x0bc3807ec262cb779b38d65b38158acc3bfede10,0x830bd73e4184cef73443c15111a1df14e495c706
14,0x0342ab0d41715e8e036053371915e542ed20b0343c337b663deb0ea1c069ae63_257,257,0x830bd73e4184cef73443c15111a1df14e495c706,0x0ccc9f78b7b7ae40f9370697f0ae26997411d398
15,0x0342ab0d41715e8e036053371915e542ed20b0343c337b663deb0ea1c069ae63_258,258,0x0bc3807ec262cb779b38d65b38158acc3bfede10,0x830bd73e4184cef73443c15111a1df14e495c706
16,0x03a188ad03051fb83b48524edb07a416b278317c73211ed9f5414479b1c0a3b4_57,57,0x91e371c3cd3aa81af27b1602d4d8cf9d81ec5a90,0x5edf575176dc43fe9e18b55a67a3e4a018eb4f5b
17,0x0433a8a9a091d53aeab397c8c7b29ebbe73b4d808e13e1ca56236a788b484a2d_154,154,0x830bd73e4184cef73443c15111a1df14e495c706,0x4754b7e3dede42d71d6c92978f25f306176ec7e9
18,0x0433a8a9a091d53aeab397c8c7b29ebbe73b4d808e13e1ca56236a788b484a2d_155,155,0x0bc3807ec262cb779b38d65b38158acc3bfede10,0x830bd73e4184cef73443c15111a1df14e495c706
