,Unnamed: 0,proposal,voter,support,single_vote,name,total_cap,circulating
0,191,1,0x2536c09e5f5691498805884fa37811be3b2bddb4,1,1.0,xaix.eth,381,381
1,1,1,0x008c84421da5527f462886cec43d2717b686a7e4,1,0.0,noun12.eth,381,381
2,193,1,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,2.0,nounders.eth,381,381
3,1358,1,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,2.0,sharkdao.eth,381,381
4,526,1,0x54be3a794282c030b15e43ae2bb182e14c409c5e,1,1.0,dingaling.eth,381,381
5,1800,1,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1.0,cold.4156.eth,381,381
6,1801,2,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1.0,cold.4156.eth,381,381
7,1243,2,0xa58899bbc983781d47c7dd5a6b8aeef53cd34bbc,1,1.0,,381,381
8,210,2,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,2.0,nounders.eth,381,381
9,15,2,0x008c84421da5527f462886cec43d2717b686a7e4,1,1.0,noun12.eth,381,381
10,527,2,0x54be3a794282c030b15e43ae2bb182e14c409c5e,1,1.0,dingaling.eth,381,381
11,984,2,0x912a526852527dfb5d44c22a15b708aa493cda6b,1,1.0,devloper.eth,381,381
12,1361,2,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,3.0,sharkdao.eth,381,381
13,104,2,0x1254958bd5073c6b238e516298f0c48f6f60a78e,1,1.0,,381,381
14,1774,2,0xeb1c22baacafac7836f20f684c946228401ff01c,1,1.0,richerd.eth,381,381
15,224,3,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,3.0,nounders.eth,381,381
16,986,3,0x912a526852527dfb5d44c22a15b708aa493cda6b,1,2.0,devloper.eth,381,381
17,1481,3,0xc3b80922832450aabafe6aae8a6aaf1e5e6158ea,1,1.0,,381,381
18,818,3,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,1.0,noun22.eth,381,381
19,528,3,0x54be3a794282c030b15e43ae2bb182e14c409c5e,1,1.0,dingaling.eth,381,381
20,1601,3,0xd049b3064990869c9f73bd7896271d83325d2067,1,1.0,1conf.eth,381,381
21,1802,3,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1.0,cold.4156.eth,381,381
22,1362,3,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,3.0,sharkdao.eth,381,381
23,1076,3,0x9646e0f7544b8ee3649e7ac77eef0cf5b53b748a,1,1.0,illiquidjpeg.eth,381,381
24,1145,4,0xa397d02928acaaf6553fd7e832413c5a732cf559,1,1.0,,381,381
25,236,4,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,3.0,nounders.eth,381,381
26,106,4,0x1254958bd5073c6b238e516298f0c48f6f60a78e,1,1.0,,381,381
