,Unnamed: 0,id,blocktime,forvotes,againstvotes,vote_rate,total_cap,circulating
0,0,1,2021-03-02 19:07:34,51790.43681453076,21806.47180329325,73596.90861782401,10000000,1972080
1,11,2,2021-03-06 01:58:01,550016.5789961494,0.0,550016.5789961494,10000000,1972080
2,22,3,2021-03-13 15:29:07,103780.8438098502,0.0,103780.8438098502,10000000,1972080
3,33,4,2021-03-22 12:39:19,121340.39498885935,0.0,121340.39498885935,10000000,1972080
4,38,5,2021-04-02 12:53:26,538527.0590879875,0.0,538527.0590879875,10000000,1972080
5,39,6,2021-04-13 13:01:52,539001.9807691771,0.0,539001.9807691771,10000000,1972080
6,40,7,2021-05-01 07:47:15,600287.8864711121,0.0,600287.8864711121,10000000,1972080
7,41,8,2021-05-01 08:27:20,83375.12730258808,911.2498773827257,84286.3771799708,10000000,1972080
8,42,9,2021-05-06 14:59:34,599204.659152093,0.0,599204.659152093,10000000,1972080
9,1,10,2021-05-08 15:32:14,661166.2921889295,2081.347833590574,663247.6400225201,10000000,1972080
10,2,11,2021-05-12 18:14:35,747357.5047144124,15094.918026,762452.4227404123,10000000,1972080
11,3,12,2021-05-15 06:13:11,141768.96122424505,0.0,141768.96122424505,10000000,1972080
12,4,13,2021-05-18 14:29:44,414326.57849969616,0.0,414326.57849969616,10000000,1972080
13,5,14,2021-05-18 16:46:32,214956.7525602347,0.0,214956.7525602347,10000000,1972080
14,6,15,2021-06-01 12:09:42,102025.3416032808,0.0,102025.3416032808,10000000,1972080
15,7,16,2021-06-04 01:57:04,1089107.70040591,0.0,1089107.70040591,10000000,1972080
16,8,17,2021-06-26 13:13:22,1036869.9846889188,0.0,1036869.9846889188,10000000,1972080
17,9,18,2021-07-10 03:16:37,1014314.4002733388,0.0,1014314.4002733388,10000000,1972080
18,10,19,2021-07-26 17:25:04,177598.43697318845,0.0,177598.43697318845,10000000,1972080
19,12,20,2021-08-03 23:01:02,100982.13319653274,0.0,100982.13319653274,10000000,1972080
20,13,21,2021-08-27 18:51:24,1013111.1305074984,0.0,1013111.1305074984,10000000,1972080
21,14,22,2021-09-21 20:06:47,811335.3402016972,0.0,811335.3402016972,10000000,1972080
22,15,23,2021-10-06 15:32:07,233792.4035112704,0.0,233792.4035112704,10000000,1972080
23,16,24,2021-10-25 17:22:43,406162.0669947637,0.0,406162.0669947637,10000000,1972080
24,17,25,2021-11-02 12:28:22,371861.24715961795,0.0,371861.24715961795,10000000,1972080
25,18,26,2021-11-22 15:11:20,863531.0151024493,0.0,863531.0151024493,10000000,1972080
26,19,27,2021-11-29 16:30:14,153908.73601981506,0.0,153908.73601981506,10000000,1972080
27,20,28,2021-12-10 17:06:43,199993.73601981503,0.0,199993.73601981503,10000000,1972080
28,21,29,2022-01-14 12:13:42,128247.88203974068,0.0,128247.88203974068,10000000,1972080
29,23,30,2022-02-15 03:08:47,133314.30773006813,0.0,133314.30773006813,10000000,1972080
30,24,31,2022-02-16 20:40:18,143319.3278246851,0.0,143319.3278246851,10000000,1972080
31,25,32,2022-03-14 10:51:16,141943.2636987177,0.0,141943.2636987177,10000000,1972080
32,26,33,2022-03-23 13:16:45,158310.96119707188,0.0,158310.96119707188,10000000,1972080
33,27,34,2022-03-25 10:24:12,326520.53413653595,0.0,326520.53413653595,10000000,1972080
34,28,35,2022-04-15 10:54:08,133171.27694831247,0.0,133171.27694831247,10000000,1972080
35,29,36,2022-04-15 11:46:10,164337.0936325331,0.0,164337.0936325331,10000000,1972080
36,30,37,2022-04-15 12:34:22,111571.98656622153,0.0,111571.98656622153,10000000,1972080
37,31,38,2022-04-21 07:31:11,186529.25448447492,40300.0,226829.2544844749,10000000,1972080
38,32,39,2022-04-21 07:48:18,567994.5828922616,0.0,567994.5828922616,10000000,1972080
39,34,40,2022-05-29 21:45:28,100377.54992802851,0.0,100377.54992802851,10000000,1972080
40,35,41,2022-06-14 20:44:36,251586.77541760946,0.0,251586.77541760946,10000000,1972080
41,36,42,2022-06-16 12:40:11,106377.67381422805,332.6431718938285,106710.31698612188,10000000,1972080
42,37,43,2022-06-27 12:28:24,203787.94061156595,0.0,203787.94061156595,10000000,1972080
