,id,delegatedVotesRaw,tokenHoldersRepresentedAmount,tokenHoldersRepresented,numberVotes,proposals
0,0xa0d55039834d2373014b66a322b49e32f4869f49,404136449420565495808,2,"[{'id': '0x9ae048c47aef066e03593d5edb230e3fa80c3f17'}, {'id': '0xa0d55039834d2373014b66a322b49e32f4869f49'}]",0,[]
1,0xa0ebf4f41ba800a534883daeb0b661029986385c,27345902234816463872,2,"[{'id': '0xa0ebf4f41ba800a534883daeb0b661029986385c'}, {'id': '0xc0a77c82b2f3811d4724dfa2f60b0dac225c0416'}]",0,[]
2,0xa0ff708151943d407ff866232e971471b0f1ad9a,691993581068288,3,"[{'id': '0x0b0d5b873ffb6339c76f8fc0efcb353163a593c8'}, {'id': '0xa0ff708151943d407ff866232e971471b0f1ad9a'}, {'id': '0xc8abb314c6fde10d1679a2ab6f4bdffa462e990d'}]",0,[]
3,0xa115208d8679fa69040cd84cf4fe68a10f61e652,525918780358833569792,2,"[{'id': '0x2d9f0212e6f81eab26a88c588ba5b9f94d991611'}, {'id': '0xa115208d8679fa69040cd84cf4fe68a10f61e652'}]",0,[]
4,0xa15ec67b3daafd655c232129ba1633ab2f304fe9,541940593969461919744,3,"[{'id': '0xa15ec67b3daafd655c232129ba1633ab2f304fe9'}, {'id': '0xb27b80da34fbdc0240c9163fa7fce8596c2c5b0d'}, {'id': '0xdd4c8cadbfcf5dbe6a2dff703ab85c0af0b94012'}]",0,[]
5,0xa179751c8bd0ad0b539016dbe1c9a59e5cadb244,178970187501712091136,2,"[{'id': '0xa179751c8bd0ad0b539016dbe1c9a59e5cadb244'}, {'id': '0xd79bb532fb1e20c4d5f2abe2b3be49d3fda2f27b'}]",0,[]
6,0xa19a7ae868ede64c6c5256a64bcd3bf3a9f2d615,1023728756287365121,3,"[{'id': '0x29ebcf5cf08c372151d9c33c80cbbcb262197dab'}, {'id': '0xa19a7ae868ede64c6c5256a64bcd3bf3a9f2d615'}, {'id': '0xc7780f60c72a73907e31be37b2ced67301960241'}]",0,[]
7,0xa1a31fa82311a5b76c9c1f037e35c8bd8d9a942d,16000000000000000000,2,"[{'id': '0x47e5271c2f41c91bf29fd46f5e55e5777f1c6365'}, {'id': '0xa1a31fa82311a5b76c9c1f037e35c8bd8d9a942d'}]",0,[]
8,0xa2214a395dcdbfca36cfa720565f48940090ef13,285073314953290906624,2,"[{'id': '0x80a241bee75187f87fefe4fb5decc8c0b0a2f813'}, {'id': '0xa2214a395dcdbfca36cfa720565f48940090ef13'}]",0,[]
9,0xa2906e6cdfcc2af200f4c1b68bd8f9b7fbf3fdba,727451840577646542848,2,"[{'id': '0x8eacaab03003aed32e16126224cd7e8e5eec2588'}, {'id': '0xa2906e6cdfcc2af200f4c1b68bd8f9b7fbf3fdba'}]",0,[]
10,0xa2de2d19edb4094c79fb1a285f3c30c77931bf1e,40981884144115712,4,"[{'id': '0x5c1f9c91b0b7b624917b332e14122199b64dd931'}, {'id': '0x7c147b6ac177ee79e0df2884cdfac687893069f7'}, {'id': '0xa2de2d19edb4094c79fb1a285f3c30c77931bf1e'}, {'id': '0xd4b65db36026ddf08859b8175c02c611fde0a020'}]",0,[]
11,0xa2eae178f372220ff6c6d8cacd63efe4e4b44525,130327465008818610176,2,"[{'id': '0x8dfdd0ff4661abd44b06b1204c6334eacc8575af'}, {'id': '0xa2eae178f372220ff6c6d8cacd63efe4e4b44525'}]",0,[]
12,0xa353d2a64d2df16a024ba81e73982df5ff8f26b5,115720389846982475776,2,"[{'id': '0x3d2336e5dc92ae517f295e3fa306bd7bf50c6e3d'}, {'id': '0xa353d2a64d2df16a024ba81e73982df5ff8f26b5'}]",0,[]
13,0xa3afb5812f0fa35bddc3cce28a4586fdf293c326,156929636571674075136,2,"[{'id': '0x51f343ab6acac725a4b1b91ee6de977f85ead803'}, {'id': '0xafb16ac6c72bb5916c6a104a2989136ccadc2d2b'}]",0,[]
14,0xa3b9e4b2c18efb1c767542e8eb9419b840881467,7178771470000000000,4,"[{'id': '0x02c84b0d8ecdcb5e27f753a1c6702e3c3e701ea4'}, {'id': '0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944'}, {'id': '0x9e1dec8b7c47750f560359bc78371db501440dfc'}]",1,[]
15,0xa3cdd8dc1d0973db547e427e6ef5e82efaa5b63c,24621557900546007040,2,"[{'id': '0x2f93cb6f5c22e83682bfd3ad803cd058c49cc056'}, {'id': '0xa3cdd8dc1d0973db547e427e6ef5e82efaa5b63c'}]",0,[]
16,0xa41a4b84d74e085bd463386d55c3b6dde6aa2759,71460751830128634880,2,"[{'id': '0x3055a2941b2a53de82556c69aa904b0b7f3e86bc'}, {'id': '0xa41a4b84d74e085bd463386d55c3b6dde6aa2759'}]",0,[]
17,0xa42e1866f3d969463566f9a0875b5fd0d513ccbf,151336685962055543296,2,"[{'id': '0xa42e1866f3d969463566f9a0875b5fd0d513ccbf'}, {'id': '0xc8b56697199c4ec0e3cb2bf156e46025fe847b05'}]",0,[]
18,0xa45892a1effbcc3723c234e9b540f3beb5de3cd0,1000000000000000000,2,[{'id': '0xa45892a1effbcc3723c234e9b540f3beb5de3cd0'}],0,[]
19,0xa499ee941ff2776c8f45fce6faea064d62a69dbf,798868596159151079424,2,"[{'id': '0x0bc6633e97366913e500e625bb974fbfd2e2cfe5'}, {'id': '0xa499ee941ff2776c8f45fce6faea064d62a69dbf'}]",0,[]
20,0xa4b945aad6176e836b08a0fda9d2d3bf6d3f5fae,189135400439808,4,"[{'id': '0x347945e2ca66550b2580551f9eb2c00d0d977cbe'}, {'id': '0x75e517200df55be36aa658852297a475d118b443'}, {'id': '0x92c084986bdb0ff870c4bc9af12a1b02715e8234'}, {'id': '0xa4b945aad6176e836b08a0fda9d2d3bf6d3f5fae'}]",0,[]
21,0xa53036cdead33461cbd7e26c2418a0f5c293c3b4,1000000000000000000,3,"[{'id': '0x0f40217b5112d601c4d9d9e051e720d7ec8206d4'}, {'id': '0x78ae230336bb65b0023d78156708783402f303c2'}, {'id': '0xb91bbde050f65b0334aad44ff05898f30daa3875'}]",0,[]
22,0xa535d27b204d9c2280be5ccb73ae48bf19f52c94,105137893423903461376,7,"[{'id': '0x15f618a19d66faf5c6d7fcf95421db3020308ce5'}, {'id': '0x27c51147a2b7e4d92f002a6726296f68885fe1ad'}, {'id': '0x505a9b93be00e02b88df0c1a2b9093b0d2969686'}, {'id': '0x9b02b40140c2776f106b17c0268016b832854891'}, {'id': '0xa535d27b204d9c2280be5ccb73ae48bf19f52c94'}, {'id': '0xabb08c0acf47f5e9cbfff6fbe770221a33c232a1'}, {'id': '0xe0d91c898de1705c72036fb36842fb4a42346aa2'}]",0,[]
23,0xa5673e8141e0543b25ba513b067b72876afc59ef,1192336721253492086784,4,"[{'id': '0x32f59ef1b0a7bab14ceddcd400282d643cfdcb9f'}, {'id': '0x95b757be60ebf777ebb5dfbffdbdac8dc14c3f85'}, {'id': '0xa5673e8141e0543b25ba513b067b72876afc59ef'}, {'id': '0xffd011cc6737e113dc8ba4b2cc294e656e9d8f00'}]",0,[]
24,0xa584f712ad5ca229f0a565d59f3eb652c3d753af,633986482483945116,4,"[{'id': '0x2c68abb049a4a5fdd703b0e71000a27a7cbf2aaa'}, {'id': '0x6d9dc875bf135f8e0e6d02c07c59d5d546f70070'}, {'id': '0x90ef65e04dfa51e14b16206d79782c978a2cc033'}, {'id': '0xa584f712ad5ca229f0a565d59f3eb652c3d753af'}]",0,[]
25,0xa5ab7ac725c53a9e998488a4819ae09633a1b199,145375215692906225664,2,"[{'id': '0xa5ab7ac725c53a9e998488a4819ae09633a1b199'}, {'id': '0xb75d4986da73a3e9433dedf5a86922ba248d3285'}]",0,[]
26,0xa5b5f3d06b2026892fd6b595e80009282ee56c2d,400000002355917373440,3,"[{'id': '0x1be18a1f9bcaee85e35ae52e69e4c5c6fa754cc3'}, {'id': '0xa5b5f3d06b2026892fd6b595e80009282ee56c2d'}, {'id': '0xbcada338d1dbac46662fc8f43b812fd852ea39df'}]",0,[]
27,0xa64af7f78de39a238ecd4fff7d6d410dbace2df0,3315231509523907107439,42,"[{'id': '0x02fbc608894ffd7cea6c58841b5b172b57f1cf1b'}, {'id': '0x05113c342567e339f4261b1be59a827efc041f85'}, {'id': '0x073cbcaad0b31c4b912be73d640a03eb39f22dc1'}, {'id': '0x093704e93982c07a04e3da62b1e226579d9e95b2'}, {'id': '0x165a1c698ba1a671476f2dcfa71e0204ab01553c'}, {'id': '0x204ef94d14c6171fa6c2824fb809ac256178af11'}, {'id': '0x22a8f70a4e3912fa4e5933469eee4424c2c24cfb'}, {'id': '0x30dc5f4b2ac6641c8ce87d7991190ab1ecb3a68d'}, {'id': '0x3347fcf3283a433443c88a46734b9989e14f1593'}, {'id': '0x3a33bd61716b1f24ba6146dafc0f7bff5d58990d'}, {'id': '0x3fbdad56368213cc1d30914dca75185f378cc966'}, {'id': '0x495f8bdacfbe7347131b7f8fd240d903daa2cc44'}, {'id': '0x6370487f886a1ec700622aca75aee23762746da8'}, {'id': '0x6ad728afecf9e08a6d383e3422f58dc72d9ec2db'}, {'id': '0x7262201a145fb5d2dc86502fb4bf32e923e8c49a'}, {'id': '0x7e085d3b3ca51b607e668828df5162f2a4de73da'}, {'id': '0x83980d8528f04e077484ee05eb27824f2e958db2'}, {'id': '0x84a1495edf1d5915da0fc7c7b770d5d591dd32c5'}, {'id': '0x84e8ae8ce1151385c0aa2733da7737e13ee1b4bd'}, {'id': '0x8b2f805ab3ed002f46906c7bf4287541a02f07cf'}, {'id': '0x99c803addbc9d81e149b4a3d4f403d789d69f6f0'}, {'id': '0x99e3090b28523307a1a0262b6cd8d55a2330e1ba'}, {'id': '0xa283ee13f863ff797972943647cccf7e33c4f84e'}, {'id': '0xa64af7f78de39a238ecd4fff7d6d410dbace2df0'}, {'id': '0xa9a44a4cb6ca30051a363f10626e9750500bf3e3'}, {'id': '0xb0a1803aa226c4bd5005e8e1ca7a7497db4549f6'}, {'id': '0xb18760f7d8fc72f40cc070595f6faab994e24991'}, {'id': '0xb3262b9c00b137a12ca62455ef181558d7f93223'}, {'id': '0xb8476e2c016011b0d978332049abc20bb963803d'}, {'id': '0xb9cbce6c9db86874abeb49df379ba6e03a269793'}, {'id': '0xbd4b5de2849ecd1a5d91733e8e010e8c0cfc90a8'}, {'id': '0xc4ed92ab80c3ada4a77649b8cc1359911875d1f8'}, {'id': '0xc5da6fa89cfbecb0310b413e05dc98ca2f875864'}, {'id': '0xcbf13096d75df63f398ec96a99e7dd906a32d4b5'}, {'id': '0xd3cb259b3f8bab6fdffbdffef4a423610e10629f'}, {'id': '0xd43e931e79fcffa25481a1a592cbe84f40f012e4'}, {'id': '0xdda01e3d70b8a09bd5fe334e3bec596c0c988ae0'}, {'id': '0xec469a531eecdbba950c831268cc5a0370645638'}, {'id': '0xeddeb70d30032f3c18e6bd13319c2363fd2b3ed6'}, {'id': '0xf0ea7663233f99d0c12370671abbb6cca980a490'}, {'id': '0xf777d47f5e11c528f9e1f201f1de16c378ee115c'}, {'id': '0xfbe43ee9e1596f74c2498accbb7971bc36c069e6'}]",0,[]
28,0xa66782fce2be7b62a4c47505a6b5944cf03891c3,1010227102788681400,2,[{'id': '0xa66782fce2be7b62a4c47505a6b5944cf03891c3'}],0,[]
