,id,delegatedVotesRaw,tokenHoldersRepresentedAmount,tokenHoldersRepresented,numberVotes,proposals
0,0x000072ba5d51098b904a927dde54c22ad480b5b5,27451274376049545085,2,[{'id': '0x000072ba5d51098b904a927dde54c22ad480b5b5'}],0,[]
1,0x01bb7054eb49f0bf4969af9d17994046336cc383,26797215669315425828,2,[{'id': '0x01bb7054eb49f0bf4969af9d17994046336cc383'}],0,[]
2,0x0c42567e180cdedd5b4c690678b6662d74193457,343292039555069598950,19,"[{'id': '0x1a2bebfb0be0171de24b18f71d9377469f3d97eb'}, {'id': '0x2a59f7d6ac28e31715a76e949a805b7c1ae3ace5'}, {'id': '0x2b9d8f558e02753ed7d4d97dedfad662c02af3cb'}, {'id': '0x338d0d09cc9477c33a87f5153aab754134181b71'}, {'id': '0x370a5275f69cb3c2e76cfe575cf7f846f906b34d'}, {'id': '0x54445019ff9650f875e5f6e1843129a3018a8cc2'}, {'id': '0x55c5d95237d4cb2950b1a8bddf5fa57908bc7bcc'}, {'id': '0x679e3791b4525899a92bf699f5a55299a61564fb'}, {'id': '0x7bece831cfba324dba85d616ef59a69e07db97c7'}, {'id': '0x8f688a91695f7d2a1e93e57cedcbf5c5202f617b'}, {'id': '0xa005f646b9dc13e1f49b5f53c1c4552fd312f4fd'}, {'id': '0xc1cb000670a71164fcc334c025781b5dfc699c34'}, {'id': '0xc560d89d663b31110e164354c6377d8845ed4db3'}, {'id': '0xd52905d916643780046f84223dddb165ce08270b'}, {'id': '0xe0e454087a148cd4d2c0a72f0c94b3b048842482'}, {'id': '0xfcb5a922877683128cc8b52cd7883cab12d21229'}, {'id': '0xfdaf56c89caf56dc65192f1a80e2166f9e5a7a43'}]",0,[]
3,0x0c4e0544f0ecfdf4387b45e44d2f45d26ae65d02,27112617362913065828,4,"[{'id': '0x3b2ae6db08362c1c52a22c6e44902bee097c4e4a'}, {'id': '0x7d0cfc0f638f7496193356c3e4f0bcf9747b5531'}, {'id': '0xc25e86d1f0e80c87f154ad899b279ffac092d910'}, {'id': '0xfa088e1f6691a4de186b6486a3266687019cf916'}]",0,[]
4,0x0e94dd9b9583f4726103b263915e12fe29d2ef81,27171629992259559161,2,[{'id': '0x0e94dd9b9583f4726103b263915e12fe29d2ef81'}],0,[]
5,0x1469038edce33e3efb5d689586f408b6512f8b26,201890565508846363850,13,"[{'id': '0x1469038edce33e3efb5d689586f408b6512f8b26'}, {'id': '0x25dd78d9b48f2c47229c560cb8003c87fe3ee3df'}, {'id': '0x2ab2ec57051edbc084f60e30aef1d5968ad45cec'}, {'id': '0x31a9d6646adee32d836e148be9d8a8b76725c5d2'}, {'id': '0x3c9e21167338f994a169e94764b7bb3b810c73e0'}, {'id': '0x3cc9aa70267a0597cac087a0d50598a12df17a6d'}, {'id': '0x44730297f29285c2bf7ef8198025f2781afba20d'}, {'id': '0x7314f48b229909b088f6c73353a5ab1dbb00385f'}, {'id': '0xc7e327e69f77d7d0b693ce18e565e2e29c409590'}, {'id': '0xd0a0ae8d4cd01f203df6cd9553e43f5c472f7223'}, {'id': '0xdfdf4e64c20f3e1a922b1500fbb017164152b0e4'}]",0,[]
6,0x17dfd18987b6b131686fea478600b75d11193335,27006235886809058794,4,[{'id': '0x17dfd18987b6b131686fea478600b75d11193335'}],0,[]
7,0x2270677d5a555432ce55558b4f910e69492b11d7,1180237224239370557,2,[{'id': '0x2270677d5a555432ce55558b4f910e69492b11d7'}],0,[]
8,0x22b60248c77fb0cdf3f442b328dd5dedf3cbc70c,46905060503785828,4,"[{'id': '0x22b60248c77fb0cdf3f442b328dd5dedf3cbc70c'}, {'id': '0x295a0bc540f3d9a9bd67a777ca9da9fb5619d3a9'}, {'id': '0x6654575ba920fe7f25ca7c3d838ff09a06db01aa'}, {'id': '0xc3bfbca84c2737ccdf40916ee4aa033cee19249e'}]",0,[]
9,0x24756c636b93f35f64f51cfae29f6cddd4d0bc17,19662364874985827,2,[{'id': '0x24756c636b93f35f64f51cfae29f6cddd4d0bc17'}],0,[]
10,0x2604c04022f7e9f9b495575fbd39bc5bca925100,26604940543255439161,2,[{'id': '0x2604c04022f7e9f9b495575fbd39bc5bca925100'}],0,[]
11,0x26c75762dfa660acebadcce7f90ef20be3224d3b,68852210920293206,2,[{'id': '0x26c75762dfa660acebadcce7f90ef20be3224d3b'}],0,[]
