,id,delegatedVotesRaw,tokenHoldersRepresentedAmount,tokenHoldersRepresented,numberVotes,proposals
0,0x107d1c9ef7a2ddb6a4aecfdcd6658355c7435a43,10001628492981176983580351,15,"[{'id': '0x1220e9da36b810aa15479b1fe1b9e50e370462f0'}, {'id': '0x12abe44ca3698a5d94d83645c8424052aec19471'}, {'id': '0x1b092004f299454eb549bee3d4801448aca66bae'}, {'id': '0x2f05954b0a41d0c2899c1bbb63615aadcb3f14b4'}, {'id': '0x37f40a3fd419af9d73c0046695acdb644ab8773a'}, {'id': '0x59a0229d44e270d9079a9643fd2ace4e08ea240c'}, {'id': '0x83d20a4b84380e62956e38452533f86d298dbc24'}, {'id': '0xb5baffb036576b46f45544174208faa5b7dc1cfb'}, {'id': '0xb91105f277a6b5046cf5faf3e8033ea31d4a0023'}, {'id': '0xd55ef4e514202fd5b8234112bbc458d12dd675da'}, {'id': '0xdc6b04b4e40fde7c0e9ee1171f913febdbb4b88b'}, {'id': '0xe6a6ee4196d361ec4f6d587c7ebe20c50667fb39'}, {'id': '0xf123f854f32fb3a03089c2a343c094b716629c59'}]",4,[]
1,0x114b8d7ab033e650003fa3fc72c5ba2d0fd18345,524000000000000000000000,2,"[{'id': '0x20280096501f76e1c97fe6301edf38c928ef64af'}, {'id': '0xd8d23c17a0c0e4d0633cd7891d6e88ac3063c328'}]",0,[]
2,0x1161f84e66fd7e810f0bd81c9d17d19007b13dc9,177265929438863593634,4,"[{'id': '0x1161f84e66fd7e810f0bd81c9d17d19007b13dc9'}, {'id': '0x331e5d9c3f48a73a46ad73c4d998c182a7f461e6'}, {'id': '0x5ca0f638674eb60b1a4f07d9abb502af8ef187fb'}, {'id': '0xae97e1f3a3ab3ce1198d94202c16292ad449ad2a'}]",0,[]
3,0x152ac2bc1821c5c9eca56d1f35d8b0d8b61187f5,1000000000000000000000000,3,"[{'id': '0x152ac2bc1821c5c9eca56d1f35d8b0d8b61187f5'}, {'id': '0x1b3c1b6bab5c57f3a3850d3fde4de06af6efa730'}, {'id': '0xd7f9f6bbc6d0ac90262d241042a4f1ed1a5f548f'}]",5,[]
4,0x16d5ea048d1b1746a2a44e99ada2a0efdc99a18f,3110102507657891362708,2,[{'id': '0x16d5ea048d1b1746a2a44e99ada2a0efdc99a18f'}],0,[]
5,0x19b570af5dddb8f0f5a15c83d07a1c5153865188,15000000000000000000,11,"[{'id': '0x19b570af5dddb8f0f5a15c83d07a1c5153865188'}, {'id': '0x40555cb54453fe31a51d9d980f802d8ece43a3e4'}, {'id': '0x4bb8905416bb3c5096052300dafac516e5bdf758'}, {'id': '0x60ab7a5534f4868027df1d06a336103f8909d45a'}, {'id': '0x6203af490feb5e5d66cf0c26bfb888e957563585'}, {'id': '0x89d3aa6304fd41bd5c3379b3d8b9f77c84bd6cf9'}, {'id': '0x922d745a071ade1f31e554d81056f111e938eb67'}, {'id': '0xc54c2ff7023b8a414b277528ee9c1c14a65baa99'}, {'id': '0xd9df03411978ac98916be074ad05dde787b69608'}, {'id': '0xde61b99bc59f1c9d3d91c4d96503b3b882335e85'}, {'id': '0xeca533c2184f11f76d4761e79fc2b465f678cdbb'}]",0,[]
6,0x1bbe64e1c584948a7e146817d8ab85c70694d66f,1000000000000000000,2,[{'id': '0x1bbe64e1c584948a7e146817d8ab85c70694d66f'}],1,[]
7,0x1f4e3a44c43df58452964cc7507ee793bf83a631,10000000000000000000,2,[{'id': '0x1f4e3a44c43df58452964cc7507ee793bf83a631'}],0,[]
8,0x1f84ca2c0a406b32e083e4e41032fd148364df48,2167553275600106895432359,2,[{'id': '0x1f84ca2c0a406b32e083e4e41032fd148364df48'}],1,[]
9,0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64,709200771044352442345,2,[{'id': '0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64'}],0,[]
10,0x3490590e79b84553495b2f3f04a9c1ee7ee60e90,420690000000000000000000,3,"[{'id': '0x19f99f2b085adf38ea5c4d9c7df6f582629bf9d9'}, {'id': '0x5051c0dfc005c947736a362e890346c9980ab7d1'}, {'id': '0xf0b285aa01c7606842bd3e3e50fe9e2ab1ef4cfc'}]",7,[]
11,0x431ad3cf940cf01a690148af725c70bc28c5d633,39595458337895956844982,3,[{'id': '0x431ad3cf940cf01a690148af725c70bc28c5d633'}],2,[]
12,0x4636650a4be0f6bfa226c31b537349e9d43df6c0,21009160462951543999811,8,"[{'id': '0x30fe0d8d2d81ea568ff60b6e28ab74eb7e548cb0'}, {'id': '0x459e43485750a64e694a41db89f49a10b3b4225e'}, {'id': '0x4636650a4be0f6bfa226c31b537349e9d43df6c0'}, {'id': '0x5157f7e2b349383802ef1244aeffb1c3e693e4da'}, {'id': '0x5f3cb9dc91394d5a9441cf6c753589ff753cbbf7'}, {'id': '0x8c242d39b4fbd89d371b4e25c96774ae1fbed4f0'}, {'id': '0x99c84a29040146f13a0f061d7a98c3122da3e29e'}, {'id': '0xf4275a9964a438e0b435579c1a48151e2b10b0d1'}]",0,[]
13,0x47c125dee6898b6cb2379bcbafc823ff3f614770,1000000000000000000000000,3,"[{'id': '0x3d698e1d6578ef7a86802d0766e12b69f817ad9e'}, {'id': '0x713b00522698d7f2d3bc25cd5d0c21fa66dce001'}, {'id': '0x747b2c6b14d81e6429d806fa830444ef26578f53'}]",3,[]
14,0x47f7ea0dd4418aa1cec00786f5c47623ac37ba42,737037234017279351345665,3,[{'id': '0x47f7ea0dd4418aa1cec00786f5c47623ac37ba42'}],2,[]
15,0x486c33760ad3f6d9cf4a63493773e2b69635d602,10001188262364746290019029,9,"[{'id': '0x1e8ee48d0621289297693fc98914da2efdce1477'}, {'id': '0x32791bbc7ddc9d0e6bd914f3b7f73747132a3a5b'}, {'id': '0x4900ab2593bc24148aad07f965741a26df0b4b13'}, {'id': '0x4f6b7cb9b37f7b6deeb8135125acbf67d3f9fdc9'}, {'id': '0x523423b4613bd0801d45e1f229093415e59c48b1'}, {'id': '0x5a3c1249d03488f53bbc30b5a833a390372095ae'}, {'id': '0x63749fd1b46422b7e6420caf7f85e8663810e27f'}, {'id': '0x6cf1e4dfa2eb98bd7496ed241891850e4231c96f'}, {'id': '0x7421c1ed16b400e4868ce696452c3c985f8cd04d'}]",0,[]
