,id,delegatedVotesRaw,tokenHoldersRepresentedAmount,tokenHoldersRepresented,numberVotes,proposals
0,0x1829d5f3f543058e962f6ed07414f223357da063,10251374999999999999999,2,[{'id': '0x1829d5f3f543058e962f6ed07414f223357da063'}],2,[]
1,0x20798fd64a342d1ee640348e42c14181fdc842d8,197550077212997929155235,2,"[{'id': '0x20798fd64a342d1ee640348e42c14181fdc842d8'}, {'id': '0xb4192ab96664248c260f9b7e3ef5d55b55b55384'}]",0,[]
2,0x23a5efe19aa966388e132077d733672cf5798c03,17410754230360993667821312,4,"[{'id': '0x10b549dfea119302a96f23d7e53f49a059b50037'}, {'id': '0x153509e78fd04144d482e27716ae14c52d7932b0'}, {'id': '0x1e5ce6f088fd0adb4fcff31cfb02a61503311be9'}, {'id': '0x23a5efe19aa966388e132077d733672cf5798c03'}]",2,[]
3,0x2c32b5c04dc6937bdd18907d8a4e93a6e0a6173b,6301841208,2,[{'id': '0x2c32b5c04dc6937bdd18907d8a4e93a6e0a6173b'}],1,[]
4,0x3304d37f3fe450c4326f2f9e50498fbfb0431b29,462652888922516960377349,9,"[{'id': '0x07ffa1637542b329ba47074c18b8a2289a4703f6'}, {'id': '0x40f8014da22296305ca1732161271e9f3a01e200'}, {'id': '0x46a8536703975fa7729616cf0f901e49c930c23b'}, {'id': '0x89ad2a1f98266c760f585c56a661e7334f8f1d91'}, {'id': '0x8dc4310f20d59ba458b76a62141697717f93fa41'}, {'id': '0xe153437bc974cfe3e06c21c08aebbf30abaefa2e'}, {'id': '0xe81fc42336c9314a9be1edb3f50ea9e275c93df3'}, {'id': '0xf1ca4bf4c325c3078ec25299601a519ebc6bea6d'}]",2,[]
5,0x388de563fe806a6565291c6ec52dff0cfa76a0e6,40000000545614412520266,5,"[{'id': '0x2822dd75e4b7f6d7bcff1d63ce05fe2118dd92cf'}, {'id': '0x388de563fe806a6565291c6ec52dff0cfa76a0e6'}, {'id': '0x4e2572d9161fc58743a4622046ca30a1fb538670'}, {'id': '0xa817fdf9b769d2e74d12e8e28294efa2c331b799'}, {'id': '0xad431753b5223bb7b7b3690561ec68b205dc7acb'}]",1,[]
6,0x4ccf69d27bbbd019be14ac9616a8d0971ddd38fc,12182981084075210500037941,2,"[{'id': '0x3dd81863779991d88d7f186d41b8bea1a569553d'}, {'id': '0x4ccf69d27bbbd019be14ac9616a8d0971ddd38fc'}]",0,[]
7,0x59b9fac77b64dcc0006207a2a41d90d96b3bc301,239486303427002719921429,5,"[{'id': '0x0077d0d00c8c040540a50770dd00c9020400000d'}, {'id': '0x59b9fac77b64dcc0006207a2a41d90d96b3bc301'}, {'id': '0x5e66141178a752a67806aee2989acb3d36be2c55'}, {'id': '0x879179945fe9bf20ac6b95d7183def368fcdaba3'}, {'id': '0x9224bbb4e0fbe2f2f8fab55debc41eb21fdfb804'}]",0,[]
8,0x66b416a3114a737f0353dc74d1e12a7e23f686f9,513871558754778054214641,3,"[{'id': '0x5429443e32595fdcdb0944b55d839548567182f8'}, {'id': '0x7776421dd146dfd6ea947cbf29b69c519807d259'}, {'id': '0xf924efc8830bfa1029fa0cd7a51901a5ec03de3d'}]",3,"[{'id': '44722487922037589438348533008872436501968523663344516591705387280334508178653'}, {'id': '75567149727627814994865768714717729509817943399107767237670328984404135937319'}, {'id': '93859031825489482883890669299732139987766417660232664776901835280785109810845'}]"
9,0x68422911ea1eee76d43dd6e63324346a42c90de6,8846097177151970396348,2,[{'id': '0x68422911ea1eee76d43dd6e63324346a42c90de6'}],1,[]
10,0x6ab791754298d6d6d7c182dc1572126b4ed24897,8600000000000000000000,2,[{'id': '0x6ab791754298d6d6d7c182dc1572126b4ed24897'}],1,[]
11,0x70ad15b9f721fe9a0d6166f643eae1c03868ad4c,13333333333333333333333311,3,"[{'id': '0x70ad15b9f721fe9a0d6166f643eae1c03868ad4c'}, {'id': '0x99825aaf24dd5eb4a28db9b53b05b66bd80e9440'}]",2,[]
12,0x8149dc18d39fdba137e43c871e7801e7cf566d41,251375000000000000000,2,[{'id': '0x8149dc18d39fdba137e43c871e7801e7cf566d41'}],1,[]
13,0x9b8b04b6f82cd5e1dae58ca3614d445f93defc5c,12100377131419864614537271,4,"[{'id': '0x3304d37f3fe450c4326f2f9e50498fbfb0431b29'}, {'id': '0x9b8b04b6f82cd5e1dae58ca3614d445f93defc5c'}]",0,[]
14,0xa521e425f37acc731651565b41ce3e5022274f4f,35805157988852173601654,2,[{'id': '0xa521e425f37acc731651565b41ce3e5022274f4f'}],0,[]
15,0xaca61a94bc488cd4fb94b19b4d3a68adc2aa9fac,16240937924671124794006,2,[{'id': '0xaca61a94bc488cd4fb94b19b4d3a68adc2aa9fac'}],1,[]
16,0xb0c4cc1aa998df91d2c27ce06641261707a8c9c3,30000767177146567211253,2,[{'id': '0xb0c4cc1aa998df91d2c27ce06641261707a8c9c3'}],0,[]
17,0xe00954673ea4d16dcfb58b965b76023e338fe652,6899677113,2,[{'id': '0xe00954673ea4d16dcfb58b965b76023e338fe652'}],3,[]
18,0xf4880975728ee25a96c701c225c9ef58eebe5a5b,650033000000000000000000,4,"[{'id': '0x053c685fb78581eb36f05a70219ccc414b8899cd'}, {'id': '0x111ad4c50f52eb1097f3153ad2823bd326b0a80b'}, {'id': '0xa8bf0cd4d76d92cb345e81999029f3174a219305'}, {'id': '0xc0b374f27abccd5f34e30ba437adf10f084a66c4'}]",3,[]
