,id,delegatedVotesRaw,tokenHoldersRepresentedAmount,tokenHoldersRepresented,numberVotes,proposals
0,0x037f4015c1e6c5a74ecc2f83510e44d1f9bfb589,31000000000000000055,2,"[{'id': '0x037f4015c1e6c5a74ecc2f83510e44d1f9bfb589'}, {'id': '0x1eee5315dc30a32c25082927b917af906f80a300'}]",0,[]
1,0x0ec462f19a065fd401b115e922556de45cad9657,377675654785065661105,7,"[{'id': '0x0ec462f19a065fd401b115e922556de45cad9657'}, {'id': '0x62849f5297de1c7200f0c3f181eb16981f3b5609'}, {'id': '0x905040585a59c5b0e83be2b247fc15a81ff4e533'}, {'id': '0x9651d6c4efb2f78fdabd75537596df7f6d0d9c5f'}, {'id': '0xd5b2349534e5e2d05fecb9ec3eea9e11e5df1e19'}, {'id': '0xe9ce8c66df3d700815e251137201a6ea0a03ee61'}, {'id': '0xf9107317b0ff77ed5b7adea15e50514a3564002b'}]",2,[]
2,0x172059839d80773ec8617c4cb33835175d364cee,1000000000000000000000,2,"[{'id': '0x405940d8cfa534c2b82248ac52efc72f2c641529'}, {'id': '0x9bf6e5d5232fd8cb1866d6f45184e96b9708bbd5'}]",1,[]
3,0x1b3361ea235bbd768cf70cfb194d0fee17d0dd4d,15783829608633417903,2,"[{'id': '0x1b3361ea235bbd768cf70cfb194d0fee17d0dd4d'}, {'id': '0x614b104c259067b740bf6b22c5ece1c0f85d0c40'}]",0,[]
4,0x1b3ba00fb6f780143832c62966a6c4d7366b6eaa,3000000000000000000,3,[{'id': '0x0773cbc2c55cd6354a61b7bcbca52d9dccd56534'}],0,[]
5,0x2cb05bb997ab837009267a4229042c2fc170f937,707000000000000000,2,[{'id': '0x2cb05bb997ab837009267a4229042c2fc170f937'}],0,[]
6,0x2e5300eabf71950b00ddd6a59690cfd8852ad3b9,2660000000000000096,22,"[{'id': '0x18a158612eeeb09b220633ab17573ff9a66fbbef'}, {'id': '0x2cb69ff680fb12af75419ec79922e73e1e7b61ca'}, {'id': '0x2e5300eabf71950b00ddd6a59690cfd8852ad3b9'}, {'id': '0x2f6fc8cd7002ccb143b600cef3e888602fc62003'}, {'id': '0x3a2cc444a0ea0e3e942c23042c196cc5d1f796a0'}, {'id': '0x456a49207cee4ebe7e66a00d6440ab934ec62289'}, {'id': '0x46a9c654e1509f2957830c04353724c8e15b8fe6'}, {'id': '0x5de08e26b07268a734046d3d6c562174962e8657'}, {'id': '0x61e155fac2bb8e58fa8c5c01a21e0513cfe52fc4'}, {'id': '0x62d78b9cccb6f9ac3f788be7d430c824cf8db011'}, {'id': '0x6d91eaa1d664bd07db76d135e75dfa474de3d2c1'}, {'id': '0x6dff61d277fe8399367f2a03c7fbc423a6bb4550'}, {'id': '0x7aba0ca78a630733ce26369fa0d2ba0599ecb961'}, {'id': '0x7dd773db670a23eb790ba44974845e7642288e08'}, {'id': '0x7ebf6c693dd590d5b17b6f1b532592173bba36c4'}, {'id': '0xb35a96f3ab5684c2e0d7d62329b2bcee2f8e172b'}, {'id': '0xc0a57f1f4c9998a67c8f387cc181b099e7cd986a'}, {'id': '0xc466c550c1d1e0345454507174ca75b94b50cc0f'}, {'id': '0xd1cc667502940577f1dc4b82cd8ffb866489b736'}, {'id': '0xe39af81271b7fe7be5b9f2ffbc1f2d24d45ac0f3'}, {'id': '0xf83512bf52a12950bec2573576684957d4eb8611'}]",0,[]
7,0x366e58737164430af4aed2856840be9bb148bdc7,1536223155053492904,12,"[{'id': '0x042f710deea2c99811abc1d8b90bbca2511bda74'}, {'id': '0x2b1bbc539df1004dedb1ef9151d0375375809cdf'}, {'id': '0x32d02c50453023126d3ffea33d81593e501122f9'}, {'id': '0x330001206f52ac9d88bfeca5d41f929b9fc650c3'}, {'id': '0x366e58737164430af4aed2856840be9bb148bdc7'}, {'id': '0x40f2beb76805afa9f3f0c17013ba937002c54d35'}, {'id': '0x4be14bcacc16b701f17ebfe7bd3eb97219e0c57d'}, {'id': '0x575424a814e9ce5c42ebfbe1c13f512ae3b6fd93'}, {'id': '0x7049420f2264bd7ae5b1b74ae78e3d6627bfa5c9'}, {'id': '0x719eeb3c6e4903fbf30386ff946f8d74a30b1d21'}, {'id': '0x75f9483871497d9089f2a7fbb684b278cdbd4b0d'}, {'id': '0x82ef715f8dcd4f175b7b6eda59eef156fffc39e7'}]",0,[]
8,0x4011d09a86d0aca8377a4a8bad691f1aceecd672,55891179845249553900,3,"[{'id': '0x095398167449e9641dca8fad692ab6874dca162d'}, {'id': '0x4011d09a86d0aca8377a4a8bad691f1aceecd672'}]",0,[]
9,0x4bd047ca72fa05f0b89ad08fe5ba5ccdc07dffbf,752608514145080796479,136,"[{'id': '0x021d0fc78186f147b7f9736a7ec038a6c6dca5ea'}, {'id': '0x023ae80005609524087dbdafdfc85b2fccdbb508'}, {'id': '0x04ac4dabfd4271202f30d29b8810e42ae187ffbd'}, {'id': '0x04b7c9315c023301f40a441365ccc8f1223a9fd0'}, {'id': '0x07d095ff9fcf13e086ab6d44309733e95daa28c3'}, {'id': '0x0871e6872f0cdeb32eb013648a76575b4d2dba80'}, {'id': '0x0a14f69e6502463a3b827157fb1fc22576b323a1'}, {'id': '0x0cd49667b2e1ddec2ae82e48d1ecee4dd36d8891'}, {'id': '0x0d3174afb1d237f3964db6298cafb2966c1d39e3'}, {'id': '0x0d48c079e22d121c60338d4f983f51168f89418c'}, {'id': '0x1169ff4422d7ca99794593df9eeb706b2b050b14'}, {'id': '0x11bf738d728c4b41c8053a27ef0af112d2981462'}, {'id': '0x14d3b811acac2ffa0b66f0a89ba12d18d8040155'}, {'id': '0x152782c1adecb9644da7d549eed42bb7a0178eda'}, {'id': '0x163a5ac00f8891b3af965c6dcf0966df0f6f6729'}, {'id': '0x16458f848808081a8382c31e72089cff3419d24e'}, {'id': '0x19bc334ab56c18128c188a6543acb49c84b43c2e'}, {'id': '0x1aaa8d951c6c74f6548bd4e89a1c54fb5fcd0ac2'}, {'id': '0x1ba3ef24bc64b22a80422678d4b6ea85f0f92bde'}, {'id': '0x1ccb144b700ec726d37db38c617e154de6d9c0d0'}, {'id': '0x1de25c2ac08a9987ca797cbc9e832f33a76d8fc6'}, {'id': '0x1e513b5e9ed636de1b64e6ba0f4a238d16f306fe'}, {'id': '0x2006951100b22112308ab2b78cd0b0875db7a4af'}, {'id': '0x2039e1ca68ec50b057ed8e32efd527ba148227d1'}, {'id': '0x2343c228d0d4974e0827db3ab07572979f26c09e'}, {'id': '0x25097a902ffd14c0bc8389e13ddaab43fba1dae4'}, {'id': '0x25611a86c362ebf921486d3b00fbd4f8a79f9040'}, {'id': '0x260c69de136a61ac5937906fbbabe41c308703b6'}, {'id': '0x27912af486ba45cef1218e2e71985ef7981dba44'}, {'id': '0x28007278d9b6a6fe80dec0e14bc77380b749a22b'}, {'id': '0x28909ea5e491c0db2812c02b2b801b50f0892be8'}, {'id': '0x2c1e1ef166007913b260877998f8301bb7cce792'}, {'id': '0x2fe59a3d4379a127adb934bcb9fcccf2c770eb97'}, {'id': '0x37628267d0bfba2868ef018d4ce8f30fd7bc8c19'}, {'id': '0x3bfc06a9067a36f7bf591089393b18d9871b5a67'}, {'id': '0x3d734cde969aceaf90fb8c62b4ca11425ad82b6f'}, {'id': '0x4004afc68dd8b5483bbab82c84b81181fcb545b1'}, {'id': '0x400fc9c7f01df3aa919659de434e0c584e68cb29'}, {'id': '0x40ab08eb04a6be426957cd3012923d5d04363479'}, {'id': '0x4402ba3bdeb4e56ef0b2ed5dc004040c5e26f50d'}, {'id': '0x453e8f303908612929ae4cec4147be855ff89154'}, {'id': '0x4558e88c5a972244c995ae4dd95a84fc790355f9'}, {'id': '0x482c7f6217292d40452b68897c8265d49f20a511'}, {'id': '0x4e76b58667b9b0f63bc064c3c7a955d37cd00254'}, {'id': '0x4efd46c14eab0318932568ae9e16b4a6ab797d6a'}, {'id': '0x4faa323f7f0636335b3e4049abb22ffc00c693df'}, {'id': '0x505e20c0fb8252ca7ac21d54d5432eccd4f2d076'}, {'id': '0x51736587b9febb2ba5972ae59997fc47184e6917'}, {'id': '0x5467b8047ad63346d8ebfeb55dd01604dee34653'}, {'id': '0x5598400a539d19cb6fac54f18e3f181e26a280b0'}, {'id': '0x5717e6588d61c0e9807c3cafecf93f335feffa91'}, {'id': '0x5bd4a3ac2b10d78cd77fbc3674f9766a5356e81c'}, {'id': '0x5ee98e3adf2cf5e8baa9728680cfa9e04c74f3ec'}, {'id': '0x6036ec5bed4439c9a4b8b840c7bd4a56d1fe3104'}, {'id': '0x60489eea7de02dde525777d6e4646fa8c44f7c5a'}, {'id': '0x61932648303180bcc417cff9c36b36c9a19815a7'}, {'id': '0x639a28afe75cbdf6b1309c4b049f5e585f387be3'}, {'id': '0x65c175b40fdb38329b3299c00f396422669c0d17'}, {'id': '0x6858a4d8d7d0297c138b403b6a34cb3b424b7f4a'}, {'id': '0x69278dcb4126e80e39ccc80994fd7536c6a91c04'}, {'id': '0x6a8076e1b8fc43d5e07d03ba090d7a19e1cdafd1'}, {'id': '0x6b77081cfe3684ca438a2b0befb14dc89400e014'}, {'id': '0x6ba604963046512cc0143693e9a52faa2eb41ec2'}, {'id': '0x6cb0336cf9782d7e50db8679870f6cb007bd9c45'}, {'id': '0x6e9a88971e957abb41bae4e2677cae258f0c1e76'}, {'id': '0x74aa01d162e6dc6a657cac857418c403d48e2d77'}, {'id': '0x7536def9c0e336a8fb72dae198a086907a0435ba'}, {'id': '0x78366a722edd130ca1b05b269bf3c0e50239c9a1'}, {'id': '0x787a0f3d1becd07d4f1679da4296a2ef889a43ee'}, {'id': '0x7bc04c903aaf242e09a09db7b76f7003f0f03883'}, {'id': '0x7c1a397fb38c509c344df66ba2d018e3fd4ab8a5'}, {'id': '0x7efa74f97217f516e572ecd5ca5ae64dd727615a'}, {'id': '0x85c0c09570c955f6e07522e9ad6041716cbbb7fe'}, {'id': '0x8622036857fc201a6419c3562adc9bc4152f5f99'}, {'id': '0x8764460736ec76fd4c625ca52dca33a38b0738aa'}, {'id': '0x87b35074cad490c3775413322c581ed2ba34f91c'}, {'id': '0x8eb0f8aa796c429554a30122f5f8a1d710540c1e'}, {'id': '0x90b927b8ce04b3ba2dbeaf9968b24783e9b0b1ae'}, {'id': '0x95c4344efbca56e6215cda8d804a2054439ed270'}, {'id': '0x98138788220cd08e17e364685d8af4edcea6ac0f'}, {'id': '0x9829aa089730406010353860a4d42c2c65c59c6f'}, {'id': '0x9885a84930e3c8c865a1d3debdc204f990bab7c3'}, {'id': '0x996d3ce4e9a0a9b371ca793e310be14cd64939cd'}, {'id': '0xa05f2f8c1cd995f92f75abc1411002bfc9234e18'}, {'id': '0xa153c684f2e655b3e9b2dc19d0e5b3774e13bf7f'}, {'id': '0xa1c78ed146a8693a8cf3d29385bc54cd3f145b4a'}, {'id': '0xa25243821277b10dff17a3276a51a772fd68c9de'}, {'id': '0xa399725374aba0fb93668764bc14dd17885f5314'}, {'id': '0xa59a2033a9ef548d25f1cd080ff98798b376c399'}, {'id': '0xa6a269ec17453ccfa34e55341de8d91a01b1eab5'}, {'id': '0xa7a6e63e312d5e187213e2074433c35741f521d9'}, {'id': '0xa8541e4b65bae5a703c333970be1bb85f2658591'}, {'id': '0xaadb9ed84fe0812b87ca98341aef5599b47ea60f'}, {'id': '0xb341cebefb7b75277018bd88ab2cd28d9c0b407f'}, {'id': '0xb4599439114a6a814218254008ed5c60d0d8049d'}, {'id': '0xb48655bdbf7cefd18a3b2af79658e89aa250df9e'}, {'id': '0xb5e5bc87532ef761e511dd0424070545374dd6a4'}, {'id': '0xb9b8ef61b7851276b0239757a039d54a23804cbb'}, {'id': '0xbe4aa0296b2b217d03ddfff792675cfca96a95b4'}, {'id': '0xbe5697e8a2f06c744a43596698efcc534c5c8730'}]",4,[]
