id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xcde48e-0xe02f8e39b8cfa7d3b62307e46077669010883459,0,420000000,13493390,1635256525,0x236b93de01dc942bb4e42e2f43b572da770e702726434ec3eac162cd4f1c2b64,0xe02f8e39b8cfa7d3b62307e46077669010883459,0xe02f8e39b8cfa7d3b62307e46077669010883459
0xcec268-0xe02f8e39b8cfa7d3b62307e46077669010883459,357150000,0,13550184,1636028734,0x0eef3da3d6eaffac4716f6b591a667bb451e923ee97567e6eb96091000a30e6d,0xe02f8e39b8cfa7d3b62307e46077669010883459,0x5edf60c9dc63efa6b9cd41d0aed34ea1c7e7f603
0xcede77-0x9843c8a8263308a309bfc3c2d1c308126d8e754d,0,1234702.667850498900727211,13557367,1636125956,0xde754769077424135225700cccd5c47744b7f03edf516fedf9fb8f1bb04ab78c,0x9843c8a8263308a309bfc3c2d1c308126d8e754d,0x9843c8a8263308a309bfc3c2d1c308126d8e754d
0xcef2db-0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c,0,8000,13562587,1636196475,0x5828782f91bca9f4e1905b10b26a7af398b30f2684d55e9d878d1e42b3d3c2f5,0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c,0xdd2aa2dd3b524ab337f8467bd630a2b0eb9fe70c
0xcef326-0xcf263cee139763114faafc5f52865135412f50ec,0,1438924.82665313715542026,13562662,1636197538,0x356a68aceb0cd0e3af559af75f775a04bb98edba7bc575766020f4ffa233fb37,0xcf263cee139763114faafc5f52865135412f50ec,0xcf263cee139763114faafc5f52865135412f50ec
0xcef7bb-0xcf263cee139763114faafc5f52865135412f50ec,1438924.82665313715542026,1560485.899712497886013867,13563835,1636213586,0x4d94db4e9c7c0974ed4560ce09c6978f20843df20a0565ef88299cc4f1064f39,0xcf263cee139763114faafc5f52865135412f50ec,0x617c34a9b6f080a0f25988db6c903a8348d41081
0xcf0dfa-0x425712a974d4f2802309e0e68d001756363c1c55,0,1100000,13569530,1636290549,0x12e1a9deba2ca6681cd098948da15064d579edced763ae977409fcb8487621ea,0x425712a974d4f2802309e0e68d001756363c1c55,0x425712a974d4f2802309e0e68d001756363c1c55
0xcf3a1e-0xe02f8e39b8cfa7d3b62307e46077669010883459,357150000,0,13580830,1636442684,0x3c9f790d5c647f48fb6d9b8bed6b8766b28d0bca17ada8c5d057bbb59ca1d2ed,0xe02f8e39b8cfa7d3b62307e46077669010883459,0x6c04ed3b8258536baee06697a40ea92a578211d4
0xcf3a24-0xe02f8e39b8cfa7d3b62307e46077669010883459,357150000,0,13580836,1636442728,0x55987928351fd74f83909ef9aa5f235d55e1e5f4526062b67710efd9798dcede,0xe02f8e39b8cfa7d3b62307e46077669010883459,0xc168faae5397247d32b2ddd7accdc7b314d40d79
0xcf51fa-0x425712a974d4f2802309e0e68d001756363c1c55,1100000,4000,13586938,1636526411,0x23fbd49ad73d00540f6c77740bb0b6b2983e97c4578d97ff0b5c5e329a039b99,0x425712a974d4f2802309e0e68d001756363c1c55,0x93617280d57564241b4ad4f4e09e02968f3f2d76
