id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0x0000000000000000000000000000000000000000,0,0,-10082,"[{'id': '0x03d70891b8994feb6cca7022b25c32be92ee3725'}, {'id': '0x30be0f631eaa85f3c31897c75b6b5ff31df5c5b6'}, {'id': '0x30c9223d9e3d23e0af1073a38e0834b055bf68ed'}, {'id': '0x92e3f4891b37d1faae471091599721115893ed24'}, {'id': '0xbacd4bbb607f8c35f99637d97e7ad6570f566404'}, {'id': '0xe866ece4bbd0ac75577225ee2c464ef16dc8b1f3'}]",[],0,[]
0x0000000000000000000000000000000000c66bf0,0,0,0,[],[],0,[]
0x0000000000000000000000000000000005f5e100,0,0,1,[{'id': '0xfb8caa905a2e87ef0790df090d90765f83eafd5a'}],[],0,[]
0x00000000000000000000000000000000ac9650d8,0,0,0,[],[],0,[]
0x0000000c50489ced5f512c74fb11ba9af3a03e13,0,0,1,[{'id': '0x0000000c50489ced5f512c74fb11ba9af3a03e13'}],"[{'id': '0x0000000c50489ced5f512c74fb11ba9af3a03e13-87', 'choice': 'FOR', 'weight': '9804783437880000000000', 'proposal': {'id': '87'}}, {'id': '0x0000000c50489ced5f512c74fb11ba9af3a03e13-89', 'choice': 'FOR', 'weight': '9804783437880000000000', 'proposal': {'id': '89'}}, {'id': '0x0000000c50489ced5f512c74fb11ba9af3a03e13-90', 'choice': 'FOR', 'weight': '9804783437880000000000', 'proposal': {'id': '90'}}, {'id': '0x0000000c50489ced5f512c74fb11ba9af3a03e13-92', 'choice': 'FOR', 'weight': '9804783437880000000000', 'proposal': {'id': '92'}}, {'id': '0x0000000c50489ced5f512c74fb11ba9af3a03e13-93', 'choice': 'AGAINST', 'weight': '9804783437880000000000', 'proposal': {'id': '93'}}]",5,[]
0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130,4000000000000000,0.004,1,[{'id': '0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130'}],"[{'id': '0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130-111', 'choice': 'FOR', 'weight': '4000000000000000', 'proposal': {'id': '111'}}, {'id': '0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130-115', 'choice': 'FOR', 'weight': '4000000000000000', 'proposal': {'id': '115'}}, {'id': '0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130-122', 'choice': 'FOR', 'weight': '4000000000000000', 'proposal': {'id': '122'}}, {'id': '0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130-123', 'choice': 'FOR', 'weight': '4000000000000000', 'proposal': {'id': '123'}}, {'id': '0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130-124', 'choice': 'FOR', 'weight': '4000000000000000', 'proposal': {'id': '124'}}]",5,[]
0x000631989ad80246d4e847a9687b4a2bf7d4ec4c,5000000000000000,0.005,1,[{'id': '0x000631989ad80246d4e847a9687b4a2bf7d4ec4c'}],[],0,[]
0x0006e4548aed4502ec8c844567840ce6ef1013f5,0,0,1,[{'id': '0x0006e4548aed4502ec8c844567840ce6ef1013f5'}],"[{'id': '0x0006e4548aed4502ec8c844567840ce6ef1013f5-43', 'choice': 'FOR', 'weight': '38110144938082669', 'proposal': {'id': '43'}}]",1,[]
0x0011f0d36b1368218a5889e80b2834b6314ee5fa,0,0,1,[{'id': '0x0011f0d36b1368218a5889e80b2834b6314ee5fa'}],[],0,[]
0x0016945eb052b5d4ff3339e34c93580c151beafc,0,0,1,[{'id': '0x0016945eb052b5d4ff3339e34c93580c151beafc'}],[],0,[]
0x0019f24785ab9be15fd94425557b06bfbe87f605,24264068984472444,0.024264068984472444,1,[{'id': '0x0019f24785ab9be15fd94425557b06bfbe87f605'}],[],0,[]
0x001b62ccf15fd19ff5b11eb33c7d0a282ea2c086,0,0,1,[{'id': '0x001b62ccf15fd19ff5b11eb33c7d0a282ea2c086'}],[],0,[]
0x0020267463644a4274e557c84548e0c7b9fc5335,19000000000000000,0.019,1,[{'id': '0x0020267463644a4274e557c84548e0c7b9fc5335'}],[],0,[]
0x0023d9ffe7d793895c5da5833d56c737832ead2b,0,0,1,[{'id': '0x0023d9ffe7d793895c5da5833d56c737832ead2b'}],[],0,[]
0x002479a9350070cd97261bccf03156a21f0c471f,25000000000000000,0.025,1,[{'id': '0x002479a9350070cd97261bccf03156a21f0c471f'}],"[{'id': '0x002479a9350070cd97261bccf03156a21f0c471f-43', 'choice': 'FOR', 'weight': '25000000000000000', 'proposal': {'id': '43'}}]",1,[]
0x002d030a4e34ad7727fa366b65f892f913729c62,0,0,0,[],"[{'id': '0x002d030a4e34ad7727fa366b65f892f913729c62-115', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '115'}}]",1,[]
0x003b489fe691d1100dfaf4ca57bfa0f552f66911,5298234651050895,0.005298234651050895,1,[{'id': '0x003b489fe691d1100dfaf4ca57bfa0f552f66911'}],[],0,[]
