id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
100-19100,12138051243881103452,0,12138051243881103452,1650306929,14610810,100
100-19101,125012138051243881103452,101005581829717209530212,226017719880961090633664,1650392986,14617202,100
100-19102,492678217639550367498927,499849945888368959969022,992528163527919327467949,1650495761,14624822,100
101-19100,45897360000000000,0,45897360000000000,1650324553,14612090,101
101-19101,11546368804371433923,0,11546368804371433923,1650326720,14612263,101
101-19102,223339980735606968839874,0,223339980735606968839874,1650493974,14624685,101
101-19103,649500322205460807093133,0,649500322205460807093133,1650580368,14630958,101
102-19107,323405629589347088203363,0,323405629589347088203363,1650924668,14656362,102
102-19108,371107718042807946710138,0,371107718042807946710138,1651015835,14663060,102
102-19109,558761674931243270752699,0,558761674931243270752699,1651091399,14668654,102
103-19109,275062858235170749206434,0,275062858235170749206434,1651092234,14668713,103
103-19110,275074358706615120640357,0,275074358706615120640357,1651138467,14672114,103
103-19111,522804758125460216587004,0,522804758125460216587004,1651272233,14681943,103
104-19115,155056559752720218056029,0,155056559752720218056029,1651596437,14705791,104
104-19116,205056559752720218056029,0,205056559752720218056029,1651703670,14713596,104
104-19117,581182773077835501107884,0,581182773077835501107884,1651739682,14716223,104
105-19123,406054644137165150603268,0,406054644137165150603268,1652309402,14757600,105
105-19124,406060023378878672610449,0,406060023378878672610449,1652398744,14764008,105
105-19125,570868199678916189070770,624781500000000000,570891950460416189070770,1652485512,14770389,105
105-19126,570883663004284924228043,624781500000000000,570907413785784924228043,1652503075,14771603,105
106-19123,356054469597254424545080,0,356054469597254424545080,1652309386,14757598,106
106-19124,406055619597254424545080,0,406055619597254424545080,1652382571,14762814,106
106-19125,550207740313966607476174,0,550207740313966607476174,1652485371,14770382,106
106-19126,550223312273367854993630,0,550223312273367854993630,1652512113,14772235,106
107-19137,411129844976966772231124,0,411129844976966772231124,1653518061,14844463,107
107-19138,631146196301664747170185,0,631146196301664747170185,1653586124,14849278,107
107-19139,731151165402065724288979,0,731151165402065724288979,1653667534,14855049,107
108-19151,20186919954465954038,760000000000000000,20946919954465954038,1654720994,14928743,108
108-19152,406082497446528891531144,760000000000000000,406083257446528891531144,1654805600,14934475,108
108-19153,526112393333746817817383,760000000000000000,526113153333746817817383,1654894659,14940497,108
108-19154,613752098162720155334697,760000000000000000,613752858162720155334697,1654947858,14944077,108
109-19158,112159792086921856611740,192665308201446033100198,304825100288367889711938,1655336740,14970248,109
109-19159,112167179964773709124971,312698188394773573260356,424865368359547282385327,1655394058,14974114,109
109-19160,112178891397487277836583,412708268280604607004749,524887159678091884841332,1655502454,14981459,109
109-19161,112179126397487277836583,412712515196605130244350,524891641594092408080933,1655556227,14985021,109
110-19170,248883700219427526952016,0,248883700219427526952016,1656373308,15036894,110
110-19171,646267191827067870560749,0,646267191827067870560749,1656458834,15042150,110
110-19172,646290512066946843390854,6563590000000000000000,652854102066946843390854,1656512211,15045395,110
110-19173,696327547346745564588497,6563590000000000000000,702891137346745564588497,1656557002,15048202,110
111-19172,155072984612963575332512,0,155072984612963575332512,1656519826,15045855,111
111-19173,325098035403637307702766,0,325098035403637307702766,1656632026,15053120,111
111-19174,631184747249970323228060,0,631184747249970323228060,1656719524,15059638,111
111-19175,686289042263234680383283,0,686289042263234680383283,1656777081,15064017,111
112-19179,32850405684780894425,2903828440000000000,35754234124780894425,1657149486,15091901,112
112-19180,411595485932041499289955,2903828440000000000,411598389760481499289955,1657226934,15097653,112
112-19181,675679916102770187161925,7148473496554407212,675687110520356741569137,1657322660,15104928,112
112-19182,675681128763292740136546,7148473496554407212,675688323180879294543758,1657329984,15105470,112
113-19186,105070583343857183165356,0,105070583343857183165356,1657754780,15137221,113
113-19187,155083827930310413528096,100000000000000000,155083927930310413528096,1657842322,15143874,113
113-19188,516220967448336078643790,100000000000000000,516221067448336078643790,1657929129,15150326,113
113-19189,541330214283627101439934,100000000000000000,541330314283627101439934,1658012795,15156584,113
115-19205,105088604013454930747622,21000000000000000,105088625013454930747622,1659397124,15259662,115
115-19206,155129381928894850085200,21000000000000000,155129402928894850085200,1659481291,15265929,115
115-19207,367635329228825178030513,21000000000000000,367635350228825178030513,1659565896,15272172,115
115-19208,691259560281151353063955,21000000000000000,691259581281151353063955,1659586716,15273704,115
116-19224,217815697116764807,0,217815697116764807,1661036991,15380426,116
116-19225,95773519536452593838,0,95773519536452593838,1661103323,15385272,116
116-19226,230153205541108585753856,0,230153205541108585753856,1661206854,15392867,116
116-19227,1153189071294452342366963,0,1258189071294452342366963,1661291058,15399096,116
116-19228,1203196048294452342366963,0,1308196048294452342366963,1661301083,15399777,116
117-19229,175157802173127872414559,0,175157802173127872414559,1661471160,15412051,117
117-19230,596602291642438963150764,0,596602291642438963150764,1661552028,15417929,117
117-19231,646656976465051353214695,0,646656976465051353214695,1661644525,15424570,117
117-19232,696665269915995068956501,0,696665269915995068956501,1661669367,15426322,117
118-19235,273567222503601261731795,0,273567222503601261731795,1661963277,15447663,118
118-19236,273569327219489026790213,0,273570037950749990414004,1661993623,15449855,118
119-19237,406218128611312446764144,0,406260043854728304419461,1662163106,15462159,119
119-19238,471246193508747820440870,0,576288108752163678096187,1662233692,15467231,119
119-19239,530306031587237630051722,0,635347954530653487707039,1662319274,15473430,119
119-19240,530306031587237630051722,0,635347954530653487707039,1662340655,15474972,119
121-19237,281155339565476626168043,0,281155339565476626168043,1662162693,15462126,121
121-19238,346193152198819493518239,0,346193152198819493518239,1662240692,15467709,121
121-19239,425308025170972577195207,0,425308025170972577195207,1662331999,15474346,121
121-19240,530318838204552690142422,0,530318838204552690142422,1662419751,15480616,121
122-19240,14036985490592156519861,0,14037146084693333053050,1662408087,15479792,122
122-19241,347558386343256869834274,0,347558546937358046367463,1662507803,15487000,122
122-19242,728893367190929012441871,0,728893527785030188975060,1662588919,15492842,122
122-19243,914647927475137814924085,0,914648088069238991457274,1662608995,15494338,122
123-19240,84040993040042826599987,0,84041153634144003133176,1662420968,15480711,123
123-19241,417562326977234179367962,0,417562487571335355901151,1662507888,15487009,123
123-19242,916407656370854562493988,0,916407816964955739027177,1662594643,15493245,123
123-19243,1052153252020321198185771,0,1052153412614422374718960,1662609036,15494341,123
124-19240,79036920916175871616695,0,79037081510277048149884,1662422244,15480803,124
124-19241,244051651507886517387635,0,399064928942730772557523,1662507888,15487009,124
124-19242,697827141634992408653184,0,852910565835776710523907,1662594309,15493225,124
124-19243,883581726919201211135398,0,1038665151119985513006121,1662609054,15494346,124
125-19255,306147877381972765208088,0,306147877381972765208088,1663709003,15577342,125
125-19256,837817696893231863852959,217745630513875584,837819924638862377728543,1663803683,15585080,125
125-19257,937840539491000392441673,233745630513875584,937842783236630906317257,1663889819,15592209,125
125-19258,1042898918920448192199634,4478390687068282796,1042905407311135260482430,1663940915,15596446,125
126-19260,50069919795370000000000,0,50069919795370000000000,1664128499,15612014,126
126-19261,147676623132157370010224,333451020379832947,147676956583177749843171,1664233739,15620720,126
126-19262,512301617331370316349853,392569205710080984,512302009900576026430837,1664321855,15628005,126
