id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
10-18435,669991487859773222,50933159851350947153,51603151339210720375,1592869898,10318648,10
10-18436,367401745003726326049463,68449414317744201735,367470194418044070251198,1592955767,10325053,10
10-18437,853370683025900065447455,161177119825655828252983,1014547802851555893700438,1593035333,10330992,10
10-18438,1198438471539330353029194,189177119825655828252983,1387615591364986181282177,1593099291,10335750,10
11-18441,104986932082839451182163,571027394886367917,104987503110234337550080,1593385134,10357115,11
11-18442,671652516627569712345427,1336940941763063553,671653853568511475408980,1593470793,10363471,11
11-18443,771804523194685485368761,1336940941763063553,771805860135627248432314,1593537565,10368445,11
1-18379,313744410000000000000000,40580730000000000000000,354325140000000000000000,1588026147,9957198,1
1-18380,356269010000000000000000,60580730000000000000000,416849740000000000000000,1588114387,9963780,1
1-18381,797981280000000000000000,85580730000000000000000,883562010000000000000000,1588186342,9969185,1
12-18444,108570628988527401155164,132501905941483712199767,241072534930011113354931,1593645348,10376471,12
12-18445,108606601376893626935114,264088464198928804005277,372695065575822430940391,1593733510,10383050,12
12-18446,133611866318157839238022,327390544947099733779508,461002411265257573017530,1593810809,10388831,12
12-18447,133613887401438391091383,538486083105162383382802,672099970506600774474185,1593845306,10391419,12
13-18448,125332223732907374143801,105049973378567099250726,230382197111474473394527,1593964865,10400366,13
14-18448,102397051190808392897166,105016319953674535794310,207413371144482928691476,1593990422,10402290,14
14-18449,303175187678064142248312,173325308400083181444642,476500496078147323692954,1594079904,10408969,14
14-18450,353202528388699821043511,533366867439736398232366,886569395828436219275877,1594161089,10415065,14
14-18451,353204756027355358160321,669872816463954246854357,1023077572491309605014678,1594196706,10417791,14
15-18451,120027017923265554690904,35461434490900613,120027053384700045591517,1594251605,10421893,15
15-18452,524519795444622583844180,6111411380477524422,524525906856003061368602,1594332089,10427841,15
15-18453,997005274409700526179675,9587989122047924759,997014862398822574104434,1594421043,10434462,15
15-18454,997005413415610184387229,9587989122047924759,997015001404732232311988,1594470068,10438189,15
16-18452,230047416567557627990649,422286800758896053,230047838854358386886702,1594332137,10427846,16
16-18453,348655071014537356668114,165016930403433970143431,513672001417971326811545,1594421159,10434468,16
16-18454,498952986620947222775435,193019701081489024415966,691972687702436247191401,1594511471,10441308,16
16-18455,533998606821237728356266,523974055927279977814001,1057972662748517706170267,1594538611,10443330,16
17-18462,113454998374926470197725,1536199334935356203,113456534574261405553928,1595202381,10492986,17
17-18463,225943871980498550131000,1536199334935356203,225945408179833485487203,1595283152,10498982,17
17-18464,657102124336780431277535,1536199334935356203,657103660536115366633738,1595374612,10505763,17
17-18465,757201936853865529237557,1536199334935356203,757203473053200464593760,1595389828,10506884,17
18-18466,319323060902950183992550,0,319323060902950183992550,1595548295,10518795,18
18-18467,431056412800030058861925,564062950189549077,431056976862980248411002,1595626308,10524690,18
18-18468,867066098820806259516202,642349199016282724,867066741170005275798926,1595707022,10530610,18
18-18469,895108895445437896670224,1825851807584417064,895110721297245481087288,1595759675,10534549,18
19-18487,471332434368908604312218,0,471332434368908604312218,1597359981,10654523,19
19-18488,636556858800355990706419,0,636556858800355990706419,1597446696,10661025,19
19-18489,701578102506100767389310,0,701578102506100767389310,1597499527,10665011,19
20-18490,70016670858427491149,0,70016670858427491149,1597611700,10673411,20
20-18491,200116472890080586921231,1975530301542635623,200118448420382129556854,1597705298,10680386,20
20-18492,898334239740746098529325,1975530301542635623,898336215271047641164948,1597792828,10687003,20
20-18493,898364458367416463590867,1975530301542635623,898366433897718006226490,1597820164,10689071,20
21-18500,227728638996291486384311,15157385778957284312969,242886024775248770697280,1598483312,10739011,21
21-18501,589409523074027842493250,135944494675845275550843,725354017749873118044093,1598572795,10745759,21
21-18502,1119531790127859306360894,185963378482568710838463,1305495168610428017199357,1598654869,10751956,21
21-18503,1119629391839440373289221,195969018138478367497502,1315598409977918740786723,1598701162,10755429,21
2-18379,284123640000000000000000,1000000000000000000,284124640000000000000000,1588026226,9957206,2
2-18380,354187910000000000000000,1000000000000000000,354188910000000000000000,1588114459,9963783,2
2-18381,797262350000000000000000,25001000000000000000000,822263350000000000000000,1588195962,9969937,2
2-18382,898262350000000000000000,25001000000000000000000,923263350000000000000000,1588206209,9970692,2
22-18513,15064245468430913205367,0,15064245468430913205367,1599608565,10824080,22
22-18514,350050700263949399056943,15015341614286591793239,365066041878235990850182,1599693436,10830458,22
22-18515,805928907039301894180452,15015341614286591793239,820944248653588485973691,1599769645,10836217,22
22-18516,805960108061828347756560,15015341614286591793239,820975449676114939549799,1599831829,10840921,22
23-18521,165360894163396923602077,0,165360894163396923602077,1600300565,10876227,23
23-18522,170361959779761387837430,0,170361959779761387837430,1600380707,10882379,23
23-18523,408713847405392626109155,0,408713847405392626109155,1600471553,10889122,23
23-18524,427750061507058583668537,0,427750061507058583668537,1600506312,10891741,23
24-18532,205658208049396714419036,10671015679125138847,205668879065075839557883,1601248790,10947501,24
24-18533,602179646639908152955805,10671015679125138847,602190317655587278094652,1601330545,10953549,24
24-18534,736937088937892575698623,5015751207820573403091,741952840145713149101714,1601413522,10959671,24
25-18534,329763445727376659521120,0,329763445727376659521120,1601417233,10959941,25
