id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
107166664722174233740232174220463354481004128961821575530758100250899337476509-19100,486417839920547411313223,0,486417839920547411313223,1650324553,14612090,107166664722174233740232174220463354481004128961821575530758100250899337476509
107166664722174233740232174220463354481004128961821575530758100250899337476509-19101,1383382159348534475225552,0,1383382159348534475225552,1650410163,14618465,107166664722174233740232174220463354481004128961821575530758100250899337476509
107166664722174233740232174220463354481004128961821575530758100250899337476509-19102,1769475671746444318750390,5005974890909442048,1769480677721335228192438,1650463032,14622312,107166664722174233740232174220463354481004128961821575530758100250899337476509
107166664722174233740232174220463354481004128961821575530758100250899337476509-19103,1771153124405038754690742,5005974890909442048,1771158130379929664132790,1650549895,14628730,107166664722174233740232174220463354481004128961821575530758100250899337476509
107166664722174233740232174220463354481004128961821575530758100250899337476509-19104,1775021458023419108782570,5005974890909442048,1775026463998310018224618,1650638287,14635258,107166664722174233740232174220463354481004128961821575530758100250899337476509
107166664722174233740232174220463354481004128961821575530758100250899337476509-19105,1775612704014981373039082,5005974890909442048,1775617709989872282481130,1650752346,14643711,107166664722174233740232174220463354481004128961821575530758100250899337476509
107166664722174233740232174220463354481004128961821575530758100250899337476509-19106,2037975191328895198096181,5005974890909442048,2037980197303786107538229,1650843090,14650387,107166664722174233740232174220463354481004128961821575530758100250899337476509
107166664722174233740232174220463354481004128961821575530758100250899337476509-19107,2311599031656619561119361,5005974890909442048,2311604037631510470561409,1650902629,14654740,107166664722174233740232174220463354481004128961821575530758100250899337476509
107166664722174233740232174220463354481004128961821575530758100250899337476509-19108,2312582119608623791007504,5005974890909442048,2312587125583514700449552,1650936436,14657231,107166664722174233740232174220463354481004128961821575530758100250899337476509
112764562576314516994943312429834673309292069549953740415731020720942627228986-19179,680038370991105049504172,355083446647143612416,680393454437752193116588,1657151861,15092091,112764562576314516994943312429834673309292069549953740415731020720942627228986
112764562576314516994943312429834673309292069549953740415731020720942627228986-19180,969092887008055617446196,355583446647143612416,969448470454702761058612,1657229039,15097815,112764562576314516994943312429834673309292069549953740415731020720942627228986
112764562576314516994943312429834673309292069549953740415731020720942627228986-19181,1741568732491627512856263,355583446647143612416,1741924315938274656468679,1657322660,15104928,112764562576314516994943312429834673309292069549953740415731020720942627228986
112764562576314516994943312429834673309292069549953740415731020720942627228986-19182,1966201460476725861111813,355583446647143612416,1966557043923373004724229,1657394785,15110271,112764562576314516994943312429834673309292069549953740415731020720942627228986
112764562576314516994943312429834673309292069549953740415731020720942627228986-19183,1979930830641515934937837,365673835400084760576,1980296504476916019698413,1657484557,15116994,112764562576314516994943312429834673309292069549953740415731020720942627228986
112764562576314516994943312429834673309292069549953740415731020720942627228986-19184,2376190787349557759580037,365673835400084760576,2376556461184957844340613,1657579153,15124095,112764562576314516994943312429834673309292069549953740415731020720942627228986
