id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
100114570810112501972314307970004446869175784368342294400079771147860837319881-19117,6500000000000000000000000,0,6500000000000000000000000,1651793332,14720126,100114570810112501972314307970004446869175784368342294400079771147860837319881
100114570810112501972314307970004446869175784368342294400079771147860837319881-19118,28021054316980716163337735,0,28021054316980716163337735,1651877604,14726290,100114570810112501972314307970004446869175784368342294400079771147860837319881
100913008905461844936601668456794711523658459114127771687920359665569753117360-18979,7500001000000000000000000,0,7500001000000000000000000,1639867744,13831922,100913008905461844936601668456794711523658459114127771687920359665569753117360
100913008905461844936601668456794711523658459114127771687920359665569753117360-18980,23435188848667244381807684,0,23435188848667244381807684,1639955767,13838489,100913008905461844936601668456794711523658459114127771687920359665569753117360
100913008905461844936601668456794711523658459114127771687920359665569753117360-18981,29448228475690908912110158,0,32448228475690908912110158,1639996573,13841517,100913008905461844936601668456794711523658459114127771687920359665569753117360
105922348242630140723657180150451860489828983204705055255067506002105519486684-19223,11697502905364145100941,0,11697502905364145100941,1660941293,15373436,105922348242630140723657180150451860489828983204705055255067506002105519486684
105922348242630140723657180150451860489828983204705055255067506002105519486684-19224,8511697502905364145100941,0,8511697502905364145100941,1661031655,15380033,105922348242630140723657180150451860489828983204705055255067506002105519486684
105922348242630140723657180150451860489828983204705055255067506002105519486684-19225,29691828315571980089968802,0,29691828315571980089968802,1661106920,15385562,105922348242630140723657180150451860489828983204705055255067506002105519486684
107879695414828124720443536891662855284044715931124238148239402639321657156721-19249,1000000000000000000000000,0,1000000000000000000000000,1663189069,15535012,107879695414828124720443536891662855284044715931124238148239402639321657156721
107879695414828124720443536891662855284044715931124238148239402639321657156721-19250,1409905187007715570818442,0,1409905187007715570818442,1663218277,15536989,107879695414828124720443536891662855284044715931124238148239402639321657156721
107879695414828124720443536891662855284044715931124238148239402639321657156721-19251,96997531068541636823925296,0,96997531068541636823925296,1663298723,15543506,107879695414828124720443536891662855284044715931124238148239402639321657156721
111980608549296280462721500887998027192667619429469223121519018371053122326953-19048,8014430685561460626291734,0,8014430685561460626291734,1645814042,14276910,111980608549296280462721500887998027192667619429469223121519018371053122326953
111980608549296280462721500887998027192667619429469223121519018371053122326953-19049,31537014504921886514197641,0,31537014504921886514197641,1645919712,14284822,111980608549296280462721500887998027192667619429469223121519018371053122326953
114110038939654197374429334111955717306290796780942705117190274082864935809950-19074,16500011900000000000000001,0,16500011900000000000000001,1648074090,14445228,114110038939654197374429334111955717306290796780942705117190274082864935809950
114110038939654197374429334111955717306290796780942705117190274082864935809950-19075,28326454997512373797553021,0,28326454997512373797553021,1648159247,14451531,114110038939654197374429334111955717306290796780942705117190274082864935809950
114739598341321203160532989014059220831750422753014326839069706349934087327191-18978,30146445139687355530623048,0,30146445139687355530623048,1639781976,13825457,114739598341321203160532989014059220831750422753014326839069706349934087327191
15812851838923579560813132538154057188122556009569708685901700070430672511861-19069,13522245933393343492040272,0,13522245933393343492040272,1647646468,14413377,15812851838923579560813132538154057188122556009569708685901700070430672511861
15812851838923579560813132538154057188122556009569708685901700070430672511861-19070,16522245933393343492040272,0,16522245933393343492040272,1647684043,14416195,15812851838923579560813132538154057188122556009569708685901700070430672511861
15812851838923579560813132538154057188122556009569708685901700070430672511861-19071,27522249796649623171960198,0,30022249796649623171960198,1647803404,14425050,15812851838923579560813132538154057188122556009569708685901700070430672511861
16589839164626732188601208812870579934969443993529803083961504445114020239912-19018,13514440685561460626291734,0,13514440685561460626291734,1643233586,14083745,16589839164626732188601208812870579934969443993529803083961504445114020239912
16589839164626732188601208812870579934969443993529803083961504445114020239912-19019,27074975201397470241269547,0,27074975201397470241269547,1643286933,14087689,16589839164626732188601208812870579934969443993529803083961504445114020239912
16779246986503816978738315753835013381253621222878725311433219240932837515859-18991,22658225441760690944296745,0,22658225441760690944296745,1640872770,13907101,16779246986503816978738315753835013381253621222878725311433219240932837515859
16779246986503816978738315753835013381253621222878725311433219240932837515859-18992,28661197276378603392793960,0,28661197276378603392793960,1640980140,13915057,16779246986503816978738315753835013381253621222878725311433219240932837515859
