id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xb536af-0xab5309888c39646bb222a70e0bc1c69e3326ee77,0,523.812204,11876015,1613586868,0x1bd9b5307b2b8c2567a2998afb579bf10e937cebc151fc861368a8eeff948ab5,0xab5309888c39646bb222a70e0bc1c69e3326ee77,0xab5309888c39646bb222a70e0bc1c69e3326ee77
0xb536b6-0x91c5fa6872f3a93b999843eaf06eb34a18a69a12,0,59.631441,11876022,1613586953,0xb606652e0abcd77d2faca8ef8573a5b816a35799c75dafcfd381a08fa6222a34,0x91c5fa6872f3a93b999843eaf06eb34a18a69a12,0x91c5fa6872f3a93b999843eaf06eb34a18a69a12
0xb536c5-0xf7463e7335033586683ac1f3df3080a0b38babe9,0,90.214393,11876037,1613587253,0xc94a1e5cd0bc159504f6f028273ce3d12e09c9997a065991934ad979a7c1babb,0xf7463e7335033586683ac1f3df3080a0b38babe9,0xf7463e7335033586683ac1f3df3080a0b38babe9
0xb536d4-0xcf88fa6ee6d111b04be9b06ef6fad6bd6691b88c,0,425.621688,11876052,1613587417,0xe79ec7025a8dee40fe4142fd62f35f942e89840a4cae1f1ae999d58b2f50d875,0xcf88fa6ee6d111b04be9b06ef6fad6bd6691b88c,0xcf88fa6ee6d111b04be9b06ef6fad6bd6691b88c
0xb539d9-0x565b93a15d38acd79c120b15432d21e21ed274d6,0,384.638768,11876825,1613597336,0x36de0a3e5b24227afc039b6f85e5638fb03497d93314e7549da9065dc21d936d,0x565b93a15d38acd79c120b15432d21e21ed274d6,0x565b93a15d38acd79c120b15432d21e21ed274d6
0xb53be2-0xeb2d66feee096bc90322933198aa614e5bf1731d,0,393.036277,11877346,1613604790,0x5431324966fa093a8e6f26b10c8692cea7228fc1a315d1e2d2bebdc858c6c389,0xeb2d66feee096bc90322933198aa614e5bf1731d,0xeb2d66feee096bc90322933198aa614e5bf1731d
0xb53bef-0xc6a0d93a696b3cb60a3d1adc7852bb3131639671,0,770.867876,11877359,1613604934,0xf3550cac6e54769a3501fd18a461be01bc106bf1e0349e77a0e25a683e9a106c,0xc6a0d93a696b3cb60a3d1adc7852bb3131639671,0xc6a0d93a696b3cb60a3d1adc7852bb3131639671
0xb53c26-0x0b7c75a9689a84854256c7d5db7c87feb1bbbb8b,0,20.764979,11877414,1613605624,0x437e1d2ef720d7f751c27c697b8e8bfdb1883de05a2e308d5768abece154171b,0x0b7c75a9689a84854256c7d5db7c87feb1bbbb8b,0x0b7c75a9689a84854256c7d5db7c87feb1bbbb8b
0xb53c5f-0x717f7f77458886fe97acd31f5ee7f175abf78582,0,179.645009,11877471,1613606365,0x32e051940020e696d2a5e561aa3b6a2b882dd5eca8c6b3da94efcf08d7e90f68,0x717f7f77458886fe97acd31f5ee7f175abf78582,0x717f7f77458886fe97acd31f5ee7f175abf78582
0xb53cd6-0xc426f7adb8c15771cdc6df55d31518056c04d63e,0,1032.961207,11877590,1613608027,0x8a485e60c948d5a9f4b354ab963af1ea3d2f9e23388e7fc1aeea5efb3c2398dc,0xc426f7adb8c15771cdc6df55d31518056c04d63e,0xca15045ee8dcee775a5df027bd229cae6d73e76c
0xb53cf3-0x684f49bc1e04339d84f2370f14dc1491a3b4f113,0,950.302739,11877619,1613608333,0x877db95f524787ccbb587f6906c87134dd48eb8b5cae03efb7d216920e2c3278,0x684f49bc1e04339d84f2370f14dc1491a3b4f113,0x684f49bc1e04339d84f2370f14dc1491a3b4f113
0xb53d0d-0xc426f7adb8c15771cdc6df55d31518056c04d63e,1032.961207,436.488278,11877645,1613608767,0x8bd350a1664f233deb7db99547cd78e7c7190387bc4482498cc23edcb61383b0,0xc426f7adb8c15771cdc6df55d31518056c04d63e,0x4d65151cd05f43f9acbedbe4182b02445a93d7cf
