id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18674,10000000000000000000000000,4,0,0,1613512964,11870420
18675,10000000000000000000000000,1038,9,9,1613606368,11877473
18676,10000000000000000000000000,2906,40,55,1613692782,11883922
18677,10000000000000000000000000,3976,73,95,1613779184,11890499
18678,10000000000000000000000000,5473,96,127,1613865599,11896994
18679,10000000000000000000000000,5492,123,176,1613951964,11903476
18680,10000000000000000000000000,5653,130,196,1614038302,11909968
18681,10000000000000000000000000,5703,134,203,1614124725,11916474
18682,10000000000000000000000000,5792,135,208,1614211160,11922941
18683,10000000000000000000000000,5846,142,226,1614297566,11929458
18684,10000000000000000000000000,5923,153,246,1614383915,11936000
18685,10000000000000000000000000,6016,158,263,1614470159,11942478
18686,10000000000000000000000000,6105,170,279,1614556748,11948956
18687,10000000000000000000000000,6206,180,297,1614643107,11955429
18688,10000000000000000000000000,6256,182,317,1614729382,11961962
18689,10000000000000000000000000,6301,193,340,1614815746,11968378
18690,10000000000000000000000000,6314,212,376,1614902355,11974905
18691,10000000000000000000000000,6310,230,401,1614988627,11981421
18692,10000000000000000000000000,6359,269,454,1615075012,11987985
18693,10000000000000000000000000,6408,287,479,1615161453,11994465
18694,10000000000000000000000000,6441,296,497,1615247480,12000940
18695,10000000000000000000000000,6465,304,520,1615333381,12007339
18696,10000000000000000000000000,6444,308,545,1615420682,12013931
18697,10000000000000000000000000,6437,315,560,1615505087,12020217
18698,10000000000000000000000000,6455,316,566,1615593214,12026794
18699,10000000000000000000000000,6488,310,572,1615678990,12033247
18700,10000000000000000000000000,6472,315,593,1615766238,12039844
18701,10000000000000000000000000,6459,321,602,1615852498,12046268
18702,10000000000000000000000000,6456,318,605,1615937801,12052726
18703,10000000000000000000000000,6447,319,614,1616025529,12059292
18704,10000000000000000000000000,6446,320,621,1616111527,12065761
18705,10000000000000000000000000,6468,322,626,1616197945,12072268
18706,10000000000000000000000000,6421,304,628,1616284542,12078814
18707,10000000000000000000000000,6391,296,635,1616370812,12085218
18708,10000000000000000000000000,6385,293,635,1616455255,12091578
18709,10000000000000000000000000,6371,291,641,1616543789,12098233
18710,10000000000000000000000000,6383,287,644,1616630158,12104717
18711,10000000000000000000000000,6393,288,652,1616716654,12111236
18712,10000000000000000000000000,6405,288,656,1616801457,12117652
18713,10000000000000000000000000,6382,282,662,1616889247,12124248
18714,10000000000000000000000000,6378,282,665,1616975739,12130743
18715,10000000000000000000000000,6397,284,672,1617061914,12137235
18716,10000000000000000000000000,6409,284,676,1617148491,12143772
18717,10000000000000000000000000,6398,281,676,1617234994,12150235
18718,10000000000000000000000000,6396,281,677,1617321066,12156726
18719,10000000000000000000000000,6385,282,680,1617407273,12163169
18720,10000000000000000000000000,6387,285,681,1617494387,12169741
18721,10000000000000000000000000,6427,291,687,1617580040,12176244
18722,10000000000000000000000000,6478,296,694,1617666689,12182776
18723,10000000000000000000000000,6434,298,697,1617753434,12189280
18724,10000000000000000000000000,6448,297,698,1617839537,12195798
18725,10000000000000000000000000,6437,296,698,1617926250,12202273
18726,10000000000000000000000000,6484,292,698,1618012509,12208723
18727,10000000000000000000000000,6486,292,703,1618098872,12215304
18728,10000000000000000000000000,6502,293,708,1618185498,12221862
18729,10000000000000000000000000,6524,290,708,1618271979,12228385
18730,10000000000000000000000000,6525,288,714,1618357978,12234841
18731,10000000000000000000000000,6519,290,722,1618443973,12241258
18732,10000000000000000000000000,6510,289,724,1618529699,12247704
18733,10000000000000000000000000,6525,289,727,1618617292,12254223
18734,10000000000000000000000000,6521,286,728,1618703939,12260705
18735,10000000000000000000000000,6530,288,730,1618790356,12267208
18736,10000000000000000000000000,6530,287,730,1618876492,12273587
18737,10000000000000000000000000,6537,287,730,1618961748,12280093
18738,10000000000000000000000000,6533,285,730,1619049327,12286689
18739,10000000000000000000000000,6543,287,730,1619135556,12293092
18740,10000000000000000000000000,6555,284,731,1619221934,12299548
18741,10000000000000000000000000,6572,284,738,1619308328,12306050
18742,10000000000000000000000000,6581,281,744,1619395191,12312587
18743,10000000000000000000000000,6616,286,746,1619480948,12319020
18744,10000000000000000000000000,6630,287,750,1619567927,12325542
18745,10000000000000000000000000,6626,288,752,1619654385,12332008
18746,10000000000000000000000000,6657,289,754,1619740728,12338488
18747,10000000000000000000000000,6665,289,756,1619827172,12344941
18748,10000000000000000000000000,6663,289,760,1619913552,12351430
18749,10000000000000000000000000,6640,286,767,1619999811,12357835
18750,10000000000000000000000000,6632,290,777,1620086324,12364352
18751,10000000000000000000000000,6639,294,781,1620172428,12370834
18752,10000000000000000000000000,6632,296,787,1620258490,12377326
18753,10000000000000000000000000,6638,298,792,1620345388,12383829
18754,10000000000000000000000000,6643,297,793,1620431617,12390265
18755,10000000000000000000000000,6634,299,795,1620516193,12396607
18756,10000000000000000000000000,6645,299,797,1620604585,12403242
18757,10000000000000000000000000,6636,298,798,1620689689,12409667
18758,10000000000000000000000000,6634,299,799,1620777240,12416194
18759,10000000000000000000000000,6649,301,799,1620863084,12422595
18760,10000000000000000000000000,6657,299,799,1620949988,12429162
18761,10000000000000000000000000,6670,300,801,1621036749,12435672
18762,10000000000000000000000000,6676,305,805,1621123081,12442142
18763,10000000000000000000000000,6680,309,810,1621208225,12448507
18764,10000000000000000000000000,6700,312,814,1621294798,12454944
18765,10000000000000000000000000,6717,313,815,1621382281,12461477
18766,10000000000000000000000000,6715,314,816,1621467674,12467832
18767,10000000000000000000000000,6707,312,818,1621555157,12474371
18768,10000000000000000000000000,6704,314,821,1621640660,12480711
18769,10000000000000000000000000,6703,316,826,1621726826,12487159
18770,10000000000000000000000000,6681,315,827,1621813269,12493607
18771,10000000000000000000000000,6654,311,828,1621900687,12500181
18772,10000000000000000000000000,6642,308,829,1621987148,12506589
18773,10000000000000000000000000,6619,308,833,1622073582,12513022
18774,10000000000000000000000000,6586,309,837,1622159691,12519423
18775,10000000000000000000000000,6575,308,838,1622246186,12525899
18776,10000000000000000000000000,6565,305,838,1622332331,12532348
18777,10000000000000000000000000,6589,302,842,1622419098,12538789
18778,10000000000000000000000000,6568,300,844,1622505506,12545214
18779,10000000000000000000000000,6544,302,852,1622591987,12551695
18780,10000000000000000000000000,6535,305,862,1622678239,12558193
18781,10000000000000000000000000,6558,308,867,1622763805,12564535
18782,10000000000000000000000000,6547,311,873,1622851063,12571111
18783,10000000000000000000000000,6564,325,887,1622937550,12577554
18784,10000000000000000000000000,7450,333,896,1623023997,12584091
18785,10000000000000000000000000,7412,358,930,1623110117,12590504
18786,10000000000000000000000000,7404,359,932,1623196572,12596978
18787,10000000000000000000000000,7408,356,932,1623283078,12603421
18788,10000000000000000000000000,7384,360,940,1623369343,12609877
18789,10000000000000000000000000,7373,358,940,1623455698,12616331
18790,10000000000000000000000000,7364,356,943,1623542191,12622769
18791,10000000000000000000000000,7368,354,943,1623628444,12629230
18792,10000000000000000000000000,7362,353,944,1623714584,12635653
18793,10000000000000000000000000,7358,354,945,1623801534,12642189
18794,10000000000000000000000000,7361,355,949,1623887891,12648585
18795,10000000000000000000000000,7354,350,950,1623973574,12654997
18796,10000000000000000000000000,7359,349,951,1624060571,12661457
18797,10000000000000000000000000,7367,351,952,1624146840,12667871
18798,10000000000000000000000000,7370,351,953,1624233552,12674360
18799,10000000000000000000000000,7376,350,953,1624318873,12680601
18800,10000000000000000000000000,7377,352,956,1624406385,12687114
18801,10000000000000000000000000,7367,349,957,1624492578,12693530
18802,10000000000000000000000000,7378,352,959,1624577743,12699847
18803,10000000000000000000000000,7396,351,959,1624664977,12706269
18804,10000000000000000000000000,7449,353,961,1624751740,12712715
18805,10000000000000000000000000,7500,358,969,1624838254,12719170
18806,10000000000000000000000000,7538,363,973,1624924692,12725638
18807,10000000000000000000000000,7537,367,978,1625008459,12731815
18808,10000000000000000000000000,7548,368,981,1625097181,12738477
18809,10000000000000000000000000,7557,368,984,1625183942,12744853
18810,10000000000000000000000000,7567,368,984,1625269691,12751240
18811,10000000000000000000000000,7568,368,984,1625356774,12757711
18812,10000000000000000000000000,7324,365,985,1625442718,12764129
18813,10000000000000000000000000,7324,365,985,1625528687,12770526
18814,10000000000000000000000000,7329,364,986,1625615572,12776994
18815,10000000000000000000000000,7334,364,986,1625702065,12783378
18816,10000000000000000000000000,7345,362,987,1625788746,12789853
18817,10000000000000000000000000,7357,362,988,1625874904,12796237
18818,10000000000000000000000000,7384,365,993,1625961469,12802698
18819,10000000000000000000000000,7440,363,994,1626047549,12809097
18820,10000000000000000000000000,7457,363,995,1626133384,12815439
18821,10000000000000000000000000,7466,363,996,1626220395,12821786
