id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
10-18756,34169140503987499228696,0,34169140503987499228696,1620602752,12403099,10
10-18757,34173816730035148424290,0,34173816730035148424290,1620629765,12405163,10
10-18759,550016578996149317794167,0,550016578996149317794167,1620855682,12422043,10
11-18760,58225143462321544514913,0,58225143462321544514913,1620914975,12426486,11
11-18761,58776917258746254237593,0,58776917258746254237593,1620987659,12431911,11
11-18762,74773664349325073185771,0,74773664349325073185771,1621120589,12441945,11
11-18763,103095912422724331767703,0,103095912422724331767703,1621207258,12448422,11
11-18764,103780843809850211666349,0,103780843809850211666349,1621246093,12451236,11
1-18689,31349631047803317655525,20505048793820200382182,51854679841623518037707,1614815265,11968338,1
1-18690,44700788088465571991747,21681173794161772207911,66381961882627344199658,1614900854,11974805,1
1-18691,51471738053275684552561,21713701446161772207911,73185439499437456760472,1614987564,11981349,1
1-18692,51667665295530753778997,21756111262161772207911,73423776557692525986908,1615073811,11987905,1
1-18693,51790436814530753778997,21806471803293254606274,73596908617824008385271,1615109591,11990561,1
12-18763,17009826756698224493506,0,17009826756698224493506,1621207516,12448445,12
12-18764,105638044835635538862660,0,105638044835635538862660,1621294631,12454934,12
12-18765,120977893387278161507256,0,120977893387278161507256,1621322569,12457013,12
12-18766,121340394988859362427425,0,121340394988859362427425,1621467922,12467849,12
13-18767,42629703330464103026,0,42629703330464103026,1621553102,12474222,13
13-18768,60701653741118622234,0,60701653741118622234,1621571713,12475603,13
13-18769,538527059087987634306825,0,538527059087987634306825,1621719843,12486613,13
14-18767,116895124088728929003,0,116895124088728929003,1621552778,12474195,14
14-18768,476605315420860538472,0,476605315420860538472,1621572633,12475665,14
14-18769,539001980769177108372784,0,539001980769177108372784,1621719902,12486617,14
15-18779,510198543343105376146,0,510198543343105376146,1622588888,12551468,15
15-18780,56202642550803175835205,0,56202642550803175835205,1622669794,12557559,15
15-18781,56528529043839285062253,0,56528529043839285062253,1622752801,12563711,15
15-18782,599011526511532092548025,0,599011526511532092548025,1622849507,12570995,15
15-18783,599903589144112118455114,0,599903589144112118455114,1622925066,12576609,15
15-18784,600287886471112118455114,0,600287886471112118455114,1622959605,12579189,15
16-18782,18399155712193960917889,999399041153787246,18400155111235114705135,1622839684,12570287,16
16-18783,19387687627220827692046,911249877382725612975,20298937504603553305021,1622932659,12577156,16
16-18784,35493733777161192859059,911249877382725612975,36404983654543918472034,1622979959,12580763,16
16-18785,83006433276262930257703,911249877382725612975,83917683153645655870678,1623105910,12590189,16
16-18786,83375127302588084709426,911249877382725612975,84286377179970810322401,1623179671,12595718,16
17-18804,2165407837590573694058,0,2165407837590573694058,1624749254,12712513,17
17-18805,19604982457268968579979,0,19604982457268968579979,1624825017,12718191,17
17-18806,20210740798301993115776,0,20210740798301993115776,1624903236,12723986,17
17-18807,566771642651934575880287,0,566771642651934575880287,1625008710,12731839,17
17-18808,567373426362218157058906,0,567373426362218157058906,1625095062,12738310,17
17-18809,599204659152092974464371,0,599204659152092974464371,1625122093,12740244,17
18-18818,30231355553601517191,0,30231355553601517191,1625953403,12802105,18
18-18819,53618641405256160471,2081347833590573694058,2134966474995829854529,1626022449,12807200,18
18-18820,16309826254382963893828,2081347833590573694058,18391174087973537587886,1626123330,12814746,18
18-18821,661166292188929506333471,2081347833590573694058,663247640022520080027529,1626205713,12820739,18
19-18835,35744936946391666323969,0,35744936946391666323969,1627429406,12911045,19
19-18836,51993029850398330054448,0,51993029850398330054448,1627496746,12915961,19
19-18837,52500152997616827680476,0,52500152997616827680476,1627593707,12923057,19
19-18838,747247164714412264505873,15094918026000000000000,762342082740412264505873,1627685352,12929724,19
19-18839,747357504714412264505873,15094918026000000000000,762452422740412264505873,1627729766,12932974,19
20-18843,15128780614656372414545,0,15128780614656372414545,1628072349,12958051,20
20-18844,413879783306279077313111,0,413879783306279077313111,1628205493,12967858,20
20-18845,413902751595055351850654,0,413902751595055351850654,1628233986,12970025,20
20-18846,414208398322730639649205,0,414208398322730639649205,1628371379,12980373,20
20-18847,414326578499696225568111,0,414326578499696225568111,1628433619,12985040,20
21-18867,26652436615009961988707,0,26652436615009961988707,1630189357,13116565,21
21-18869,73938213807064105174905,0,73938213807064105174905,1630336941,13127674,21
21-18870,89381443757789266822957,0,89381443757789266822957,1630404391,13132693,21
21-18871,214956752560234678201701,0,214956752560234678201701,1630474755,13137966,21
2-18692,73983170425272579454709,0,73983170425272579454709,1615073687,11987893,2
2-18693,88033346809367771615444,0,88033346809367771615444,1615153957,11993897,2
2-18694,121201924039046635819876,0,121201924039046635819876,1615242594,12000574,2
2-18695,122355133583626898266096,0,122355133583626898266096,1615331918,12007245,2
2-18696,141768961224245049852329,0,141768961224245049852329,1615406396,12012833,2
22-18892,48697879130081471966276,0,48697879130081471966276,1632341819,13277674,22
22-18893,48699593945819322733923,0,48699593945819322733923,1632361252,13279116,22
22-18894,48700303945819322733923,0,48700303945819322733923,1632510369,13290252,22
22-18895,66740977214957859414061,0,66740977214957859414061,1632574950,13295127,22
22-18896,102025341603280810136072,0,102025341603280810136072,1632656402,13301163,22
23-18906,16733352779407134456087,0,16733352779407134456087,1633562424,13368329,23
23-18907,36059445717988897871765,0,36059445717988897871765,1633607110,13371620,23
23-18908,68238540645850175726468,0,68238540645850175726468,1633651771,13374899,23
23-18910,1074006050175093411519090,0,1074006050175093411519090,1633908934,13393870,23
23-18911,1089107700405910005896197,0,1089107700405910005896197,1633921029,13394795,23
24-18926,47341126027989123616781,0,47341126027989123616781,1635249355,13492848,24
24-18927,47391126027989123616781,0,47391126027989123616781,1635376543,13502231,24
24-18928,64223470328203091643454,0,64223470328203091643454,1635396838,13503691,24
24-18929,1036869984688918697702607,0,1036869984688918697702607,1635515229,13512425,24
25-18934,16832344300213968026673,0,16832344300213968026673,1635976479,13546404,25
25-18935,31832694701884349268601,0,31832694701884349268601,1636060515,13552553,25
25-18937,1014313933243464503862742,0,1014313933243464503862742,1636235513,13565471,25
25-18938,1014314400273338588721830,0,1014314400273338588721830,1636248060,13566433,25
26-18953,17310548245908372056768,0,17310548245908372056768,1637623730,13667431,26
26-18955,32310898647578753298696,0,32310898647578753298696,1637760952,13677496,26
26-18957,177598436973188416776789,0,177598436973188416776789,1637949131,13691203,26
27-18961,16830491431213968026673,0,16830491431213968026673,1638233364,13711800,27
27-18962,17134006948894166608725,0,17134006948894166608725,1638349354,13720145,27
27-18963,49994088613180742107210,0,49994088613180742107210,1638478283,13729524,27
27-18964,100982133196532725079411,0,100982133196532725079411,1638571719,13736306,27
28-18972,16936831431213968026673,0,16936831431213968026673,1639228759,13784083,28
28-18973,16936838272213968026673,0,16936838272213968026673,1639339272,13792380,28
28-18974,42062452842676864868709,0,42062452842676864868709,1639417138,13798283,28
28-18975,1013111130507498566900972,0,1013111130507498566900972,1639511035,13805267,28
29-19007,16859896757947600890724,0,16859896757947600890724,1642249524,14010003,29
29-19008,16860896757947600890724,0,16860896757947600890724,1642306804,14014315,29
29-19010,811335340201697153461388,0,811335340201697153461388,1642531133,14031217,29
30-19038,31860247159617982132652,0,31860247159617982132652,1644932806,14211024,30
30-19042,406162066994763729258507,0,406162066994763729258507,1645302038,14238566,30
31-19040,16859896757947600890724,0,16859896757947600890724,1645122272,14225246,31
31-19041,31861247159617982132652,0,31861247159617982132652,1645218542,14232409,31
31-19042,371861247159617982132652,0,371861247159617982132652,1645301951,14238558,31
3-18699,21109155654838243623962,0,21109155654838243623962,1615679597,12033294,3
3-18700,56296513277138573854892,0,56296513277138573854892,1615762010,12039522,3
3-18701,102949212972841868764312,0,102949212972841868764312,1615848995,12046017,3
3-18702,141899843700671835219419,0,141899843700671835219419,1615930631,12052167,3
3-18703,232804606881690839289599,0,232804606881690839289599,1616024592,12059227,3
3-18704,233792403511270352059161,0,233792403511270352059161,1616057604,12061674,3
32-19065,16859896757947600890724,0,16859896757947600890724,1647292649,14387124,32
32-19066,17949916852564540755710,0,17949916852564540755710,1647382718,14393811,32
32-19067,33021362637508974610619,0,33021362637508974610619,1647427478,14397120,32
32-19068,65556908168143369872923,0,65556908168143369872923,1647477932,14400865,32
32-19069,863531015102449240457405,0,863531015102449240457405,1647562723,14407163,32
33-19074,36859896757947600890724,0,36859896757947600890724,1648079498,14445625,33
33-19075,71931342542892034745633,0,71931342542892034745633,1648128959,14449270,33
33-19077,103620018426843952471801,0,103620018426843952471801,1648299310,14461944,33
33-19078,153908736019815065114977,0,153908736019815065114977,1648375083,14467536,33
34-19076,26859896757947600890724,0,26859896757947600890724,1648230730,14456880,34
34-19077,78548572641899518616892,0,78548572641899518616892,1648319125,14463437,34
34-19078,163838290234870631260068,0,163838290234870631260068,1648392270,14468859,34
34-19079,199993736019815065114977,0,199993736019815065114977,1648479999,14475375,34
35-19097,21084000000000000000000,0,21084000000000000000000,1650054707,14592125,35
35-19098,118232614350918713533900,0,118232614350918713533900,1650152851,14599391,35
35-19099,118233614350918713533900,0,118233614350918713533900,1650164155,14600286,35
35-19100,128247882039740674456028,0,128247882039740674456028,1650294149,14609862,35
36-19097,15071445784944433854909,0,15071445784944433854909,1650060537,14592542,36
36-19098,102215040041246207523823,0,102215040041246207523823,1650113439,14596418,36
36-19099,102216040041246207523823,0,102216040041246207523823,1650196359,14602650,36
36-19100,133314307730068168445951,0,133314307730068168445951,1650294301,14609873,36
37-19097,15071445784944433854909,0,15071445784944433854909,1650060537,14592542,37
37-19098,112220060135863147388809,0,112220060135863147388809,1650152970,14599405,37
37-19099,112221060135863147388809,0,112221060135863147388809,1650160421,14599996,37
37-19100,143319327824685108310937,0,143319327824685108310937,1650294198,14609865,37
38-19105,25000000000000000000000,0,25000000000000000000000,1650706221,14640241,38
38-19106,115076465879561373719895,0,115076465879561373719895,1650838245,14650043,38
38-19107,141943263698717703400321,0,141943263698717703400321,1650920650,14656070,38
39-19105,46084000000000000000000,0,46084000000000000000000,1650730637,14642085,39
39-19106,91160465879561373719895,0,91160465879561373719895,1650838583,14650070,39
39-19107,158310961197071876178511,0,158310961197071876178511,1650920670,14656072,39
40-19142,25000000000000000000000,0,25000000000000000000000,1653923997,14873287,40
40-19143,123159638613850858485199,0,123159638613850858485199,1654037398,14881379,40
40-19144,123159638613850858485199,0,123159638613850858485199,1654084089,14884606,40
40-19145,133171276948312479690708,0,133171276948312479690708,1654144262,14888939,40
41-19158,35002000000000000000000,0,35002000000000000000000,1655307199,14968244,41
41-19159,101754720267306208847855,0,101754720267306208847855,1655409864,14975203,41
41-19160,124053393093597429774453,0,124053393093597429774453,1655434224,14976811,41
41-19161,124053396134178927592125,0,124053396134178927592125,1655528738,14983222,41
41-19162,164337093632533100370315,0,164337093632533100370315,1655666875,14992459,41
4-18708,19493575062038193075465,0,19493575062038193075465,1616454978,12091558,4
4-18709,21952400277836229569452,0,21952400277836229569452,1616539149,12097867,4
4-18710,22622302512923625254602,0,22622302512923625254602,1616628474,12104583,4
4-18711,64686180596752691634458,0,64686180596752691634458,1616695731,12109619,4
4-18712,326520534136535922434178,0,326520534136535922434178,1616791855,12116911,4
42-19159,10895877627471566589986,0,10895877627471566589986,1655409864,14975203,42
42-19160,111570983525640032442645,0,111570983525640032442645,1655493243,14980814,42
42-19161,111570986566221530260317,0,111570986566221530260317,1655528738,14983222,42
42-19162,111570986566221530260317,0,111570986566221530260317,1655639396,14990633,42
42-19163,111571986566221530260317,0,111571986566221530260317,1655715826,14995683,42
42-19164,111571986566221530260317,0,111571986566221530260317,1655795946,15001080,42
43-19170,63075732575261784712608,0,63075732575261784712608,1656364648,15036339,43
43-19171,155410351831679790841510,0,155410351831679790841510,1656410129,15039106,43
43-19172,186494351831679790841510,40300000000000000000000,226794351831679790841510,1656531604,15046590,43
43-19173,186510351831679790841510,40300000000000000000000,226810351831679790841510,1656585777,15049959,43
43-19174,186519233066887065263175,40300000000000000000000,226819233066887065263175,1656659078,15055165,43
43-19175,186529254484474947126905,40300000000000000000000,226829254484474947126905,1656771292,15063581,43
44-19216,61217252038164505659625,0,61217252038164505659625,1660332834,15328882,44
44-19217,119079757815697867065430,0,119079757815697867065430,1660423674,15335607,44
44-19218,129610904411498224079735,0,129610904411498224079735,1660486468,15340222,44
44-19219,159610904411498224079735,0,159610904411498224079735,1660593960,15348020,44
44-19220,220734904411498224079735,0,220734904411498224079735,1660672958,15353813,44
45-19245,22882533530945227898715,0,22882533530945227898715,1662854386,15511689,45
45-19246,53994330209148613795377,0,53994330209148613795377,1662930822,15517017,45
45-19247,68997161263484589177834,0,68997161263484589177834,1663022281,15523451,45
45-19248,89016699904766443559534,21084000000000000000000,110100699904766443559534,1663111850,15529732,45
45-19249,105986699904766443559534,21084000000000000000000,127070699904766443559534,1663146884,15532130,45
45-19250,131017557993740036057132,21084000000000000000000,152101557993740036057132,1663257179,15540108,45
46-19257,94140037309675888947620,0,94140037309675888947620,1663890779,15592289,46
46-19258,206454133815736307595850,0,206454133815736307595850,1663944923,15596777,46
46-19259,206480816916424100661897,0,206480816916424100661897,1664048507,15605372,46
46-19260,206480816916424100661897,0,206480816916424100661897,1664104151,15609993,46
46-19261,206480816916424100661897,0,206480816916424100661897,1664154971,15614205,46
47-19284,39173816070332705433077,0,39173816070332705433077,1666182083,15782117,47
47-19285,84173816070332705433077,0,84173816070332705433077,1666291019,15791145,47
47-19286,103903035376795174806776,0,103903035376795174806776,1666349363,15795990,47
47-19287,116407555619120472557378,0,116407555619120472557378,1666464683,15805554,47
48-19285,49128737382621045348647,0,49128737382621045348647,1666291031,15791146,48
48-19286,68857956689083514722346,0,68857956689083514722346,1666349579,15796008,48
48-19287,105152234635613642262748,0,105152234635613642262748,1666464719,15805557,48
48-19288,152094529175447425448781,0,152094529175447425448781,1666546343,15812322,48
49-19285,72534860594675595155622,0,72534860594675595155622,1666306247,15792408,49
49-19286,109019924896384006711464,0,109019924896384006711464,1666391879,15799511,49
49-19287,145314202842914134251866,0,145314202842914134251866,1666464731,15805558,49
49-19288,192256497382747917437899,0,192256497382747917437899,1666566959,15814029,49
50-19285,59128737382621045348647,0,59128737382621045348647,1666290947,15791139,50
50-19286,85440023752464470456751,0,85440023752464470456751,1666391903,15799513,50
50-19287,144884966716999390623872,0,144884966716999390623872,1666464767,15805561,50
50-19288,191822940273326343515275,0,191822940273326343515275,1666566983,15814031,50
51-19285,20000000000000000000000,0,20000000000000000000000,1666291091,15791151,51
51-19286,84892464558757219378652,0,84892464558757219378652,1666396619,15799904,51
51-19287,133435102426293943053516,0,133435102426293943053516,1666464803,15805564,51
51-19288,180373075982620895944919,0,180373075982620895944919,1666566983,15814031,51
51-19289,180411816585356188027613,0,180411816585356188027613,1666594583,15816313,51
5-18719,18640099777136340013096,0,18640099777136340013096,1617407273,12163169,5
5-18720,49565914041592452893790,0,49565914041592452893790,1617487290,12169187,5
5-18721,55764842752451201793272,0,55764842752451201793272,1617579096,12176162,5
5-18722,87610348039227510779966,0,87610348039227510779966,1617661537,12182375,5
5-18723,455447832420513346011560,0,455447832420513346011560,1617738207,12188161,5
5-18724,567994582892261518647349,0,567994582892261518647349,1617770611,12190619,5
6-18730,18574802052511317479170,0,18574802052511317479170,1618347867,12234074,6
6-18731,55697023237576582767185,0,55697023237576582767185,1618444285,12241277,6
6-18732,71759011764142487838408,0,71759011764142487838408,1618493216,12244920,6
6-18733,72431357166486485329334,0,72431357166486485329334,1618617091,12254210,6
6-18734,99356516755236011229391,0,99356516755236011229391,1618703492,12260666,6
6-18735,100377549928028531807874,0,100377549928028531807874,1618715910,12261641,6
7-18748,10156410176760296388008,0,10156410176760296388008,1619900919,12350471,7
7-18749,49715543971915088107388,0,49715543971915088107388,1619991360,12357232,7
7-18750,250867458809321870169028,0,250867458809321870169028,1620054135,12361942,7
7-18751,251548752618609408252481,0,251548752618609408252481,1620158816,12369803,7
7-18752,251586775417609408252481,0,251586775417609408252481,1620235586,12375553,7
8-18748,19143357181904219565269,166666841000000000000,19310024022904219565269,1619913380,12351421,8
8-18749,23666039397238430535910,332643171893828523955,23998682569132259059865,1619991392,12357236,8
8-18750,65849301495410026288914,332643171893828523955,66181944667303854812869,1620054282,12361956,8
8-18751,66398907098293361828959,332643171893828523955,66731550270187190352914,1620131354,12367748,8
8-18752,106377673814228051573197,332643171893828523955,106710316986121880097152,1620218208,12374228,8
9-18753,29511724570525442946307,0,29511724570525442946307,1620340301,12383468,9
9-18754,49005881865833470274798,0,49005881865833470274798,1620415881,12389096,9
9-18756,49060220970990305793667,0,49060220970990305793667,1620602902,12403113,9
9-18757,81055162266529735570068,0,81055162266529735570068,1620660062,12407377,9
9-18758,203787940611565930760635,0,203787940611565930760635,1620712845,12411388,9
