id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0x0000000000000000000000000000000000000000,0,0,-181,[],[],0,[]
0x005e42814cdf3db319923b257a0e0a48e3ee5350,0,0,1,[{'id': '0x005e42814cdf3db319923b257a0e0a48e3ee5350'}],[],0,[]
0x018a3833ccc9d365195441c32e2202f2cc9e5f16,8400000000000000000000,8400,5,"[{'id': '0x018a3833ccc9d365195441c32e2202f2cc9e5f16'}, {'id': '0x8b69826eb6fcd04e31bdf7ac6fb84220ceb6428e'}]",[],0,[]
0x022111936500251ea358a98cbb158d77580efb42,1935463060103697715,1.935463060103697715,1,[{'id': '0x022111936500251ea358a98cbb158d77580efb42'}],[],0,[]
0x03b79c0c1487a68aeabd9aa4ce779dad77855f52,11401103614565146563083,11401.103614565146563083,2,"[{'id': '0x6f8287e85854701787364738d1f9de19590379c1'}, {'id': '0x7b69aa47ace36b45ee20d96a73e9940422a4a238'}]","[{'id': '0x03b79c0c1487a68aeabd9aa4ce779dad77855f52-3', 'choice': 'FOR', 'weight': '16667000000000000000000', 'proposal': {'id': '3'}}]",1,[]
0x049808d5eaa90a2665b9703d2246dded34f1eb73,0,0,1,[{'id': '0x049808d5eaa90a2665b9703d2246dded34f1eb73'}],[],0,[]
0x04f5a8d9d055b3cbadbf500c0a05c7bdfb685fb8,0,0,0,[],[],0,[]
0x05a4448597935c508e4ad0d2cf56d56bedb246ce,46260758481220671814,46.260758481220671814,1,[{'id': '0x05a4448597935c508e4ad0d2cf56d56bedb246ce'}],[],0,[]
0x0715fd06d9c8ed3835aa41482171adbd85ffba86,0,0,0,[],[],0,[]
0x0bc99b862e5545d181cc7bfa71720712527aceee,0,0,0,[],"[{'id': '0x0bc99b862e5545d181cc7bfa71720712527aceee-3', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '3'}}]",1,[]
0x0c8fb96bf3bc4e6007cfa52d4d9697acb8d346df,0,0,1,[{'id': '0x0c8fb96bf3bc4e6007cfa52d4d9697acb8d346df'}],[],0,[]
0x0e16f564f344d75d832234f7256e84bbaa9b11f1,0,0,0,[],"[{'id': '0x0e16f564f344d75d832234f7256e84bbaa9b11f1-4', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '4'}}]",1,[]
0x0eeb15cada5996ae022d72ef5a1cf3f6a4f3a017,293753939707594994780,293.75393970759499478,2,[{'id': '0x0eeb15cada5996ae022d72ef5a1cf3f6a4f3a017'}],"[{'id': '0x0eeb15cada5996ae022d72ef5a1cf3f6a4f3a017-9', 'choice': 'FOR', 'weight': '293753939707594994780', 'proposal': {'id': '9'}}]",1,[]
0x0f61cc84840511e8c2079e2a55b50f9a43fab645,5000000000000000000000,5000,1,[{'id': '0x0f61cc84840511e8c2079e2a55b50f9a43fab645'}],[],0,[]
0x1137b52ad2398e0a6106f329ca7c57dead39778d,0,0,1,[{'id': '0x1137b52ad2398e0a6106f329ca7c57dead39778d'}],"[{'id': '0x1137b52ad2398e0a6106f329ca7c57dead39778d-4', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '4'}}]",1,[]
0x116a1ffb78c6994c8338e7636808272f9f9f5d56,0,0,0,[],"[{'id': '0x116a1ffb78c6994c8338e7636808272f9f9f5d56-3', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '3'}}]",1,[]
0x119dfca1629a73912bc064af6774b36581d44b67,0,0,1,[{'id': '0x119dfca1629a73912bc064af6774b36581d44b67'}],"[{'id': '0x119dfca1629a73912bc064af6774b36581d44b67-3', 'choice': 'FOR', 'weight': '16144000000000000000000', 'proposal': {'id': '3'}}]",1,[]
0x13075a80df4a80e45e58ef871900f0e0ef2ca5cc,0,0,0,[],"[{'id': '0x13075a80df4a80e45e58ef871900f0e0ef2ca5cc-2', 'choice': 'FOR', 'weight': '272023576230339928970065', 'proposal': {'id': '2'}}]",1,[]
0x14e94aaca7ebad882516eb969a7b67787a860b64,427442106270290000000000,427442.10627029,5,"[{'id': '0x0d83d25e685bb24da598b778f2d0b6934e7f27ff'}, {'id': '0x14e94aaca7ebad882516eb969a7b67787a860b64'}, {'id': '0x175dba4d9fd521c9bc8c03f4688e939a43aad399'}, {'id': '0x2dc2884e119434b010b9e9904833cbca82bb2626'}, {'id': '0xe3e3c2a26c4d2e6be71b46c3ba7bb7375915e048'}]","[{'id': '0x14e94aaca7ebad882516eb969a7b67787a860b64-10', 'choice': 'FOR', 'weight': '425492106270290000000000', 'proposal': {'id': '10'}}, {'id': '0x14e94aaca7ebad882516eb969a7b67787a860b64-6', 'choice': 'FOR', 'weight': '25013426270290000000000', 'proposal': {'id': '6'}}, {'id': '0x14e94aaca7ebad882516eb969a7b67787a860b64-7', 'choice': 'FOR', 'weight': '25013426270290000000000', 'proposal': {'id': '7'}}, {'id': '0x14e94aaca7ebad882516eb969a7b67787a860b64-8', 'choice': 'FOR', 'weight': '25013426270290000000000', 'proposal': {'id': '8'}}, {'id': '0x14e94aaca7ebad882516eb969a7b67787a860b64-9', 'choice': 'FOR', 'weight': '425492106270290000000000', 'proposal': {'id': '9'}}]",5,[]
0x151a64570e4997739458455ba4ab5a535fd2e306,3296067667422860986132,3296.067667422860986132,1,[{'id': '0x151a64570e4997739458455ba4ab5a535fd2e306'}],"[{'id': '0x151a64570e4997739458455ba4ab5a535fd2e306-11', 'choice': 'FOR', 'weight': '3296067667422860986132', 'proposal': {'id': '11'}}]",1,[]
0x15bded9ecc12ece06429cb624ac40697b0de57a5,3333375000000000000000,3333.375,4,"[{'id': '0x119ebc037f052da7fd89ebf124c11c7b652f8438'}, {'id': '0x15bded9ecc12ece06429cb624ac40697b0de57a5'}, {'id': '0xa10140c60db1ed67a5d70252b6b9b4c9904458b8'}, {'id': '0xe1a83c678e6ca74f779de0507408ce368a026ee9'}]",[],0,[]
0x165cc4ff5bf0bd8ea869bebbf60d802aa294371e,5000000000000000000000,5000,2,[{'id': '0x165cc4ff5bf0bd8ea869bebbf60d802aa294371e'}],[],0,[]
0x1ada02ac5097709691c72aef033f2b8249fb1913,0,0,0,[],"[{'id': '0x1ada02ac5097709691c72aef033f2b8249fb1913-3', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '3'}}]",1,[]
0x1c05decb151a459e8b045a93f472d1b238204094,8192917425503146832,8.192917425503146832,1,[{'id': '0x1c05decb151a459e8b045a93f472d1b238204094'}],[],0,[]
0x1f889c13e733048bbce704ff71dec729156421d7,0,0,0,[],"[{'id': '0x1f889c13e733048bbce704ff71dec729156421d7-3', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '3'}}]",1,[]
0x202d0b551f0e137efb419e70e1776b6d578bdbf3,0,0,2,[{'id': '0x202d0b551f0e137efb419e70e1776b6d578bdbf3'}],"[{'id': '0x202d0b551f0e137efb419e70e1776b6d578bdbf3-4', 'choice': 'FOR', 'weight': '5000000000000000000000', 'proposal': {'id': '4'}}]",1,[]
0x233394807af9e494cdbf61afcc2f64948d69f5d8,0,0,0,[],"[{'id': '0x233394807af9e494cdbf61afcc2f64948d69f5d8-3', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '3'}}]",1,[]
0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619,1990000000000000000,1.99,2,[{'id': '0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619'}],[],0,[]
0x28fd3d0908a4e300147b3e8e97e1ad0f4abdba8c,2174000000000000000000,2174,1,[{'id': '0x28fd3d0908a4e300147b3e8e97e1ad0f4abdba8c'}],"[{'id': '0x28fd3d0908a4e300147b3e8e97e1ad0f4abdba8c-3', 'choice': 'FOR', 'weight': '35824000000000000000000', 'proposal': {'id': '3'}}]",1,[]
0x2949349f91333b01235d2950a41260c2d357837d,0,0,1,[{'id': '0x2949349f91333b01235d2950a41260c2d357837d'}],[],0,[]
0x2e68640482723c4f919981075c28c8aa9283a4df,43001881466539821048173,43001.881466539821048173,1,[{'id': '0x2e68640482723c4f919981075c28c8aa9283a4df'}],"[{'id': '0x2e68640482723c4f919981075c28c8aa9283a4df-5', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '5'}}, {'id': '0x2e68640482723c4f919981075c28c8aa9283a4df-7', 'choice': 'FOR', 'weight': '72900062592871632311491', 'proposal': {'id': '7'}}, {'id': '0x2e68640482723c4f919981075c28c8aa9283a4df-8', 'choice': 'FOR', 'weight': '72900062592871632311491', 'proposal': {'id': '8'}}]",3,[]
0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728,32317367425843100478,32.317367425843100478,3,"[{'id': '0x04f5a8d9d055b3cbadbf500c0a05c7bdfb685fb8'}, {'id': '0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728'}, {'id': '0x432d126da5035175354ec628e23966c679cdfadf'}]","[{'id': '0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728-4', 'choice': 'FOR', 'weight': '2952470737170560112689680', 'proposal': {'id': '4'}}]",1,[{'id': '4'}]
