id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
10-19221,4156359804706744714394437,0,4156359804706744714394437,1660756002,15359962,10
10-19222,4156418622556924714394437,0,4156418622556924714394437,1660806194,15363589,10
10-19223,6225198003983326410671965,0,6225198003983326410671965,1660899191,15370351,10
11-19235,368981098267372125318957,0,368981098267372125318957,1661966378,15447900,11
11-19236,5750851643367507045874529,0,5750851643367507045874529,1662057520,15454473,11
11-19237,5791455901869665096715738,0,5791455901869665096715738,1662146659,15460977,11
11-19238,5836739519037346476725885,0,5836739519037346476725885,1662198056,15464622,11
2-18677,272023576230339928970065,0,272023576230339928970065,1613728462,11886625,2
3-18679,307847576230339928970065,0,307847576230339928970065,1613925640,11901425,3
3-18680,6642106504407661085743275,0,6642106504407661085743275,1614033067,11909563,3
3-18681,7106600430270167427701671,0,7106600430270167427701671,1614093848,11914094,3
4-18699,0,0,0,1615646219,12030795,4
4-18700,3247696952128249884893275,0,3247696952128249884893275,1615751679,12038704,4
4-18701,6333262966279602559864993,0,6333262966279602559864993,1615847735,12045921,4
5-18999,4695061839386049559192504,0,4695061839386049559192504,1641597833,13961229,5
5-19001,4971147839386049559192504,0,4971147839386049559192504,1641772039,13974363,5
5-19002,5236866502424953016078334,0,5236866502424953016078334,1641778058,13974850,5
6-19066,30283617167681380010147,0,30283617167681380010147,1647356916,14391874,6
6-19067,3318326545975406538973394,0,3318326545975406538973394,1647472042,14400416,6
6-19068,3323376545975406538973394,0,3323376545975406538973394,1647557327,14406751,6
7-19073,3225446516750376023151742,0,3225446516750376023151742,1647978256,14438064,7
7-19074,5066029505205753997421629,0,5066029505205753997421629,1648055292,14443821,7
7-19075,5096711931476043997421629,0,5096711931476043997421629,1648125576,14449008,7
8-19073,4726446516750376023151742,0,4726446516750376023151742,1647978268,14438065,8
8-19074,5096313122373435377431776,0,5096313122373435377431776,1648044434,14442999,8
8-19075,5127054366493905377431776,0,5127054366493905377431776,1648156477,14451328,8
9-19214,5000000000000000000000,0,5000000000000000000000,1660175169,15317369,9
9-19215,501700171988418913462167,0,501700171988418913462167,1660240364,15322109,9
9-19216,932861278258708913462167,0,932861278258708913462167,1660302482,15326638,9
