id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
102980538178031993517134231245504628873540234805749068950725528409845691287257-19213,12100377131419864614537271,0,12100377131419864614537271,1660078881,15310267,102980538178031993517134231245504628873540234805749068950725528409845691287257
102980538178031993517134231245504628873540234805749068950725528409845691287257-19214,19172342315524692801126779,0,19172342315524692801126779,1660127594,15313825,102980538178031993517134231245504628873540234805749068950725528409845691287257
102980538178031993517134231245504628873540234805749068950725528409845691287257-19215,32505675648858026134460090,0,32505675648858026134460090,1660260670,15323593,102980538178031993517134231245504628873540234805749068950725528409845691287257
102980538178031993517134231245504628873540234805749068950725528409845691287257-19217,32745161952285028854381519,0,32745161952285028854381519,1660425532,15335751,102980538178031993517134231245504628873540234805749068950725528409845691287257
102980538178031993517134231245504628873540234805749068950725528409845691287257-19219,44928143036360239354419460,0,44928143036360239354419460,1660592097,15347857,102980538178031993517134231245504628873540234805749068950725528409845691287257
106547578420974062333790736643563905300617628952500817411921006525670751346829-19213,12289334301636519894627388,0,12289334301636519894627388,1660082281,15310527,106547578420974062333790736643563905300617628952500817411921006525670751346829
106547578420974062333790736643563905300617628952500817411921006525670751346829-19214,19805161485115919780441172,0,19805161485115919780441172,1660146526,15315219,106547578420974062333790736643563905300617628952500817411921006525670751346829
106547578420974062333790736643563905300617628952500817411921006525670751346829-19215,19905550272862238548241066,0,19905550272862238548241066,1660249670,15322793,106547578420974062333790736643563905300617628952500817411921006525670751346829
106547578420974062333790736643563905300617628952500817411921006525670751346829-19216,19905550272862238548241066,0,19905550272862238548241066,1660274339,15324646,106547578420974062333790736643563905300617628952500817411921006525670751346829
106547578420974062333790736643563905300617628952500817411921006525670751346829-19217,20145036576289241268162495,0,20145036576289241268162495,1660429407,15336011,106547578420974062333790736643563905300617628952500817411921006525670751346829
106547578420974062333790736643563905300617628952500817411921006525670751346829-19219,32328017660364451768200436,0,32328017660364451768200436,1660591903,15347846,106547578420974062333790736643563905300617628952500817411921006525670751346829
107225794067467763520494361832594612457287423636070460959663085331127821565398-19213,12247628282268423057413807,0,12247628282268423057413807,1660083018,15310589,107225794067467763520494361832594612457287423636070460959663085331127821565398
107225794067467763520494361832594612457287423636070460959663085331127821565398-19214,19136440701971682855180027,30000767177146567211253,19166441469148829422391280,1660127049,15313792,107225794067467763520494361832594612457287423636070460959663085331127821565398
107225794067467763520494361832594612457287423636070460959663085331127821565398-19215,19136440701971682855180027,130389554923465335011147,19266830256895148190191174,1660228478,15321251,107225794067467763520494361832594612457287423636070460959663085331127821565398
107225794067467763520494361832594612457287423636070460959663085331127821565398-19217,19375927005398685575101456,130389554923465335011147,19506316560322150910112603,1660425596,15335755,107225794067467763520494361832594612457287423636070460959663085331127821565398
110429053767662434390914423149290929454561144692268184291935256132505268307761-19213,12100377131419864614537271,0,12100377131419864614537271,1660057435,15308686,110429053767662434390914423149290929454561144692268184291935256132505268307761
110429053767662434390914423149290929454561144692268184291935256132505268307761-19214,19146773629362649745781702,30000767177146567211253,19176774396539796312992955,1660127623,15313826,110429053767662434390914423149290929454561144692268184291935256132505268307761
110429053767662434390914423149290929454561144692268184291935256132505268307761-19217,19386259932789652465703131,30000767177146567211253,19416260699966799032914384,1660425515,15335750,110429053767662434390914423149290929454561144692268184291935256132505268307761
110429053767662434390914423149290929454561144692268184291935256132505268307761-19220,19386259932789652465703131,25546315184585690400582505,44932575117375342866285636,1660663939,15353180,110429053767662434390914423149290929454561144692268184291935256132505268307761
1417368170854257716497375565637162126841524133866687026309406285091540520352-19269,5165754607945404181790766,0,5165754607945404181790766,1664924447,15677902,1417368170854257716497375565637162126841524133866687026309406285091540520352
