id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xa6b116-0x1994b59e02cd0d09d839b03660c205e88a929b81,6394399.475499983418716784,400,10924310,1600937460,0xc4c2898ae3ce39d91d8b503714e117e1983cc53fee169de7a529671d8341cb5c,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x6f2a8ee9452ba7d336b3fba03cac27f7818aead6
0xa6b119-0x1994b59e02cd0d09d839b03660c205e88a929b81,6394799.475499983418716784,501.6866699,10924313,1600937496,0x657366cc03f38002394754e197a98e638786e99528f8ac061400ca54f93dc9cf,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x573770882c15d03f961a635804e5606ff42af21f
0xa6b11c-0x1994b59e02cd0d09d839b03660c205e88a929b81,6395301.162169883418716784,1035.355183463625287505,10924316,1600937517,0x34aadabf78d5e8942cdb38b38957ea1248635c5e768061639cba27d15b7656fa,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x930a7cd60a633128b7c5181307781e6d033ba51a
0xa6b11e-0x1994b59e02cd0d09d839b03660c205e88a929b81,6396336.517353347044004289,25.292793828613270631,10924318,1600937532,0x178d8e8344fe0865e687603cbb5dc2d3c097c1b74b4a02992f192acafd159bf0,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x374f5fa69b977964d5242c95cd2d31db663bddf0
0xa6b120-0x1994b59e02cd0d09d839b03660c205e88a929b81,6396361.81014717565727492,1400,10924320,1600937570,0xa353b5c816adc728bfae29235177518fbe7db2f1f33d7dedbed417fe016e8b0e,0x1994b59e02cd0d09d839b03660c205e88a929b81,0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9
0xa6b123-0x1994b59e02cd0d09d839b03660c205e88a929b81,6397761.81014717565727492,345.103824331397756778,10924323,1600937594,0xc4d137d696735cbc9f8b2e041a3dbe1fbf6d07febb06f2e398e1a9cd2b89660a,0x1994b59e02cd0d09d839b03660c205e88a929b81,0xe18c444e82ddac4046a55355d97241ec59c7184c
0xa6b125-0x1994b59e02cd0d09d839b03660c205e88a929b81,6398106.913971507055031698,86.540264811648357708,10924325,1600937628,0x33c8fc3d0920f652da73b5e44e6ccbd5d4efb8130cd894387805e39c5a0233e1,0x1994b59e02cd0d09d839b03660c205e88a929b81,0xfcf9934346b4e9822276d6a37af700c81119792f
0xa6b127-0x1994b59e02cd0d09d839b03660c205e88a929b81,6398193.454236318703389406,1600,10924327,1600937648,0x1734c3ffedf6400dd188027068acb6591b7364a82f9f043094b78f86c6ac4866,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x58bbb8d3c0c16b35c6d09a8306dd012b61911699
0xa6b129-0x1994b59e02cd0d09d839b03660c205e88a929b81,6399793.454236318703389406,1000,10924329,1600937665,0x306ed295d3e84facdf374c8dce8348f3034650f671e69294e12eabd69a06e4e7,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x442dccee68425828c106a3662014b4f131e3bd9b
0xa6b12b-0x1994b59e02cd0d09d839b03660c205e88a929b81,6400793.454236318703389406,5,10924331,1600937711,0x5d7afc697f1f75d356534f33ad10d1f55570f22613a0f97806ae0a73aba5889a,0x1994b59e02cd0d09d839b03660c205e88a929b81,0xf5eef5722742770ef62c8ca8e48144209d863ced
0xa6b12e-0x1994b59e02cd0d09d839b03660c205e88a929b81,6400798.454236318703389406,19.812805778843716488,10924334,1600937756,0xd5b736af10226d04fabf855378be56a35262e515261c5be244dc710e6fe28fa6,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x8042d9d476cfd2cc1bcdb4326d5ca3f30a994379
0xa6b130-0x1994b59e02cd0d09d839b03660c205e88a929b81,6400818.267042097547105894,405.135242,10924336,1600937775,0xa866a0933c1e87015f9469224f5d2df2384f3fc245b074d5c48db13bee56036f,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x909f12df377343d0d935500da28530f9876f9f0a
0xa6b135-0x1994b59e02cd0d09d839b03660c205e88a929b81,6401223.402284097547105894,1040.088326596888790299,10924341,1600937814,0x81749562af6c24a2794096802d825b98e50b39f11f9c2477c5db408a9e7eadba,0x1994b59e02cd0d09d839b03660c205e88a929b81,0xf42a339f93c1fa4c5d9ace33db308a504e7b0bde
0xa6b137-0x1994b59e02cd0d09d839b03660c205e88a929b81,6402263.490610694435896193,0,10924343,1600937874,0xeed97b6011cba3e936559a249be8d0f72f8656a32adbbbe0acc2bebd37b3e19c,0x1994b59e02cd0d09d839b03660c205e88a929b81,0x56bff579860433efad9be40806a5be28169b7607
