id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0xb7e16808290b730fccac7f1ec437ae7f08ffd6af,110000000000000000,0.11,1,[{'id': '0xb7e16808290b730fccac7f1ec437ae7f08ffd6af'}],[],0,[]
0xb7e85fa9426ffdb195b4a91f0ea84b9b638e3e8f,100000000000000000,0.1,1,[{'id': '0xb7e85fa9426ffdb195b4a91f0ea84b9b638e3e8f'}],"[{'id': '0xb7e85fa9426ffdb195b4a91f0ea84b9b638e3e8f-25', 'choice': 'FOR', 'weight': '100000000000000000', 'proposal': {'id': '25'}}]",1,[]
0xb7eeb22e203fc5c48e8fe87217b58f7b5c72a3cb,0,0,1,[{'id': '0xb7eeb22e203fc5c48e8fe87217b58f7b5c72a3cb'}],[],0,[]
0xb7ef1167124e563cd9da2307bbb96f9b696a68e1,442851651450135916,0.442851651450135916,1,[{'id': '0xb7ef1167124e563cd9da2307bbb96f9b696a68e1'}],"[{'id': '0xb7ef1167124e563cd9da2307bbb96f9b696a68e1-25', 'choice': 'FOR', 'weight': '442851651450135916', 'proposal': {'id': '25'}}]",1,[]
0xb7f38ad6b2c00dffd3402baa580b6beaf70c0a3b,62119506304723473,0.062119506304723473,3,"[{'id': '0x0d3cf32f9f0cd96a11cbf1ab92c8ae9db47df0e5'}, {'id': '0xb7f38ad6b2c00dffd3402baa580b6beaf70c0a3b'}]",[],0,[]
0xb7fa46bd0ae3ee01c5b4d17ca3723de061c988bc,20000000000000000000,20,1,[{'id': '0xb7fa46bd0ae3ee01c5b4d17ca3723de061c988bc'}],"[{'id': '0xb7fa46bd0ae3ee01c5b4d17ca3723de061c988bc-11', 'choice': 'FOR', 'weight': '20000000000000000000', 'proposal': {'id': '11'}}, {'id': '0xb7fa46bd0ae3ee01c5b4d17ca3723de061c988bc-13', 'choice': 'FOR', 'weight': '20000000000000000000', 'proposal': {'id': '13'}}, {'id': '0xb7fa46bd0ae3ee01c5b4d17ca3723de061c988bc-24', 'choice': 'FOR', 'weight': '20000000000000000000', 'proposal': {'id': '24'}}]",3,[]
0xb7fa4f2f99870905b81c3aadb4d32447043ce13c,49138240976120197,0.049138240976120197,1,[{'id': '0xb7fa4f2f99870905b81c3aadb4d32447043ce13c'}],"[{'id': '0xb7fa4f2f99870905b81c3aadb4d32447043ce13c-25', 'choice': 'FOR', 'weight': '49138240976120197', 'proposal': {'id': '25'}}]",1,[]
0xb7fb446670cdbb3261139a24da2c0c6f532e363c,1000000000000000000,1,1,[{'id': '0xb7fb446670cdbb3261139a24da2c0c6f532e363c'}],"[{'id': '0xb7fb446670cdbb3261139a24da2c0c6f532e363c-17', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '17'}}]",1,[]
0xb7fc36366f0fbfe0c29f62ed4fbee5b62ded0d4a,5470000000000000000,5.47,1,[{'id': '0xb7fc36366f0fbfe0c29f62ed4fbee5b62ded0d4a'}],[],0,[]
0xb7fcf76ac6501b01c9eed88ea9f17ebbc070029f,2010000000000000000,2.01,1,[{'id': '0xb7fcf76ac6501b01c9eed88ea9f17ebbc070029f'}],"[{'id': '0xb7fcf76ac6501b01c9eed88ea9f17ebbc070029f-25', 'choice': 'FOR', 'weight': '2010000000000000000', 'proposal': {'id': '25'}}]",1,[]
0xb7fd64533c25c0f9efe1bc4b1a7b16156eb507cb,1050000000000000000,1.05,1,[{'id': '0xb7fd64533c25c0f9efe1bc4b1a7b16156eb507cb'}],"[{'id': '0xb7fd64533c25c0f9efe1bc4b1a7b16156eb507cb-11', 'choice': 'FOR', 'weight': '1050000000000000000', 'proposal': {'id': '11'}}, {'id': '0xb7fd64533c25c0f9efe1bc4b1a7b16156eb507cb-13', 'choice': 'FOR', 'weight': '1050000000000000000', 'proposal': {'id': '13'}}]",2,[]
0xb800b2ece3e20d64fc1899c4a5e6191fcdcadcbb,4000000000000000000,4,2,[{'id': '0xb800b2ece3e20d64fc1899c4a5e6191fcdcadcbb'}],"[{'id': '0xb800b2ece3e20d64fc1899c4a5e6191fcdcadcbb-25', 'choice': 'FOR', 'weight': '4000000000000000000', 'proposal': {'id': '25'}}]",1,[]
