id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xde1b98-0xd3c7b95ed53f6b9b2a9d61026acb85aa81beb1fa,0,1,14556056,1649568051,0xa19380b4dffc22d28f91c7b7a022c7358cd8c64e84d344cae45411839d609fdb,0xd3c7b95ed53f6b9b2a9d61026acb85aa81beb1fa,0xd3c7b95ed53f6b9b2a9d61026acb85aa81beb1fa
0xde1c0d-0xd630a017d6d9dd8e231e1c92cbb46e5498f9c43a,0,1.05,14556173,1649569755,0x9b62f08009448dff8cdc153a015daacc0f5629a8e0be0e536a2b0a04ea6c38af,0xd630a017d6d9dd8e231e1c92cbb46e5498f9c43a,0xd630a017d6d9dd8e231e1c92cbb46e5498f9c43a
0xde1c16-0xf5c957c694266d796a7ae7ec0e09492e0eb4d22a,0,0.01,14556182,1649569852,0x089d7ffe8426bcfa02b097f23379325a98e1a9f6f6451e1f8497fd9353392251,0xf5c957c694266d796a7ae7ec0e09492e0eb4d22a,0xf5c957c694266d796a7ae7ec0e09492e0eb4d22a
0xde1c18-0x349518386f03105ad816dc14725f845b5c6c021a,0,0.11,14556184,1649569866,0x53ada68fb8ff1ee0aad7e0f91710d3e4dce8ffa8c43a5dacdb5a3a90263edee1,0x349518386f03105ad816dc14725f845b5c6c021a,0x349518386f03105ad816dc14725f845b5c6c021a
0xde1c1b-0x5af2cc8b37d028f79f2f3d1201731b8165e88a91,0,0.11,14556187,1649569916,0x9edd2849d9a65a489928fe734cff05e454a201ec4fe9439b3cb5aa396e70fa25,0x5af2cc8b37d028f79f2f3d1201731b8165e88a91,0x5af2cc8b37d028f79f2f3d1201731b8165e88a91
0xde1c1c-0x15e5404e5eabea34c2b242814ad8864d048e2c50,0,0.11,14556188,1649569953,0xa0bbd59f224d1ff35583aa59b40575629c385233d2d6c1d9ffaf794c371df424,0x15e5404e5eabea34c2b242814ad8864d048e2c50,0x15e5404e5eabea34c2b242814ad8864d048e2c50
0xde1c1c-0x50fe9c8c5c3ba40584c956523b75d4401d4beec7,0,0.11,14556188,1649569953,0x9ecf17b94af5dd7d98c4012c009e95b09f2dc704b745e7e78cf49f5bedd0172c,0x50fe9c8c5c3ba40584c956523b75d4401d4beec7,0x50fe9c8c5c3ba40584c956523b75d4401d4beec7
0xde1c1c-0xfa0df2d4fbaa8571d5acfd116a06acc1e8247a67,0,0.11,14556188,1649569953,0x5bf82c47d6d3d139ddc392b2ff45d70debb3a2816ce0a929bfc9c45d671c9a81,0xfa0df2d4fbaa8571d5acfd116a06acc1e8247a67,0xfa0df2d4fbaa8571d5acfd116a06acc1e8247a67
0xde1c1d-0x4beb366d5e5e795fcdb49ebac9c2f6209d89958b,0,0.11,14556189,1649569958,0x1abb48803d2666afd1735e455c9fc48204ead5f2060b92d3935c7172435b6357,0x4beb366d5e5e795fcdb49ebac9c2f6209d89958b,0x4beb366d5e5e795fcdb49ebac9c2f6209d89958b
0xde1c1d-0x5a0f7e4f28c5bb211638fb0929edd496859db641,0,0.11,14556189,1649569958,0x8d5f0fdf0872d5825b191f4ae1866ec2d2a4d0ff806837aaef20fdfdd7b4ad4a,0x5a0f7e4f28c5bb211638fb0929edd496859db641,0x5a0f7e4f28c5bb211638fb0929edd496859db641
0xde1c78-0x5995fcff23f84bbb21a922658cfdcb366cf204e9,0,0.1,14556280,1649571373,0xcf4d6cf2490ab8eb228c0a2213135b2236dc72697ab994a1ff1fb031841844f1,0x5995fcff23f84bbb21a922658cfdcb366cf204e9,0x5995fcff23f84bbb21a922658cfdcb366cf204e9
0xde1c9a-0x762aeadf66b83896aaa50581d063c7fdd33e8f2b,0,0.11,14556314,1649571861,0x2bb2302f2e9ff73160de91281c870b1e78ed825dfe04ac7c51aa5ef68c915ef5,0x762aeadf66b83896aaa50581d063c7fdd33e8f2b,0x762aeadf66b83896aaa50581d063c7fdd33e8f2b
0xde1ca0-0x6a1ff32ad80b51333b2533b1690abf014c765958,0,0.11,14556320,1649571905,0x689a22f551feae1fb928505d508dcf72dbf345cb0b79cdb62959a224efe01fc8,0x6a1ff32ad80b51333b2533b1690abf014c765958,0x6a1ff32ad80b51333b2533b1690abf014c765958
0xde1ca1-0x8e281375e0ccd906e220d10af1a54f0cefd8f72e,0,0.11,14556321,1649571949,0x616740371b813b89f61125d37e8e313cbe23b2750e6239db4461a2b38c3386ff,0x8e281375e0ccd906e220d10af1a54f0cefd8f72e,0x8e281375e0ccd906e220d10af1a54f0cefd8f72e
0xde1ca2-0xacfb77160f35098d9116dea82c55a114b62e90da,0,0.11,14556322,1649571968,0x134e64aac8e97b3d98d49ae265e9ae776e59183c1d7bdaaa2809dd2726218a53,0xacfb77160f35098d9116dea82c55a114b62e90da,0xacfb77160f35098d9116dea82c55a114b62e90da
0xde1ca2-0xf56f7620c2b05dd58fe681067a3c256512e61b0b,0,0.11,14556322,1649571968,0xff789f2977e44e087d005cdb3fd615ea90151e1434de29731b8dd006c42f07c3,0xf56f7620c2b05dd58fe681067a3c256512e61b0b,0xf56f7620c2b05dd58fe681067a3c256512e61b0b
0xde1ca3-0x55975e3aa2e95cbc7deb6f3446fca3ed0e33bb6c,0,0.11,14556323,1649571978,0x22ab83aaaa10f49fe42de211903868f2d6460f3ccb987fcf8bf706bf22e40128,0x55975e3aa2e95cbc7deb6f3446fca3ed0e33bb6c,0x55975e3aa2e95cbc7deb6f3446fca3ed0e33bb6c
0xde1cb3-0x6c90f4e1a21a47dd324c79c9ac19e81d6d8d3891,0,0.11,14556339,1649572211,0xee7dea40b11e8f6e9caa1caae8b21bc1fd479edd7f5b35cee53c1950897f134e,0x6c90f4e1a21a47dd324c79c9ac19e81d6d8d3891,0x6c90f4e1a21a47dd324c79c9ac19e81d6d8d3891
0xde1cb7-0xf2db638eb69d2eeccb3583e60972ad52861c11a1,0,0.1,14556343,1649572262,0xc6abc0be38c9bcb4ea423f557ed3f4a7fa7f00c5bfaf27792b32a3cefef53d9d,0xf2db638eb69d2eeccb3583e60972ad52861c11a1,0xf2db638eb69d2eeccb3583e60972ad52861c11a1
0xde1cc0-0x2ae650fb8f463bac26699a6b4744e5cda229fa68,0,0.1,14556352,1649572440,0xd21de5220a4f538effef875869b8ae59d8b0e194ea68065d7fbe533c031ea659,0x2ae650fb8f463bac26699a6b4744e5cda229fa68,0x2ae650fb8f463bac26699a6b4744e5cda229fa68
0xde1cd7-0x3fa0817839e94b4f851b84bcdd67866b333f78fa,0,0.1,14556375,1649572641,0xd58d398d6225eef4713474b82c307c8bf8856de86d908af062b501bd6951c2ec,0x3fa0817839e94b4f851b84bcdd67866b333f78fa,0x3fa0817839e94b4f851b84bcdd67866b333f78fa
0xde1ce2-0x9ad436b7bb3b3818e966144bfc598c260c8de7c8,0,0.1,14556386,1649572792,0xa765cb9ebbc3b88df9a7dcd573d869b5f9685ff832d6f823f1cc0762be04cb2a,0x9ad436b7bb3b3818e966144bfc598c260c8de7c8,0x9ad436b7bb3b3818e966144bfc598c260c8de7c8
