id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
10-18973,29991697905952796343857008,502708543268000000000000,30494406449220796343857008,1639348104,13793093,10
10-18974,30231319327990340873974283,502708543268000000000000,30734027871258340873974283,1639419171,13798433,10
10-18975,40881801255826313846801542,503009409394981999417990,41384810665221295846219532,1639516557,13805663,10
10-18976,58882985972673039593991259,503009409394981999417990,59385995382068021593409249,1639611949,13812790,10
10-18977,66383116172038119263091466,503009409394981999417990,66886125581433101262509456,1639680726,13817910,10
10-18978,71481351264878763563673855,503009409394981999417990,71984360674273745563091845,1639757547,13823616,10
10-18979,72126216202013956381033680,503009409394981999417990,72629225611408938380451670,1639799384,13826764,10
11-19054,12371603131857262255693164,1000031140000000000,12371604131888402255693164,1646346376,14316700,11
11-19055,29875196062800307628505265,4000031140000000000,29875200062831447628505265,1646435305,14323363,11
11-19056,36276078450633245049007688,6420668290000000000,36276084871301535049007688,1646494578,14327703,11
11-19057,39851801470100113974486868,6420668290000000000,39851807890768403974486868,1646580516,14334143,11
11-19058,59376659026588677477450377,1261705797738177112812,59377920732386415654563189,1646697191,14342817,11
11-19059,69910847147131736019938292,1261705797738177112812,69912108852929474197051104,1646761655,14347579,11
11-19060,77413341325336845912395635,1261705797738177112812,77414603031134584089508447,1646805367,14350873,11
13-19072,5001041948880840172717942,0,5001041948880840172717942,1647900978,14432335,13
13-19073,18903379068923516538040374,1282211465623333523347,18904661280389139871563721,1647990569,14438993,13
13-19074,32406720006950567460551175,2501782211465623333523347,37408502218416190794074522,1648056821,14443914,13
13-19075,36809018013047588310480339,2501782211465623333523347,41810800224513211644003686,1648139851,14450100,13
13-19076,43007998799525379446057074,2501782211465623333523347,48009781010991002779580421,1648243268,14457797,13
13-19077,47508334203146055394727587,2502510106007254479780440,52510844309153309874508027,1648338108,14464835,13
13-19078,50509984144474254347592992,11887306860405356334389260,64897291004879610681982252,1648411109,14470276,13
14-19085,3500482609468444786918948,0,3500482609468444786918948,1649025255,14515840,14
14-19086,11432336622710260510183654,0,11432336622710260510183654,1649091949,14520754,14
14-19087,24932366086014000382306465,0,24932366086014000382306465,1649196938,14528556,14
14-19088,41060442773478618580786520,0,41060442773478618580786520,1649288851,14535374,14
14-19089,43770244642644003964376108,0,43770244642644003964376108,1649369936,14541399,14
14-19090,43772732767899977958999454,0,43772732767899977958999454,1649453831,14547574,14
14-19091,43772750267899977958999454,0,43772750267899977958999454,1649472616,14548939,14
16-19104,3155000245235990464,0,3155000245235990464,1650671936,14637767,16
16-19105,14313979861526227720102529,1470702544188000000000,14315450564070415720102529,1650743474,14643060,16
16-19106,14817914043209092347582319,1470702544188000000000,15025661124198403106320706,1650831724,14649513,16
16-19107,21819731421956020589876713,1470702544188000000000,22027478502945331348615100,1650912358,14655466,16
16-19108,50055433845682812937422449,1470702544188000000000,50263180926672123696160836,1651013543,14662883,16
16-19109,59555537290196967615244101,1470702544188000000000,59763284371186278373982488,1651093831,14668818,16
16-19110,59555937507564967615244101,1470702544188000000000,59763684588554278373982488,1651119343,14670701,16
16-19111,59556015203914446808040815,1470702544188000000000,59763762284903757566779202,1651211909,14677491,16
17-19120,25999099956973314638949,0,25999099956973314638949,1652054321,14739150,17
17-19121,2529115128730325682565139,0,2529115128730325682565139,1652128053,14744459,17
17-19122,2529220136996344815867353,0,2529220136996344815867353,1652215443,14750724,17
17-19123,5029243527023762083929351,0,5029243527023762083929351,1652247335,14753031,17
18-19120,12594345411919332510895,0,12594345411919332510895,1652054235,14739144,18
18-19121,2512973172447084960248010,0,2512973172447084960248010,1652112630,14743335,18
18-19122,2514086930030301855699934,0,2514086930030301855699934,1652195598,14749290,18
19-19125,5001093267512073912603303,0,5001093267512073912603303,1652479109,14769923,19
19-19126,8501718448690290084212980,0,8501718448690290084212980,1652571809,14776613,19
19-19127,11232192354683232609992263,0,11232192354683232609992263,1652658452,14782927,19
19-19128,28913083239773786257173689,2678180268000000000000,28915761420041786257173689,1652740698,14788908,19
19-19129,45556445820431669413166192,2678180268000000000000,45559124000699669413166192,1652827493,14795224,19
19-19130,50690666422903210431424728,3078180268000000000000,50693744603171210431424728,1652916347,14801658,19
19-19131,50690718409614185736808967,3078180268000000000000,50693796589882185736808967,1652951272,14804119,19
20-19125,2500039938905105145947420,0,2500039938905105145947420,1652485183,14770367,20
20-19126,6002991838509111668491075,0,6002991838509111668491075,1652571805,14776612,20
20-19127,8723620169086523621272289,0,8723620169086523621272289,1652658827,14782954,20
20-19128,26404675737652268613989537,2678180268000000000000,26407353917920268613989537,1652742253,14789028,20
20-19129,43048715742992232322324127,2678180268000000000000,43051393923260232322324127,1652831955,14795547,20
20-19130,46067073597218748307194537,3078180268000000000000,46070151777486748307194537,1652907072,14800987,20
20-19131,46068699041539566141867353,3078180268000000000000,46071777221807566141867353,1652988077,14806711,20
20-19132,46069208595768571304109744,3078180268000000000000,46072286776036571304109744,1653033432,14809899,20
22-19161,2502609692025079348892059,1000000000000000000,2502610692025079348892059,1655596554,14987797,22
22-19162,5027404578037441041091157,1000000000000000000,5027405578037441041091157,1655683159,14993519,22
