id,description,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,creationBlock,votes,startBlock,endBlock,proposer.id
1,"Accept gov for yamHOUSE treasury manager, deposit 810k yUSD to yamHOUSE, withdraw from feb uGAS, deposit to mar uGAS, distribute UMA rewards",EXECUTED,9462,1151,0,17,0,17,0,391269777597004875508257511929,0,391269777597004875508257511929,11824829,"[{'choice': 'FOR', 'weight': '6102425536927418438705940290', 'voter': {'id': '0x0c18cc3a37e6969df5cce67d1579d645115b4861'}}, {'choice': 'FOR', 'weight': '155917860147247649232678878977', 'voter': {'id': '0x46499275b5c4d67dfa46b92d89aada3158ea392e'}}, {'choice': 'FOR', 'weight': '338712280002546836763208801', 'voter': {'id': '0x668c6f75486d6882a1aacf7bf03eee605c96fdad'}}, {'choice': 'FOR', 'weight': '7998160072189699795451393457', 'voter': {'id': '0x6df3f5527c37e5623e1de2ff49b22adbe81a1573'}}, {'choice': 'FOR', 'weight': '1998941799472919931393492644', 'voter': {'id': '0x7e3b9e461d1ccd4d0ec4cf09fc1de9d6d4e335ac'}}, {'choice': 'FOR', 'weight': '1199365079683751958836095', 'voter': {'id': '0xa021ee049726b5040d28e5960dd8852497fcdb78'}}, {'choice': 'FOR', 'weight': '599721339713232510983631380', 'voter': {'id': '0xaaab28818f71c96e13518025cc063a1ca6f4fd58'}}, {'choice': 'FOR', 'weight': '39979203029097076606526572321', 'voter': {'id': '0xbc9e59f9fbb048f7d0faa593a0d197d420653572'}}, {'choice': 'FOR', 'weight': '227409488038255929414547215', 'voter': {'id': '0xc7ee3b9778e6192ec7a1ef984c786e59d2990eab'}}, {'choice': 'FOR', 'weight': '1199365079683751958836095', 'voter': {'id': '0xcd4187cb8ff7bcfbef99cf6507a77797ada83dfd'}}, {'choice': 'FOR', 'weight': '39896185022240590392854984', 'voter': {'id': '0xd1758e9d0253b308895919c21ea9b0a8ff1f56ed'}}, {'choice': 'FOR', 'weight': '1199365079683751958836095', 'voter': {'id': '0xdce054fa9eae18fb30e35bfe233abc9b18114615'}}, {'choice': 'FOR', 'weight': '1199365079683751958836095', 'voter': {'id': '0xebd489053bbd9eab38e2ee03d6877c69fc92793b'}}, {'choice': 'FOR', 'weight': '90362875995288776150491241899', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}, {'choice': 'FOR', 'weight': '1436909263435711496390144', 'voter': {'id': '0xf4880975728ee25a96c701c225c9ef58eebe5a5b'}}, {'choice': 'FOR', 'weight': '577159838220723850839046750', 'voter': {'id': '0xf8dfdb95ea8acb8eaee9c092ce54d4a35fe966fe'}}, {'choice': 'FOR', 'weight': '87121177516202164915284968687', 'voter': {'id': '0xfff67ae3db6e09b78825a7aa5cbe323cfb9dc632'}}]",11824830,11837175,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
10,"Approve StreamManager for VestingPool, approve StreamManager for MonthlyAllowance, send UMA to distributor",ACTIVE,13378,1889,0,6,0,6,0,132585090533711459488057160940,0,132585090533711459488057160940,12771975,"[{'choice': 'FOR', 'weight': '4962155153300036720970515643', 'voter': {'id': '0x01e0c7b70e0e05a06c7cc8deeb97fa03d6a77c9c'}}, {'choice': 'FOR', 'weight': '3531610769519659412175562593', 'voter': {'id': '0x392027fdc620d397ca27f0c1c3dcb592f27a4dc3'}}, {'choice': 'FOR', 'weight': '4745620039009704510096963897', 'voter': {'id': '0x88c868b1024ecaefdc648eb152e91c57dea984d0'}}, {'choice': 'FOR', 'weight': '447215222810428432304060368', 'voter': {'id': '0xd7ac4581ef4e2bb6cc3734da183b981bfd0ee2a2'}}, {'choice': 'FOR', 'weight': '115388526778860469587234112263', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}, {'choice': 'FOR', 'weight': '3509962570211160825275946176', 'voter': {'id': '0xffdcabffb9ec425fd0b469ef626c844cb68670e8'}}]",12771976,12784321,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
11,"Approve StreamManager for VestingPool, approve StreamManager for MonthlyAllowance, send UMA to distributor",EXECUTED,13380,1888,0,7,0,7,0,339545124179873384531370373930,0,339545124179873384531370373930,12790839,"[{'choice': 'FOR', 'weight': '351361280749907466182996422', 'voter': {'id': '0x3fc333caa03eb3423b1ece56fd187fc71807cbf8'}}, {'choice': 'FOR', 'weight': '48081057935869229981372250451', 'voter': {'id': '0x683a78ba1f6b25e29fbbc9cd1bfa29a51520de84'}}, {'choice': 'FOR', 'weight': '4697491244824740323502392615', 'voter': {'id': '0xbdac5657edd13f47c3dd924eaa36cf1ec49672cc'}}, {'choice': 'FOR', 'weight': '174021666741819833548468741754', 'voter': {'id': '0xccd72bea12f3927063be3d8798a4b74082713cb5'}}, {'choice': 'FOR', 'weight': '2804817324871558595247301423', 'voter': {'id': '0xdadc6f71986643d9e9cb368f08eb6f1333f6d8f9'}}, {'choice': 'FOR', 'weight': '1738281457875101701641108252', 'voter': {'id': '0xe4d229bfe5202aa41379a352ff220931333f6598'}}, {'choice': 'FOR', 'weight': '107850448193863012914955583013', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",12790840,12803185,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
12,"Approve BulkPayer for VestingPool, send USDC to BulkPayer, send YAM to BulkPayer, Delegate INDEX",CANCELED,13454,1892,1,0,0,1,114868466358835461046608208561,0,0,114868466358835461046608208561,12962631,"[{'choice': 'AGAINST', 'weight': '114868466358835461046608208561', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",12962632,12974977,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
13,"Approve BulkPayer for VestingPool, send USDC to BulkPayer, send YAM to BulkPayer, Delegate INDEX",EXECUTED,13455,1892,0,3,0,3,0,404297435502092889376136294414,0,404297435502092889376136294414,12966788,"[{'choice': 'FOR', 'weight': '48081057935869229981372213038', 'voter': {'id': '0x683a78ba1f6b25e29fbbc9cd1bfa29a51520de84'}}, {'choice': 'FOR', 'weight': '240593507142085212398134446081', 'voter': {'id': '0xccd72bea12f3927063be3d8798a4b74082713cb5'}}, {'choice': 'FOR', 'weight': '115622870424138446996629635295', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",12966789,12979134,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
14,"Setup proposl for swapper/vestingPool/indexStaking, whitelist withdrawals for contrib. payments/treasury rebalance, send YAM to multisig, withdraw sushi to reserves",EXECUTED,13530,1894,0,3,0,3,0,421401756020569034765437598465,0,421401756020569034765437598465,13185455,"[{'choice': 'FOR', 'weight': '48081057935869229981372213038', 'voter': {'id': '0x683a78ba1f6b25e29fbbc9cd1bfa29a51520de84'}}, {'choice': 'FOR', 'weight': '244437627981910881854244283144', 'voter': {'id': '0xccd72bea12f3927063be3d8798a4b74082713cb5'}}, {'choice': 'FOR', 'weight': '128883070102788922929821102283', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",13185456,13197801,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
15,"Setup proposol as sub gov on indexStaking/vestingPool and uGas/uStonks/uPunks farming, whitelist withdrawals for farming/lping/multisig funding, update YAM implementation to add burning capability",EXECUTED,13538,1895,0,2,0,2,0,405512641022489510328403202217,0,405512641022489510328403202217,13232498,"[{'choice': 'FOR', 'weight': '267368236325825464865242009095', 'voter': {'id': '0xccd72bea12f3927063be3d8798a4b74082713cb5'}}, {'choice': 'FOR', 'weight': '138144404696664045463161193122', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",13232499,13244844,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
16,"Setup proposol as sub gov on vestingPool and swapper, approve moving of uGas/uPunks farming and index, whitelist withdrawals for contributor payments, for uGas/uPunks farming, and index sale",EXECUTED,13586,1895,0,3,0,3,0,493987733113561414870070976495,0,493987733113561414870070976495,13379350,"[{'choice': 'FOR', 'weight': '48220983861832334376569757523', 'voter': {'id': '0x683a78ba1f6b25e29fbbc9cd1bfa29a51520de84'}}, {'choice': 'FOR', 'weight': '297084124122444732619035236281', 'voter': {'id': '0xccd72bea12f3927063be3d8798a4b74082713cb5'}}, {'choice': 'FOR', 'weight': '148682625129284347874465982691', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",13379351,13391696,0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2
17,"Contributors previous months comps, previous pay for 2 contributors and vesting pool streams updates.",EXECUTED,13973,1897,0,2,0,2,0,486786978900073815451067889501,0,486786978900073815451067889501,13797845,"[{'choice': 'FOR', 'weight': '406411494215260753364612711042', 'voter': {'id': '0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f'}}, {'choice': 'FOR', 'weight': '80375484684813062086455178459', 'voter': {'id': '0xce1559448e21981911fac70d4ec0c02ca1eff39c'}}]",13797846,13810191,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
18,Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas Merry Christmas,CANCELED,14032,1898,4,1,0,5,573444339281359987023793361299,200000000000000000000000399788,0,773444339281359987023793761087,13866281,"[{'choice': 'FOR', 'weight': '200000000000000000000000399788', 'voter': {'id': '0x5cd5f94a9806a2fd88306bf8fe0473df6bca8fe7'}}, {'choice': 'AGAINST', 'weight': '275891483057996554530914654164', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}, {'choice': 'AGAINST', 'weight': '48220983861832334376569757523', 'voter': {'id': '0x683a78ba1f6b25e29fbbc9cd1bfa29a51520de84'}}, {'choice': 'AGAINST', 'weight': '116650978872566490484403848265', 'voter': {'id': '0xbdac5657edd13f47c3dd924eaa36cf1ec49672cc'}}, {'choice': 'AGAINST', 'weight': '132680893488964607631905101347', 'voter': {'id': '0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2'}}]",13866282,13878627,0x5cd5f94a9806a2fd88306bf8fe0473df6bca8fe7
19,"Contributors comps for december, timelock delay update and vesting pool streams updates.",EXECUTED,14058,1899,0,1,0,1,0,275891483057996554530914654164,0,275891483057996554530914654164,13954973,"[{'choice': 'FOR', 'weight': '275891483057996554530914654164', 'voter': {'id': '0x653d63e4f2d7112a19f5eb993890a3f27b48ada5'}}]",13954974,13967319,0x8a8acf1cecc4ed6fe9c408449164ce2034adc03f
