Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,quorumVotes,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,6.587896338638789e+19,,15236636,1659088064,0x0a1d6d66c3d513d39733a4b7126703ad4f682c6349dfa6c8eb26089c15f6b050,0x0023d9ffe7d793895c5da5833d56c737832ead2b,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,6.587896338638789e-07
FOR,4.1e+19,,15242397,1659165536,0xd744bc00631518392be8940c9793f3471bb98430719970ee4e27a353616622ab,0x00d2432e6af76a8150a7609d7ff11dbe44de8e14,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,4.1e-07
FOR,1.21e+18,,15236309,1659083646,0x3d5251cea2180e860d70350b6a2d3154a5b3cc273931e014b3fb7578b232877a,0x0121ab155dafc3ff69fbb2e822eb497b073ca15c,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,1.2099999999999999e-08
AGAINST,1.1e+17,,15242546,1659167509,0x93a952eb98ebece2bf3bfad7b8670d9a22e8ca6ea6ac3b0f75baf5098dffdb7f,0x01493a435519e620384399d7ed9743eae2d0418c,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,1.1e-09
FOR,0.0,,15247282,1659230630,0x63c07304bcdb0c2519936faeb63c9d4eada4ac90c65f16d20323031c6f34e5e8,0x01b5d144dfe043a23fdd914b51a8330aee551554,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,0.0
FOR,2.858868248e+23,,15255604,1659343157,0x43e2a747cbf49d802832163f2cbb764564a7386f28b964b93d91d91ab97ee1ed,0x01cf9fd2efa5fdf178bd635c3e2adf25b2052712,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,0.0028588682479999995
FOR,0.0,,15263151,1659443770,0x778a0efb7bdcc459e42347933ef54912072c374705e381dc1a973373a385b415,0x0277554798f5393fdb4accf07fbf52cc93ebd207,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,0.0
FOR,1.3e+17,,15242403,1659165606,0x1636df2a74f4b78993fc473208a31b772d1834ca2dfa504713ef0346820dbe17,0x0300359a2e5b48652fdff4bf8cae18c17e5ae2ff,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,1.2999999999999999e-09
FOR,1e+18,,15230748,1659007642,0x44617c7afe66265e10e8ebb6357dcba6c00fa66075eee63f12c3e3894c1ee1c0,0x03f9bb84628bd284686819a5ba7ab5c0193145e6,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,1e-08
AGAINST,1.1e+17,,15242540,1659167342,0xf751638f0e288a7fda67d6ac568c0ec13e3f04d815930cb1cb486d6c48d007e0,0x0419ac56e38609d08018acb55a17bc6787c4738d,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,1.1e-09
FOR,0.0,,15241947,1659158825,0x407583351f9f37ef462dfac87380d7e26de13cbd65a1ec236da929bc34b1479c,0x046a9468c9534fe694c2eef167f80e440abde2ab,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,0.0
FOR,0.0,,15235589,1659073519,0xd6d6b198ee1ef0eba0c5d67814d3fb577b4bf3a1659056057b278ce20a33f615,0x049b11712722d3847441fd0931aa1ee22efc50d3,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,0.0
FOR,0.0,,15262424,1659434430,0xbdd64c0646a5253e7f0d7d48df37af501c38f725b21f86572ce95c057e28a75e,0x051e3985721e397ce2c435306369b6992041756e,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,0.0
FOR,1.21e+18,,15236352,1659084239,0xaf29d4fa399d664f1c8b83c98b058610ddb4f891307cc2017381849cc1dc72e5,0x052705855fda32cac7062b721aaa3d968c944641,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,1.2099999999999999e-08
AGAINST,1.1e+19,,15242425,1659165866,0xf81515883599e5790812542955e969d605eab7564c00acedee297b92401dd148,0x052cd92257aa17b3f965c4b0d3f51f0d223c6950,31,Gitcoin,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2500000000000000000000000,20129,5010,43,495,0,538,106297790660205432998,4701316113732247639964173,0,4701422411522907845397171,1658785944,1658962464,1659505220,0xbe368cc284a8303ae4c76a1870d897cfee2b0812,1e+26,1.0999999999999999e-07
