id,description,state,quorumVotes,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,creationBlock,votes,startBlock,endBlock,proposer.id
1,"""Monthly DAO member payments covering initial six weeks for two members""",CANCELED,20000000000000000000000,3020,6,0,12,0,12,0,31220520156238714169241,0,31220520156238714169241,14975692,"[{'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x040a0c8fd6c4c929648f1ca4aed3745ce3f1eaae'}}, {'choice': 'FOR', 'weight': '26700786197651980656389', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x1638e6e26f49c3b9ee48c03daf1097968c837851'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x20eadfcaf91bd98674ff8fc341d148e1731576a4'}}, {'choice': 'FOR', 'weight': '110271927322064573040', 'voter': {'id': '0x38a02b64ccd5b157062cd2bad9ecd7f85d0b8480'}}, {'choice': 'FOR', 'weight': '25997337060059262199', 'voter': {'id': '0x47a9a2fe26f9ec391cfc6b44f0a104c75f6bbc71'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x4f50d47d20380172746527bbeaa274940c38efac'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x6ae1961c0fd0b5807d5ec64faacd0e335c5742cd'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xa82618668a71bb492d1aaf8948de95d73eb8a243'}}, {'choice': 'FOR', 'weight': '2337170230796961447545', 'voter': {'id': '0xd35d8f5df82f61f2cb84b5871350d2a97b275391'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xdcf1a0b0c03b4df58e052133662a3b74cb9d47e1'}}, {'choice': 'FOR', 'weight': '2046294463407648230068', 'voter': {'id': '0xff34019e145590ebc9402277a780970bbaf9a83a'}}]",14975693,14995631,0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a
10,DAO lead trial period payroll,EXECUTED,20000000000000000000000,3179,14,0,3,0,3,0,37174442347864654714407,0,37174442347864654714407,15398537,"[{'choice': 'FOR', 'weight': '26699548334286036462065', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'FOR', 'weight': '5018179380177545034587', 'voter': {'id': '0x297bf847dcb01f3e870515628b36eabad491e5e8'}}, {'choice': 'FOR', 'weight': '5456714633401073217755', 'voter': {'id': '0xff34019e145590ebc9402277a780970bbaf9a83a'}}]",15398538,15418476,0x297bf847dcb01f3e870515628b36eabad491e5e8
11,Monthly DAO Payroll + Incentives distribution,CANCELED,20000000000000000000000,3346,15,0,1,0,1,0,5456714633401073217755,0,5456714633401073217755,15571204,"[{'choice': 'FOR', 'weight': '5456714633401073217755', 'voter': {'id': '0xff34019e145590ebc9402277a780970bbaf9a83a'}}]",15571205,15591143,0xff34019e145590ebc9402277a780970bbaf9a83a
12,DAO Payroll and Monthly incentive distribution,CANCELED,20000000000000000000000,3346,15,0,1,0,1,0,0,0,0,15592831,"[{'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x4f5ef03e870332a1b42453bbf57b8a041e89efe8'}}]",15592832,15612770,0xff34019e145590ebc9402277a780970bbaf9a83a
13,DAO Payroll and Monthly incentive distribution,EXECUTED,20000000000000000000000,3345,16,1,5,0,6,0,32238531839026616790396,0,32238531839026616790396,15598718,"[{'choice': 'FOR', 'weight': '26741808105625543572561', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'AGAINST', 'weight': '0', 'voter': {'id': '0x3abdb6c900c78dc1856798e63952991d2d648280'}}, {'choice': 'FOR', 'weight': '40009100000000000080', 'voter': {'id': '0x74075d1a2481f25343b32bb1a7bf6336ee42b016'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x8d86df61da1eefa281d263c47c77629a6f9f2c3a'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x9602c750905b2dd6d5f477d68ff218c7dc5b943c'}}, {'choice': 'FOR', 'weight': '5456714633401073217755', 'voter': {'id': '0xff34019e145590ebc9402277a780970bbaf9a83a'}}]",15598719,15618657,0xff34019e145590ebc9402277a780970bbaf9a83a
14,"Attach backup oracle overlay (ETH, chainlink + tellor), ungovern ETH OSM.",EXECUTED,20000000000000000000000,3323,15,0,7,0,7,0,37662217829646099564563,0,37662217829646099564563,15684722,"[{'choice': 'FOR', 'weight': '26769808105625543572604', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'FOR', 'weight': '827925380735256124174', 'voter': {'id': '0x1638e6e26f49c3b9ee48c03daf1097968c837851'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x5b78d237fbb7485844701961f52f26771bf169db'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x65274e52b12e0cfac2cc42bc4fb971447507c5e2'}}, {'choice': 'FOR', 'weight': '40009100000000000080', 'voter': {'id': '0x74075d1a2481f25343b32bb1a7bf6336ee42b016'}}, {'choice': 'FOR', 'weight': '4572902640209852504392', 'voter': {'id': '0xd35d8f5df82f61f2cb84b5871350d2a97b275391'}}, {'choice': 'FOR', 'weight': '5451572603075447363313', 'voter': {'id': '0xff34019e145590ebc9402277a780970bbaf9a83a'}}]",15684723,15704661,0xff34019e145590ebc9402277a780970bbaf9a83a
15,DAO Payroll + Monthly incentives distro,EXECUTED,20000000000000000000000,3326,15,0,3,0,3,0,36794283348910843440309,0,36794283348910843440309,15792242,"[{'choice': 'FOR', 'weight': '26769808105625543572604', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'FOR', 'weight': '4572902640209852504392', 'voter': {'id': '0xd35d8f5df82f61f2cb84b5871350d2a97b275391'}}, {'choice': 'FOR', 'weight': '5451572603075447363313', 'voter': {'id': '0xff34019e145590ebc9402277a780970bbaf9a83a'}}]",15792243,15812181,0xff34019e145590ebc9402277a780970bbaf9a83a
2,Monthly DAO Payments - July 2022,EXECUTED,20000000000000000000000,3040,9,0,7,0,7,0,29120652127396249060709,0,29120652127396249060709,15056277,"[{'choice': 'FOR', 'weight': '26700786197651980656389', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'FOR', 'weight': '25997337060059262199', 'voter': {'id': '0x47a9a2fe26f9ec391cfc6b44f0a104c75f6bbc71'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x63c80fe5b716d2e5c937a8fe787aa17df59d4344'}}, {'choice': 'FOR', 'weight': '1007967605247694576', 'voter': {'id': '0x85d33380514aba3ae6cf1c58ad9717a2b1cf0272'}}, {'choice': 'FOR', 'weight': '2392860625078961447545', 'voter': {'id': '0xd35d8f5df82f61f2cb84b5871350d2a97b275391'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xd48222f17bdd76821d426dc2637168d2fd06e4cc'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xf6f762b41200699ce7f3f02b1dfc84a995152f72'}}]",15056278,15076216,0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a
3,Start three year Sablier stream for DAO member,EXECUTED,20000000000000000000000,3057,10,0,6,0,6,0,30192768718601785220603,0,30192768718601785220603,15087767,"[{'choice': 'FOR', 'weight': '26717786197651980656425', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x1638e6e26f49c3b9ee48c03daf1097968c837851'}}, {'choice': 'FOR', 'weight': '1025997337060059262199', 'voter': {'id': '0x47a9a2fe26f9ec391cfc6b44f0a104c75f6bbc71'}}, {'choice': 'FOR', 'weight': '1285458810783854434', 'voter': {'id': '0x6ae1961c0fd0b5807d5ec64faacd0e335c5742cd'}}, {'choice': 'FOR', 'weight': '2392860625078961447545', 'voter': {'id': '0xd35d8f5df82f61f2cb84b5871350d2a97b275391'}}, {'choice': 'FOR', 'weight': '54839100000000000000', 'voter': {'id': '0xf6f762b41200699ce7f3f02b1dfc84a995152f72'}}]",15087768,15107706,0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a
4,Mint 169K FLX for the DAO,EXECUTED,20000000000000000000000,3070,13,0,3,0,3,0,27910389722203572860397,0,27910389722203572860397,15122514,"[{'choice': 'FOR', 'weight': '26717786197651980656425', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'FOR', 'weight': '600000000000000000025', 'voter': {'id': '0x1638e6e26f49c3b9ee48c03daf1097968c837851'}}, {'choice': 'FOR', 'weight': '592603524551592203947', 'voter': {'id': '0x47a9a2fe26f9ec391cfc6b44f0a104c75f6bbc71'}}]",15122515,15142453,0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a
5,Fixing 3 year Sablier stream for DAO Member (fixes proposal #3),EXECUTED,20000000000000000000000,3107,13,0,14,0,14,0,30573625609679548016475,0,30573625609679548016475,15213592,"[{'choice': 'FOR', 'weight': '26717786197651980656425', 'voter': {'id': '0x084fd804f2fafefb7a92c77579a4cb8cf48cc57a'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x1de6f40450b582dd72266d5f57f06ecac902bb46'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x39936278f0d3ccfe59daf1675bbc5b685724df25'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x4094414d366c338857d01990b53dd2c74946af56'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x4dad4f9387cc172386c1c0edfc4a75f44bfd50d2'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x658b7db7dd6f150ebacf041b121625fd1ce8f337'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x7c168ad9bde07c6ee9b0fb7dcccda95be40a5526'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x8440a278bf45b693e28af16d33f89bc7e250cc4a'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x8df4b1bc59514b960ffa89ebb1bb39e6f8c61320'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0x9fc63e8b9a41dd4048fdf5cd96afd314002b0074'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xb0ee22783e34382fdd3abfe924814a0da522ffac'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xb7d0f64f39502c46c06e9232591af0a5927b8e2b'}}, {'choice': 'FOR', 'weight': '0', 'voter': {'id': '0xc61187220c292735c0ee43673da540e3662c6a06'}}, {'choice': 'FOR', 'weight': '3855839412027567360050', 'voter': {'id': '0xff34019e145590ebc9402277a780970bbaf9a83a'}}]",15213593,15233531,0xff34019e145590ebc9402277a780970bbaf9a83a
