,id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id,dao,Offchains,choices
0,0xe5ef869ca975c18b31beee51ed6a5bbade86ece9-110,FOR,2.95e+17,,15794728,1666334183,0xb2e92398cdf61f79a5fee92d02b8596feabc9328f28b7b106db7b546e879d717,0xe5ef869ca975c18b31beee51ed6a5bbade86ece9,110,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
1,0xe5ef869ca975c18b31beee51ed6a5bbade86ece9-111,FOR,2.95e+17,,15817038,1666603307,0xe14c74428c658ca37d640f2bea8d74a1a469b87a1cea4955d130492a4c956a7b,0xe5ef869ca975c18b31beee51ed6a5bbade86ece9,111,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
2,0xe5ef869ca975c18b31beee51ed6a5bbade86ece9-112,FOR,2.95e+17,,15802330,1666425851,0x00e9ad99e383ca573e335821a0a0078faf4303bae528a5297ec28797b43b6123,0xe5ef869ca975c18b31beee51ed6a5bbade86ece9,112,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
3,0xe606a84769f24508a84ff53f0dde1aaaefaeee27-90,FOR,2.2e+16,,15222834,1658902957,0x2c32feec6b5213ea432023caa674eb920e735968b0f5fd113cd1c89d8ae81eff,0xe606a84769f24508a84ff53f0dde1aaaefaeee27,90,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
4,0xe6091045895f64067db10a46c52de1a528024785-104,FOR,1.0945106996e+17,,15694763,1665128051,0xaa2a3ed91bc8647e2432a565f7b2f553523aa132c80fc7fb309a9751a9403bd8,0xe6091045895f64067db10a46c52de1a528024785,104,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
5,0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b-65,FOR,1e+18,,14343029,1646699985,0x5b8685fa0e07bf517e8410a532c1ff7f5c53df64661de0c32f56492b3752bfbb,0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b,65,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
6,0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b-71,FOR,2.39340174e+18,,14713629,1651704082,0x06167317d34220f911d6ff34bc94642b0533f053fd8c1ef7cd8c4a703d57bdec,0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b,71,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
7,0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b-75,FOR,2.39340174e+18,,14787522,1652721113,0x555db1df2ab5083bd0d59ab353e7f6b80d76df32721fb3591892e306e3d87ed8,0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b,75,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
8,0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b-76,FOR,2.39340174e+18,,14799286,1652883067,0x1e00935c3d788666739125b5077ec0ea82215e118b7c393dfe7eb26838d09234,0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b,76,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
9,0xe62c3a99dd09c581cf8d107747bc54894aa68631-109,FOR,1.32341488544692e+17,,15780720,1666165187,0x00d59d6cfbfa1deb2481f783347048a9f9b2af17249733e620431de753d24e94,0xe62c3a99dd09c581cf8d107747bc54894aa68631,109,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
10,0xe62e3556927ba040d0f05b0ca2192382cfc1ba45-97,FOR,1.5e+16,,15462163,1662163126,0xf33a734a7c16e86fef4f250ae5faf665c594e10315fa75b24a051bc923cbca7c,0xe62e3556927ba040d0f05b0ca2192382cfc1ba45,97,AaveV2,0,"['FOR', 'AGAINST', 'ABSTAIN']"
