,id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id,dao,Offchains,choices
0,0x097c39e5e576a8706404cd0d81e05b522f5bcaff-3,FOR,5.408338768535006e+22,,13613484,1636886215,0x13edf76091cae2a1e73378cc2d5d2608e3f67b16950c1eb81d832b34b65ef042,0x097c39e5e576a8706404cd0d81e05b522f5bcaff,3,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
1,0x097c39e5e576a8706404cd0d81e05b522f5bcaff-4,FOR,1.905823943027989e+23,,13998071,1642088838,0x09061f6e4aa7e4f51df5464b4401efe3650482ca91a378e5f26e7cb96bcf5b67,0x097c39e5e576a8706404cd0d81e05b522f5bcaff,4,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
2,0x097c39e5e576a8706404cd0d81e05b522f5bcaff-5,FOR,1.66397169153305e+23,,14073836,1643101356,0x954ee1e0fd907f0c0bd115e595ad7ad0404901964bc8071ccba50c7f84801a23,0x097c39e5e576a8706404cd0d81e05b522f5bcaff,5,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
3,0x097c39e5e576a8706404cd0d81e05b522f5bcaff-6,FOR,1.9618116311771833e+23,,14761803,1652368755,0x660dc5e746462a1eed90874c0c2570200483091b53dfba6cd475215882af95a4,0x097c39e5e576a8706404cd0d81e05b522f5bcaff,6,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
4,0x097c39e5e576a8706404cd0d81e05b522f5bcaff-7,FOR,1.6043488893577133e+23,,14957926,1655152036,0x106860dd2529143f3cf137ba0d5fd2c63c1f61b312defc0207a20690006d5c30,0x097c39e5e576a8706404cd0d81e05b522f5bcaff,7,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
5,0x097c39e5e576a8706404cd0d81e05b522f5bcaff-8,FOR,1.4749655343727696e+23,,15187812,1658431341,0xbce68d68d31911036d0ab4ffdee94fa75b8c6d8de01ca151b7010fde2a0644a9,0x097c39e5e576a8706404cd0d81e05b522f5bcaff,8,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
6,0x3c57f6239cf0202436e253170a6e69d54731ad12-7,FOR,0.0,,14966417,1655279629,0x58b17661fef3e303d40119173f180b24f27c27a350cf708f8904e82fbaa78709,0x3c57f6239cf0202436e253170a6e69d54731ad12,7,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
7,0x3c57f6239cf0202436e253170a6e69d54731ad12-8,FOR,0.0,,15193443,1658506842,0xa7834e24e7003217ae64c8dc02fad5d3310982f60c2b27e151fc162db9e86dc5,0x3c57f6239cf0202436e253170a6e69d54731ad12,8,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
8,0x564bca365d62bcc22db53d032f8dbd35439c9206-3,FOR,5.5537864763577815e+22,,13617056,1636934357,0xbe447006a77ca3d92a98a8865f72c18a7de1351a6970de010dd1b590f0e87a23,0x564bca365d62bcc22db53d032f8dbd35439c9206,3,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
9,0x564bca365d62bcc22db53d032f8dbd35439c9206-4,FOR,1.0384371663971835e+23,,14001658,1642136607,0xb58056d04469110b5f4eb3eb66ae42e58f8dfb954f099879aed2e4c63230196d,0x564bca365d62bcc22db53d032f8dbd35439c9206,4,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
10,0x564bca365d62bcc22db53d032f8dbd35439c9206-5,FOR,9.13639903634277e+22,,14076917,1643142724,0xcae870ef4320a0c2fc860ce0fdb94740077299d633d7f66938987f6cbbe66a01,0x564bca365d62bcc22db53d032f8dbd35439c9206,5,cryptex,0,"['FOR', 'AGAINST', 'ABSTAIN']"
