,id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id,dao,Offchains,choices
0,0x000000000057e8abd581828a2b40076852c0ba6e-10,FOR,1.3893491705023656e+22,,12232270,1618324146,0xea8555188fd35c7d96a08660796b018455c9af1669b3cbc1bb80801965192f60,0x000000000057e8abd581828a2b40076852c0ba6e,10,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
1,0x000000000057e8abd581828a2b40076852c0ba6e-11,FOR,1.4534550126622937e+22,,12278776,1618944828,0x171d5064de351138da2e6ebda81e193a33fda24d6a635f6c1e42bccc838da4d6,0x000000000057e8abd581828a2b40076852c0ba6e,11,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
2,0x000000000057e8abd581828a2b40076852c0ba6e-12,FOR,9.043341040579122e+22,,12317303,1619458229,0x6df329f8013266f38940cf9c72e304c8d09791a0dc158c6b1dc8340df82dd339,0x000000000057e8abd581828a2b40076852c0ba6e,12,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
3,0x000000000057e8abd581828a2b40076852c0ba6e-13,FOR,1.6269353836906362e+23,,12612248,1623400989,0xf2b82979f6eebd8516f0e5965f1efe5a7a841f13f16e75e87b18f096fb2c6aef,0x000000000057e8abd581828a2b40076852c0ba6e,13,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
4,0x000000000057e8abd581828a2b40076852c0ba6e-14,FOR,2.7024494320681826e+23,,13094857,1629898703,0xef618732a83bb131babc4193a4918e71f84ae5a1a4f587ccb854b5a46588a205,0x000000000057e8abd581828a2b40076852c0ba6e,14,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
5,0x000000000057e8abd581828a2b40076852c0ba6e-15,FOR,2.66570512719462e+23,,13240339,1631842628,0x28a0f25b2be024fc5d1233d393a6ddb9138508111005c0425ee3aa37040725c8,0x000000000057e8abd581828a2b40076852c0ba6e,15,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
6,0x000000000057e8abd581828a2b40076852c0ba6e-16,FOR,1.5108650506747978e+23,,13674131,1637714812,0xb90d591ec9269d3549bd481b46d624079594ac2926fd3c31923fd5f22193a474,0x000000000057e8abd581828a2b40076852c0ba6e,16,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
7,0x000000000057e8abd581828a2b40076852c0ba6e-17,FOR,2.564668972797478e+22,,14314504,1646317567,0x1eee32321e5e5932c7b8bdace45338f73b4a92aa9c1736b0d5aef399b55a32c1,0x000000000057e8abd581828a2b40076852c0ba6e,17,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
8,0x000000000057e8abd581828a2b40076852c0ba6e-5,FOR,7.091533030072582e+21,,11857822,1613345436,0x6e8b40793195f17030286da8bf8ca22fca6c70d53346c59e5337cc9d2ed220c9,0x000000000057e8abd581828a2b40076852c0ba6e,5,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
9,0x000000000057e8abd581828a2b40076852c0ba6e-6,FOR,7.156644282168504e+21,,11879912,1613639443,0x44c03cb8b3224a7548334efbb7a752fd1336913fdcadbcaab90d41411c574448,0x000000000057e8abd581828a2b40076852c0ba6e,6,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
10,0x000000000057e8abd581828a2b40076852c0ba6e-7,FOR,8.156644282168504e+21,,11898978,1613893158,0x1e4f64fa349e99866058638d29376f6176cffa75940665afdda4ecab81e06c89,0x000000000057e8abd581828a2b40076852c0ba6e,7,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
11,0x000000000057e8abd581828a2b40076852c0ba6e-8,FOR,1.0299038363253593e+22,,11997703,1615204613,0x935f6b691b2ab45437c25222a27e3e94b84c8ab2699c5394e3786299198c04f6,0x000000000057e8abd581828a2b40076852c0ba6e,8,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
12,0x000000000057e8abd581828a2b40076852c0ba6e-9,FOR,9.851758488713528e+21,,12143009,1617138457,0xa6bb186530a8111c3b73a10039d9ee12f0aa5b413e93f8c5b6a8aeee9f33162b,0x000000000057e8abd581828a2b40076852c0ba6e,9,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
13,0x000f4432a40560bbff1b581a8b7aded8dab80026-8,FOR,0.0,,12005308,1615306345,0xd4c6565905e69d23a3e557afc145d8561b33afbc24d58b59e33dcc630e159c07,0x000f4432a40560bbff1b581a8b7aded8dab80026,8,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
14,0x009fc90bfa74825c912f54925ac434c214973f80-5,FOR,2e+20,,11864955,1613440408,0xf88fbd8e93c9dc497b5c800e5c8fef4a03685e8a7ce1681fc636fde0c4362c7d,0x009fc90bfa74825c912f54925ac434c214973f80,5,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
15,0x01d3953671adcb5ad2aa1ac1a69294784b97503b-12,FOR,6.644980238351862e+20,,12317185,1619456329,0x29cb2d354171b9a012c6ef6171dcadabe755a6a507508919035a8d91831a2f7c,0x01d3953671adcb5ad2aa1ac1a69294784b97503b,12,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
16,0x02bef2cdebb509d33d300896dc5c76b58dbda95b-1,FOR,2e+24,,11524904,1608927287,0x3d93cb65e03aa931972ffc4de05d3ad6cc4cabec48709a363b75fccea7de5a4c,0x02bef2cdebb509d33d300896dc5c76b58dbda95b,1,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
17,0x02bef2cdebb509d33d300896dc5c76b58dbda95b-2,FOR,1.9344560502283104e+24,,11590627,1609797799,0x8555b31bbf45b62d746627cadb04f4632384c747a5645fb8046713461d00a896,0x02bef2cdebb509d33d300896dc5c76b58dbda95b,2,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
18,0x02bef2cdebb509d33d300896dc5c76b58dbda95b-4,FOR,1.8722687087772704e+24,,11769571,1612172536,0xfd5d0cd98a838ad63d035978df57f541767e3bfb4b875dfa4da45b656d7a29d3,0x02bef2cdebb509d33d300896dc5c76b58dbda95b,4,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
19,0x02bef2cdebb509d33d300896dc5c76b58dbda95b-5,FOR,1.770103500761035e+24,,11869778,1613504282,0x5ef4f896118aafa5bd6e4a9eed951bdb2ec299a16b36c07e0efe09e5199a65c1,0x02bef2cdebb509d33d300896dc5c76b58dbda95b,5,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
20,0x02bef2cdebb509d33d300896dc5c76b58dbda95b-6,FOR,1.770103500761035e+24,,11891869,1613797698,0xac29c6a25c60a9b560236fbdc34a2aef53513fc8ff0ff69d4f1ec7cadca58a93,0x02bef2cdebb509d33d300896dc5c76b58dbda95b,6,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
21,0x02bef2cdebb509d33d300896dc5c76b58dbda95b-8,FOR,1.6137198122780315e+24,,12013375,1615413398,0x7a384935376d58787b681da0de298136de8da6c4250f5b0431b1c6895ee0ff03,0x02bef2cdebb509d33d300896dc5c76b58dbda95b,8,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
22,0x02bef2cdebb509d33d300896dc5c76b58dbda95b-9,FOR,1.485384893455099e+24,,12159564,1617359658,0xf219703e3a35439d0808da29c6baf17116a8ae5dc188f59dfdc0be8acb6f7164,0x02bef2cdebb509d33d300896dc5c76b58dbda95b,9,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
23,0x037ccb56123a91aa89f419813ba07a74af12ead6-7,FOR,0.0,,11908129,1614014018,0x0619960ded8392c570be962bbeee6fde9abfc883bc084d0aadea9b89b38315b5,0x037ccb56123a91aa89f419813ba07a74af12ead6,7,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
24,0x037dfd569defbc08ae28001159b4c49f6d006cff-11,FOR,1.3587373043171744e+19,,12279065,1618948374,0x050fd5e239383c6ebe5cd4937417274757ca7f9456f84915f20f2390c4172855,0x037dfd569defbc08ae28001159b4c49f6d006cff,11,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
25,0x037dfd569defbc08ae28001159b4c49f6d006cff-8,FOR,0.0,,11997825,1615206001,0xfb6a82e22dffd2f975dab965e2d0e48d533e62bf0f19b14e3f6ae352adbc10eb,0x037dfd569defbc08ae28001159b4c49f6d006cff,8,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
26,0x03ef251c38c8c235546d53bbe1f9894049f3e7b1-10,FOR,7e+21,,12229973,1618293314,0x8e3d1c41f108520fd8a57d2e0775a0795abd6e2ef859eb19d89bbfee04a28d1d,0x03ef251c38c8c235546d53bbe1f9894049f3e7b1,10,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
27,0x04b54c90e2e61940b55ca87be423ba5bcdd88ecc-3,FOR,0.0,,11747394,1611877547,0xfc01ab1df819a3a4df5b3522fae2862b284fe1e4bad2ae6739bfbcc9fea294e2,0x04b54c90e2e61940b55ca87be423ba5bcdd88ecc,3,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
28,0x04c252241472f3ddb5dbc77017b3d84b425c3d1e-9,FOR,2.195381412045383e+19,,12147715,1617201962,0xa56f5d7d2f0fb36dcbd7afb66e3285100fc9e6d1e0709684306585a8244492f6,0x04c252241472f3ddb5dbc77017b3d84b425c3d1e,9,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
29,0x0577f8d58172bebda9718277a84f0b17417e9594-5,FOR,0.0,,11860444,1613379858,0x95bf897a0592cabf72719b3a6345b1db982e347c39b381e6ac01b87b7078861a,0x0577f8d58172bebda9718277a84f0b17417e9594,5,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
30,0x0d228ef1e58117a07783f0c17ba1faa7aca9516f-8,FOR,0.0,,12014314,1615425907,0x16e36699930c0b0dc9e06f3762866fe92d3a237863cc3eda9688e6b368fa2749,0x0d228ef1e58117a07783f0c17ba1faa7aca9516f,8,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
31,0x0d3ada2a0e63631e1515c208998bf63ad4882cee-6,FOR,2.578597464409185e+20,,11891686,1613795073,0x5899dabbbe3be00bbdb62ac4540cff02c71d515e2322711ffad0f675722e5470,0x0d3ada2a0e63631e1515c208998bf63ad4882cee,6,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
32,0x0d3ada2a0e63631e1515c208998bf63ad4882cee-8,FOR,1.0210467906871768e+21,,12000217,1615237803,0x22542dc2914e54b580c2ea9665c52ff4f02c4b505f88ad4860c7244631354634,0x0d3ada2a0e63631e1515c208998bf63ad4882cee,8,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
33,0x0edc2d38f683194a23eb70130e40323e6e99d032-8,FOR,1.4996744074524414e+19,,12005596,1615310145,0x8c6522af6e2e4bf7ba1e02e09e22a5d579edf5e9597e1f89a8ff66f95f1f580b,0x0edc2d38f683194a23eb70130e40323e6e99d032,8,indexed,0,"['FOR', 'AGAINST', 'ABSTAIN']"
