Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
AGAINST,0.0,,14978264.0,1655455802.0,0x6dd832afd02381e91b32630ac203a7aec87d9b2ecaf4627b24b0529e5d2440e8,0xe0203c6964943fd491459750802444844ec4c3ac,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
AGAINST,5.356168740279556e+17,,14977660.0,1655446289.0,0x15feae5910f4f320f9ae149c4d7073f3b38fe584b0e656d25015a444b6aa7224,0xe22647c7596c3459154039cfa37cf539c5ca57ef,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,5.3561687402795556e-08
AGAINST,0.0,,14977930.0,1655450512.0,0x2ac12bfeefda5f9440411445aa07fd5b07a07822fc1eaaf43df3fa59b568a9e9,0xe22cbcaa0324dfa1d83cb939239e11c306c9a03f,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
AGAINST,5e+16,,14971684.0,1655357971.0,0xb5b4a6b349ee5adf1c898b8369d7e52005f2a9dc72ef8a38a70e4c3e10403f50,0xe67f1c66e8881742d21f845684b26ff806efc9a8,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,4.999999999999999e-09
AGAINST,1.1e+16,,14977875.0,1655449797.0,0xf246607ec31e5888c02d3694a9cc491a388a865989216c7ddcab88305fbdb65e,0xe7841ad5db7f6b9fa089ac3100a9623c6aa3730f,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,1.1e-09
FOR,0.0,,14977871.0,1655449743.0,0x8dbf13870548b61f67a28c6016c5c42e06d75a30e9e913cd7a8bfef07971db3a,0xe9bd34bf7fa65988ceae405f239d01135c1f6b01,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
AGAINST,0.0,,14983171.0,1655527982.0,0x9ada7396d9e16dbb033cc9487a232aa36da78f0dc0316c031c0613572b795321,0xe9ff9e087d10266aa4afb352faea299d4adcd24d,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
AGAINST,0.0,,14981438.0,1655502081.0,0x31f13130cc75e46cb7685343922ab5ba6d13092ea9c9731e1778882abede56e9,0xeaa6a500543581753ef27d1def789458b3b102ad,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
FOR,0.0,,14982523.0,1655518053.0,0x1420d8179d086145fbce67fe5d374ce7d59f2fa4d208130ab65ad23966e4d9cf,0xeceab46dffbb0d8877018040cfdb816e94d1947f,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,0.0
AGAINST,5.25e+17,,14977859.0,1655449489.0,0x17c03e07148f88ce835a6c8c80455c208aa26d8e1efe58dd3e538c97df3a9063,0xedb7af625443bec75d53544e091ee3492ede8bc2,109,Compound,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,192124,2772,157,180,4,341,412712515196605130244350,112179126397487277836583,0,524891641594092408080933,1655066709,1655263096,1655556374.0,0x683a4f9915d6216f73d6df50151725036bd26c02,1e+25,5.2499999999999994e-08
