Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,0.0,,13077700.0,1629669343.0,0x5c7f8367d3936784c5b8f33873d589ee358cf20b7b5b3124fd4eb17039b9733d,0x008c84421da5527f462886cec43d2717b686a7e4,1,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,14.0,14.0,0.0,6.0,0.0,6.0,0.0,7.0,0.0,7.0,1629393904.0,1629569482.0,1629832316.0,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,118341.0,0.0
FOR,2.0,,13083370.0,1629745897.0,0x050abaef2cd6812e8ee2aec8bb59f9c436f2fb0319e94b7be101263ed49827aa,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,14.0,14.0,0.0,6.0,0.0,6.0,0.0,7.0,0.0,7.0,1629393904.0,1629569482.0,1629832316.0,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,118341.0,1.690031350081544e-05
FOR,1.0,,13075923.0,1629646306.0,0x7cab8157496d6bd520b9e25307259a18cf191903bee4a6918e2938cbc1aa990f,0x54be3a794282c030b15e43ae2bb182e14c409c5e,1,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,14.0,14.0,0.0,6.0,0.0,6.0,0.0,7.0,0.0,7.0,1629393904.0,1629569482.0,1629832316.0,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,118341.0,8.45015675040772e-06
FOR,2.0,,13088169.0,1629810064.0,0x1211e0d8b63c138e6e1a8d4a340459b2ee0e856c64fc549612409d10dd5d0fea,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,14.0,14.0,0.0,6.0,0.0,6.0,0.0,7.0,0.0,7.0,1629393904.0,1629569482.0,1629832316.0,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,118341.0,1.690031350081544e-05
FOR,1.0,,13081994.0,1629727632.0,0x67546ab677ad17832774be7c57ddee15d6c6048919177d8af3074b2366c27319,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,14.0,14.0,0.0,6.0,0.0,6.0,0.0,7.0,0.0,7.0,1629393904.0,1629569482.0,1629832316.0,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,118341.0,8.45015675040772e-06
FOR,1.0,,13387614.0,1633823922.0,0xcde15a33479995edacfa6cbe5c2005058915410e39e6c16ce0aee6fa5ddcd841,0x008c84421da5527f462886cec43d2717b686a7e4,10,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,49.0,49.0,0.0,6.0,0.0,6.0,0.0,21.0,0.0,21.0,1633630880.0,1633809179.0,1634075970.0,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,118341.0,8.45015675040772e-06
FOR,7.0,,13398093.0,1633966024.0,0x772cb5dd6b1d07401f63b840eb5b267bf289b8d8318df9567936e2a76e9e8913,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,10,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,49.0,49.0,0.0,6.0,0.0,6.0,0.0,21.0,0.0,21.0,1633630880.0,1633809179.0,1634075970.0,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,118341.0,5.915109725285404e-05
FOR,1.0,,13394313.0,1633914865.0,0x935e473a351d6515f2f75d2d846119ecf9db68b092386b1342f158befa42e515,0x2e5ccffbae934a9cb7e061fca7af01946e4e550e,10,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,49.0,49.0,0.0,6.0,0.0,6.0,0.0,21.0,0.0,21.0,1633630880.0,1633809179.0,1634075970.0,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,118341.0,8.45015675040772e-06
FOR,6.0,,13387889.0,1633827786.0,0x932f15c0bada281b91222dd129227a08caa5dcd53581583adff8d1f88b589b2e,0x43a330dec81bbd5e21f41c6b8354e54d481efc93,10,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,49.0,49.0,0.0,6.0,0.0,6.0,0.0,21.0,0.0,21.0,1633630880.0,1633809179.0,1634075970.0,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,118341.0,5.070094050244632e-05
FOR,5.0,,13401729.0,1634015300.0,0xb74c068c314f7cb689ab583622d80c273be39f5e7148fdbfc8a8994c646d166b,0xae7f458667f1b30746354abc3157907d9f6fd15e,10,Nouns,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,49.0,49.0,0.0,6.0,0.0,6.0,0.0,21.0,0.0,21.0,1633630880.0,1633809179.0,1634075970.0,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,118341.0,4.22507837520386e-05
