Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,1.6667e+22,,11914019.0,1614092958.0,0x6ff1f348878922cb706d0d8ace0e773c52a7415a826abee0cc502056a7d83173,0x03b79c0c1487a68aeabd9aa4ce779dad77855f52,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0001666723667476078
FOR,0.0,,11913804.0,1614089918.0,0x8e24c1b2ff9b8454f2bbd1a394bb53b3bc05d0c72c30153769be359ff8e0511b,0x116a1ffb78c6994c8338e7636808272f9f9f5d56,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,1.6144e+22,,11911834.0,1614064113.0,0x5dbe1836c33f1b1d3b544fc62f6609157e29e100bf4e1d2fd64a40c9033cb94f,0x119dfca1629a73912bc064af6774b36581d44b67,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0001614422924805532
FOR,0.0,,11910854.0,1614050669.0,0x058f370c8623e68e96670d8d59d9f158fefb0457cd6a8f313ea51153eb74ae55,0x1ada02ac5097709691c72aef033f2b8249fb1913,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11901425.0,1613925640.0,0x1020a4dca624ffcfa042930b0afb0316ac3e5c91e16f53e968cdd17b57464f82,0x1f889c13e733048bbce704ff71dec729156421d7,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11912751.0,1614076336.0,0x5b0727702017a2b16abd6a089b68969c2ccb7a83839252f0455c2028b6f5acdb,0x233394807af9e494cdbf61afcc2f64948d69f5d8,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,3.5824e+22,,11899957.0,1613906598.0,0x62520fe1826849ce72c8be33b0163bc48bac54c5f6fc4d54de16e12c7698456a,0x28fd3d0908a4e300147b3e8e97e1ad0f4abdba8c,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0003582450870802365
FOR,3.2054e+23,,11908183.0,1614014695.0,0x46beaeba06f0c48201dc71f7097598c27d7dfe72c00d695183c8cf7ef8abf34b,0x41552dd6cb63b225ff252d0368b549d0adf61038,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.003205445517326346
FOR,0.0,,11912093.0,1614067262.0,0x440459b3565e529beec7a950152ed334a16caeedb16f6ef3d94d837fb65aa368,0x459e978d5af10211181c5d8e75193170ea1ab89d,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11910192.0,1614041855.0,0x2c055f14389ef2af70583dae05b8cdddbe3afffbe3f8fb448dd63a4363cedd65,0x4613eeaa10746596db2043046d47b52f00604cf4,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,2.5e+24,,11906548.0,1613993203.0,0x2b76240853faac36fbd5650678eac28b9dba5eb307cc4062586eb7d85349093b,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.025000355005041074
FOR,0.0,,11911696.0,1614062286.0,0xb64c9956f0fe72a7bf00a9b76cb895ab46164762b457754325067f33aa44412e,0x54b7f8fe8d3aaeeb115d2ae1ac9ea5d6b824e2dc,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11907165.0,1614001242.0,0x88ca592c5e9fdf617cb20eae33132e20eb5cd03b54191465fb32767888b637a8,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11907137.0,1614000950.0,0xa367ac281d343ef624abd9c7cd5b1a5654d19fafa4466e93f905ed3a668435ac,0x5a27d268e830655e908a0a2c3b24f572695af5e8,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
FOR,0.0,,11900517.0,1613913857.0,0xa9eee697dabee0648e3e4440652cf0d442de7a97b18c51e2006306f0ddcaecfe,0x5e2ce56ecb52e116f7ad626a78830cef733c68d2,3,Radicle,0.0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,155,26,0,44,0,44,0,7106600430270167427701671,0,7106600430270167427701671,1613863792,1613863803,1614094163,0x641edb587867a703e132a4210d63e93c52aa97ff,9.999858e+25,0.0
