id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0x8aa16f1f8abd93012719211274ab1d73b6d71e05,0,0,1,[{'id': '0x8aa16f1f8abd93012719211274ab1d73b6d71e05'}],[],0,[]
0x8aa79e6fc0d409feff8e879a6b9da5c5566e43c8,25000000000000000,0.025,1,[{'id': '0x8aa79e6fc0d409feff8e879a6b9da5c5566e43c8'}],"[{'id': '0x8aa79e6fc0d409feff8e879a6b9da5c5566e43c8-43', 'choice': 'FOR', 'weight': '25000000000000000', 'proposal': {'id': '43'}}]",1,[]
0x8aaec3dba80f9a552a4bc0d45ea677eb6ad5089c,100000000000000000,0.1,1,[{'id': '0x8aaec3dba80f9a552a4bc0d45ea677eb6ad5089c'}],[],0,[]
0x8ab5458d9863e886c0857b282e3ccfc506cbafbd,50000000000000000,0.05,1,[{'id': '0x8ab5458d9863e886c0857b282e3ccfc506cbafbd'}],[],0,[]
0x8abaf5733742b1506f6a1255de0e37aec76b7940,250000000000000000,0.25,1,[{'id': '0x8abaf5733742b1506f6a1255de0e37aec76b7940'}],"[{'id': '0x8abaf5733742b1506f6a1255de0e37aec76b7940-53', 'choice': 'FOR', 'weight': '250000000000000000', 'proposal': {'id': '53'}}, {'id': '0x8abaf5733742b1506f6a1255de0e37aec76b7940-54', 'choice': 'FOR', 'weight': '250000000000000000', 'proposal': {'id': '54'}}, {'id': '0x8abaf5733742b1506f6a1255de0e37aec76b7940-56', 'choice': 'FOR', 'weight': '250000000000000000', 'proposal': {'id': '56'}}, {'id': '0x8abaf5733742b1506f6a1255de0e37aec76b7940-57', 'choice': 'FOR', 'weight': '250000000000000000', 'proposal': {'id': '57'}}, {'id': '0x8abaf5733742b1506f6a1255de0e37aec76b7940-60', 'choice': 'FOR', 'weight': '250000000000000000', 'proposal': {'id': '60'}}, {'id': '0x8abaf5733742b1506f6a1255de0e37aec76b7940-62', 'choice': 'FOR', 'weight': '250000000000000000', 'proposal': {'id': '62'}}]",6,[]
0x8ac0692af6ac33e21b119aabf306d0ea713e9f18,0,0,1,[{'id': '0x8ac0692af6ac33e21b119aabf306d0ea713e9f18'}],[],0,[]
0x8ac5c1cbafc564fbd01ee4b116dea85e6a593ab4,9177948839008248462,9.177948839008248462,1,[{'id': '0x8ac5c1cbafc564fbd01ee4b116dea85e6a593ab4'}],"[{'id': '0x8ac5c1cbafc564fbd01ee4b116dea85e6a593ab4-100', 'choice': 'AGAINST', 'weight': '5557175247476697198', 'proposal': {'id': '100'}}, {'id': '0x8ac5c1cbafc564fbd01ee4b116dea85e6a593ab4-116', 'choice': 'FOR', 'weight': '9177948839008248462', 'proposal': {'id': '116'}}]",2,[]
0x8aceab8167c80cb8b3de7fa6228b889bb1130ee8,0,0,1,[{'id': '0x8aceab8167c80cb8b3de7fa6228b889bb1130ee8'}],[],0,[]
0x8ad09b44f6daca518253d841c2ba59dbfa1985fa,0,0,1,[{'id': '0x8ad09b44f6daca518253d841c2ba59dbfa1985fa'}],[],0,[]
0x8ad386fd48ff27c0bc34f431a4e660abef70309d,635952450666262549,0.635952450666262549,1,[{'id': '0x8ad386fd48ff27c0bc34f431a4e660abef70309d'}],[],0,[]
0x8ad62a1fa32f726d33d2a1955bc97a8637aa1781,0,0,1,[{'id': '0x8ad62a1fa32f726d33d2a1955bc97a8637aa1781'}],[],0,[]
0x8ad96b058a69f9e9e1c0acc7fb01ea3984212c7b,0,0,1,[{'id': '0x8ad96b058a69f9e9e1c0acc7fb01ea3984212c7b'}],[],0,[]
0x8adfc6e6e6da6ed9af7f094b3f3115ed72048395,50000000000000025,0.050000000000000025,1,[{'id': '0x8adfc6e6e6da6ed9af7f094b3f3115ed72048395'}],"[{'id': '0x8adfc6e6e6da6ed9af7f094b3f3115ed72048395-113', 'choice': 'FOR', 'weight': '500000000000000025', 'proposal': {'id': '113'}}, {'id': '0x8adfc6e6e6da6ed9af7f094b3f3115ed72048395-115', 'choice': 'FOR', 'weight': '500000000000000025', 'proposal': {'id': '115'}}, {'id': '0x8adfc6e6e6da6ed9af7f094b3f3115ed72048395-116', 'choice': 'FOR', 'weight': '500000000000000025', 'proposal': {'id': '116'}}, {'id': '0x8adfc6e6e6da6ed9af7f094b3f3115ed72048395-117', 'choice': 'FOR', 'weight': '500000000000000025', 'proposal': {'id': '117'}}, {'id': '0x8adfc6e6e6da6ed9af7f094b3f3115ed72048395-121', 'choice': 'FOR', 'weight': '500000000000000025', 'proposal': {'id': '121'}}]",5,[]
0x8aef92a728d5a7596922290411dc5c3f65542baa,0,0,1,[{'id': '0x8aef92a728d5a7596922290411dc5c3f65542baa'}],[],0,[]
0x8aef943d5a12e77443c14c65412fbf7024274bf8,40167370000000000,0.04016737,1,[{'id': '0x8aef943d5a12e77443c14c65412fbf7024274bf8'}],"[{'id': '0x8aef943d5a12e77443c14c65412fbf7024274bf8-46', 'choice': 'FOR', 'weight': '40167370000000000', 'proposal': {'id': '46'}}, {'id': '0x8aef943d5a12e77443c14c65412fbf7024274bf8-60', 'choice': 'FOR', 'weight': '40167370000000000', 'proposal': {'id': '60'}}]",2,[]
0x8af5df19ea86fabbc071b87828e2db04c6d2dfb7,0,0,1,[{'id': '0x8af5df19ea86fabbc071b87828e2db04c6d2dfb7'}],[],0,[]
0x8af813a3579212c2f231e92af203b47f00c31bc4,3000000000000000,0.003,1,[{'id': '0x8af813a3579212c2f231e92af203b47f00c31bc4'}],[],0,[]
0x8af872f3c30ff56d6beb4d6b9a2a577dd0bab383,12711918768401224,0.012711918768401224,1,[{'id': '0x8af872f3c30ff56d6beb4d6b9a2a577dd0bab383'}],[],0,[]
0x8afaed312996c8a3984c83e9d092faa970f9d055,11396601677755231,0.011396601677755231,1,[{'id': '0x8afaed312996c8a3984c83e9d092faa970f9d055'}],[],0,[]
0x8b0724a3c493d3d1e537a8e668fe7c2227474bcd,0,0,1,[{'id': '0x8b0724a3c493d3d1e537a8e668fe7c2227474bcd'}],[],0,[]
0x8b0a2116209968afa4090a1c6cad89d11699200c,1100000000000000000,1.1,1,[{'id': '0x8b0a2116209968afa4090a1c6cad89d11699200c'}],"[{'id': '0x8b0a2116209968afa4090a1c6cad89d11699200c-113', 'choice': 'FOR', 'weight': '1100000000000000000', 'proposal': {'id': '113'}}, {'id': '0x8b0a2116209968afa4090a1c6cad89d11699200c-116', 'choice': 'FOR', 'weight': '1100000000000000000', 'proposal': {'id': '116'}}, {'id': '0x8b0a2116209968afa4090a1c6cad89d11699200c-117', 'choice': 'FOR', 'weight': '1100000000000000000', 'proposal': {'id': '117'}}]",3,[]
0x8b0e71ba593ed7b69e364b1bbc4b69661ad5d133,180574430000000000,0.18057443,1,[{'id': '0x8b0e71ba593ed7b69e364b1bbc4b69661ad5d133'}],[],0,[]
0x8b11ad24f4ff9a07a3a96fb372c46783c1bb3ad6,0,0,1,[{'id': '0x8b11ad24f4ff9a07a3a96fb372c46783c1bb3ad6'}],[],0,[]
0x8b18ed5810c24701d0549a19925980415cc78398,558081566521471684,0.558081566521471684,1,[{'id': '0x8b18ed5810c24701d0549a19925980415cc78398'}],[],0,[]
0x8b1ab0ad2c59d2084950c905c395e5d824297fce,11899517226365623,0.011899517226365623,1,[{'id': '0x8b1ab0ad2c59d2084950c905c395e5d824297fce'}],[],0,[]
0x8b1ae15adfb22e1fa2630900d5df3c88aa3f3bad,0,0,1,[{'id': '0x8b1ae15adfb22e1fa2630900d5df3c88aa3f3bad'}],[],0,[]
0x8b1c29c397d4c487c2276f2d1bb3e2bd967d11bf,0,0,1,[{'id': '0x8b1c29c397d4c487c2276f2d1bb3e2bd967d11bf'}],[],0,[]
0x8b36bdbfde39a036f03c09cd00f7447e6a14154d,0,0,1,[{'id': '0x8b36bdbfde39a036f03c09cd00f7447e6a14154d'}],[],0,[]
0x8b584cf38bfe7d50809bbc2a622c7bd118a82577,0,0,1,[{'id': '0x8b584cf38bfe7d50809bbc2a622c7bd118a82577'}],[],0,[]
0x8b6d146fb3e601920975324e37851c3ba5e4a856,20000000000000000,0.02,2,[{'id': '0x8b6d146fb3e601920975324e37851c3ba5e4a856'}],"[{'id': '0x8b6d146fb3e601920975324e37851c3ba5e4a856-125', 'choice': 'FOR', 'weight': '20000000000000000', 'proposal': {'id': '125'}}]",1,[]
0x8b6d47e11ee7dad4bde2c45370a9404e153b3e70,60000000000000000,0.06,1,[{'id': '0x8b6d47e11ee7dad4bde2c45370a9404e153b3e70'}],"[{'id': '0x8b6d47e11ee7dad4bde2c45370a9404e153b3e70-108', 'choice': 'FOR', 'weight': '60000000000000000', 'proposal': {'id': '108'}}, {'id': '0x8b6d47e11ee7dad4bde2c45370a9404e153b3e70-115', 'choice': 'FOR', 'weight': '60000000000000000', 'proposal': {'id': '115'}}]",2,[]
0x8b8116b896fe39c716bebf2757dea036c62d4bf2,0,0,1,[{'id': '0x8b8116b896fe39c716bebf2757dea036c62d4bf2'}],[],0,[]
0x8b8592e9570e96166336603a1b4bd1e8db20fa20,0,0,0,[],[],0,[]
0x8b859a5f825a2431d6bf4d1518c42b8ccc889cad,20858280854362968,0.020858280854362968,1,[{'id': '0x8b859a5f825a2431d6bf4d1518c42b8ccc889cad'}],[],0,[]
0x8b8f94afbbc4874855d06457b46985ece2837efc,0,0,1,[{'id': '0x8b8f94afbbc4874855d06457b46985ece2837efc'}],[],0,[]
0x8b918c0abd57888e1e5e7862b20cb6aeaddf54e2,10000000000000000,0.01,1,[{'id': '0x8b918c0abd57888e1e5e7862b20cb6aeaddf54e2'}],"[{'id': '0x8b918c0abd57888e1e5e7862b20cb6aeaddf54e2-105', 'choice': 'FOR', 'weight': '10000000000000000', 'proposal': {'id': '105'}}]",1,[]
0x8b997614ef2f0c1fb2d3cbef5ad7639cb3dda5fe,85479220000000000,0.08547922,1,[{'id': '0x8b997614ef2f0c1fb2d3cbef5ad7639cb3dda5fe'}],[],0,[]
0x8b9e91bcad6f7118a4df5633f258fa06e34a276a,0,0,1,[{'id': '0x8b9e91bcad6f7118a4df5633f258fa06e34a276a'}],[],0,[]
0x8b9fcae49a37b19201e6e46b195bebfe37166594,0,0,1,[{'id': '0x8b9fcae49a37b19201e6e46b195bebfe37166594'}],[],0,[]
0x8ba172b427379e6d78f20e8c100ba14c143bd036,0,0,0,[],[],0,[]
