id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xbadfdc-0xaa7fb24205a142bc23388e411199c6aa1528d650,0,0,12247004,1618520528,0x17e3e236b2e4826e45635dfdd91c618dca381360e54a9b34708b2fde97c5d458,0xaa7fb24205a142bc23388e411199c6aa1528d650,0xaa7fb24205a142bc23388e411199c6aa1528d650
0xbadff5-0xa0dcc0a8dd94a7af5713ff44e2c6bc30c3244896,0,0,12247029,1618520996,0xe10a32c75bd35a36e2674501e890b3b95f73b9acafc2e8197caaf033dca769a8,0xa0dcc0a8dd94a7af5713ff44e2c6bc30c3244896,0xa0dcc0a8dd94a7af5713ff44e2c6bc30c3244896
0xbae99d-0x51a01a3d38338d6aff63b84c90d7372e1ae52970,0,0,12249501,1618555050,0xae4613402eefbbdaf3d759fa2e5e64f084ec12b8082a1eb30b194ea376269141,0x51a01a3d38338d6aff63b84c90d7372e1ae52970,0x51a01a3d38338d6aff63b84c90d7372e1ae52970
0xbaf611-0x1dd7572702295a30201c4e48d19c40bf4eae5962,0,0.04958785,12252689,1618596899,0xf3a4900fe32ed534b8c707363f242a022d6c0169d4c97eda841d8d816527c0bc,0x1dd7572702295a30201c4e48d19c40bf4eae5962,0x1dd7572702295a30201c4e48d19c40bf4eae5962
0xbaf611-0x3d90377351239a85261ea7d5c2cd68f355b06907,0,0.049958,12252689,1618596899,0xf3a4900fe32ed534b8c707363f242a022d6c0169d4c97eda841d8d816527c0bc,0x3d90377351239a85261ea7d5c2cd68f355b06907,0x3d90377351239a85261ea7d5c2cd68f355b06907
0xbaf611-0xa1de2815f9cbc8e1195710828d635e008a53cb0e,0,3,12252689,1618596899,0xf3a4900fe32ed534b8c707363f242a022d6c0169d4c97eda841d8d816527c0bc,0xa1de2815f9cbc8e1195710828d635e008a53cb0e,0xa1de2815f9cbc8e1195710828d635e008a53cb0e
0xbaf857-0x473c5840046d1740cf2d5d06d6b3f30a37606fd1,0,0,12253271,1618604704,0xca2791752f0d0a46ff16598c530921879f08195a6cb27cc36b4b8591d556158b,0x473c5840046d1740cf2d5d06d6b3f30a37606fd1,0x473c5840046d1740cf2d5d06d6b3f30a37606fd1
0xbafac5-0xac5720d6ee2d7872b88914c9c5fa9bf38e72faf6,105131.578924505986662691,50.04998481,12253893,1618612834,0x7c35e40fe75792c3dd49cbf001cb46e572c1b35c4da996c0fdc052dccfb6a086,0xac5720d6ee2d7872b88914c9c5fa9bf38e72faf6,0xad6c3d43b6765f2289b02384f0de412bef87bd37
0xbb01e0-0x5f1b6b791bc254f56090a2e929f65b1cee9a210b,0,0,12255712,1618637235,0x3635eeee618cb0ce3cc25c8582ce90f5597bb99864626e88f1960f94f5334614,0x5f1b6b791bc254f56090a2e929f65b1cee9a210b,0x5f1b6b791bc254f56090a2e929f65b1cee9a210b
0xbb0ca8-0x0339865fce92b197e6d5e29f1d20886f1a6702b3,0,0,12258472,1618674036,0x69f051a6bfdd16f2cae330e7c2b9f48a24ee9196fe41f80b922ab9663a349111,0x0339865fce92b197e6d5e29f1d20886f1a6702b3,0x0339865fce92b197e6d5e29f1d20886f1a6702b3
0xbb0ca9-0x0339865fce92b197e6d5e29f1d20886f1a6702b3,0,0,12258473,1618674043,0x5f6e5ce9039e0ca580bece2820eb144f266966c4f6ce20937509d32ae4bdcc60,0x0339865fce92b197e6d5e29f1d20886f1a6702b3,0x0339865fce92b197e6d5e29f1d20886f1a6702b3
0xbb1667-0xed409c9ff60f3020abf9012bcd45fc294f5608ff,325757.200671176248023836,0,12260967,1618707270,0xbf36d33f0929bd42e88fa2f88fe26be195de909f6d7a407be38790b2da0eb62f,0xed409c9ff60f3020abf9012bcd45fc294f5608ff,0x549d6756e4ff68fe5bc93ef8ed8156a75ba60300
0xbb16cd-0x711110da092c5901db8fdd98a4f601fca2240f59,0,0,12261069,1618708526,0xd1b5e57c20723315fbcbb783143eb13cb47e88c50f732e4b9ca913fc75d35fbd,0x711110da092c5901db8fdd98a4f601fca2240f59,0x711110da092c5901db8fdd98a4f601fca2240f59
0xbb1a52-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,345000.964683453186335123,0,12261970,1618719938,0x2af412dcbf244bdfd375d2c158cd1279c20615a58aa786edc38245be9f36be84,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0x7a730e22bff836b3a2bd4cf3160bbb0cb6583c07
0xbb1ccf-0xf18e1ac346d8195345517f759dc479d0dca13aed,0,0,12262607,1618728915,0x9f988290ffd7fc781fa371449e5d791fc99a08ba056975468b2a272715a5c012,0xf18e1ac346d8195345517f759dc479d0dca13aed,0xf18e1ac346d8195345517f759dc479d0dca13aed
0xbb203a-0x06c8aac97caa0e19ba9a2f402ecfb9c2e944af63,0,21.537388001890028494,12263482,1618740707,0xc6fd6f3b89ccc925bafaeb796a97f903c04c11d6da9cd00bcec601acfe21df14,0x06c8aac97caa0e19ba9a2f402ecfb9c2e944af63,0x06c8aac97caa0e19ba9a2f402ecfb9c2e944af63
0xbb246c-0x6367ae4f125524165c8bc08e304f0a32f4433257,0,0,12264556,1618755495,0xc3396c8b976f9f2a1aac41e18ddbc74390122e69c0ba869342ccd662ef42ca78,0x6367ae4f125524165c8bc08e304f0a32f4433257,0x6367ae4f125524165c8bc08e304f0a32f4433257
0xbb2b2b-0x9644baf6f07a165c7cb2f5d51d3d6fb911ec85ff,0,25.063875144445122495,12266283,1618778022,0x62a51bcd673ec920d13a8b68132a696f258905b95aa737a78cfcabec7fda1649,0x9644baf6f07a165c7cb2f5d51d3d6fb911ec85ff,0x9644baf6f07a165c7cb2f5d51d3d6fb911ec85ff
0xbb2d5b-0xa7c6825d40fe4c0acbe5100ef3f9fcf6f442f532,0,0,12266843,1618785256,0xec33f56e980627a385b739bf3d1f48a8582e767b40b88b2d71066725ff832477,0xa7c6825d40fe4c0acbe5100ef3f9fcf6f442f532,0xa7c6825d40fe4c0acbe5100ef3f9fcf6f442f532
