id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xaac25e-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,344987.493688504817955044,0,11190878,1604495811,0xbc557d6fa89e57450ac38418245ac7a05b43f8e2ead224b385340a041ce7cf10,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0x138514d8847bccca46390362d0b77ddd6a9e0060
0xaac372-0x689a3084c4bf2ed18a89c6cae4cb5895c8551f64,0,0.03549036,11191154,1604499542,0x4c136076317ad59204497230cb22f83dc7be0862c006e15f2f8c7a7809df36f3,0x689a3084c4bf2ed18a89c6cae4cb5895c8551f64,0x689a3084c4bf2ed18a89c6cae4cb5895c8551f64
0xaac41f-0xefd515b1e1c5e4bbf7561248001f554cadf8bfbb,0,0,11191327,1604501728,0x92acac68154a982a72f4a999160b9181935250a51371f9131e769806eb439ed0,0xefd515b1e1c5e4bbf7561248001f554cadf8bfbb,0xefd515b1e1c5e4bbf7561248001f554cadf8bfbb
0xaac46a-0xb521b43b4bda887044137dc04780d16c755cefc6,0,0,11191402,1604502781,0xd0d6a32a7c0ca09cde6e8c34d244f673189a01f7e0a267b90efd72319a3b41a0,0xb521b43b4bda887044137dc04780d16c755cefc6,0xb521b43b4bda887044137dc04780d16c755cefc6
0xaac498-0x04a7de4083386c5c213994a77daed8151761066b,0,0,11191448,1604503415,0xce0668a89f3a732ed48a7056df021e542f322e7355e8f006677d28b363ebed60,0x04a7de4083386c5c213994a77daed8151761066b,0x04a7de4083386c5c213994a77daed8151761066b
0xaac6ca-0x1270a16586ec9dfad32ddeff49a0e728a06767b6,0,0,11192010,1604510421,0xb099b86ab37febcdca2bb5596b26e68e1b0415f07bb1a44cda0f638022b1d149,0x1270a16586ec9dfad32ddeff49a0e728a06767b6,0x1270a16586ec9dfad32ddeff49a0e728a06767b6
0xaac81f-0xde0001778dec77672ecdf640d8996cb0a6eba26d,0,0,11192351,1604514899,0xdd868c25407589bccbab5f1f286ea3c6b078c5fdfde77eee32064f29e73a4c63,0xde0001778dec77672ecdf640d8996cb0a6eba26d,0xde0001778dec77672ecdf640d8996cb0a6eba26d
0xaac857-0x1ecdcd7e1f992f4ec20ce7785e4e4e2ba563495f,0,0.0248309,11192407,1604515756,0xe44deb8e59ef6e6347bed37e5bf44d1406fd9ca615df53e28514f8025a5eeb2c,0x1ecdcd7e1f992f4ec20ce7785e4e4e2ba563495f,0x1ecdcd7e1f992f4ec20ce7785e4e4e2ba563495f
0xaac858-0x0f70347a6fee505067539ee3d04816f61851598f,0,0,11192408,1604515775,0xda6d380b53ca2d84766dde347cab4480fecda60f9ef5aaa961e3f2f64b6da490,0x0f70347a6fee505067539ee3d04816f61851598f,0x0f70347a6fee505067539ee3d04816f61851598f
0xaac8f1-0x2f35c13ac49d7d53b82c5999bc55b3a03d8b7272,0,0,11192561,1604517905,0x5c2cefac98dfba6b49b28a5481fb5efb2949a6c122737cbe87a4567ab533a59f,0x2f35c13ac49d7d53b82c5999bc55b3a03d8b7272,0x2f35c13ac49d7d53b82c5999bc55b3a03d8b7272
0xaacad2-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,344987.722376664817955044,0,11193042,1604523987,0x7b68fe09c9a23500f3903e255018927542a50378ba6fe366fc434f87968906d9,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0x1d6b2887dc43def92ca67aa4135868d336e42791
0xaacaec-0x523e9149c7e2b05a8114d4ecf8fd6a9b44bfd3fc,0,0,11193068,1604524286,0x72a80cdd955e0ae98fba7db613fe816230dcb4dc6c8d1d077f2afc3fabec626e,0x523e9149c7e2b05a8114d4ecf8fd6a9b44bfd3fc,0x523e9149c7e2b05a8114d4ecf8fd6a9b44bfd3fc
0xaacbb6-0x74afee124c109781c660ab579c665e30df0ea147,0,0,11193270,1604526866,0x4c3d6400b969167bcdf4806766e19f8a29787c4ef525db50dc74055ef6a91cc5,0x74afee124c109781c660ab579c665e30df0ea147,0x74afee124c109781c660ab579c665e30df0ea147
0xaacc03-0xefc03ab7a3042835c628faf52409b523cbaf47c3,0,0,11193347,1604527666,0x116bd29b2a19e90895d5d1f70949de73c5e63035b01c54f3ee516a177e18a04c,0xefc03ab7a3042835c628faf52409b523cbaf47c3,0xefc03ab7a3042835c628faf52409b523cbaf47c3
0xaaccae-0x395e6033cf16856b7ca132c70cb1739214292ce2,0,0,11193518,1604529973,0x0ad74b84dfbb21c8c53e7b71925064d9ef70a93cc6c10f0fbfb353755edd81b5,0x395e6033cf16856b7ca132c70cb1739214292ce2,0x395e6033cf16856b7ca132c70cb1739214292ce2
0xaaccf2-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,344987.722376664817955044,0,11193586,1604531029,0xbf80abb42d289b5c34123d7dcdde9310252549d37bb914d5945972cecab745ea,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0x0f70347a6fee505067539ee3d04816f61851598f
0xaacd44-0xed409c9ff60f3020abf9012bcd45fc294f5608ff,325757.871243617795975475,0,11193668,1604531985,0x9b6b1417e1b898740c9ea6e4f4858325ba0989584bd749678ee2dfec5f05684f,0xed409c9ff60f3020abf9012bcd45fc294f5608ff,0x0f70347a6fee505067539ee3d04816f61851598f
0xaad007-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,344987.722376664817955044,0,11194375,1604541811,0x5a8cb458547126cc35a9929505bca55b846f960a1b0ab776813a8dabf52bbe5b,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0x5c9ed9bc728c073c202dbbd8304e491ab715b64b
0xaad135-0xf54fb43c0af138908ff277a40c8383e27a821b59,0,0,11194677,1604545758,0x8886296f5206b8ddb673bc75d699278b69d2715ce63cc5be11a24ff012a09ab1,0xf54fb43c0af138908ff277a40c8383e27a821b59,0xf54fb43c0af138908ff277a40c8383e27a821b59
0xaad142-0x8d1bb483841cf5d0f0dbfc3c477ae41ddd617436,0,0,11194690,1604545872,0x5e0902e85d0d4aa7d86e14a28bff6ab0b7b02233d1ef4890299ed00749b4dcfe,0x8d1bb483841cf5d0f0dbfc3c477ae41ddd617436,0x8d1bb483841cf5d0f0dbfc3c477ae41ddd617436
0xaad20e-0x14ee59975f7ee3a6ab8e9bc81a7e634fa66285b4,71051.599472929104046961,100.001169999692846621,11194894,1604548439,0x23877a91e476eeb9ce33ca184da46bdbfe6fb30d6f64b5a68bd1551c533f1575,0x14ee59975f7ee3a6ab8e9bc81a7e634fa66285b4,0x9b68c14e936104e9a7a24c712beecdc220002984
0xaad4e6-0x78e68bd9ad166c9f381a8a56fa00d8b6de7067e6,0,0,11195622,1604558504,0xa6f4f3ca915072bcefff86aa48f7451105dc23b2b27af9b265287811ceb3b592,0x78e68bd9ad166c9f381a8a56fa00d8b6de7067e6,0x78e68bd9ad166c9f381a8a56fa00d8b6de7067e6
0xaad508-0x18626a763b857efab52b0e909688338479c7c29a,0,0,11195656,1604559017,0x7cfab0214269ae4654f3d5ab4bb9ab4fe158fdaf3794396788212d870594efe7,0x18626a763b857efab52b0e909688338479c7c29a,0x18626a763b857efab52b0e909688338479c7c29a
0xaad55c-0xd33394e8cedb90ce124e286a939d1c97536f757e,0,0,11195740,1604560176,0xbd95343d11f7a1cc87286a61bb0c7b776b0e91bf5d536de5de32a35c2ddae834,0xd33394e8cedb90ce124e286a939d1c97536f757e,0xd33394e8cedb90ce124e286a939d1c97536f757e
0xaad683-0x1104debd2533c75a08cbd514387f63349c17cc0b,0,0,11196035,1604564170,0xeac2db639de3d5b741ea8f23b914c244949e3ba5ff7c0cfc8deecc6027567e62,0x1104debd2533c75a08cbd514387f63349c17cc0b,0x1104debd2533c75a08cbd514387f63349c17cc0b
0xaad74c-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,344987.722376664817955044,0,11196236,1604566684,0x9f1ccce895fa239a966bb569f2845a6b09996014434cef69702362424f88da60,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0xc57d6861222bda675814619c8a3a1e573bc94694
0xaad755-0xc57d6861222bda675814619c8a3a1e573bc94694,0.104,0,11196245,1604566785,0xa3d68cf6d3b5b4456d489049424c58873e3d94cba44c6fc3d400950e5196dead,0xc57d6861222bda675814619c8a3a1e573bc94694,0xc57d6861222bda675814619c8a3a1e573bc94694
0xaad7ba-0xbf1a984d641c0718a1ca48c8a5d76d569c79af17,0,0,11196346,1604568007,0xd309793850539c32ee97fbb3f5f34e0a94304c6ddf4f24fc23c02a69199b8499,0xbf1a984d641c0718a1ca48c8a5d76d569c79af17,0xbf1a984d641c0718a1ca48c8a5d76d569c79af17
0xaada58-0x5376d18b8b2ebc4b3d4977f0a6c393d00f571ce4,0,0,11197016,1604576705,0xedd3985aeac185ce17fb8406f07aab93c7918081fc1d2720dabce312cabd2c7a,0x5376d18b8b2ebc4b3d4977f0a6c393d00f571ce4,0x5376d18b8b2ebc4b3d4977f0a6c393d00f571ce4
0xaadb16-0xf6c3c3621f42ec1f1cd1207bb1571d93646ab29a,0,0,11197206,1604579188,0x5d69396efc320bab46108b0eca1c18c8990dda5cfe80f82bcf0734234bbff160,0xf6c3c3621f42ec1f1cd1207bb1571d93646ab29a,0xf6c3c3621f42ec1f1cd1207bb1571d93646ab29a
0xaade98-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,344987.722376664817955044,0,11198104,1604591268,0x556a05b304e704c06423cca0c9fa63051b604639be5fb26089c7b330f6c76cb1,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0xc664454114ff7c12f3349e4a86b63deb22160cb0
0xaae270-0x7a5d7cacfec634f2bc5c3d0ad292ebb9ed85d7ac,0,0,11199088,1604604243,0xd36a750f70229cdaff7327e62ab18bf4674e3e1d500d6b300bbf75e850a3077d,0x7a5d7cacfec634f2bc5c3d0ad292ebb9ed85d7ac,0x7a5d7cacfec634f2bc5c3d0ad292ebb9ed85d7ac
0xaae2e2-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,344987.722376664817955044,0,11199202,1604605595,0x2421fce021aa6625fc25f4e7e6e5269fdda7c5cd48a29197a2f76d26093f86dd,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0x35531dd124618529b158743b6fdabd1c3f0b1f8c
0xaae352-0x8b1ae15adfb22e1fa2630900d5df3c88aa3f3bad,0,0,11199314,1604607226,0x13581dcd68eb3826866fd430804659ce6056e62dffc341f9484f2d027bf21a5b,0x8b1ae15adfb22e1fa2630900d5df3c88aa3f3bad,0x8b1ae15adfb22e1fa2630900d5df3c88aa3f3bad
0xaae407-0x6626593c237f530d15ae9980a95ef938ac15c35c,125027.282275363092289017,0.219981301860540803,11199495,1604609345,0xaa08b9e3a0f39ac003b6f3a250c3b7ffa9da353a67019da3a14808aa7c03db36,0x6626593c237f530d15ae9980a95ef938ac15c35c,0x7a5d7cacfec634f2bc5c3d0ad292ebb9ed85d7ac
0xaae4c0-0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,344987.722376664817955044,0.00552375612274231,11199680,1604611689,0xa82ca53f8cab2817f4e595d8f92b9bb46fddd9a9cce7875a647243c120b5f7eb,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,0x5b919e7e08ada8b0fb0169b2f37d34ec7d17c81c
0xaae52a-0x61462c47596dde05de3ed173cd3f4d00fa704c65,0,0,11199786,1604613100,0x71b8c252fd2354a2f0617e84286486d795f6ff0537e4c4c1050baeb8cfc6fca6,0x61462c47596dde05de3ed173cd3f4d00fa704c65,0x61462c47596dde05de3ed173cd3f4d00fa704c65
0xaae69e-0x70e7655af8fb18a729afd1b5164afb0e73896bac,0,0,11200158,1604618177,0x980c4bb812b6fec8c47174a7710a11197cd093e8c7cac3e8d6183d79e8792e03,0x70e7655af8fb18a729afd1b5164afb0e73896bac,0x70e7655af8fb18a729afd1b5164afb0e73896bac
0xaae6a3-0x73d7d7abc8f57f6d5ba8f931c525120fe969b5f5,0,0,11200163,1604618243,0xc26111bacbb0965218bd97ab65371a978475eb1c0471e0a447419c7b7f7f7d24,0x73d7d7abc8f57f6d5ba8f931c525120fe969b5f5,0x73d7d7abc8f57f6d5ba8f931c525120fe969b5f5
0xaaea66-0x6626593c237f530d15ae9980a95ef938ac15c35c,125027.50225666495282982,0,11201126,1604630830,0xa553ac32f7788cc78f75c1a23b2c15a71f93f49a0b2c4af1a818d8eeb8098517,0x6626593c237f530d15ae9980a95ef938ac15c35c,0xd2a2e3f122f32b25e65fa492284821d309d2968c
