id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18325,10000000000000000000000000,1,0,0,1583280535,9601359
18327,10000000000000000000000000,2,0,0,1583527500,9619917
18330,10000000000000000000000000,2,0,0,1583797624,9640293
18334,10000000000000000000000000,3,0,2,1584083943,9661782
18335,10000000000000000000000000,3,0,2,1584144300,9666244
18337,10000000000000000000000000,3,0,2,1584374724,9683568
18338,10000000000000000000000000,28,1,3,1584485341,9691903
18341,10000000000000000000000000,29,1,6,1584664510,9705361
18344,10000000000000000000000000,30,5,16,1584990721,9729496
18345,10000000000000000000000000,31,5,16,1585082577,9736280
18346,10000000000000000000000000,33,11,22,1585174142,9743053
18353,10000000000000000000000000,33,11,24,1585703817,9782963
18354,10000000000000000000000000,35,11,24,1585787887,9789335
18355,10000000000000000000000000,36,12,24,1585875655,9795905
18358,10000000000000000000000000,37,12,24,1586203164,9820518
18360,10000000000000000000000000,38,12,24,1586379680,9833819
18361,10000000000000000000000000,39,12,25,1586393268,9834861
18363,10000000000000000000000000,41,13,25,1586566726,9847873
18365,10000000000000000000000000,42,13,25,1586804819,9865783
18366,10000000000000000000000000,45,14,27,1586891819,9872414
18368,10000000000000000000000000,48,23,36,1587066548,9885469
18369,10000000000000000000000000,51,27,43,1587154195,9892027
18373,10000000000000000000000000,53,29,44,1587433063,9912909
18374,10000000000000000000000000,55,31,47,1587584178,9924177
18376,10000000000000000000000000,58,33,55,1587771165,9938197
18379,10000000000000000000000000,58,35,56,1588016280,9956454
18380,10000000000000000000000000,59,35,58,1588100946,9962750
18386,10000000000000000000000000,60,35,59,1588553336,9996553
18390,10000000000000000000000000,61,36,60,1588899847,10022521
18396,10000000000000000000000000,62,36,63,1589484139,10066079
18397,10000000000000000000000000,63,37,64,1589504650,10067686
18405,10000000000000000000000000,63,37,65,1590196515,10119034
18418,10000000000000000000000000,63,38,123,1591384925,10207583
18422,10000000000000000000000000,63,37,153,1591663321,10228396
18426,10000000000000000000000000,65,38,208,1592088773,10260177
18427,10000000000000000000000000,65,38,211,1592104285,10261355
18428,10000000000000000000000000,459,64,326,1592265588,10273464
18429,10000000000000000000000000,1120,103,475,1592351968,10279898
18430,10000000000000000000000000,1639,130,576,1592438382,10286315
18431,10000000000000000000000000,2125,172,712,1592524769,10292764
18432,10000000000000000000000000,2833,220,851,1592611171,10299268
18433,10000000000000000000000000,3470,290,1013,1592697568,10305731
18434,10000000000000000000000000,4299,332,1177,1592783994,10312235
18435,10000000000000000000000000,4891,358,1298,1592870381,10318690
18436,10000000000000000000000000,5633,398,1438,1592956728,10325131
18437,10000000000000000000000000,5665,433,1557,1593043101,10331609
18438,10000000000000000000000000,6170,457,1653,1593129563,10338066
18439,10000000000000000000000000,6885,498,1761,1593215998,10344514
18440,10000000000000000000000000,7638,538,1874,1593302380,10350877
18441,10000000000000000000000000,8092,580,1990,1593388783,10357401
18442,10000000000000000000000000,8524,600,2079,1593475193,10363794
18443,10000000000000000000000000,8961,616,2145,1593561475,10370269
18444,10000000000000000000000000,9413,642,2212,1593647996,10376682
18445,10000000000000000000000000,9933,678,2291,1593734399,10383124
18446,10000000000000000000000000,10500,696,2351,1593820797,10389599
18447,10000000000000000000000000,10916,714,2403,1593907193,10396026
18448,10000000000000000000000000,11336,731,2471,1593993538,10402516
18449,10000000000000000000000000,11847,758,2519,1594079997,10408977
