id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0x196e7b2d09c0a093c2a19622df730e43480c5dbf,0,0,1,[{'id': '0x196e7b2d09c0a093c2a19622df730e43480c5dbf'}],[],0,[]
0x19711cd19e609febdbf607960220898268b7e24b,517289025894034669568,517.289025894034669568,2,"[{'id': '0x09fb95d2ba202ceb3e9ac680adb2c81dbd9adfb8'}, {'id': '0x19711cd19e609febdbf607960220898268b7e24b'}]",[],0,[]
0x1977c4b06a76c160eff920c67fbc0635124364c8,263311777663555444736,263.311777663555444736,1,[{'id': '0x1977c4b06a76c160eff920c67fbc0635124364c8'}],[],0,[]
0x197939c1ca20c2b506d6811d8b6cdb3394471074,0,0,1,[{'id': '0x197939c1ca20c2b506d6811d8b6cdb3394471074'}],[],0,[]
0x197a779294518717e21d0f34615d9972b04ea315,0,0,1,[{'id': '0x197a779294518717e21d0f34615d9972b04ea315'}],[],0,[]
0x197d49fe8dae671eeddc7e2e40978db3e2d71b08,13547870209803820428,13.547870209803820428,2,[{'id': '0x197d49fe8dae671eeddc7e2e40978db3e2d71b08'}],[],0,[]
0x19811b757164745e8581cbffcaf0ef6f5c8d4038,0,0,1,[{'id': '0x19811b757164745e8581cbffcaf0ef6f5c8d4038'}],[],0,[]
0x1982ac6974d8722779120204036b1b951d551bd6,843666231567021,0.000843666231567021,1,[{'id': '0x1982ac6974d8722779120204036b1b951d551bd6'}],"[{'id': '0x1982ac6974d8722779120204036b1b951d551bd6-82659277767818009782194204088226418907972756681918239480374274857360772298879', 'choice': 'FOR', 'weight': '843666231567021', 'proposal': {'id': '82659277767818009782194204088226418907972756681918239480374274857360772298879'}}]",1,[]
0x1984085a44b67dcb376a9f220c892dc9bc517450,0,0,1,[{'id': '0x1984085a44b67dcb376a9f220c892dc9bc517450'}],[],0,[]
0x1984edf70973e1389548f21cd0dcb15b408240c9,47003086415741284352,47.003086415741284352,1,[{'id': '0x51eec7500064041c82131730a4ed7da9e2bd6fc1'}],[],0,[]
0x19863a514938ae85280a8942fa769b1d07e4bc5c,0,0,1,[{'id': '0x19863a514938ae85280a8942fa769b1d07e4bc5c'}],[],0,[]
0x198712f02dec362773a6d451c86b68930742dd6c,116721867472014659584,116.721867472014659584,2,"[{'id': '0x198712f02dec362773a6d451c86b68930742dd6c'}, {'id': '0x9de2a71f114f066a3ce533df1050eae019985588'}]",[],0,[]
0x1988548e4ed514c6a7e719fdfd6227343b9c8e98,204216954463434739712,204.216954463434739712,5,"[{'id': '0x1988548e4ed514c6a7e719fdfd6227343b9c8e98'}, {'id': '0x408b605cb0590d9b3a23c6127dee5b1e4734886b'}, {'id': '0x8c5d453032be19ea372e9befd0ec01a02e9e2ec2'}, {'id': '0xa3f2d7b07266f2712d66ad3691f7f1e512f77c25'}, {'id': '0xc71c7d55b964c3d2735f3ad7ef817286e28bdc5c'}]",[],0,[]
0x1989aaf690429abdaf5b8a1e3daecc3d083c5e0b,0,0,1,[{'id': '0x1989aaf690429abdaf5b8a1e3daecc3d083c5e0b'}],[],0,[]
0x198d03db13a0b2b3e28f59857aec54bf4c96dff8,0,0,1,[{'id': '0x198d03db13a0b2b3e28f59857aec54bf4c96dff8'}],[],0,[]
0x198d86a1727ad8c56866c040f9557b2d983a6353,68376605188825299840,68.37660518882529984,1,[{'id': '0x198d86a1727ad8c56866c040f9557b2d983a6353'}],[],0,[]
0x19951fdfa235988ad867eb585f25ea071e5655d8,0,0,1,[{'id': '0x19951fdfa235988ad867eb585f25ea071e5655d8'}],[],0,[]
0x1996415cdf073697c6cd49d9aaca79f26bf67c8b,0,0,0,[],[],0,[]
0x1998ec63d39c18f15e1188ef169c54b810a09cf8,0,0,1,[{'id': '0x1998ec63d39c18f15e1188ef169c54b810a09cf8'}],[],0,[]
0x1999bdf990e35fe62b3bbfa4e01d402008e2d02e,0,0,1,[{'id': '0x1999bdf990e35fe62b3bbfa4e01d402008e2d02e'}],[],0,[]
0x199b84ed220711909d7146647c17644be7969176,4500581197324288,0.004500581197324288,1,[{'id': '0x199b84ed220711909d7146647c17644be7969176'}],[],0,[]
0x199b88232ae4f393e1ecf6871ceac46647a9cf8e,0,0,1,[{'id': '0x199b88232ae4f393e1ecf6871ceac46647a9cf8e'}],[],0,[]
0x199faeb870f3ed8c96caf35eba6d43d10c3e2478,0,0,1,[{'id': '0x199faeb870f3ed8c96caf35eba6d43d10c3e2478'}],[],0,[]
0x19a22b62bba26b3146d599be743a2d65bf5ace2a,800281236994073044992,800.281236994073044992,12,"[{'id': '0x19a22b62bba26b3146d599be743a2d65bf5ace2a'}, {'id': '0x5e7b7c3b0ab99648b2b58b5b232b8d04727a4a48'}, {'id': '0x819aab2e85fb07dba64cd8248acb8c95eaab259a'}, {'id': '0x8a9e4ebedd76b07ca1b28718f9ec8408e65b8685'}, {'id': '0x8b8aa68c016be15f2920ebac6d3c996f6e88048f'}, {'id': '0x8df338f0a0f644c32e00ae18c0d5ee33d84cf9d6'}, {'id': '0x902a24c603676766ef67dc27f92a9b87ffe22982'}, {'id': '0xbaf049b1792a3f9d8b7aba86c7b1b90ed2511b94'}, {'id': '0xc9498889edb4ca2ed087c0f5347320293bf90504'}, {'id': '0xed96d9ca875a2c7dc5c1c2934819f79bdeef24bf'}, {'id': '0xf932e4aea29d66de523d0022b86e6c5032f8c2bc'}, {'id': '0xfa6afbdc71ab14d3b93a659e910895be78924d91'}]",[],0,[]
0x19a284202ddd451c63c1084815f0d96e38fcc5fe,0,0,4,"[{'id': '0x19a284202ddd451c63c1084815f0d96e38fcc5fe'}, {'id': '0x1bf0c982238ed37ecb19bde7ee5f479b70fec67c'}, {'id': '0xdedf57daf6ed6bab2baad5acb0292668b33a3b28'}, {'id': '0xeb032f5b38ff3abbca64a9c0a34161cb94a38879'}]",[],0,[]
0x19a504b1096ae59624105e737b22f5943b1a4846,0,0,1,[{'id': '0x19a504b1096ae59624105e737b22f5943b1a4846'}],[],0,[]
0x19a9644431296f4e81132ed7a4724d81ea2112e2,60255327569708797952,60.255327569708797952,1,[{'id': '0x19a9644431296f4e81132ed7a4724d81ea2112e2'}],[],0,[]
0x19abb86479e7807ac9f29ebfcf8810ad486ee14c,0,0,1,[{'id': '0x19abb86479e7807ac9f29ebfcf8810ad486ee14c'}],[],0,[]
0x19abf35c71adf2a81933e81cd7662b6a1033b508,243343208165094363136,243.343208165094363136,1,[{'id': '0x19abf35c71adf2a81933e81cd7662b6a1033b508'}],[],0,[]
0x19ac63521615455415a716f5dcbb49d065ae8092,275961044324419338240,275.96104432441933824,1,[{'id': '0x19ac63521615455415a716f5dcbb49d065ae8092'}],[],0,[]
0x19ad3bb2dedb212f3e9d4028d36648a480a9c9a7,1003596428080668672,1.003596428080668672,1,[{'id': '0x19ad3bb2dedb212f3e9d4028d36648a480a9c9a7'}],[],0,[]
0x19ad8298daac91be0da51876f4ab7bbdffd296d1,290516260435522289088,290.516260435522289088,1,[{'id': '0x19ad8298daac91be0da51876f4ab7bbdffd296d1'}],[],0,[]
0x19aeedcea47ee80aefad3a16154b13f4c28506ee,0,0,1,[{'id': '0x19aeedcea47ee80aefad3a16154b13f4c28506ee'}],[],0,[]
0x19b0e3f9d261ac7dbbab494e5897a60ec8e5e7f4,0,0,1,[{'id': '0x19b0e3f9d261ac7dbbab494e5897a60ec8e5e7f4'}],[],0,[]
0x19b292c1a84379aab41564283e7f75bf20e45f91,0,0,1,[{'id': '0x19b292c1a84379aab41564283e7f75bf20e45f91'}],[],0,[]
0x19b3537851e4da81e17f0c390054f24f28b2d75e,0,0,1,[{'id': '0x19b3537851e4da81e17f0c390054f24f28b2d75e'}],[],0,[]
0x19b7c095597e5b0c0166ed149a68372198d1bb0f,55069932975264661504,55.069932975264661504,1,[{'id': '0x19b7c095597e5b0c0166ed149a68372198d1bb0f'}],[],0,[]
0x19b927168996f0179fb1b57e8d27778e532f958a,0,0,1,[{'id': '0x19b927168996f0179fb1b57e8d27778e532f958a'}],[],0,[]
0x19b975414cc7613183fe5b4e7227505462306f0d,169623809848528152576,169.623809848528152576,1,[{'id': '0x19b975414cc7613183fe5b4e7227505462306f0d'}],[],0,[]
0x19bb01c955f2bb23badbbfa7e1c6ce96cee06c75,4033941274624,0.000004033941274624,1,[{'id': '0x19bb01c955f2bb23badbbfa7e1c6ce96cee06c75'}],[],0,[]
0x19bb34410c9a0f70e89d1b9ab054059ed1cf5aa8,568806299487887360,0.56880629948788736,2,"[{'id': '0x19bb34410c9a0f70e89d1b9ab054059ed1cf5aa8'}, {'id': '0xf19a9884b9b0fcd929af212ac9120ad0b911999e'}]",[],0,[]
0x19bb9296a7a093c3a78f6f435e42f75c4e5248ef,160391423745011724288,160.391423745011724288,1,[{'id': '0x19bb9296a7a093c3a78f6f435e42f75c4e5248ef'}],[],0,[]
0x19be9bf6099c41f438ff06cd4c62bfc339866c7a,2910924541952,0.000002910924541952,1,[{'id': '0x19be9bf6099c41f438ff06cd4c62bfc339866c7a'}],[],0,[]
0x19beaa3a5535a4c64838c7ef1f14a99a8daeb580,0,0,1,[{'id': '0xfb92601efe36489589b63e3badc6451ca2a60dd5'}],[],0,[]
0x19c04ca80c4168ea8ab469a0766a858d7172b320,0,0,2,"[{'id': '0x19c04ca80c4168ea8ab469a0766a858d7172b320'}, {'id': '0x5fcf6e9c7e97986a14a79a8c7a69b928a7812dcd'}]",[],0,[]
0x19c41ee0800ea7f50df52fc03826092b3b5273f5,0,0,1,[{'id': '0x19c41ee0800ea7f50df52fc03826092b3b5273f5'}],[],0,[]
0x19c8024044029cf5ec9fdf87b497d9010ab11dec,0,0,6,"[{'id': '0x13792fa2ddecc50b6e0e9018cc4907a432866459'}, {'id': '0x19c8024044029cf5ec9fdf87b497d9010ab11dec'}, {'id': '0x2e17e87453f51290510a54b91ecb5c2b4d6feed7'}, {'id': '0xb5d51566fd2e08146f6ee4283709ff79d94b619c'}, {'id': '0xdb50ce034aa5db0ab1c0a461862493adaeb7a56b'}]",[],0,[]
0x19c81f8c59ce0071ea3b5f9994ac19ce42f29728,0,0,1,[{'id': '0x19c81f8c59ce0071ea3b5f9994ac19ce42f29728'}],[],0,[]
0x19cd4a09120e355ca9644c75f56f578e8c0603b1,0,0,1,[{'id': '0x19cd4a09120e355ca9644c75f56f578e8c0603b1'}],[],0,[]
0x19d82f6571ac1005a182ad8cbb244ce27776ac20,0,0,1,[{'id': '0x19d82f6571ac1005a182ad8cbb244ce27776ac20'}],[],0,[]
0x19dbcf92ab399c5e05df253caf36a8f1af8902ab,0,0,1,[{'id': '0x19dbcf92ab399c5e05df253caf36a8f1af8902ab'}],[],0,[]
0x19dde5f247155293fb8c905d4a400021c12fb6f0,0,0,1,[{'id': '0x19dde5f247155293fb8c905d4a400021c12fb6f0'}],[],0,[]
0x19e1f1b79211f066eba1eedf0ef74459803c2e17,0,0,1,[{'id': '0x19e1f1b79211f066eba1eedf0ef74459803c2e17'}],[],0,[]
0x19e9984dbe97c9e3ad187a4f75732551d54275ba,91722796551594311680,91.72279655159431168,1,[{'id': '0x19e9984dbe97c9e3ad187a4f75732551d54275ba'}],[],0,[]
