id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xd1a44c-0x399e0ae23663f27181ebb4e66ec504b3aab25541,123174.942178669591157214,0,13739084,1638610904,0xeb1abc353e8b5f0e648c87d68b43618b7b1fc46eeee8623449370613dc223cd4,0x399e0ae23663f27181ebb4e66ec504b3aab25541,0x1dcc34e322985178b90adac054dfc4de15f8ca3c
0xd1a461-0x5bfcb4be4d7b43437d5a0c57e908c048a4418390,201791.22186155742655446,0,13739105,1638611240,0x63f3cb1aa838087a6834cd6c4dfd8c491a64b8aa43cd0baec0ad8aa09651fe63,0x5bfcb4be4d7b43437d5a0c57e908c048a4418390,0x3d20f1db694995d4ea6c1cb13f4c391f292808fd
0xd1a479-0xe5501bc2b0df6d0d7daafc18d2ef127d9e612963,203937.238116280098071702,0,13739129,1638611456,0xc04d2139ec2701f287f4697e528ef60aa32059105b3216f749c5e52ea63c092b,0xe5501bc2b0df6d0d7daafc18d2ef127d9e612963,0x91ea616d9ee6e9aea8901e20ff2c7922d67991da
0xd1a487-0x7ac6a49e0c3d46504dc972901ebf11a4c5c8175f,0,0,13739143,1638611727,0xc64f8d043a8bb7ade8e41474a379ee3428b0d18b35212fbf966aa701d19dbd86,0x7ac6a49e0c3d46504dc972901ebf11a4c5c8175f,0x7ac6a49e0c3d46504dc972901ebf11a4c5c8175f
0xd1a4a9-0x394495a3800d1504b5686d398836baefebd0c5b7,9951.630377021609719609,0,13739177,1638612152,0x53377aa836deeb4a63554183f4f299f22ef824f3fd55a48675da730b3974a2c2,0x394495a3800d1504b5686d398836baefebd0c5b7,0x1e17a75616cd74f5846b1b71622aa8e10ea26cc0
0xd1a4c4-0x5bfcb4be4d7b43437d5a0c57e908c048a4418390,201942.529715288716535388,0,13739204,1638612598,0x285fa9b8593010e651139f4e8081551e7f73f0cf2dbff32c5a5d9e8fc87c5e35,0x5bfcb4be4d7b43437d5a0c57e908c048a4418390,0xd8913abe765bac3f6dda1767e6504061ecbb950a
0xd1a4e1-0xc289bf4777d34bb366d2e9f58fd057eb910079a6,0,0,13739233,1638612977,0xd134f4018b83ac40972905bdb9bd3ed599c2b11fddf69d79ca0616bb963a570d,0xc289bf4777d34bb366d2e9f58fd057eb910079a6,0xc289bf4777d34bb366d2e9f58fd057eb910079a6
0xd1a4f9-0xbdb41bff7e828e2dc2d15eb67257455db818f1dc,174185.385184018572015111,0,13739257,1638613246,0x434d3fc57f80fae043d2265cccd35f5b821d1effe3a4417d06af5874b34ea3d3,0xbdb41bff7e828e2dc2d15eb67257455db818f1dc,0xfb3633562557ca9168983dc877a589ddc491de86
0xd1a50e-0xb8771a5425cb37dc585fa72f6a6e629d85331435,0,0,13739278,1638613508,0xb14c3ed6c3f4b2ba9bbb71dff547f2855c8adda0bceaf62d9697013b58c6490d,0xb8771a5425cb37dc585fa72f6a6e629d85331435,0xb8771a5425cb37dc585fa72f6a6e629d85331435
0xd1a51e-0x7bb7e00f27a6d1772e3b0c58ddeaf9c44e3a83ff,0,0,13739294,1638613740,0xec659f45ae9f62d4f1ce774df4a8f4a6b9c3803f2cbb65fe25d68a093bf8b2af,0x7bb7e00f27a6d1772e3b0c58ddeaf9c44e3a83ff,0x7bb7e00f27a6d1772e3b0c58ddeaf9c44e3a83ff
0xd1a526-0x0457d3ef89435f23d781f97495d1e3e6c93813db,59025.163635555107117808,0,13739302,1638613814,0xbd11551801ba8419ceba0e7b7eb59c0b20409ace848b6ae6c10e0d5b5567377f,0x0457d3ef89435f23d781f97495d1e3e6c93813db,0x25d4382ce38d878c6b2cf350f236c64849c28299
0xd1a52c-0x6c7a16a3582e8c8d974d9eb29b84ce18ed005cb3,38751.311566210901182182,0,13739308,1638613885,0xb701be865f3187d9ac4f2cd9cc3d9e6dc2f3c74099dc684008487c505a81d7aa,0x6c7a16a3582e8c8d974d9eb29b84ce18ed005cb3,0x335633f9c96634aefd875998410ef09d9888b7c4
0xd1a53e-0x8b8fc53270a8f385e9be6be02bada8d1cbbd3051,0,0,13739326,1638614047,0x0a538b066a0b553f7bba2bcd57f26dda0d9939e1d11a96fd14a808d26564c946,0x8b8fc53270a8f385e9be6be02bada8d1cbbd3051,0x8b8fc53270a8f385e9be6be02bada8d1cbbd3051
0xd1a550-0x8b3347fd0b8c3a619d1f1fdc90caf4f335c03742,75957.724686459608543099,0,13739344,1638614266,0xc3a392e8f5bbf8b827de8c4e50c1cdec00ac29f29faf3a0857c656c146b7d693,0x8b3347fd0b8c3a619d1f1fdc90caf4f335c03742,0x3801164b746872a30634ce50957d9a35ba9ab305
0xd1a589-0xab35f1a3ce33688bbc5271e61545b6105a9ff69d,0,0,13739401,1638615116,0x85b3ff2f306151a677b2369766d9f62280e61b7b33dbe03bea7e77777610d10a,0xab35f1a3ce33688bbc5271e61545b6105a9ff69d,0xab35f1a3ce33688bbc5271e61545b6105a9ff69d
0xd1a59c-0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,240741.178186790996621697,0,13739420,1638615386,0xbfc0751c7d19b0ab353db903e88801599b9f4f3abe177123c9e9133b205d803d,0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,0x41ab76d8f45a7d7e4ae4172b0181295ba1728776
0xd1a5b9-0xbdb41bff7e828e2dc2d15eb67257455db818f1dc,174227.844622684549484039,0,13739449,1638615845,0x149fb764e6d736350813c34b19edfb1920a79f5c46a30dc8d6a78f0e63ced265,0xbdb41bff7e828e2dc2d15eb67257455db818f1dc,0xb34fd18e01a5a42216e461582fbd1e31b671eaf2
