id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18932,100000000000000000000000000,4,0,0,1635801618,13533540
18933,100000000000000000000000000,5,0,0,1635887279,13539815
18934,100000000000000000000000000,4,0,0,1635969039,13545875
18935,100000000000000000000000000,4,0,0,1636058754,13552412
18936,100000000000000000000000000,4,0,0,1636077834,13553812
18939,100000000000000000000000000,46,0,3,1636415906,13578837
18940,100000000000000000000000000,40029,9567,42209,1636502398,13585211
18941,100000000000000000000000000,52663,11315,56097,1636588739,13591593
18942,100000000000000000000000000,53054,11989,61812,1636675176,13597966
18943,100000000000000000000000000,54244,12211,64442,1636761566,13604387
18944,100000000000000000000000000,55490,12404,66686,1636847989,13610713
18945,100000000000000000000000000,56932,12645,69135,1636934386,13617058
18946,100000000000000000000000000,57617,12704,70412,1637020772,13623376
18947,100000000000000000000000000,57817,12719,71572,1637107176,13629629
18948,100000000000000000000000000,58015,12751,72607,1637193584,13636020
18949,100000000000000000000000000,57897,12755,73381,1637279915,13642390
18950,100000000000000000000000000,58233,12753,74048,1637366334,13648621
18951,100000000000000000000000000,58769,12785,75006,1637452770,13654918
18952,100000000000000000000000000,58910,12902,75923,1637539151,13661205
18953,100000000000000000000000000,58776,12844,76265,1637625583,13667572
18954,100000000000000000000000000,58838,12832,76662,1637711971,13673912
18955,100000000000000000000000000,58909,12835,77031,1637798379,13680216
18956,100000000000000000000000000,58786,12721,77590,1637884787,13686519
18957,100000000000000000000000000,58666,12667,78203,1637971076,13692735
18958,100000000000000000000000000,58460,12553,78876,1638057590,13699124
18959,100000000000000000000000000,58747,12564,79475,1638143998,13705380
18960,100000000000000000000000000,58820,12548,79858,1638230373,13711586
18961,100000000000000000000000000,58872,12565,80149,1638316790,13717846
18962,100000000000000000000000000,58849,12490,80387,1638403163,13724081
18963,100000000000000000000000000,58808,12501,80654,1638489555,13730329
18964,100000000000000000000000000,58948,12487,80919,1638575986,13736622
18965,100000000000000000000000000,59078,12495,81134,1638662382,13742800
18966,100000000000000000000000000,59249,12516,81468,1638748788,13749027
18967,100000000000000000000000000,59247,12510,81694,1638835198,13755301
18968,100000000000000000000000000,59340,12523,81956,1638921524,13761564
18969,100000000000000000000000000,59311,12531,82279,1639007972,13767792
18970,100000000000000000000000000,59250,12522,82574,1639094329,13774068
18971,100000000000000000000000000,59274,12528,82869,1639180788,13780501
18972,100000000000000000000000000,59396,12564,83141,1639267013,13786976
18973,100000000000000000000000000,59586,12588,83454,1639353532,13793506
18974,100000000000000000000000000,59594,12579,83704,1639439984,13799998
18975,100000000000000000000000000,59587,12564,83884,1639526389,13806389
18976,100000000000000000000000000,59628,12554,84073,1639612728,13812865
18977,100000000000000000000000000,59659,12529,84236,1639699185,13819264
18978,100000000000000000000000000,59659,12528,84425,1639785566,13825730
18979,100000000000000000000000000,59795,12520,84610,1639871949,13832239
18980,100000000000000000000000000,59902,12532,84859,1639958369,13838692
18981,100000000000000000000000000,59931,12510,85034,1640044787,13845238
18982,100000000000000000000000000,59977,12515,85187,1640131008,13851668
18983,100000000000000000000000000,60052,12515,85372,1640217576,13858104
18984,100000000000000000000000000,60076,12503,85516,1640303996,13864521
18985,100000000000000000000000000,60115,12495,85664,1640390123,13870966
18986,100000000000000000000000000,60230,12492,85934,1640476761,13877447
18987,100000000000000000000000000,60348,12496,86197,1640563108,13883911
18988,100000000000000000000000000,60364,12467,86367,1640649594,13890393
18989,100000000000000000000000000,60365,12451,86520,1640735836,13896820
18990,100000000000000000000000000,60345,12438,86639,1640822354,13903353
18991,100000000000000000000000000,60305,12421,86791,1640908774,13909785
18992,100000000000000000000000000,60269,12402,86920,1640995172,13916164
18993,100000000000000000000000000,60398,12402,87263,1641081591,13922671
18994,100000000000000000000000000,60388,12380,87473,1641167876,13929158
18995,100000000000000000000000000,60383,12362,87678,1641254311,13935623
18996,100000000000000000000000000,60360,12344,87850,1641340745,13942116
18997,100000000000000000000000000,60323,12326,87988,1641427147,13948578
18998,100000000000000000000000000,60075,12314,88089,1641513590,13954973
18999,100000000000000000000000000,59881,12288,88171,1641599868,13961385
19000,100000000000000000000000000,59774,12277,88299,1641686264,13967917
19001,100000000000000000000000000,59743,12259,88389,1641772771,13974423
19002,100000000000000000000000000,59683,12230,88490,1641859033,13980839
19003,100000000000000000000000000,59598,12213,88575,1641945324,13987363
19004,100000000000000000000000000,59575,12197,88678,1642031834,13993821
19005,100000000000000000000000000,59460,12173,88784,1642117931,14000240
19006,100000000000000000000000000,59407,12168,88878,1642204736,14006706
19007,100000000000000000000000000,59345,12155,89003,1642291133,14013190
19008,100000000000000000000000000,59258,12133,89114,1642377542,14019693
19009,100000000000000000000000000,59182,12121,89222,1642463947,14026163
19010,100000000000000000000000000,59075,12115,89326,1642550385,14032629
19011,100000000000000000000000000,58987,12093,89441,1642636758,14039100
19012,100000000000000000000000000,58896,12072,89544,1642723162,14045585
19013,100000000000000000000000000,58737,12034,89594,1642809526,14051977
19014,100000000000000000000000000,58625,12006,89647,1642895830,14058529
19015,100000000000000000000000000,58527,12000,89703,1642981832,14064953
19016,100000000000000000000000000,58472,11990,89766,1643068693,14071445
19017,100000000000000000000000000,58415,11980,89833,1643155098,14077894
19018,100000000000000000000000000,58421,11984,89904,1643241538,14084331
19019,100000000000000000000000000,58356,11965,89940,1643327975,14090824
19020,100000000000000000000000000,58331,11952,90000,1643414273,14097290
19021,100000000000000000000000000,58306,11944,90062,1643500681,14103754
19022,100000000000000000000000000,58307,11942,90169,1643586875,14110272
19023,100000000000000000000000000,58286,11919,90228,1643673437,14116754
19024,100000000000000000000000000,58246,11908,90286,1643759786,14123248
19025,100000000000000000000000000,58240,11905,90349,1643845985,14129687
19026,100000000000000000000000000,58220,11903,90404,1643932684,14136125
19027,100000000000000000000000000,58189,11903,90484,1644019195,14142694
19028,100000000000000000000000000,58180,11893,90570,1644105522,14149073
19029,100000000000000000000000000,57968,11825,90981,1644191885,14155609
19030,100000000000000000000000000,57902,11814,91189,1644278365,14162078
19031,100000000000000000000000000,57828,11803,91315,1644364680,14168505
19032,100000000000000000000000000,57757,11790,91427,1644451115,14174986
19033,100000000000000000000000000,57689,11761,91510,1644537477,14181413
19034,100000000000000000000000000,57657,11753,91598,1644623735,14187931
19035,100000000000000000000000000,57645,11748,91686,1644709769,14194358
19036,100000000000000000000000000,57669,11753,91820,1644796785,14200887
19037,100000000000000000000000000,57625,11743,91886,1644883082,14207331
19038,100000000000000000000000000,57618,11732,91958,1644969171,14213816
19039,100000000000000000000000000,57602,11727,92014,1645055247,14220199
19040,100000000000000000000000000,57567,11706,92065,1645142305,14226739
19041,100000000000000000000000000,57536,11698,92114,1645228676,14233153
19042,100000000000000000000000000,57514,11685,92177,1645314549,14239525
19043,100000000000000000000000000,57488,11671,92248,1645401211,14246064
19044,100000000000000000000000000,57469,11668,92277,1645487919,14252509
19045,100000000000000000000000000,57428,11660,92324,1645574289,14258978
19046,100000000000000000000000000,57381,11648,92366,1645660767,14265469
19047,100000000000000000000000000,57291,11627,92405,1645747159,14271954
19048,100000000000000000000000000,57292,11620,92465,1645833597,14278386
19049,100000000000000000000000000,57322,11617,92541,1645919863,14284840
19050,100000000000000000000000000,57404,11626,92630,1646005695,14291301
