id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id
0x81ad80992ef7fb3e6282bb360d12ed71ae07d145-115615865324623814833258987703837575663427750121726187103053182962864855260310,FOR,10008000000000000000,,14440743,1648013812,0x0a0f435ce568d884608afce46de273f83d89f9d3c03dd0f0adf764be2abb7c17,0x81ad80992ef7fb3e6282bb360d12ed71ae07d145,115615865324623814833258987703837575663427750121726187103053182962864855260310
0x81ad80992ef7fb3e6282bb360d12ed71ae07d145-82659277767818009782194204088226418907972756681918239480374274857360772298879,FOR,10008000000000000000,,14440730,1648013663,0x742ad5e2fd2abc463f33367bebc0bddf92e26365a8940d9640f5ef8618f1c91c,0x81ad80992ef7fb3e6282bb360d12ed71ae07d145,82659277767818009782194204088226418907972756681918239480374274857360772298879
0x81b287c0992b110adeb5903bf7e2d9350c80581a-107166664722174233740232174220463354481004128961821575530758100250899337476509,FOR,270169031141702352644729,,14651413,1650856883,0xb69de61e7435407e24360fcb6ac42369e87ed142252ca94fdf1a99d9f6cbc5a7,0x81b287c0992b110adeb5903bf7e2d9350c80581a,107166664722174233740232174220463354481004128961821575530758100250899337476509
0x81b287c0992b110adeb5903bf7e2d9350c80581a-112764562576314516994943312429834673309292069549953740415731020720942627228986,FOR,250126766014400946024409,,15123116,1657566070,0x40571bb3fae5f336054fdc366c7286b5616915135be0ec08f7480b3c37360502,0x81b287c0992b110adeb5903bf7e2d9350c80581a,112764562576314516994943312429834673309292069549953740415731020720942627228986
0x81b287c0992b110adeb5903bf7e2d9350c80581a-65967822514040846992464797266243157509206510058326665394616765053720727454968,FOR,351135993272119515252602,,14077624,1643151603,0xbe0143de3616f39fce073231d417ed6dd626c69a21f70c89a644447417a6234c,0x81b287c0992b110adeb5903bf7e2d9350c80581a,65967822514040846992464797266243157509206510058326665394616765053720727454968
0x81b287c0992b110adeb5903bf7e2d9350c80581a-8759198094868535520038506706231539487662297008587733129541987545743856603253,FOR,260149821594996678188491,,14971067,1655348626,0xfdd6464f7d47a86ccded4315c5d2b687875bdb3e73e9da31663b778489fab853,0x81b287c0992b110adeb5903bf7e2d9350c80581a,8759198094868535520038506706231539487662297008587733129541987545743856603253
0x81b287c0992b110adeb5903bf7e2d9350c80581a-90476529665364161211265365238121921179703522228680648046371476645353679539653,FOR,371594703890169752497596,,13948257,1641423120,0x14c0d47567dd068036cf15f3adb6667d6fbc23a9e30a7b8558c86d33bff34183,0x81b287c0992b110adeb5903bf7e2d9350c80581a,90476529665364161211265365238121921179703522228680648046371476645353679539653
0x8289432acd5eb0214b1c2526a5edb480aa06a9ab-21861129347596183989807248258922558214743224135371288783165185538477576992486,FOR,423415390562380775424,,15300828,1659952053,0x9c4fc6d8ba55eee274fb3f9decb2cb3198ac4e96d5e5e5cf1057dcaea0b1d32c,0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,21861129347596183989807248258922558214743224135371288783165185538477576992486
0x8289432acd5eb0214b1c2526a5edb480aa06a9ab-43203199770691383238593940280239053946984014979449022275641313046078578194694,FOR,423415390562380775424,,15300826,1659952017,0x5ef416c303788b14dd16a92c1e0ae7534f02dc385d379576eb5897d2c81db100,0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,43203199770691383238593940280239053946984014979449022275641313046078578194694
0x82a1d70894b5a4df75b3d5f07b683f7e9b5a5194-107166664722174233740232174220463354481004128961821575530758100250899337476509,FOR,0,,14648528,1650818036,0x764874e3a404d1183991485b1e615a4f15ac2dd369dff4508683295287a7a0a3,0x82a1d70894b5a4df75b3d5f07b683f7e9b5a5194,107166664722174233740232174220463354481004128961821575530758100250899337476509
