id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18991,27182818284590452353602874,1,0,0,1640894681,13908728
19164,27182818284590452353602874,2,0,0,1655843346,15004074
19165,27182818284590452353602874,7,0,30,1655923679,15009037
19166,27182818284590452353602874,407,137,518,1656028792,15015519
19167,27182818284590452353602874,1047,564,1602,1656115196,15020885
19168,27182818284590452353602874,1401,826,2015,1656198585,15026049
19169,27182818284590452353602874,1455,846,2074,1656281376,15031141
19170,27182818284590452353602874,1500,858,2128,1656373613,15036914
19171,27182818284590452353602874,1525,864,2156,1656458414,15042126
19172,27182818284590452353602874,1546,868,2181,1656543510,15047363
19173,27182818284590452353602874,1562,865,2192,1656632802,15053169
19174,27182818284590452353602874,1584,872,2225,1656719998,15059680
19175,27182818284590452353602874,1608,891,2289,1656804319,15066011
19176,27182818284590452353602874,1615,892,2310,1656891181,15072579
19177,27182818284590452353602874,1617,892,2325,1656965525,15078147
19178,27182818284590452353602874,1624,898,2341,1657062678,15085407
19179,27182818284590452353602874,1627,897,2343,1657151618,15092073
19180,27182818284590452353602874,1653,904,2356,1657237447,15098427
19181,27182818284590452353602874,1644,902,2360,1657317807,15104562
19182,27182818284590452353602874,1648,901,2366,1657410144,15111410
19183,27182818284590452353602874,1643,894,2370,1657487065,15117183
19184,27182818284590452353602874,1647,894,2381,1657579135,15124094
19185,27182818284590452353602874,1643,892,2387,1657663424,15130443
19186,27182818284590452353602874,1645,895,2398,1657755483,15137266
19187,27182818284590452353602874,1640,891,2405,1657839562,15143645
19188,27182818284590452353602874,1635,887,2411,1657926102,15150102
19189,27182818284590452353602874,1628,882,2418,1658014164,15156683
19190,27182818284590452353602874,1631,883,2423,1658101403,15163157
19191,27182818284590452353602874,1632,883,2429,1658188313,15169651
19192,27182818284590452353602874,1586,882,2430,1658267486,15175621
19193,27182818284590452353602874,1589,883,2435,1658361481,15182600
19194,27182818284590452353602874,1594,881,2440,1658447217,15189034
19195,27182818284590452353602874,1593,880,2450,1658533791,15195509
19196,27182818284590452353602874,1586,877,2454,1658618094,15201820
19197,27182818284590452353602874,1594,878,2462,1658704151,15208187
19198,27182818284590452353602874,1594,877,2465,1658787245,15214328
19199,27182818284590452353602874,1595,877,2471,1658877200,15220993
19200,27182818284590452353602874,1614,878,2480,1658964284,15227482
19201,27182818284590452353602874,1623,881,2486,1659052361,15234018
19202,27182818284590452353602874,1635,888,2497,1659138759,15240440
19203,27182818284590452353602874,1646,893,2504,1659221085,15246558
19204,27182818284590452353602874,1653,893,2506,1659305701,15252870
19205,27182818284590452353602874,1653,896,2514,1659398315,15259744
19206,27182818284590452353602874,1657,895,2516,1659484677,15266182
19207,27182818284590452353602874,1652,897,2531,1659570904,15272531
19208,27182818284590452353602874,1660,902,2543,1659657348,15278912
19209,27182818284590452353602874,1663,905,2550,1659739899,15285127
19210,27182818284590452353602874,1665,905,2560,1659827368,15291599
19211,27182818284590452353602874,1668,903,2564,1659911346,15297875
19212,27182818284590452353602874,1677,904,2574,1660002047,15304606
19213,27182818284590452353602874,1673,899,2576,1660084861,15310716
19214,27182818284590452353602874,1681,900,2577,1660169813,15316963
19215,27182818284590452353602874,1681,899,2578,1660255919,15323250
19216,27182818284590452353602874,1684,897,2580,1660348783,15330082
19217,27182818284590452353602874,1695,894,2593,1660433687,15336346
19218,27182818284590452353602874,1692,894,2598,1660519838,15342662
19219,27182818284590452353602874,1693,893,2602,1660601821,15348584
19220,27182818284590452353602874,1697,896,2631,1660694157,15355415
19221,27182818284590452353602874,1700,895,2633,1660770244,15360981
19222,27182818284590452353602874,1708,896,2635,1660863965,15367812
19223,27182818284590452353602874,1700,896,2637,1660952664,15374245
19224,27182818284590452353602874,1703,900,2641,1661038724,15380556
19225,27182818284590452353602874,1698,898,2652,1661125465,15386972
19226,27182818284590452353602874,1696,899,2657,1661209315,15393056
