id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xb9af5f-0x617371b61ebf67edb2253c466c0833dcbf424e96,0,0,12169055,1617485573,0xeae76c1ca932f0cd8cfd10bb2c3ab5e4fb4e571b40cc22b6535e82e956ca2de9,0x617371b61ebf67edb2253c466c0833dcbf424e96,0x617371b61ebf67edb2253c466c0833dcbf424e96
0xb9afec-0x8d07d225a769b7af3a923481e1fdf49180e6a265,0,250,12169196,1617487375,0x9d2c4aee329cbcacda1949cf00e3bae988ad8e075c06c223c805861ece6e7f95,0x8d07d225a769b7af3a923481e1fdf49180e6a265,0x8d07d225a769b7af3a923481e1fdf49180e6a265
0xb9b018-0x617371b61ebf67edb2253c466c0833dcbf424e96,942.138314000072733756,942.138314000072733756,12169240,1617488111,0x160dfef2a6ad32ef09b3aca5cf3b62f9d7abf45b1e05ff94d2b80f2a3fef1e72,0x617371b61ebf67edb2253c466c0833dcbf424e96,0x617371b61ebf67edb2253c466c0833dcbf424e96
0xb9b312-0xe8d848debb3a3e12aa815b15900c8e020b863f31,0,344.161061447223349116,12170002,1617497699,0xc73446fdcb8b348065c95365e23b41f81e39d2d2d53b49eecf09ebf270479abc,0xe8d848debb3a3e12aa815b15900c8e020b863f31,0xe8d848debb3a3e12aa815b15900c8e020b863f31
0xb9b4b0-0xd046135ba00b0315ed4c3135206c87a7f4eb57d9,0,0,12170416,1617503085,0xcdf643c776ec0976908c41de4392fd2b44789231d3db7705f545a57ecc3dea3b,0xd046135ba00b0315ed4c3135206c87a7f4eb57d9,0x98d0f6c933a79d0f2a989586aac567d9939c8037
0xb9b4b7-0x6f90dd610539cec95ac4093479cb6357bd4e4d84,0,0,12170423,1617503233,0xfe1e5a9d12bd3357853065ec5fec8143cb0abd749109982fd0acb6441a022cfe,0x6f90dd610539cec95ac4093479cb6357bd4e4d84,0x829d025e88abc90b8c8beaa29d76aab72f4dfc8c
0xb9b4bc-0x7e743dfc9472ae3b6c060b85f2dedfcccd6001d2,0,0,12170428,1617503299,0x96dec2f89c57235c2b2fa898e262bf8b85736fb0ce22575ba7a8be640936af69,0x7e743dfc9472ae3b6c060b85f2dedfcccd6001d2,0x6d1da8d6c9eec52657566808acbcfed4087005a0
0xb9b50f-0x2b2d07ad47450bf08d30a545bb8e9bb9d6bb79af,0,0,12170511,1617504554,0x8fae373a553f5566f4155278ee33da171a9261567af1d30a5fd391a42f783105,0x2b2d07ad47450bf08d30a545bb8e9bb9d6bb79af,0xb9f4d48d6da32e24747543a22d8f896b80bd6bae
0xb9b516-0x530cc0e8e6cc96ac9fbf0c8bc95a4f8b2386a912,0,0,12170518,1617504756,0x1386928699ff95a0161f07de0464112cf16dbbb2db89f1ce5ac9468056c3c412,0x530cc0e8e6cc96ac9fbf0c8bc95a4f8b2386a912,0x82917a68b0dd0559cdcc5b6222a89c37f6bb8327
0xb9b51e-0xfbbaa3c13bb748da6420af19989b0aa9e00194ef,0,0,12170526,1617504831,0xb0fdda15682aa6d0ff599438a7065c382ccb44cd47f9b6e337181297627eb7d0,0xfbbaa3c13bb748da6420af19989b0aa9e00194ef,0xc3f3c38ebdd36b213075b53df4608a1a7c09e48e
0xb9b52c-0xfb518051fbe51e0808920414f56c7062840dab89,0,0,12170540,1617504987,0x023fad12f067d48d55e6ed3f099e06f3de44378f31a31e48a736d4dca62b03d1,0xfb518051fbe51e0808920414f56c7062840dab89,0x655e5e9ed9ac2fcc14ade656319649cfc1f33055
0xb9b531-0x019edcb493bd91e2b25b70f26d5d9041fd7ef946,0,0,12170545,1617505034,0x8beec6976ed1456aaf1d0277500f7bd185f1d54d2f981d57d25d6af610b2eee5,0x019edcb493bd91e2b25b70f26d5d9041fd7ef946,0x4f9c4108c14f19605869b1e748da0a71debc5e56
0xb9b53d-0x8537f7aefa8e3ab9a20330a37ecfba2b021e335f,0,0,12170557,1617505171,0x22ffdfbce368d75587b5a1db56a2321ee6381731200e688df464e4bfc44dc0d7,0x8537f7aefa8e3ab9a20330a37ecfba2b021e335f,0x1d0d42c083ec7b10ed53956d3d5dc02d202fc665
0xb9b544-0x8537f7aefa8e3ab9a20330a37ecfba2b021e335f,0,0,12170564,1617505262,0xd02ccaa2e43160e532f342eb8365473ec38614ea5a76f701c690e1c6c82699bb,0x8537f7aefa8e3ab9a20330a37ecfba2b021e335f,0xc4f1a1cf21020ff3980aacad3c2a0268cf63cde5
0xb9b54c-0x90300d66af91d5eab695a07c274e61e1563967c9,0,0,12170572,1617505361,0x6b54d2af54d6e4d569c8fabb7e509acf78126c180fdb06293b913e41293856c3,0x90300d66af91d5eab695a07c274e61e1563967c9,0x73ec506c810ad462f69eb1e4f552840cd02caeb0
0xb9b555-0x107d1c9ef7a2ddb6a4aecfdcd6658355c7435a43,0,0,12170581,1617505519,0x163c426e2a9f14ae050b40e2d2ac2f59b833b1baab2b99e55364c5ca5be50f08,0x107d1c9ef7a2ddb6a4aecfdcd6658355c7435a43,0x2f05954b0a41d0c2899c1bbb63615aadcb3f14b4
0xb9b5ad-0xe7925d190aea9279400cd9a005e33ceb9389cc2b,0,0,12170669,1617506403,0xf2325745523cb25354d3e9354f43e321cd6d85a2ce331dbb2715567b456ddbb2,0xe7925d190aea9279400cd9a005e33ceb9389cc2b,0x9ed13e3bb11fab152cd9a3a1853c7efc17870a49
0xb9b5b3-0x70b6ab736be7672c917a1ab11e67b5bc9fddeca9,0,0,12170675,1617506501,0x4a767eb9f57ed2750f3b97a9141fd55b9775351bd96098af86c28de3aca6b287,0x70b6ab736be7672c917a1ab11e67b5bc9fddeca9,0x1244b1a95cd9fcf8ab6749f0aaa384335f7daae6
0xb9b5b8-0x65dcd62932fef5af25ada91f0f24658e94e259c5,0,0,12170680,1617506582,0x3155a290c21f63d6fbd09cee0cdbbbc415fdea54e61bfe8eb2f2e1555fd446c4,0x65dcd62932fef5af25ada91f0f24658e94e259c5,0x4d7a3d0d9b1aae7622695a567f7c9922f27f2245
0xb9b654-0x3a652f60622d22cde49de3d9b5e9d0dcd4d6c32a,0,393.084808281376258669,12170836,1617508916,0xd9ed1df4a727c7c78ff1a64cc92b0de9fe3e98d72d6a7988b745539f49ae1a1e,0x3a652f60622d22cde49de3d9b5e9d0dcd4d6c32a,0x3a652f60622d22cde49de3d9b5e9d0dcd4d6c32a
0xb9b659-0x107d1c9ef7a2ddb6a4aecfdcd6658355c7435a43,0,0,12170841,1617508977,0x64aa078f61150b9df21ef891bb60538ecb68ce734960fe794972edb01993a376,0x107d1c9ef7a2ddb6a4aecfdcd6658355c7435a43,0x1b092004f299454eb549bee3d4801448aca66bae
0xb9b663-0xe0ac4559739bd36f0913fb0a3f5bfc19bcbacd52,0,0,12170851,1617509174,0x863d3fb66e305e381856fdb6b84210bfbda4692a45e109885377f8fdde3dedc2,0xe0ac4559739bd36f0913fb0a3f5bfc19bcbacd52,0xd03f665cd2e0f88aa13b413bbe3a0f76b05e67a7
0xb9b721-0xb8f482539f2d3ae2c9ea6076894df36d1f632775,127976000,2866.931531897575808053,12171041,1617511852,0xaf4d434f1a968b3a5634c0b4c7da98a50ab1f6d1d8b59237d90b0ef46fec265d,0xb8f482539f2d3ae2c9ea6076894df36d1f632775,0xe3f5e632d07d39b0ae46ab2538e5260e8be31e4e
0xb9bd13-0xba885141c07a7f4e440bbe05bad50bafa53fa3cc,0,11.37183769169283327,12172563,1617532219,0x2e1031ab66b4bd59f8e2af8faa2968f199b383741e8040c7af7ea4d87bb7125c,0xba885141c07a7f4e440bbe05bad50bafa53fa3cc,0xba885141c07a7f4e440bbe05bad50bafa53fa3cc
0xb9bf45-0xb8f482539f2d3ae2c9ea6076894df36d1f632775,127978866.931531897575808053,1064.180098598183932009,12173125,1617539352,0x4109d15d2c1fda98db656af9d1a125b955ea22aff87fc356d41d7ba6b06a4480,0xb8f482539f2d3ae2c9ea6076894df36d1f632775,0xd4f8a1bbee54c1533cf0ef8c6f877ada4dadca1b
0xb9e6fd-0x4952f5dde00a0677365e42d33bcc5a8abd4e2b43,0,38309.925864594211666809,12183293,1617674163,0x715b437572560e990809bb803b81e01913812a51e2ed451475320e44313bab51,0x4952f5dde00a0677365e42d33bcc5a8abd4e2b43,0x4952f5dde00a0677365e42d33bcc5a8abd4e2b43
0xba50e6-0x25cb5b18a3d6c7cf562de456ab8368ed577c0173,0,143.432140440165355602,12210406,1618034525,0xbd0584890009f9ec137cf11c472b31fe21c37ebb23a24735140c86e516ba5dcd,0x25cb5b18a3d6c7cf562de456ab8368ed577c0173,0x25cb5b18a3d6c7cf562de456ab8368ed577c0173
0xba51c3-0x16585044cde6e2da20ebe8ad9d468b248ac62041,0,143.432140440165355602,12210627,1618037442,0xa9adacfea76a84d042e047bbc7ecbb4062948d220af06d38006f39712f0a2e95,0x16585044cde6e2da20ebe8ad9d468b248ac62041,0x16585044cde6e2da20ebe8ad9d468b248ac62041
0xba5f57-0x486c33760ad3f6d9cf4a63493773e2b69635d602,0,0,12214103,1618083393,0xb7197c98a91e827194ce68825a6c5e6e877476d2e146861f2eb16fcd28a32558,0x486c33760ad3f6d9cf4a63493773e2b69635d602,0x4900ab2593bc24148aad07f965741a26df0b4b13
0xba5f90-0x66b9d411e14fbc86424367b67933945fd7e40b11,0,0,12214160,1618084138,0x306d397a31d7a0d08b503381089a63bc83adfdaa2b5d613ed9ece2ae244b2a8d,0x66b9d411e14fbc86424367b67933945fd7e40b11,0x53e788cbde025ae8c85a5fd19ff4397f8e44cee1
0xba6239-0xa6d08774604d6da7c96684ca6c4f61f89c4e5b96,0,0,12214841,1618093253,0x04c9f4cd3abfdead5d2d17e35e2ac0d04c34aca645d54635bbb3c7b6e209a089,0xa6d08774604d6da7c96684ca6c4f61f89c4e5b96,0x6a5155372a72ddb0793173e4d319978583c95252
0xba623e-0x01db881d4638d542d53d58b35a34557ce4e561c7,0,0,12214846,1618093327,0xe07ceb729c69a8116ab634840b7b416d18b9929b2196a4a2ac38f0d6e6b0244d,0x01db881d4638d542d53d58b35a34557ce4e561c7,0x0ca84e7380c572ed30da67c9443cd53207335950
0xba78d0-0xe81343d89d8aedde316317bb74d3ed96764748d6,0,0,12220624,1618169741,0x0f2766e1bed9010c1a49d110ec1cda818e86087bd37ff7ecdc9cfb09ee5f47fd,0xe81343d89d8aedde316317bb74d3ed96764748d6,0xce2107ae728bfaecb272933f224cb8c83d8621e8
0xbb6186-0x707adb1f4dbf60ee97c3a12868e89ee8c96bef57,0,75871.870364501511055135,12280198,1618963290,0xfab4ece9251cfbeccec2f14c6ad66a90a476e7cd909261e318e73aa099b6fd6c,0x707adb1f4dbf60ee97c3a12868e89ee8c96bef57,0x707adb1f4dbf60ee97c3a12868e89ee8c96bef57
0xbbadbd-0x50ef16a9167661dc2500ddde8f83937c1ba4cd5f,0,407.693905993685352097,12299709,1619224209,0xae4619f8af611345773993cb7e29e6d00e4a6de20cdba793442168ed72d7bb8d,0x50ef16a9167661dc2500ddde8f83937c1ba4cd5f,0x50ef16a9167661dc2500ddde8f83937c1ba4cd5f
0xbbb023-0xc50f5e9aaa05d20d177f0937ed853819b02dce87,0,5566.883942308636453611,12300323,1619232407,0x24fe098822d47f18ba3d73d86a82a4179e4a64d8c395b90bfa204ac2b6c87d93,0xc50f5e9aaa05d20d177f0937ed853819b02dce87,0xc50f5e9aaa05d20d177f0937ed853819b02dce87
