id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xe86597-0x81a63fd73bd727e61518d2b62e2a7b36446525ba,0,0,15230359,1659002606,0x1abcf41597a6bc1cc5fdc7ca05e56d1e000c2874b9af550171411b9dc9332a17,0x81a63fd73bd727e61518d2b62e2a7b36446525ba,0x81a63fd73bd727e61518d2b62e2a7b36446525ba
0xe865a4-0x511aaf97cdf90afd66b379657d900b9bde87f09e,0,0,15230372,1659002754,0xec0236a0c6694685f2781c98710c460d71b1604856ae24be9c7d8296a1755cf3,0x511aaf97cdf90afd66b379657d900b9bde87f09e,0x511aaf97cdf90afd66b379657d900b9bde87f09e
0xe865ab-0xe3a50c9d7f01d1697f122d6a253478f00e5e5a9c,0,0,15230379,1659002859,0xa1ced186a43434a54ddd1357ec32a3afabdbe332abc00007f23daaee6585a408,0xe3a50c9d7f01d1697f122d6a253478f00e5e5a9c,0xe3a50c9d7f01d1697f122d6a253478f00e5e5a9c
0xe865b6-0xefbbba610751d13aa036abac2a95b4ab158150d3,0,0,15230390,1659002996,0xbcbd9fd363992240e3ae5569be4d749b6ea93aa55c05aacb00536ab1b1805da6,0xefbbba610751d13aa036abac2a95b4ab158150d3,0xefbbba610751d13aa036abac2a95b4ab158150d3
0xe865c1-0x6b53af3630217010f409b475cb4c35f7fc688609,0,0,15230401,1659003144,0x9db142990b8bcd0d34259d85e08cf07be1b21a5820dbbbe954a0908a908d7177,0x6b53af3630217010f409b475cb4c35f7fc688609,0x6b53af3630217010f409b475cb4c35f7fc688609
0xe865c7-0x80d08e8454943a0062c33a15cfcfb3ba10d4bf2e,0,0,15230407,1659003250,0x423086ba59f7fd2ac5cb780503b0b86d18d3377803ff7b009960fe6b31073516,0x80d08e8454943a0062c33a15cfcfb3ba10d4bf2e,0x80d08e8454943a0062c33a15cfcfb3ba10d4bf2e
0xe865d6-0xe9647af33e92cb4f5554f9d821347b9e6aae1875,0,0,15230422,1659003370,0x57224aac434e9331e30631ac3f61d1326a53a73e2c63badfc8af759e931f074f,0xe9647af33e92cb4f5554f9d821347b9e6aae1875,0xe9647af33e92cb4f5554f9d821347b9e6aae1875
0xe87a9c-0x240dcdb5b700dd153c210a3fe8040af8b1259fb7,0,0,15235740,1659075668,0x17ef8822ad7efd47a039980a0f15e4e672ccd974a344fe5b14f1e62668e91005,0x240dcdb5b700dd153c210a3fe8040af8b1259fb7,0x240dcdb5b700dd153c210a3fe8040af8b1259fb7
0xe87aa5-0xf3d8962247fd2feb55967ee7443670efc92ff53c,0,0,15235749,1659075812,0x4d7050fea419796ca3e3537f6461e5da3b6e233a8ce139a4c614a35afbfdde94,0xf3d8962247fd2feb55967ee7443670efc92ff53c,0xf3d8962247fd2feb55967ee7443670efc92ff53c
0xe87aa7-0xc93658c1ffba4f754a56667a95a4a785dbaaf2cc,0,0,15235751,1659075831,0x6571fe11360daa280082a96ed45e5c014842378aba3c4d660ce3fdc01c61ca87,0xc93658c1ffba4f754a56667a95a4a785dbaaf2cc,0xc93658c1ffba4f754a56667a95a4a785dbaaf2cc
0xe87ab4-0xb10e2de262f8d5c07c712367666b29476d644519,0,0,15235764,1659075934,0xb0630a360d76bee739835f94be816cb9d56ff39d79a88701ab8f2b79a4e07917,0xb10e2de262f8d5c07c712367666b29476d644519,0xb10e2de262f8d5c07c712367666b29476d644519
0xe87ad0-0x1a0d67e862e690d76371c9f47105ff08446d1486,0,0,15235792,1659076316,0x876df5a75fac7874ca3d67bef7678816e3ef3db93d92a430b1f35e6aec7ffeac,0x1a0d67e862e690d76371c9f47105ff08446d1486,0x1a0d67e862e690d76371c9f47105ff08446d1486
0xe87ad7-0x0445f5841ca473397ad9320ef77fc564dc093cc0,0,0,15235799,1659076444,0x46c6ceaa89dd0b9cd64742c4f64c1646abe30c7e1d59c61c994b25f784b19ed7,0x0445f5841ca473397ad9320ef77fc564dc093cc0,0x0445f5841ca473397ad9320ef77fc564dc093cc0
0xe87adb-0x9e52432c9782940b6f028b3301fb3590ffada901,0,0,15235803,1659076501,0x4508820845d8fa50e40866631447f9e58dc3468b350ee848e0ea57e37939bec3,0x9e52432c9782940b6f028b3301fb3590ffada901,0x9e52432c9782940b6f028b3301fb3590ffada901
0xe87ae3-0x25ad9cf4e627a356998e3a86a6837f4a7d3e4cf1,0,0,15235811,1659076594,0x6bd76c70b2727eb0bbf54572761d6236837c596ed523c365c6422e15e5ec18eb,0x25ad9cf4e627a356998e3a86a6837f4a7d3e4cf1,0x25ad9cf4e627a356998e3a86a6837f4a7d3e4cf1
0xe87aec-0x6ae70bfb7e84a3117d28e728e638bca1cbfe8695,0,0,15235820,1659076768,0x556e87c8e048aa2a3f449ac65c24935be3df134150a0edbf1a61dfaba95c2104,0x6ae70bfb7e84a3117d28e728e638bca1cbfe8695,0x6ae70bfb7e84a3117d28e728e638bca1cbfe8695
