id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18720,0,6298,2,3,1617494375,12169740
18721,0,11294,20,25,1617580760,12176301
18722,0,11806,19,25,1617667161,12182810
18723,0,11796,20,26,1617753578,12189294
18724,0,11614,19,26,1617839993,12195832
18725,0,11660,19,26,1617926382,12202286
18726,0,11761,19,26,1618012792,12208743
18727,0,12397,24,32,1618099186,12215325
18728,0,12479,25,33,1618185538,12221868
18729,0,12520,25,33,1618271957,12228384
18730,0,12602,25,33,1618357795,12234826
18731,0,12568,25,33,1618444689,12241304
18732,0,12556,25,33,1618531071,12247806
18733,0,12516,25,33,1618617518,12254238
18734,0,12466,25,33,1618703953,12260708
18735,0,12428,25,33,1618790061,12267195
18736,0,12400,25,33,1618876692,12273602
18737,0,12380,25,33,1618963047,12280183
18738,0,12390,26,34,1619049497,12286705
18739,0,12374,26,34,1619135999,12293128
18740,0,12371,26,34,1619222284,12299572
18741,0,12385,45,55,1619308678,12306071
18742,0,12437,65,90,1619395095,12312576
18743,0,12458,302,426,1619481146,12319037
18744,0,12492,371,605,1619567882,12325539
18745,0,12479,378,615,1619654282,12332001
18746,0,12494,380,622,1619740757,12338490
18747,0,12440,377,624,1619827146,12344938
18748,0,12459,374,628,1619912367,12351356
18749,0,12032,373,629,1619999897,12357843
18750,0,12072,378,653,1620086379,12364357
18751,0,12125,373,655,1620172772,12370861
18752,0,12314,373,655,1620259149,12377375
18753,0,12353,369,655,1620345518,12383842
18754,0,12356,366,655,1620431381,12390247
18755,0,12346,370,655,1620517955,12396741
18756,0,12332,365,655,1620603885,12403189
18757,0,12323,364,655,1620691150,12409772
18758,0,12318,366,655,1620777595,12416221
18759,0,12315,366,655,1620861154,12422456
18760,0,12281,366,655,1620949927,12429158
18761,0,12284,366,656,1621036343,12435639
18762,0,12236,362,656,1621123166,12442148
18763,0,12216,359,657,1621209594,12448607
18764,0,12152,357,664,1621295914,12455019
18765,0,12119,360,666,1621382185,12461469
18766,0,12087,356,666,1621468766,12467910
18767,0,12060,354,667,1621555102,12474366
18768,0,12038,356,670,1621641581,12480784
18769,0,11993,354,671,1621727938,12487245
18770,0,11934,351,671,1621814397,12493701
18771,0,11919,350,671,1621900661,12500177
18772,0,11813,350,671,1621987046,12506581
18773,0,11806,348,672,1622073582,12513022
18774,0,11800,343,673,1622159562,12519415
18775,0,11779,342,673,1622245146,12525830
18776,0,11774,340,674,1622332640,12532364
18777,0,11776,337,674,1622418899,12538770
18778,0,11773,336,674,1622505590,12545217
18779,0,11759,334,674,1622591966,12551694
18780,0,11761,335,675,1622678099,12558179
18781,0,11745,335,675,1622764697,12564596
18782,0,11741,336,675,1622851063,12571111
18783,0,11735,333,675,1622937489,12577549
18784,0,11734,334,675,1623022532,12583986
18785,0,11720,334,675,1623110194,12590507
18786,0,11712,330,675,1623196655,12596989
18787,0,11716,331,675,1623283162,12603430
18788,0,11703,331,675,1623369501,12609888
18789,0,11688,328,675,1623454653,12616245
18790,0,11685,330,675,1623541925,12622749
18791,0,11670,330,681,1623627987,12629191
18792,0,11666,328,683,1623714721,12635662
18793,0,11653,328,685,1623801072,12642153
18794,0,11644,330,686,1623887773,12648579
18795,0,11644,328,686,1623973317,12654975
18796,0,11620,326,686,1624060021,12661421
18797,0,11609,327,686,1624146396,12667835
18798,0,11580,327,686,1624233070,12674323
18799,0,11551,325,686,1624319463,12680650
18800,0,11532,326,687,1624406203,12687099
18801,0,11532,323,687,1624492788,12693545
18802,0,11519,323,687,1624578210,12699884
18803,0,11514,323,687,1624664939,12706263
18804,0,11501,324,687,1624751870,12712723
18805,0,11504,323,687,1624838355,12719179
18806,0,11497,322,687,1624924568,12725627
18807,0,11496,323,687,1625010969,12732033
18808,0,11492,322,687,1625097262,12738482
18809,0,11490,321,687,1625183936,12744850
18810,0,11488,321,687,1625269974,12751265
18811,0,11475,320,687,1625354900,12757566
18812,0,11476,321,687,1625441657,12764037
18813,0,11462,321,687,1625528736,12770531
18814,0,11458,322,687,1625615506,12776984
18815,0,11458,322,687,1625700429,12783272
18816,0,11446,322,687,1625788067,12789800
18817,0,11441,318,687,1625874925,12796239
18818,0,11432,318,688,1625961457,12802696
18819,0,11408,316,688,1626047226,12809079
18820,0,11406,315,688,1626133953,12815479
18821,0,11394,312,688,1626219973,12821752
18822,0,11384,312,688,1626304860,12828027
18823,0,11377,314,689,1626391600,12834497
18824,0,11313,313,690,1626479876,12840962
18825,0,11306,314,690,1626566326,12847323
18826,0,11302,314,690,1626652148,12853653
18827,0,11275,312,690,1626737640,12860018
18828,0,11264,312,690,1626825518,12866468
18829,0,11251,311,690,1626911940,12872881
18830,0,11252,310,690,1626997921,12879279
18831,0,11256,311,690,1627084226,12885617
18832,0,11283,312,690,1627171081,12892105
18833,0,11287,312,690,1627257284,12898490
18834,0,11280,312,690,1627342858,12904770
18835,0,11273,312,690,1627428713,12910996
18836,0,11274,312,690,1627516591,12917406
18837,0,11276,313,690,1627602680,12923735
18838,0,11272,312,690,1627689249,12930013
18839,0,11267,313,690,1627775537,12936300
18840,0,11258,314,690,1627859169,12942454
18841,0,11252,313,690,1627948062,12948990
18842,0,11258,313,690,1628034397,12955328
18843,0,11262,313,690,1628120922,12961663
18844,0,11263,313,690,1628207670,12968039
18845,0,11265,313,690,1628293656,12974470
18846,0,11263,313,690,1628374843,12980626
18847,0,11270,311,690,1628467145,12987557
18848,0,11305,311,692,1628553304,12994042
18849,0,11493,314,692,1628639951,13000572
18850,0,11498,313,692,1628725996,13006940
18851,0,11488,314,692,1628812794,13013485
18852,0,11481,313,693,1628899150,13019955
