id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18847,1,1,2,0,1628442409,12985732
18848,3,2,3,0,1628531228,12992388
18849,6,3,4,0,1628617690,12998889
18850,10,4,5,0,1628705130,13005388
18851,15,5,6,0,1628792419,13011931
18852,21,5,6,0,1628879104,13018455
18853,28,6,7,0,1628967087,13024994
18854,36,7,8,0,1629056139,13031693
18855,45,8,9,0,1629142627,13038190
18856,66,10,10,0,1629230568,13044794
18857,78,11,11,0,1629317243,13051281
18858,91,12,12,0,1629405025,13057906
18859,105,13,13,0,1629491939,13064333
18860,120,14,14,0,1629579363,13070899
18861,136,14,14,0,1629666427,13077458
18862,153,15,15,0,1629753952,13083991
18863,171,16,16,0,1629841445,13090596
18864,190,17,17,0,1629928377,13097031
18865,231,18,18,0,1630015799,13103643
18866,253,19,19,0,1630103369,13110139
18867,276,20,20,0,1630189959,13116600
18868,300,21,21,0,1630277372,13123186
18869,325,22,22,0,1630364924,13129765
18870,351,23,23,0,1630452361,13136267
18871,378,24,23,2,1630540794,13142881
18873,406,25,24,2,1630629066,13149550
18874,435,26,25,2,1630716961,13156134
18875,496,26,25,2,1630803582,13162611
18876,528,27,26,2,1630891375,13169229
18877,561,28,27,2,1630979414,13175791
18878,595,28,27,2,1631067818,13182366
18879,630,29,28,2,1631154964,13188901
18880,666,30,29,2,1631243090,13195483
18881,703,31,30,2,1631328154,13201879
18882,741,32,31,2,1631414643,13208313
18883,780,32,31,2,1631514517,13215752
18884,861,33,32,2,1631590258,13221397
18885,903,34,33,2,1631680132,13228133
18886,946,34,33,2,1631772214,13235029
18887,990,34,33,2,1631856184,13241341
18888,1035,35,34,2,1631942690,13247775
18889,1081,35,34,2,1632029857,13254326
18890,1128,36,35,2,1632117684,13260887
18891,1176,35,35,3,1632239376,13270024
18892,1225,36,36,4,1632293695,13274087
18893,1326,35,35,4,1632382657,13280678
18894,1378,36,36,4,1632467679,13287092
18895,1431,37,37,4,1632558206,13293844
18896,1485,38,38,4,1632660577,13301465
18897,1540,39,39,4,1632733017,13306860
18898,1596,40,40,4,1632823698,13313634
18899,1653,41,41,4,1632910261,13320045
