id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
100-19172,14,1,15,1656522289,15046006,100
100-19173,28,1,30,1656623612,15052544,100
100-19174,43,1,45,1656708133,15058782,100
101-19172,15,0,15,1656522930,15046041,101
101-19173,49,0,49,1656623367,15052523,101
101-19174,62,1,63,1656707281,15058718,101
101-19175,68,1,83,1656774605,15063820,101
10-18909,1,0,1,1633823922,13387614,10
10-18910,7,0,7,1633827786,13387889,10
10-18911,16,0,16,1633967502,13398205,10
10-18912,21,0,21,1634015300,13401729,10
102-19176,6,0,6,1656865056,15070598,102
102-19177,32,0,34,1656978296,15079077,102
102-19178,68,1,71,1657056954,15085004,102
103-19176,5,0,5,1656884846,15072099,103
103-19177,28,0,28,1656978297,15079078,103
103-19178,66,1,67,1657063117,15085434,103
103-19179,114,1,115,1657146485,15091669,103
104-19177,13,0,13,1656954572,15077320,104
104-19178,56,0,56,1657063250,15085446,104
104-19179,68,28,96,1657146844,15091705,104
104-19180,68,29,97,1657164309,15092976,104
105-19180,19,0,19,1657229249,15097827,105
105-19181,74,0,74,1657321619,15104839,105
105-19182,81,0,81,1657408134,15111267,105
105-19183,104,0,104,1657420681,15112232,105
106-19181,43,0,43,1657321159,15104812,106
106-19182,62,0,62,1657408193,15111271,106
106-19183,97,0,97,1657494771,15117757,106
106-19184,102,1,103,1657569199,15123352,106
107-19183,1,0,1,1657475872,15116379,107
107-19184,1,1,17,1657583460,15124430,107
107-19185,3,3,23,1657661538,15130318,107
107-19186,42,41,108,1657728892,15135255,107
108-19185,12,2,14,1657665546,15130610,108
108-19186,83,4,87,1657755258,15137250,108
108-19187,118,5,123,1657840901,15143765,108
108-19188,136,7,143,1657901141,15148257,108
109-19186,3,0,3,1657754746,15137214,109
109-19187,67,0,67,1657840969,15143770,109
109-19188,76,2,78,1657924839,15150010,109
109-19189,87,4,91,1658004497,15155937,109
110-19187,99,0,99,1657840983,15143773,110
110-19188,122,0,122,1657924868,15150013,110
110-19189,138,0,138,1658004570,15155941,110
111-19187,72,0,72,1657824751,15142506,111
111-19188,85,1,86,1657924868,15150013,111
111-19189,116,1,119,1658007128,15156149,111
111-19190,117,1,141,1658073084,15161049,111
