id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0x0000000000000000000000000000000000000000,0,0,-1081,[{'id': '0x0c31b6605686aa26df47eb45af0e4aa6639a5fd6'}],[],0,[]
0x001fe2cdbeeb0743679e958c0861dd8788b28b19,0,0,2,[{'id': '0x001fe2cdbeeb0743679e958c0861dd8788b28b19'}],[],0,[]
0x0057bd83a142da84b6404616c683e21e7dd6fa5f,6051304147820978294,6.051304147820978294,3,[{'id': '0x0057bd83a142da84b6404616c683e21e7dd6fa5f'}],"[{'id': '0x0057bd83a142da84b6404616c683e21e7dd6fa5f-17', 'choice': 'FOR', 'weight': '2059645750373962792', 'proposal': {'id': '17'}}, {'id': '0x0057bd83a142da84b6404616c683e21e7dd6fa5f-18', 'choice': 'FOR', 'weight': '2059645750373962792', 'proposal': {'id': '18'}}, {'id': '0x0057bd83a142da84b6404616c683e21e7dd6fa5f-2', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '2'}}, {'id': '0x0057bd83a142da84b6404616c683e21e7dd6fa5f-3', 'choice': 'FOR', 'weight': '57219867043298104099', 'proposal': {'id': '3'}}, {'id': '0x0057bd83a142da84b6404616c683e21e7dd6fa5f-4', 'choice': 'FOR', 'weight': '86110749283010309780', 'proposal': {'id': '4'}}, {'id': '0x0057bd83a142da84b6404616c683e21e7dd6fa5f-5', 'choice': 'FOR', 'weight': '103488183841891167581', 'proposal': {'id': '5'}}, {'id': '0x0057bd83a142da84b6404616c683e21e7dd6fa5f-6', 'choice': 'FOR', 'weight': '140270539256673803016', 'proposal': {'id': '6'}}]",7,[]
0x0087a081a9b430fd8f688c6ac5dd24421bfb060d,0,0,1,[{'id': '0x0087a081a9b430fd8f688c6ac5dd24421bfb060d'}],"[{'id': '0x0087a081a9b430fd8f688c6ac5dd24421bfb060d-15', 'choice': 'FOR', 'weight': '243354139060753307568', 'proposal': {'id': '15'}}]",1,[]
0x0105b3f5d4f69b6d1def2f2b95d166e6818e32b2,10000090000000000000,10.00009,1,[{'id': '0x0105b3f5d4f69b6d1def2f2b95d166e6818e32b2'}],[],0,[]
0x01222a114552e89e4c548170f8c1f4d5460d255a,0,0,2,[{'id': '0x01222a114552e89e4c548170f8c1f4d5460d255a'}],"[{'id': '0x01222a114552e89e4c548170f8c1f4d5460d255a-2', 'choice': 'FOR', 'weight': '16490627582419126570', 'proposal': {'id': '2'}}]",1,[]
0x014607f2d6477badd9d74bf2c5d6356e29a9b957,1000000000000000000,1,2,[{'id': '0x014607f2d6477badd9d74bf2c5d6356e29a9b957'}],"[{'id': '0x014607f2d6477badd9d74bf2c5d6356e29a9b957-21', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '21'}}]",1,[]
0x014f6ed2a8a6d7862b4fc871556024e4ef096c72,0,0,1,[{'id': '0x014f6ed2a8a6d7862b4fc871556024e4ef096c72'}],[],0,[]
0x016c2fd7f34eb1a6421118b1f640832a8c4964ed,0,0,0,[],"[{'id': '0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-45', 'choice': 'AGAINST', 'weight': '0', 'proposal': {'id': '45'}}, {'id': '0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-46', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '46'}}, {'id': '0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-51', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '51'}}]",3,[]
0x0193160b74b0e19dd0fd6c48720fe862e6d65b59,7061568357150628,0.007061568357150628,1,[{'id': '0x0193160b74b0e19dd0fd6c48720fe862e6d65b59'}],[],0,[]
0x01ec4a63e8bd579e1a2cea4763cf3a5da5e48e8b,0,0,0,[],"[{'id': '0x01ec4a63e8bd579e1a2cea4763cf3a5da5e48e8b-45', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '45'}}, {'id': '0x01ec4a63e8bd579e1a2cea4763cf3a5da5e48e8b-46', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '46'}}]",2,[]
0x022111936500251ea358a98cbb158d77580efb42,6100506504416261882,6.100506504416261882,1,[{'id': '0x022111936500251ea358a98cbb158d77580efb42'}],"[{'id': '0x022111936500251ea358a98cbb158d77580efb42-48', 'choice': 'FOR', 'weight': '6100506504416261882', 'proposal': {'id': '48'}}, {'id': '0x022111936500251ea358a98cbb158d77580efb42-49', 'choice': 'FOR', 'weight': '6100506504416261882', 'proposal': {'id': '49'}}, {'id': '0x022111936500251ea358a98cbb158d77580efb42-50', 'choice': 'FOR', 'weight': '6100506504416261882', 'proposal': {'id': '50'}}, {'id': '0x022111936500251ea358a98cbb158d77580efb42-51', 'choice': 'FOR', 'weight': '6100506504416261882', 'proposal': {'id': '51'}}]",4,[]
0x02599fc9764b241365606ebc75b3f4db57fc8224,1000000000000000000,1,1,[{'id': '0x02599fc9764b241365606ebc75b3f4db57fc8224'}],[],0,[]
0x02fb37f0c8d6ebd4e2726e7914e20bb648c62418,68158221489084846860,68.15822148908484686,1,[{'id': '0x02fb37f0c8d6ebd4e2726e7914e20bb648c62418'}],[],0,[]
0x03000a0ecb1898040c26cd418570cd480775f0da,136324998581586179937,136.324998581586179937,1,[{'id': '0x03000a0ecb1898040c26cd418570cd480775f0da'}],"[{'id': '0x03000a0ecb1898040c26cd418570cd480775f0da-1', 'choice': 'FOR', 'weight': '67830496255069226436', 'proposal': {'id': '1'}}, {'id': '0x03000a0ecb1898040c26cd418570cd480775f0da-2', 'choice': 'FOR', 'weight': '67830496255069226436', 'proposal': {'id': '2'}}, {'id': '0x03000a0ecb1898040c26cd418570cd480775f0da-20', 'choice': 'FOR', 'weight': '22968288776274537543', 'proposal': {'id': '20'}}]",3,[]
0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,1000000000000000000,1,1,[{'id': '0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6'}],"[{'id': '0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6-42', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '42'}}]",1,[]
0x03de28456f987281df43137f0a281152be77aae4,0,0,0,[],"[{'id': '0x03de28456f987281df43137f0a281152be77aae4-2', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '2'}}]",1,[]
0x0411c92f02c35dcf4ce18dd23b314e0fb5e5119f,396609172000000000000,396.609172,1,[{'id': '0x0411c92f02c35dcf4ce18dd23b314e0fb5e5119f'}],[],0,[]
0x043bd8f57401e46a5da19545ffb50370202cc179,0,0,0,[],"[{'id': '0x043bd8f57401e46a5da19545ffb50370202cc179-21', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '21'}}]",1,[]
0x046143f1915e51da6397dbbc23bc1da0236ad8a0,85897118012228264,0.085897118012228264,1,[{'id': '0x046143f1915e51da6397dbbc23bc1da0236ad8a0'}],"[{'id': '0x046143f1915e51da6397dbbc23bc1da0236ad8a0-1', 'choice': 'FOR', 'weight': '10810645000000000000', 'proposal': {'id': '1'}}]",1,[]
0x0509cad785997e7ed576fe27a1396fd8ff026bb3,0,0,1,[{'id': '0x0509cad785997e7ed576fe27a1396fd8ff026bb3'}],[],0,[]
0x055acb1b90797996b4fa1f7605e74b84887e3821,0,0,1,[{'id': '0x055acb1b90797996b4fa1f7605e74b84887e3821'}],[],0,[]
0x057e334bab4d25df4b14549fad035b421402e2df,31000000000000000000,31,1,[{'id': '0x057e334bab4d25df4b14549fad035b421402e2df'}],[],0,[]
0x05b8312f545ce7daae10aae93aea375d366bf4b5,0,0,0,[],"[{'id': '0x05b8312f545ce7daae10aae93aea375d366bf4b5-45', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '45'}}, {'id': '0x05b8312f545ce7daae10aae93aea375d366bf4b5-46', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '46'}}, {'id': '0x05b8312f545ce7daae10aae93aea375d366bf4b5-50', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '50'}}]",3,[]
0x05e09d942505764bca4475abf8efdbc21d1c535b,19506363486459576957,19.506363486459576957,1,[{'id': '0x05e09d942505764bca4475abf8efdbc21d1c535b'}],[],0,[]
0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550,0,0,1,[{'id': '0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550'}],"[{'id': '0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550-1', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '1'}}, {'id': '0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550-2', 'choice': 'FOR', 'weight': '22703533000000000000', 'proposal': {'id': '2'}}]",2,[]
0x0687a571be482c7ac4a7e501df247190acc763a2,0,0,3,[{'id': '0x0687a571be482c7ac4a7e501df247190acc763a2'}],"[{'id': '0x0687a571be482c7ac4a7e501df247190acc763a2-1', 'choice': 'FOR', 'weight': '24380626000000000000', 'proposal': {'id': '1'}}]",1,[]
0x06b7d146aefc1a6407668ae94420b60e0a7b41b3,32971491786880237960,32.97149178688023796,1,[{'id': '0x06b7d146aefc1a6407668ae94420b60e0a7b41b3'}],[],0,[]
0x06c4865ab16c9c760622f19a313a2e637e2e66a2,1000000000000000000,1,2,[{'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2'}],"[{'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-31', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '31'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-32', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '32'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-34', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '34'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-35', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '35'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-36', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '36'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-37', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '37'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-42', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '42'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-43', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '43'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-44', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '44'}}, {'id': '0x06c4865ab16c9c760622f19a313a2e637e2e66a2-45', 'choice': 'FOR', 'weight': '1000000000000000000', 'proposal': {'id': '45'}}]",10,[]
0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b,7881235207274421665,7.881235207274421665,1,[{'id': '0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b'}],"[{'id': '0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b-43', 'choice': 'FOR', 'weight': '7881235207274421665', 'proposal': {'id': '43'}}, {'id': '0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b-44', 'choice': 'FOR', 'weight': '7881235207274421665', 'proposal': {'id': '44'}}, {'id': '0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b-45', 'choice': 'FOR', 'weight': '7881235207274421665', 'proposal': {'id': '45'}}]",3,[]
0x070330e027a3e4327ba69f0c8a1885df4b545837,3040581497817672,0.003040581497817672,5,[{'id': '0x070330e027a3e4327ba69f0c8a1885df4b545837'}],"[{'id': '0x070330e027a3e4327ba69f0c8a1885df4b545837-41', 'choice': 'FOR', 'weight': '3040581497817672', 'proposal': {'id': '41'}}, {'id': '0x070330e027a3e4327ba69f0c8a1885df4b545837-42', 'choice': 'FOR', 'weight': '3040581497817672', 'proposal': {'id': '42'}}, {'id': '0x070330e027a3e4327ba69f0c8a1885df4b545837-43', 'choice': 'FOR', 'weight': '3040581497817672', 'proposal': {'id': '43'}}]",3,[]
