id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xb54fc9-0xeee2df7abdade3340954b1bcbe33800190af1fc2,0,2889822.623351090816844241,11882441,1613672909,0x660c8368a76f5637b6bcf4dbff0f54c329370c9ea463637d7aadd797c19466f1,0xeee2df7abdade3340954b1bcbe33800190af1fc2,0xeee2df7abdade3340954b1bcbe33800190af1fc2
0xb55026-0x641edb587867a703e132a4210d63e93c52aa97ff,0,2889822.623351090816844241,11882534,1613674160,0x1564e922302dbe2d3eec48d2a9a7749f9e67ba8563d6b7efe1a3cd58d82716f5,0x641edb587867a703e132a4210d63e93c52aa97ff,0xeee2df7abdade3340954b1bcbe33800190af1fc2
0xb551fd-0x0000000000000000000000000000000000000000,0,0,11883005,1613680854,0xdb3dcead07a025319c6fc8b08c85c31dc7bff7317c82ce8ccf9e118cd6b50a75,0x0000000000000000000000000000000000000000,0x641edb587867a703e132a4210d63e93c52aa97ff
0xb5522b-0x0000000000000000000000000000000000000000,0,2889822.623351090816844241,11883051,1613681407,0x3a1642b1d7e4f8684aeb375a1d073a36ada2ec65a96a40bacaabc9cc01ade13c,0x0000000000000000000000000000000000000000,0xeee2df7abdade3340954b1bcbe33800190af1fc2
0xb55245-0x641edb587867a703e132a4210d63e93c52aa97ff,0,2889822.623351090816844241,11883077,1613681750,0x7e8e47452fa7842de07136fa8a2fb47340c459b36b832418c527740451c5a44d,0x641edb587867a703e132a4210d63e93c52aa97ff,0xeee2df7abdade3340954b1bcbe33800190af1fc2
0xb5529e-0x13075a80df4a80e45e58ef871900f0e0ef2ca5cc,0,272023.576230339928970065,11883166,1613682868,0xc20db3101e55027c0dea29fc38a68cf7a72668da68fc1d125aeb2347f5fffc70,0x13075a80df4a80e45e58ef871900f0e0ef2ca5cc,0x13075a80df4a80e45e58ef871900f0e0ef2ca5cc
0xb5697a-0xea95cfb5dd624f43775b372db0ed2d8d0073e91c,0,40867.617167681380010147,11889018,1613759812,0xf943cb59190bc8569f3f973d996bea810e881e4127220679dd04e4aa68ed26f2,0xea95cfb5dd624f43775b372db0ed2d8d0073e91c,0x85345d1aff12ed30fce99d17433728c975edf94f
0xb56a60-0x63110383afceb87ff372ec072210741fc57bc1af,0,679095.192795535261288685,11889248,1613763061,0xcf0a9cf9d9bf4bfa71586f703c321761fd47fc8029d19d9515048955d8d0b424,0x63110383afceb87ff372ec072210741fc57bc1af,0x63110383afceb87ff372ec072210741fc57bc1af
0xb56d2c-0xcf0fa79c915f12592c352ffe35000fda5c96a158,0,100000,11889964,1613772257,0xa4aba6cca40a9274b76a1ae43ea805042880abd86417ef7b006fea960fcde78a,0xcf0fa79c915f12592c352ffe35000fda5c96a158,0x90a59206caa4d61bd0baafb976adc6904679f929
0xb56d3a-0xc4d9d1a93068d311ab18e988244123430eb4f1cd,0,100000,11889978,1613772441,0x505bed48a490e81e98eb04453ef694ecd9f7628f007ebcf79c5030fe052c4f2a,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,0xcb0c9a640b9e25a6b2287d50d0cf2f345667b02e
0xb56d58-0xe16d3664b313bd5fb8d911b467047e3cb4ed853d,0,100000,11890008,1613772881,0xd3024f847d4b000fd8c69f82b91a4e4e3a7a51790dd8013dafcbcf2212322648,0xe16d3664b313bd5fb8d911b467047e3cb4ed853d,0xee067a84eb47863d86b0c6f1d57bfce14c8afc1b
0xb56d64-0xdd59b72bbce6499c3caabfa309a9bdda711452c3,0,100000,11890020,1613772995,0x5122338a3ae396c3f1fc1ca14ae2ba5e24376017737ad88a67bf8f854c160afb,0xdd59b72bbce6499c3caabfa309a9bdda711452c3,0xfb572a9d8bbbe748d01954570a1e906f4fe9a90c
0xb56dcd-0xea95cfb5dd624f43775b372db0ed2d8d0073e91c,40867.617167681380010147,2889827.118214104515474378,11890125,1613774404,0x43c841adb3ad10a0e664a2f04985683fe61b974dc56aa118e3be8aa936573417,0xea95cfb5dd624f43775b372db0ed2d8d0073e91c,0x9b5ab55a9a966541bacbe1983e46a617c3c2f59e
