id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18673,100000000000000000000000000,3,0,0,1613423971,11863739
18674,100000000000000000000000000,15,0,0,1613491247,11868802
18675,100000000000000000000000000,17,0,0,1613590833,11876317
18676,100000000000000000000000000,28,2,6,1613686302,11883419
18677,100000000000000000000000000,41,9,14,1613778056,11890414
18678,100000000000000000000000000,155,25,38,1613862423,11896742
18679,100000000000000000000000000,162,27,42,1613930721,11901811
18680,100000000000000000000000000,168,32,51,1614032743,11909531
18682,100000000000000000000000000,191,34,57,1614208693,11922741
18683,99999760000000000000000000,605,35,63,1614297484,11929452
18684,99999680000000000000000000,1332,38,67,1614383930,11936001
18685,99999670000000000000000000,2098,45,81,1614470300,11942489
18686,99999630000000000000000000,2162,51,89,1614556573,11948940
18687,99999620000000000000000000,2230,52,93,1614642981,11955419
18688,99999620000000000000000000,2250,52,94,1614729231,11961950
18689,99999620000000000000000000,2276,53,95,1614815837,11968382
18690,99999620000000000000000000,2272,54,97,1614899880,11974740
18691,99999620000000000000000000,2260,56,100,1614986923,11981297
18692,99999620000000000000000000,2230,58,103,1615075070,11987987
18693,99999620000000000000000000,2203,58,103,1615161156,11994446
18694,99999620000000000000000000,2171,58,103,1615247830,12000962
18695,99999620000000000000000000,2166,58,106,1615334032,12007386
18696,99999620000000000000000000,2253,59,107,1615419682,12013849
18697,99999620000000000000000000,2270,57,108,1615507027,12020345
18698,99999620000000000000000000,2415,57,108,1615593356,12026806
18699,99999620000000000000000000,2514,60,111,1615679935,12033329
18700,99999620000000000000000000,2590,61,118,1615766100,12039836
18701,99999620000000000000000000,2608,65,124,1615852576,12046273
18702,99999620000000000000000000,2607,67,126,1615938983,12052808
18703,99999620000000000000000000,2521,68,128,1616025030,12059253
18704,99999620000000000000000000,2552,70,132,1616111672,12065770
18705,99999620000000000000000000,2543,69,135,1616197917,12072265
18706,99999620000000000000000000,2542,68,135,1616284540,12078813
18707,99999620000000000000000000,2555,68,135,1616370969,12085235
18708,99999620000000000000000000,2550,67,138,1616456131,12091639
18709,99999620000000000000000000,2544,66,138,1616542939,12098165
18710,99999620000000000000000000,2564,67,139,1616628973,12104621
18711,99999620000000000000000000,2565,67,139,1616716693,12111239
18712,99999620000000000000000000,2580,66,139,1616802388,12117715
18713,99999620000000000000000000,2587,66,139,1616889566,12124269
18714,99999620000000000000000000,2604,66,139,1616975394,12130706
18715,99999620000000000000000000,2616,66,139,1617058710,12136981
18716,99999620000000000000000000,2647,66,141,1617148167,12143746
18717,99999620000000000000000000,2644,66,141,1617233869,12150155
18718,99999620000000000000000000,2644,66,141,1617319414,12156580
18719,99999620000000000000000000,2657,66,141,1617407018,12163142
18720,99999620000000000000000000,2666,66,142,1617494239,12169726
18721,99999620000000000000000000,2674,66,142,1617578882,12176155
18722,99999620000000000000000000,2697,66,142,1617666650,12182771
18723,99999620000000000000000000,2732,67,143,1617752604,12189226
18724,99999620000000000000000000,2816,68,144,1617839612,12195805
18725,99999620000000000000000000,2906,69,145,1617926398,12202287
18726,99999620000000000000000000,2960,68,145,1618012267,12208701
18727,99999620000000000000000000,2970,69,147,1618091405,12214717
18728,99999620000000000000000000,2971,69,147,1618185455,12221858
18729,99999620000000000000000000,3024,68,147,1618271979,12228385
18730,99999620000000000000000000,3080,69,148,1618358326,12234860
18731,99999620000000000000000000,3976,69,148,1618444741,12241308
18732,99999620000000000000000000,4472,71,151,1618531171,12247810
18733,99999620000000000000000000,4708,71,151,1618617234,12254217
18734,99999620000000000000000000,4840,71,152,1618703809,12260690
18735,99999620000000000000000000,4955,70,152,1618790349,12267206
18736,99999620000000000000000000,5042,69,154,1618876106,12273556
18737,99999620000000000000000000,5054,68,156,1618962896,12280175
18738,99999620000000000000000000,5088,68,156,1619049595,12286711
18739,99999620000000000000000000,5098,69,156,1619135815,12293109
18740,99999620000000000000000000,5122,69,156,1619222112,12299560
18741,99999620000000000000000000,5190,69,156,1619308744,12306076
18742,99999620000000000000000000,5359,70,156,1619394817,12312558
18743,99999620000000000000000000,5561,69,157,1619481519,12319055
18744,99999620000000000000000000,5671,69,157,1619567966,12325544
18745,99999620000000000000000000,5755,68,157,1619654372,12332007
18746,99999620000000000000000000,5834,68,162,1619739478,12338395
18747,99999620000000000000000000,5887,67,163,1619825566,12344824
18748,99999620000000000000000000,5915,66,164,1619913271,12351416
18749,99999620000000000000000000,5906,66,164,1619999928,12357845
18750,99999620000000000000000000,5909,66,164,1620086322,12364350
18751,99999620000000000000000000,5894,66,164,1620172376,12370826
18752,99999620000000000000000000,5882,66,164,1620259117,12377372
18753,99999620000000000000000000,5878,66,164,1620344787,12383789
18754,99999620000000000000000000,5859,65,164,1620429414,12390104
18755,99999620000000000000000000,5835,65,164,1620517502,12396699
18756,99999620000000000000000000,5805,65,164,1620604000,12403199
18757,99999620000000000000000000,5778,64,164,1620689824,12409679
18758,99999620000000000000000000,5769,64,164,1620774571,12415989
18759,99999620000000000000000000,5761,64,164,1620863139,12422598
18760,99999620000000000000000000,5747,64,164,1620949904,12429157
18761,99999620000000000000000000,5734,64,164,1621032578,12435345
18762,99999620000000000000000000,5721,64,164,1621122008,12442047
18763,99999620000000000000000000,5680,64,164,1621209434,12448589
18764,99999620000000000000000000,5569,63,164,1621295482,12454995
18765,99999620000000000000000000,5426,63,164,1621381633,12461429
18766,99999620000000000000000000,5407,63,164,1621468035,12467854
18767,99999610000000000000000000,5389,62,164,1621555104,12474367
18768,99999610000000000000000000,5357,62,164,1621639605,12480642
18769,99999610000000000000000000,5327,62,164,1621727576,12487226
18770,99999610000000000000000000,5293,62,164,1621814185,12493679
18771,99999610000000000000000000,5289,63,165,1621899073,12500067
18772,99999610000000000000000000,5287,62,165,1621986979,12506574
18773,99999610000000000000000000,5295,63,167,1622071896,12512897
18774,99999610000000000000000000,5288,63,167,1622157582,12519257
18775,99999610000000000000000000,5285,63,167,1622245661,12525860
18776,99999610000000000000000000,5275,63,167,1622331866,12532313
18777,99999610000000000000000000,5275,63,167,1622418444,12538740
18778,99999610000000000000000000,5270,63,167,1622505221,12545191
18779,99999610000000000000000000,5255,63,168,1622588386,12551432
18780,99999610000000000000000000,5241,63,168,1622678391,12558202
18781,99999610000000000000000000,5238,63,168,1622762649,12564451
18782,99999610000000000000000000,5232,63,168,1622841832,12570435
18783,99999610000000000000000000,5223,64,170,1622934078,12577267
18784,99999610000000000000000000,5227,64,170,1623023990,12584089
18785,99999610000000000000000000,5214,64,170,1623109823,12590470
18786,99999610000000000000000000,5198,64,171,1623196009,12596939
18787,99999610000000000000000000,5193,66,171,1623282857,12603404
18788,99999610000000000000000000,5188,66,171,1623369559,12609894
18789,99999610000000000000000000,5184,66,171,1623453840,12616172
18790,99999610000000000000000000,5180,66,171,1623538126,12622479
18791,99999610000000000000000000,5177,66,171,1623628444,12629230
18792,99999610000000000000000000,5173,66,171,1623714319,12635635
18793,99999610000000000000000000,5168,67,172,1623801534,12642189
18794,99999610000000000000000000,5166,68,173,1623885503,12648398
18795,99999610000000000000000000,5164,68,173,1623973492,12654988
18796,99999610000000000000000000,5153,68,175,1624060272,12661439
18797,99999610000000000000000000,5148,68,175,1624146476,12667839
18798,99999610000000000000000000,5143,68,175,1624231872,12674201
18799,99999610000000000000000000,5130,68,175,1624319986,12680679
18800,99999610000000000000000000,5119,68,175,1624406315,12687106
18801,99999610000000000000000000,5120,68,176,1624492773,12693543
18802,99999610000000000000000000,5117,68,176,1624574700,12699626
18803,99999610000000000000000000,5120,68,176,1624665307,12706290
18804,99999610000000000000000000,5120,68,176,1624745177,12712205
18805,99999610000000000000000000,5116,68,176,1624836967,12719080
18806,99999610000000000000000000,5111,68,176,1624923602,12725547
