id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0x0000000000000000000000000000000000000000,0,0,-152,[],[],0,[]
0x016c2fd7f34eb1a6421118b1f640832a8c4964ed,0,0,0,[],"[{'id': '0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-1417368170854257716497375565637162126841524133866687026309406285091540520352', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '1417368170854257716497375565637162126841524133866687026309406285091540520352'}}, {'id': '0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-65877516324002928973134267399784066226525963016911174900291310085080436251009', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '65877516324002928973134267399784066226525963016911174900291310085080436251009'}}, {'id': '0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-75961509153531995452129573464910832281698587979526353288621818987118253462837', 'choice': 'AGAINST', 'weight': '0', 'proposal': {'id': '75961509153531995452129573464910832281698587979526353288621818987118253462837'}}]",3,[]
0x03bada9ff1cf0d0264664b43977ed08feee32584,0,0,1,[{'id': '0x03bada9ff1cf0d0264664b43977ed08feee32584'}],[],0,[]
0x05b8312f545ce7daae10aae93aea375d366bf4b5,0,0,0,[],"[{'id': '0x05b8312f545ce7daae10aae93aea375d366bf4b5-1417368170854257716497375565637162126841524133866687026309406285091540520352', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '1417368170854257716497375565637162126841524133866687026309406285091540520352'}}, {'id': '0x05b8312f545ce7daae10aae93aea375d366bf4b5-65877516324002928973134267399784066226525963016911174900291310085080436251009', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '65877516324002928973134267399784066226525963016911174900291310085080436251009'}}, {'id': '0x05b8312f545ce7daae10aae93aea375d366bf4b5-75961509153531995452129573464910832281698587979526353288621818987118253462837', 'choice': 'AGAINST', 'weight': '0', 'proposal': {'id': '75961509153531995452129573464910832281698587979526353288621818987118253462837'}}]",3,[]
0x06fbe2c2fb8976acdde6abda71c1e2d3f9ee242e,0,0,2,[{'id': '0x06fbe2c2fb8976acdde6abda71c1e2d3f9ee242e'}],[],0,[]
0x07144cb0f612c903bd45cbfb5b7485330048ada6,31443054413595307481830,31443.05441359530748183,1,[{'id': '0x07144cb0f612c903bd45cbfb5b7485330048ada6'}],[],0,[]
0x090636a124388193cb066b9c535e726a0ae77179,8301841236414074454650303,8301841.236414074454650303,4,"[{'id': '0x090636a124388193cb066b9c535e726a0ae77179'}, {'id': '0x4ffb72b66eba24521736924f87dfe10677d82286'}, {'id': '0x9dc7c3553a1098a1dbb818395ea9c546c8e8304a'}, {'id': '0xc6c8aecb1d9ca59a09d691cda8539992655dbfb3'}]","[{'id': '0x090636a124388193cb066b9c535e726a0ae77179-102980538178031993517134231245504628873540234805749068950725528409845691287257', 'choice': 'FOR', 'weight': '6872571481778588672972214', 'proposal': {'id': '102980538178031993517134231245504628873540234805749068950725528409845691287257'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-106547578420974062333790736643563905300617628952500817411921006525670751346829', 'choice': 'FOR', 'weight': '6872571481778588672972214', 'proposal': {'id': '106547578420974062333790736643563905300617628952500817411921006525670751346829'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-107225794067467763520494361832594612457287423636070460959663085331127821565398', 'choice': 'FOR', 'weight': '6872571481778588672972214', 'proposal': {'id': '107225794067467763520494361832594612457287423636070460959663085331127821565398'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-110429053767662434390914423149290929454561144692268184291935256132505268307761', 'choice': 'FOR', 'weight': '6872571481778588672972214', 'proposal': {'id': '110429053767662434390914423149290929454561144692268184291935256132505268307761'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-297238661773760164525939798357250861991421797941161444656750024227080080567', 'choice': 'FOR', 'weight': '6872571481778588672972214', 'proposal': {'id': '297238661773760164525939798357250861991421797941161444656750024227080080567'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-36347465800525666261003865519991471077700365134901445385622729880479025149094', 'choice': 'FOR', 'weight': '6872571481778588672972214', 'proposal': {'id': '36347465800525666261003865519991471077700365134901445385622729880479025149094'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-39500895228849331989581847250717493978170495777124489917428670911162801285205', 'choice': 'FOR', 'weight': '6872571481778588672972214', 'proposal': {'id': '39500895228849331989581847250717493978170495777124489917428670911162801285205'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-44722487922037589438348533008872436501968523663344516591705387280334508178653', 'choice': 'FOR', 'weight': '1652846389655579143364231', 'proposal': {'id': '44722487922037589438348533008872436501968523663344516591705387280334508178653'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-62891918622638971421357339546628458361358910119691695028890814078939406051786', 'choice': 'FOR', 'weight': '6872571481778588672972214', 'proposal': {'id': '62891918622638971421357339546628458361358910119691695028890814078939406051786'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-65877516324002928973134267399784066226525963016911174900291310085080436251009', 'choice': 'FOR', 'weight': '7041918289457462024816280', 'proposal': {'id': '65877516324002928973134267399784066226525963016911174900291310085080436251009'}}, {'id': '0x090636a124388193cb066b9c535e726a0ae77179-93859031825489482883890669299732139987766417660232664776901835280785109810845', 'choice': 'FOR', 'weight': '607659638191974338876182', 'proposal': {'id': '93859031825489482883890669299732139987766417660232664776901835280785109810845'}}]",11,[]
0x0b3427e890d456bfd618172d8eca2ea3f3376bc1,38808947835106240031763,38808.947835106240031763,1,[{'id': '0x0b3427e890d456bfd618172d8eca2ea3f3376bc1'}],[],0,[]
0x0b8a873b808c8d3282fea0462f1b216f53be776d,0,0,0,[],"[{'id': '0x0b8a873b808c8d3282fea0462f1b216f53be776d-25381184567169629747837206751504825193708675222553450705859318332026961638298', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '25381184567169629747837206751504825193708675222553450705859318332026961638298'}}]",1,[]
0x0d93f519aeb8d75d208b8fcd5730de02f673542c,0,0,0,[],"[{'id': '0x0d93f519aeb8d75d208b8fcd5730de02f673542c-1417368170854257716497375565637162126841524133866687026309406285091540520352', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '1417368170854257716497375565637162126841524133866687026309406285091540520352'}}]",1,[]
0x0f5994afdf8c01351a37e501cd28a961d76da66e,0,0,0,[],"[{'id': '0x0f5994afdf8c01351a37e501cd28a961d76da66e-93859031825489482883890669299732139987766417660232664776901835280785109810845', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '93859031825489482883890669299732139987766417660232664776901835280785109810845'}}]",1,[]
0x10b549dfea119302a96f23d7e53f49a059b50037,0,0,1,[],[],0,[]
0x140a919a6b320ab24e1f4b4c05dcbfd6700ac4fe,4121982926715942000000000,4121982.926715942,1,[{'id': '0x140a919a6b320ab24e1f4b4c05dcbfd6700ac4fe'}],[],0,[]
0x1514139d56b7ba3497994484b8d801ca17ea8909,0,0,0,[],"[{'id': '0x1514139d56b7ba3497994484b8d801ca17ea8909-65877516324002928973134267399784066226525963016911174900291310085080436251009', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '65877516324002928973134267399784066226525963016911174900291310085080436251009'}}]",1,[]
0x15e4f719105648add85cb4db3e60ca9b03d596bf,0,0,1,[{'id': '0x15e4f719105648add85cb4db3e60ca9b03d596bf'}],[],0,[]
0x16cfa7ca52268cfc6d701b0d47f86bfc152694f3,74995980967320287525,74.995980967320287525,1,[{'id': '0x16cfa7ca52268cfc6d701b0d47f86bfc152694f3'}],"[{'id': '0x16cfa7ca52268cfc6d701b0d47f86bfc152694f3-106547578420974062333790736643563905300617628952500817411921006525670751346829', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '106547578420974062333790736643563905300617628952500817411921006525670751346829'}}]",1,[]
0x172f0200bf622ce8aebf8f2e3f32e9ac01564988,3099333333333333333333,3099.333333333333333333,1,[{'id': '0x172f0200bf622ce8aebf8f2e3f32e9ac01564988'}],[],0,[]
0x1759a358df0f378da2289b001ef8f71154d706f9,0,0,1,[{'id': '0x1759a358df0f378da2289b001ef8f71154d706f9'}],[],0,[]
0x1829d5f3f543058e962f6ed07414f223357da063,10251374999999999999999,10251.374999999999999999,2,[{'id': '0x1829d5f3f543058e962f6ed07414f223357da063'}],"[{'id': '0x1829d5f3f543058e962f6ed07414f223357da063-44722487922037589438348533008872436501968523663344516591705387280334508178653', 'choice': 'FOR', 'weight': '10251374999999999999999', 'proposal': {'id': '44722487922037589438348533008872436501968523663344516591705387280334508178653'}}, {'id': '0x1829d5f3f543058e962f6ed07414f223357da063-93859031825489482883890669299732139987766417660232664776901835280785109810845', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '93859031825489482883890669299732139987766417660232664776901835280785109810845'}}]",2,[]
0x1ace7abbe68210a9fbe1c6c30019781f3e2eaf86,118091401413627975944278,118091.401413627975944278,2,[{'id': '0x1ace7abbe68210a9fbe1c6c30019781f3e2eaf86'}],"[{'id': '0x1ace7abbe68210a9fbe1c6c30019781f3e2eaf86-68420414759009058455529639661648577870701186550104383495136732173350562753933', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '68420414759009058455529639661648577870701186550104383495136732173350562753933'}}]",1,[]
0x1c1cc870115fdf86288cf38556c4da441699a0e2,0,0,1,[{'id': '0x1c1cc870115fdf86288cf38556c4da441699a0e2'}],[],0,[]
0x1d932e6489b5e4091ee078db497799237b354191,2918041666666666666666,2918.041666666666666666,1,[{'id': '0x1d932e6489b5e4091ee078db497799237b354191'}],"[{'id': '0x1d932e6489b5e4091ee078db497799237b354191-93859031825489482883890669299732139987766417660232664776901835280785109810845', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '93859031825489482883890669299732139987766417660232664776901835280785109810845'}}]",1,[]
0x1e8cbbbfb827785ecc23dd0426a8907c7cdcca3a,0,0,0,[],"[{'id': '0x1e8cbbbfb827785ecc23dd0426a8907c7cdcca3a-93859031825489482883890669299732139987766417660232664776901835280785109810845', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '93859031825489482883890669299732139987766417660232664776901835280785109810845'}}]",1,[]
0x204bfb4889f6370f4627de4056db557527198e66,0,0,0,[],"[{'id': '0x204bfb4889f6370f4627de4056db557527198e66-1417368170854257716497375565637162126841524133866687026309406285091540520352', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '1417368170854257716497375565637162126841524133866687026309406285091540520352'}}, {'id': '0x204bfb4889f6370f4627de4056db557527198e66-65877516324002928973134267399784066226525963016911174900291310085080436251009', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '65877516324002928973134267399784066226525963016911174900291310085080436251009'}}]",2,[]
0x20798fd64a342d1ee640348e42c14181fdc842d8,10000000000000000000000,10000,2,"[{'id': '0x20798fd64a342d1ee640348e42c14181fdc842d8'}, {'id': '0xb4192ab96664248c260f9b7e3ef5d55b55b55384'}]",[],0,[]
0x20c053da7b3c55a7f79bffe8807cc966a3e94df9,1950000000000000000000,1950,1,[{'id': '0x20c053da7b3c55a7f79bffe8807cc966a3e94df9'}],"[{'id': '0x20c053da7b3c55a7f79bffe8807cc966a3e94df9-75961509153531995452129573464910832281698587979526353288621818987118253462837', 'choice': 'FOR', 'weight': '1950000000000000000000', 'proposal': {'id': '75961509153531995452129573464910832281698587979526353288621818987118253462837'}}, {'id': '0x20c053da7b3c55a7f79bffe8807cc966a3e94df9-93859031825489482883890669299732139987766417660232664776901835280785109810845', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '93859031825489482883890669299732139987766417660232664776901835280785109810845'}}]",2,[]
