id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id
0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-1417368170854257716497375565637162126841524133866687026309406285091540520352,FOR,0,,15679721,1664946551,0xe604ae5a9851dcaf27d46ac6645fdea55c04a0b9a5182ebffb888315f1433ccb,0x016c2fd7f34eb1a6421118b1f640832a8c4964ed,1417368170854257716497375565637162126841524133866687026309406285091540520352
0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-65877516324002928973134267399784066226525963016911174900291310085080436251009,FOR,0,,15477259,1662372865,0x8a7cd8f21aa62a4112a179fa640003437000fd765cc6011ee79f79ea249b8e1f,0x016c2fd7f34eb1a6421118b1f640832a8c4964ed,65877516324002928973134267399784066226525963016911174900291310085080436251009
0x016c2fd7f34eb1a6421118b1f640832a8c4964ed-75961509153531995452129573464910832281698587979526353288621818987118253462837,AGAINST,0,,15512837,1662870629,0xa564ab0f9422160073b35cba555d36e99543d35a7a07ae291b160a7ded712fb6,0x016c2fd7f34eb1a6421118b1f640832a8c4964ed,75961509153531995452129573464910832281698587979526353288621818987118253462837
0x05b8312f545ce7daae10aae93aea375d366bf4b5-1417368170854257716497375565637162126841524133866687026309406285091540520352,FOR,0,,15679701,1664946311,0x1d9b7fd61102ab8fa710c6e376cf833d7bf139ed987c42704ee24f702a94dcc9,0x05b8312f545ce7daae10aae93aea375d366bf4b5,1417368170854257716497375565637162126841524133866687026309406285091540520352
0x05b8312f545ce7daae10aae93aea375d366bf4b5-65877516324002928973134267399784066226525963016911174900291310085080436251009,FOR,0,,15477377,1662374349,0x2b1588346de97901012b85a089e33f3cb3bafcc80ba1a0688d3e8498114ff03c,0x05b8312f545ce7daae10aae93aea375d366bf4b5,65877516324002928973134267399784066226525963016911174900291310085080436251009
0x05b8312f545ce7daae10aae93aea375d366bf4b5-75961509153531995452129573464910832281698587979526353288621818987118253462837,AGAINST,0,,15512918,1662871758,0x078b1cb925691bf44a809b4a31e5462fa7720a4d922b12e2c67b8c684acaebb1,0x05b8312f545ce7daae10aae93aea375d366bf4b5,75961509153531995452129573464910832281698587979526353288621818987118253462837
0x090636a124388193cb066b9c535e726a0ae77179-102980538178031993517134231245504628873540234805749068950725528409845691287257,FOR,6872571481778588672972214,,15313825,1660127594,0x1d592b0f1d516bc3fddcc2afb7456c5ec0bc097250b9200dac834e931f068595,0x090636a124388193cb066b9c535e726a0ae77179,102980538178031993517134231245504628873540234805749068950725528409845691287257
0x090636a124388193cb066b9c535e726a0ae77179-106547578420974062333790736643563905300617628952500817411921006525670751346829,FOR,6872571481778588672972214,,15313793,1660127097,0x085a589e1ecd252fbf11c5f2014b45b081c38feb406cd20b34ee811e2792922c,0x090636a124388193cb066b9c535e726a0ae77179,106547578420974062333790736643563905300617628952500817411921006525670751346829
0x090636a124388193cb066b9c535e726a0ae77179-107225794067467763520494361832594612457287423636070460959663085331127821565398,FOR,6872571481778588672972214,,15313792,1660127049,0xc45378380dab0fd112042eb67abf10d269adaeee49f6560a7a9b4884bfe31435,0x090636a124388193cb066b9c535e726a0ae77179,107225794067467763520494361832594612457287423636070460959663085331127821565398
0x090636a124388193cb066b9c535e726a0ae77179-110429053767662434390914423149290929454561144692268184291935256132505268307761,FOR,6872571481778588672972214,,15313826,1660127623,0x4f62db1bdb8b29b39d2ecc7a7eef3d0f830d09887608ce8f044e7af83422efa4,0x090636a124388193cb066b9c535e726a0ae77179,110429053767662434390914423149290929454561144692268184291935256132505268307761
0x090636a124388193cb066b9c535e726a0ae77179-297238661773760164525939798357250861991421797941161444656750024227080080567,FOR,6872571481778588672972214,,15313797,1660127138,0xd4151cfdce4011d2600e93ef14a513d548625c9c2d40c09ed2c4c1cb3a07e942,0x090636a124388193cb066b9c535e726a0ae77179,297238661773760164525939798357250861991421797941161444656750024227080080567
