id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18677,2558587547584060,66,65,0,1613779069,11890491
18678,3155809959163092,101,100,0,1613864130,11896870
18679,3698447606466016,132,132,0,1613951318,11903429
18680,3732885890349873,143,142,0,1614035230,11909739
18681,3854955853433238,148,147,0,1614123986,11916425
18682,3975950322691653,159,158,0,1614209911,11922837
18683,4015009119205539,167,166,0,1614296239,11929371
18684,4549624038174496,178,177,0,1614383496,11935963
18685,4640047576332663,190,190,0,1614469905,11942455
18686,4889568820447570,197,196,0,1614554436,11948766
18687,5066293138076762,217,216,0,1614640222,11955217
18688,5173860476231193,225,224,0,1614722997,11961464
18689,5364921312913881,235,235,0,1614804876,11967578
18690,5399844943473055,241,240,0,1614889342,11973923
18691,5492104490848996,244,243,0,1614988311,11981402
18692,5518000444922874,246,245,0,1615069267,11987559
18693,5568901342529239,251,250,0,1615161453,11994465
18694,5632983499485486,253,252,0,1615244329,12000714
18695,5637878090871739,260,259,0,1615324148,12006671
18696,5725113808471881,261,259,0,1615418474,12013764
18697,5759043095856028,266,265,0,1615504617,12020182
18698,5967718554042053,274,273,0,1615588917,12026453
18699,6222118850924242,279,278,0,1615679254,12033269
18700,6455578151445781,287,286,0,1615764740,12039735
18701,6512333822261890,287,287,0,1615851000,12046157
18702,6578247782907474,288,287,0,1615936459,12052636
18703,6582112734894287,289,288,0,1616017536,12058682
18704,6592967661894287,291,289,0,1616080143,12063369
18705,6599395754175148,294,292,0,1616191455,12071749
18706,6597047166284126,294,293,0,1616258277,12076782
18707,6596352283568563,296,294,0,1616350268,12083712
18708,6243390870542277,294,294,0,1616454394,12091527
18709,6698070031888755,298,296,0,1616540864,12098003
18710,6604511986753574,301,300,0,1616624646,12104274
18711,6633227042218918,303,301,0,1616670724,12107759
18712,6656350740676169,306,304,0,1616798938,12117452
18713,6662975563589147,312,310,0,1616872052,12122902
18714,6695218550091752,320,318,0,1616969290,12130240
18715,6738942608996604,325,325,0,1617056481,12136803
18716,6773140743823724,323,322,0,1617148127,12143742
18717,6777130119509635,326,324,0,1617221892,12149254
18718,6935549940658383,328,327,0,1617316284,12156332
18719,6939222400104930,329,327,0,1617403423,12162903
18720,6920933293632767,329,329,0,1617480639,12168697
18721,6944413978435344,333,332,0,1617571122,12175557
18722,6947530492330847,334,333,0,1617661495,12182372
18723,6971387813298698,334,333,0,1617745709,12188713
18724,6997780311213663,335,334,0,1617833667,12195335
18725,6999404165703647,336,335,0,1617923994,12202101
18726,7011576308697224,339,337,0,1618012509,12208723
18727,6996547174736505,340,338,0,1618090512,12214646
18728,7012886950920924,342,341,0,1618158263,12219703
18729,7000901438099679,345,343,0,1618262300,12227669
18730,6829769699981016,347,345,0,1618350712,12234282
18731,6834520873964460,348,346,0,1618415429,12239123
18732,6782082557620878,349,348,0,1618528652,12247623
18733,6837297611421845,349,349,0,1618592199,12252312
