id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
1-18800,13459337159557669870095428,200000000000000000000,13459537159557669870095428,1624404301,12686958,1
1-18801,13464230303920602931461908,5467915923885512232830600,18932146227806115164292508,1624492324,12693506,1
1-18802,26352749613567807857912270,6672194090358795993691404,33024943703926603851603674,1624577294,12699818,1
1-18803,73355244610337277616798166,12533047910642212854658795,85888292520979490471456961,1624665143,12706278,1
1-18804,75869441494480559390375595,12540302973286764313786820,88409744467767323704162415,1624751363,12712696,1
1-18805,79674173913379443172123846,12540411873286764313786820,92214585786666207485910666,1624838191,12719161,1
1-18806,79681045721531083232627881,15040585190987765769783143,94721630912518849002411024,1624915867,12724971,1
1-18807,79681051656290186540450301,15040585200987765769783143,94721636857277952310233444,1624931397,12726145,1
2-18853,2840776017708923951167,0,2840776017708923951167,1628971998,13025384,2
2-18854,209346777016319840326753,0,209346777016319840326753,1629036456,13030188,2
2-18855,11209903322915448785792161,0,11209903322915448785792161,1629144798,13038354,2
2-18856,22224137456938371382614909,0,22224137456938371382614909,1629238488,13045443,2
2-18857,35256370246953753041042913,0,35256370246953753041042913,1629330513,13052244,2
2-18858,47624543872597049654660876,46988496519680727549985073,94613040392277777204645949,1629396981,13057300,2
3-18859,15565904224515064111568567,2005149603327171944437,15567909374118391283513004,1629496000,13064665,3
3-18860,18067625611270453018143733,2005149603327171944437,18069630760873780190088170,1629561268,13069570,3
3-18861,30928949062130855843998136,2433523276737171944437,30931382585407593015942573,1629676533,13078250,3
3-18862,41179283599647837845496126,2433523276737171944437,41181717122924575017440563,1629742967,13083141,3
3-18863,56189440320912695522062006,2433523276737171944437,56191873844189432694006443,1629822080,13089090,3
3-18864,61721023761960412223384336,2433523276737171944437,61723457285237149395328773,1629935158,13097558,3
3-18865,63461681996566242944785318,2433523276737171944437,63464115519842980116729755,1629954207,13098986,3
4-19071,89595194964139085,0,89595194964139085,1647774994,14422934,4
