id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id
0x0087a081a9b430fd8f688c6ac5dd24421bfb060d-2,FOR,0,,13057201,1629395939,0x9e7995f61824ec67eb1e7464d5fe37bcef1d624c81ea99a301ade83d4cd7dc02,0x0087a081a9b430fd8f688c6ac5dd24421bfb060d,2
0x014e61e389924e0d275fa1fcd7b7dece38f921e2-1,FOR,1100000000000000000,,12712984,1624755476,0x2f8b749146a28a8acff9aff7c4f94cd04cefe0e01e83d0d9b9e640ba1dfa3b92,0x014e61e389924e0d275fa1fcd7b7dece38f921e2,1
0x02446a7eda8401db1e3ad37060042b14910350f0-1,FOR,1150000000000000000,,12688968,1624431648,0x4fbec625723c7e51385a4a45bf7f2d549306fee2f087357e9cff5b059f667045,0x02446a7eda8401db1e3ad37060042b14910350f0,1
0x0251a94286c3a2cfebefd2558b916b7a6c180476-2,FOR,57940000000000000000,,13027750,1629003798,0xa7f5b702456b35be7725ab71c946e346c98aed5d82c07f53c9ae3ac60feb18cc,0x0251a94286c3a2cfebefd2558b916b7a6c180476,2
0x02babb5826d85c6a6354b923e94e7e9bb2643507-1,AGAINST,300000000000000000,,12714614,1624776692,0x93489790ddc9a3504013abe54dc75a2ac540eaa88809363f96c6de3144107cde,0x02babb5826d85c6a6354b923e94e7e9bb2643507,1
0x03ce77d68c5ef952d91ff53c336ffa260f43caa0-2,AGAINST,63285040505598862,,13054377,1629358360,0x062b6775fa86bdfa2b223781bb954d2ad5e06197631aa9ba7817fd40e8ffce9e,0x03ce77d68c5ef952d91ff53c336ffa260f43caa0,2
0x03da98f5e26cdcae4b8cdd504480a9f801ded4f7-1,FOR,1100000000000000000,,12712966,1624755113,0x81c2d35523b6106d760e5d913e9a9d8c2d1261af097318be17c1d4a3db311336,0x03da98f5e26cdcae4b8cdd504480a9f801ded4f7,1
0x0456b014da02c47c722742426192f8a0f4114923-1,AGAINST,300000000000000000,,12714617,1624776718,0x4e3b8fcc2fcce613b6fbb2ab9b439cebae4c3f3440070358f24bffcf3ffebbfa,0x0456b014da02c47c722742426192f8a0f4114923,1
0x045b55b4dcb121aa3e16e34cf7279ecc5477d406-1,AGAINST,47843619799865037304,,12691531,1624466910,0x8c23c61d5d7738851c13e7e759e38105240b2dcfe510ed9bc0e6936a18c5922f,0x045b55b4dcb121aa3e16e34cf7279ecc5477d406,1
0x04bcc6644c694608be74fe716c37da670183e0f4-1,FOR,10000000000000000000,,12686754,1624400947,0x2f50259fa26fa6492a040261c859ee0f5faf6456f6b48db43cd26c6b5a7fa8bb,0x04bcc6644c694608be74fe716c37da670183e0f4,1
0x055d3306067a1e0ea6b1ee2c838f2d5f2457ed43-1,FOR,1100000000000000000,,12712986,1624755481,0x504370084f057378634859ea394596900e9f127e2d8b10ab5e17cf10074333a0,0x055d3306067a1e0ea6b1ee2c838f2d5f2457ed43,1
0x0598cc55d185e1cd261efb952a0f3052a688be4c-3,FOR,60000000000000000,,13091381,1629852195,0xa45da1d6d86379022221ac489f6eba44b7183e905f282f8c1adf3b3e37fbb326,0x0598cc55d185e1cd261efb952a0f3052a688be4c,3
0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76-1,FOR,1301497975000000000000000,,12718798,1624833295,0xfd01dbf58e28ebf926067450ab0592848756cc1b10a03fdb678f08669041659d,0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76,1
0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76-2,AGAINST,1301497975000000000000000,,13055827,1629377862,0x49bd8b9e5aa8c6f2902290da22f94499ba4660ed3e2ff34f752ed3083bbec22a,0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76,2
0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01-1,FOR,177413142487607819574,,12691181,1624462299,0x8131edc8770e1fea56d3bf0f88f6297719f3134d25db57544dae53d07f15be8c,0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01,1
