id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0x54f2700371c3c3c56b7de26fe9babfd90d526f84,207851746024886112,0.207851746024886112,1,[{'id': '0x54f2700371c3c3c56b7de26fe9babfd90d526f84'}],[],0,[]
0x54f38f4e33e47bd13e7a0f46ed7afad61a40bfc1,0,0,1,[{'id': '0x54f38f4e33e47bd13e7a0f46ed7afad61a40bfc1'}],[],0,[]
0x54f61f68d26fc7e6104c6d673021fd6e3db6fbb1,7339521213370625798,7.339521213370625798,1,[{'id': '0x54f61f68d26fc7e6104c6d673021fd6e3db6fbb1'}],"[{'id': '0x54f61f68d26fc7e6104c6d673021fd6e3db6fbb1-25', 'choice': 'FOR', 'weight': '7339521213370625798', 'proposal': {'id': '25'}}]",1,[]
0x5502a4a72be0c66579d2d4d717f1278a80ac671f,0,0,0,[],"[{'id': '0x5502a4a72be0c66579d2d4d717f1278a80ac671f-25', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '25'}}]",1,[]
0x5504c81dee353139e970a6302a0e26585ad94467,0,0,1,[{'id': '0x5504c81dee353139e970a6302a0e26585ad94467'}],[],0,[]
0x550811cf1504cd87ca3ff8d6255656dcf1ceded1,64750000135448099093,64.750000135448099093,1,[{'id': '0x550811cf1504cd87ca3ff8d6255656dcf1ceded1'}],"[{'id': '0x550811cf1504cd87ca3ff8d6255656dcf1ceded1-25', 'choice': 'FOR', 'weight': '64750000135448099093', 'proposal': {'id': '25'}}]",1,[]
0x550949b849e47e37380edc2fbdd8d39db4383d62,315672115670663189,0.315672115670663189,2,[{'id': '0x550949b849e47e37380edc2fbdd8d39db4383d62'}],[],0,[]
0x550abc18f49cb82644df58885a3a049a021d54e0,0,0,1,[{'id': '0x550abc18f49cb82644df58885a3a049a021d54e0'}],[],0,[]
0x5510586c64a6a3c0d787831c0c198a20e41ef7ed,0,0,1,[{'id': '0x5510586c64a6a3c0d787831c0c198a20e41ef7ed'}],[],0,[]
0x5512b0960fb2bcdb0979c4c7214613de88901fcf,0,0,1,[{'id': '0x5512b0960fb2bcdb0979c4c7214613de88901fcf'}],[],0,[]
0x5513489bc0a7f9652a982e01abc932e07958f11e,220000000000000000,0.22,1,[{'id': '0x5513489bc0a7f9652a982e01abc932e07958f11e'}],"[{'id': '0x5513489bc0a7f9652a982e01abc932e07958f11e-25', 'choice': 'FOR', 'weight': '220000000000000000', 'proposal': {'id': '25'}}]",1,[]
0x55162755d34a28041dd76b9561875db6b48a3c55,95207000000000000,0.095207,1,[{'id': '0x55162755d34a28041dd76b9561875db6b48a3c55'}],[],0,[]
0x5517c99e62e02c376af7cbb11a949fbae6932f61,1000000000000000000,1,3,[{'id': '0x5517c99e62e02c376af7cbb11a949fbae6932f61'}],[],0,[]
0x551a724010ad436d200a0a7697117689627ad5e8,100000000000000000,0.1,1,[{'id': '0x551a724010ad436d200a0a7697117689627ad5e8'}],"[{'id': '0x551a724010ad436d200a0a7697117689627ad5e8-23', 'choice': 'FOR', 'weight': '100000000000000000', 'proposal': {'id': '23'}}]",1,[]
0x5520e8927ce92e6a5667654d7b9282772c6f5193,1950000000000000000,1.95,1,[{'id': '0x5520e8927ce92e6a5667654d7b9282772c6f5193'}],"[{'id': '0x5520e8927ce92e6a5667654d7b9282772c6f5193-25', 'choice': 'FOR', 'weight': '1950000000000000000', 'proposal': {'id': '25'}}]",1,[]
